date,CLG37,CLF37,CLZ36,CLX36,CLV36,CLU36,CLQ36,CLN36,CLM36,CLK36,CLJ36,CLH36,CLG36,CLF36,CLZ35,CLX35,CLV35,CLU35,CLQ35,CLN35,CLM35,CLK35,CLJ35,CLH35,CLG35,CLF35,CLZ34,CLX34,CLV34,CLU34,CLQ34,CLN34,CLM34,CLK34,CLJ34,CLH34,CLG34,CLF34,CLZ33,CLX33,CLV33,CLU33,CLQ33,CLN33,CLM33,CLK33,CLJ33,CLH33,CLG33,CLF33,CLZ32,CLX32,CLV32,CLU32,CLQ32,CLN32,CLM32,CLK32,CLJ32,CLH32,CLG32,CLF32,CLZ31,CLX31,CLV31,CLU31,CLQ31,CLN31,CLM31,CLK31,CLJ31,CLH31,CLG31,CLF31,CLZ30,CLX30,CLV30,CLU30,CLQ30,CLN30,CLM30,CLK30,CLJ30,CLH30,CLG30,CLF30,CLZ29,CLX29,CLV29,CLU29,CLQ29,CLN29,CLM29,CLK29,CLJ29,CLH29,CLG29,CLF29,CLZ28,CLX28,CLV28,CLU28,CLQ28,CLN28,CLM28,CLK28,CLJ28,CLH28,CLG28,CLF28,CLZ27,CLX27,CLV27,CLU27,CLQ27,CLN27,CLM27,CLK27,CLJ27,CLH27,CLG27,CLF27,CLZ26,CLX26,CLV26,CLU26
2026-08-03,53.51,53.57,53.64,53.78,53.91,54.03,54.14,54.31,54.48,54.65,54.79,54.91,55.02,55.14,55.25,55.38,55.51,55.64,55.75,55.9,56.06,56.23,56.39,56.52,56.65,56.78,56.93,57.07,57.21,57.34,57.47,57.62,57.75,57.87,58.01,58.16,58.31,58.49,58.63,58.68,58.76,58.87,59.02,59.19,59.4,59.57,59.72,59.83,59.95,60.03,60.17,60.27,60.38,60.47,60.64,60.76,60.91,61.02,61.16,61.26,61.38,61.49,61.65,61.77,61.89,62.0,62.11,62.23,62.38,62.49,62.62,62.71,62.81,62.96,63.13,63.25,63.32,63.44,63.57,63.69,63.85,63.96,64.05,64.15,64.27,64.43,64.58,64.69,64.79,64.91,65.04,65.16,65.3,65.42,65.55,65.67,65.79,65.93,66.07,66.17,66.29,66.43,66.58,66.76,66.94,67.09,67.59,67.74,67.94,67.88,68.12,68.31,68.62,68.92,69.23,69.58,69.94,70.33,70.76,71.29,71.94,72.78,73.94,75.68,77.9,80.34
2026-08-04,53.92,53.98,54.05,54.19,54.32,54.44,54.55,54.72,54.89,55.06,55.2,55.32,55.43,55.55,55.66,55.79,55.92,56.05,56.16,56.31,56.47,56.64,56.8,56.93,57.06,57.19,57.34,57.46,57.6,57.73,57.86,58.0,58.13,58.25,58.39,58.54,58.69,58.87,59.01,59.05,59.13,59.24,59.39,59.56,59.77,59.94,60.09,60.19,60.31,60.39,60.53,60.63,60.73,60.82,60.98,61.1,61.24,61.35,61.48,61.58,61.69,61.8,61.91,62.06,62.17,62.27,62.37,62.48,62.62,62.72,62.84,62.93,63.02,63.16,63.32,63.43,63.48,63.59,63.71,63.81,63.96,64.06,64.14,64.23,64.34,64.49,64.63,64.72,64.8,64.9,65.01,65.12,65.25,65.35,65.45,65.55,65.66,65.79,65.93,66.02,66.12,66.23,66.36,66.52,66.68,66.61,66.95,67.11,67.28,67.44,67.66,67.78,68.02,68.33,68.53,68.79,69.07,69.37,69.69,70.09,70.57,71.21,72.03,73.15,74.4,75.77
2026-08-05,54.36,54.42,54.49,54.63,54.76,54.88,54.99,55.16,55.33,55.5,55.64,55.76,55.87,55.99,56.1,56.23,56.36,56.49,56.6,56.75,56.91,57.08,57.24,57.37,57.5,57.63,57.78,57.89,58.02,58.15,58.27,58.4,58.52,58.64,58.78,58.94,59.1,59.23,58.8,59.42,59.49,59.6,59.74,59.9,60.1,60.27,60.41,60.51,60.6,60.7,60.83,60.92,61.02,61.1,61.25,61.37,61.5,61.61,61.73,61.83,61.93,62.04,62.09,62.28,62.39,62.48,62.57,62.68,62.81,62.9,63.01,63.09,63.17,63.3,63.34,63.55,63.59,63.7,63.81,63.9,64.04,64.13,64.2,64.28,64.38,64.52,64.65,64.74,64.81,64.9,65.0,65.1,65.04,65.3,65.37,65.46,65.57,65.69,65.82,65.9,65.99,66.1,66.22,66.37,66.52,66.64,66.77,66.93,67.1,67.28,67.47,67.66,67.86,68.1,68.29,68.61,68.89,69.18,69.5,69.89,70.38,71.04,71.87,72.94,74.05,75.22
2026-08-06,53.97,54.03,54.1,54.24,54.37,54.49,54.6,54.77,54.94,55.11,55.25,55.37,55.48,55.6,55.71,55.84,55.97,56.1,56.21,56.36,56.52,56.69,56.85,56.98,57.11,57.24,57.39,57.5,57.63,57.76,57.88,58.01,58.13,58.25,58.39,58.55,58.71,58.84,58.98,59.03,59.1,59.21,59.35,59.51,59.71,59.88,60.02,60.12,60.21,60.31,60.44,60.53,60.63,60.71,60.86,60.98,61.11,61.22,61.34,61.44,61.54,61.65,61.79,61.9,62.01,62.11,62.21,62.33,62.46,62.56,62.69,62.77,62.85,62.99,63.15,63.26,63.3,63.42,63.54,63.63,63.78,63.88,63.95,64.05,64.17,64.31,64.46,64.57,64.65,64.75,64.87,64.97,65.1,65.21,65.3,65.41,65.53,65.67,65.82,65.93,66.03,66.16,66.31,66.48,66.66,66.81,66.96,67.16,67.37,67.59,68.02,68.05,68.3,68.59,68.89,69.23,69.84,70.0,70.44,71.28,72.01,72.88,74.03,75.48,76.86,78.09
2026-08-07,53.97,54.03,54.1,54.24,54.37,54.49,54.6,54.77,54.94,55.11,55.25,55.37,55.48,55.6,55.71,55.84,55.97,56.1,56.21,56.36,56.52,56.69,56.85,56.98,57.11,57.24,57.39,57.5,57.63,57.76,57.88,58.01,58.13,58.25,58.39,58.55,58.71,58.84,58.98,59.03,59.1,59.21,59.35,59.51,59.71,59.88,60.02,60.12,60.21,60.31,60.44,60.54,60.65,60.74,60.9,61.03,61.18,61.3,61.43,61.54,61.65,61.77,61.92,62.04,62.15,62.26,62.37,62.49,62.63,62.74,62.87,62.96,63.05,63.19,63.36,63.48,63.53,63.65,63.78,63.88,64.04,64.15,64.22,64.33,64.46,64.6,64.76,64.88,64.96,65.07,65.2,65.3,65.44,65.56,65.66,65.78,65.91,66.05,66.21,66.32,66.43,66.02,66.72,66.9,67.09,67.27,67.42,67.62,67.8,68.08,68.32,68.55,68.81,69.11,69.47,69.83,70.23,70.67,71.16,71.78,72.54,73.5,74.64,75.96,77.15,78.18
2026-08-10,53.16,53.22,53.29,53.43,53.56,53.68,53.79,53.96,54.13,54.32,54.47,54.6,54.72,54.85,54.97,55.11,55.25,55.39,55.51,55.67,55.83,56.02,56.2,56.34,56.48,56.63,56.78,56.9,57.03,57.16,57.28,57.41,57.53,57.66,57.8,57.96,58.12,58.25,58.39,58.47,58.56,58.7,58.87,59.05,59.28,59.47,59.63,59.75,59.87,59.99,60.14,60.26,60.39,60.49,60.67,60.82,60.99,61.13,61.29,61.42,61.56,61.7,61.85,62.02,62.15,62.28,62.41,62.55,62.71,62.85,63.01,63.13,63.25,63.41,63.62,63.78,63.86,64.02,64.18,64.32,64.51,64.66,64.77,64.92,65.08,65.26,65.46,65.61,65.74,65.89,66.06,66.23,65.65,66.57,66.72,66.89,67.08,67.28,67.48,67.64,67.81,68.0,68.21,68.45,68.69,68.91,67.62,67.82,69.7,70.01,70.33,70.64,70.97,71.37,71.8,72.3,72.85,73.46,74.15,74.99,75.99,77.17,78.49,79.92,81.16,82.13
2026-08-11,52.97,53.03,53.1,53.24,53.37,53.49,53.6,53.77,53.94,54.16,54.31,54.45,54.57,54.7,54.82,54.97,55.11,55.25,55.37,55.53,55.7,55.89,56.07,56.21,56.36,56.51,56.62,56.79,56.92,57.06,57.18,57.32,57.44,57.58,57.73,57.89,58.06,58.19,58.34,58.43,58.53,58.68,58.85,59.04,59.28,59.48,59.64,59.77,59.89,60.01,60.17,60.3,60.43,60.54,60.72,60.88,61.05,61.2,61.36,61.5,61.64,61.78,61.97,62.12,62.25,62.39,62.52,62.67,62.83,62.97,63.14,63.26,63.38,63.55,63.76,63.92,64.01,64.17,64.33,64.47,64.66,64.81,64.93,65.08,65.24,65.42,65.63,65.8,65.93,66.09,66.27,66.43,66.62,66.79,66.95,67.12,67.31,67.5,67.7,67.86,68.03,68.21,68.41,68.64,68.94,69.1,69.32,69.58,69.86,70.16,70.55,70.78,71.1,71.48,71.89,72.36,72.9,73.5,74.16,75.06,76.07,77.27,78.71,80.46,82.2,83.48
2026-08-12,53.1,53.16,53.23,53.37,53.5,53.62,53.73,53.9,54.07,54.29,54.44,54.58,54.7,54.83,54.95,55.1,55.24,55.38,55.5,55.66,55.83,56.02,56.2,56.34,56.49,56.64,56.75,56.92,57.05,57.19,57.31,57.45,57.57,57.71,57.86,58.02,58.19,58.32,58.47,58.56,58.65,58.8,58.96,59.15,59.38,59.59,59.75,59.89,60.02,60.14,60.31,60.44,60.57,60.69,60.87,61.03,61.2,61.35,61.51,61.66,61.8,61.94,62.11,62.28,62.42,62.56,62.69,62.84,63.0,63.14,63.32,63.44,63.56,63.73,64.24,64.1,64.19,64.35,64.51,64.65,64.84,64.99,65.11,65.26,65.42,65.6,65.81,65.98,66.11,66.27,66.45,66.63,66.9,66.95,67.11,67.29,67.48,67.68,67.87,68.02,67.99,68.34,68.53,68.72,69.02,69.15,69.34,69.77,70.03,70.32,70.54,70.58,71.13,71.5,71.89,72.26,72.86,73.43,74.09,74.93,75.99,77.29,78.79,80.5,82.17,83.27
2026-08-13,53.26,53.32,53.39,53.53,53.66,53.78,53.89,54.06,54.23,54.45,54.6,54.74,54.86,54.99,55.11,55.26,55.4,55.54,55.66,55.82,55.99,56.18,56.36,56.5,56.65,56.8,56.91,57.08,57.21,57.35,57.47,57.61,57.73,57.87,58.02,58.18,58.35,58.48,58.63,58.72,58.81,58.96,59.12,59.31,59.54,59.75,59.91,60.05,60.18,60.3,60.47,60.59,60.72,60.83,61.0,61.16,61.32,61.46,61.62,61.76,61.89,62.02,62.59,62.36,62.51,62.64,62.77,62.91,63.07,63.2,63.37,63.48,63.59,63.75,64.3,64.11,64.19,64.34,64.5,64.64,64.82,64.96,65.07,65.21,65.36,65.55,65.73,65.86,65.98,66.13,66.3,66.47,66.65,66.8,66.95,67.1,67.27,67.45,67.64,67.78,67.92,68.09,68.27,68.47,68.68,68.87,69.08,69.32,69.57,70.61,70.12,70.37,70.66,71.0,71.39,71.8,72.28,72.81,73.42,74.2,75.15,76.3,77.6,79.07,80.44,81.25
2026-08-14,53.58,53.64,53.71,53.85,53.98,54.1,54.21,54.38,54.55,54.77,54.92,55.06,55.18,55.31,55.43,55.58,55.72,55.86,55.98,56.14,56.31,56.5,56.68,56.82,56.97,57.12,57.5,57.41,57.55,57.69,57.81,57.95,58.08,58.22,58.37,58.53,58.71,58.84,58.99,59.07,59.15,59.29,59.44,59.62,59.84,60.05,60.2,60.34,60.46,60.58,60.75,60.86,60.99,61.1,61.27,61.43,61.59,61.73,61.89,62.04,62.17,62.3,62.28,62.63,62.78,62.91,63.04,63.18,63.34,63.47,63.65,63.76,63.87,64.04,64.33,64.4,64.48,64.63,64.79,64.93,65.11,65.25,65.36,65.5,65.64,65.83,66.05,66.15,66.29,66.44,66.6,66.75,66.93,67.09,67.24,67.39,67.55,67.74,68.0,68.08,68.23,68.42,68.62,68.83,69.07,69.25,69.46,69.69,69.94,70.23,70.55,70.83,71.08,71.44,71.8,72.26,72.76,73.3,73.87,74.75,75.78,77.0,78.43,80.07,81.48,82.41
