date,GCM32,GCZ31,GCM31,GCZ30,GCM30,GCZ29,GCM29,GCZ28,GCV28,GCU28,GCQ28,GCN28,GCM28,GCK28,GCJ28,GCH28,GCG28,GCF28,GCZ27,GCX27,GCV27,GCU27,GCQ27,GCN27,GCM27,GCK27,GCJ27,GCH27,GCG27,GCF27,GCZ26,GCX26,GCV26,GCU26,GCQ26
2026-08-03,4887.5,4852.3,4816.3,4781.1,4741.1,4673.1,4574.7,4478.8,,4430.7,4414.8,4399.1,4382.7,4367.4,4351.2,4334.1,4318.8,4301.4,4285.0,4268.1,4253.0,4236.2,4220.3,4203.5,4229.0,4171.8,4154.4,4147.5,4123.0,4123.5,4090.5,4075.9,4060.3,4046.3,4033.7
2026-08-04,4951.3,4916.1,4880.1,4844.9,4804.9,4736.9,4638.5,4542.6,,4494.5,4478.6,4462.9,4446.5,4431.2,4415.0,4397.9,4382.6,4365.2,4300.0,4331.9,4316.7,4300.0,4284.2,4267.4,4218.8,4235.0,4217.8,4201.1,4185.8,4153.8,4152.6,4141.0,4121.9,4107.5,4095.4
2026-08-05,5112.2,5077.0,5041.0,5005.8,4965.8,4897.8,4799.4,4703.5,,4655.4,4639.5,4623.8,4607.4,4591.8,4575.2,4558.0,4542.5,4524.8,4424.2,4330.0,4475.1,4457.8,4441.4,4424.1,4392.8,4297.4,4362.7,4265.0,4339.8,4261.7,4305.2,4290.0,4273.3,4257.6,4252.4
2026-08-06,5111.3,5076.1,5040.1,5004.9,4964.9,4896.9,4798.4,4702.0,,4653.1,4636.5,4620.5,4603.9,4588.2,4571.6,4554.1,4537.4,4520.5,4504.5,4486.4,4470.5,4453.1,4436.6,4419.2,4402.0,4385.4,4367.5,4349.6,4335.1,4318.3,4300.4,4284.5,4269.2,4252.3,4242.0
2026-08-07,5218.2,5183.0,5147.0,5111.8,5071.8,5003.8,4904.7,4807.6,,4758.4,4649.8,4670.1,4708.7,4692.4,4675.6,4657.8,4537.4,4538.1,4600.0,4589.5,4573.1,4555.6,4538.7,4521.4,4506.0,4487.2,4469.1,4451.0,4435.3,4412.5,4399.7,4375.7,4367.1,4351.5,4340.7
2026-08-10,5241.4,5206.2,5170.2,5135.0,5095.0,5027.0,4927.9,4830.3,,4781.0,4764.2,4747.8,4731.2,4714.9,4698.0,4680.2,4664.3,4646.1,4629.5,4611.3,4594.6,4576.9,4559.0,4542.2,4524.5,4507.6,4489.3,4471.1,4455.3,4438.8,4419.7,4373.1,4387.1,4371.4,4361.8
2026-08-11,5273.4,5238.2,5202.2,5167.0,5127.0,5059.0,4957.5,4856.5,,4806.2,4788.4,4771.5,4754.5,4738.0,4721.0,4702.9,4686.9,4668.6,4641.1,4633.6,4616.6,4598.9,4581.9,4564.1,4546.4,4529.5,4511.2,4493.0,4463.1,4460.6,4428.8,4425.4,4395.5,4380.2,4383.0
2026-08-12,5300.8,5265.6,5229.6,5194.4,5154.4,5086.4,4984.4,4905.8,,4832.5,4814.7,4797.8,4780.8,4764.3,4747.3,4729.2,4713.1,4719.5,4701.0,4659.8,4642.8,4625.1,4608.1,4590.3,4594.0,4555.7,4537.4,4519.3,4503.4,4503.5,4467.5,4464.1,4434.3,4418.4,4425.5
2026-08-13,5249.3,5214.1,5178.1,5142.9,5102.9,5034.9,4932.9,4831.4,,4781.0,4763.1,4746.2,4729.2,4712.7,4695.7,4677.7,4733.0,4643.4,4630.0,4608.8,4592.0,4574.6,4570.5,4540.6,4553.0,4506.8,4489.0,4471.2,4455.7,4439.7,4420.4,4404.5,4387.3,4371.4,4363.6
2026-08-14,5267.0,5231.8,5195.8,5160.6,5120.6,5052.6,4950.6,4849.1,,4798.7,4780.8,4763.9,4746.9,4730.4,4713.4,4695.4,4679.3,4661.1,4644.9,4626.5,4609.7,4592.3,4575.6,4558.1,4555.0,4524.0,4498.3,4488.3,4466.6,4442.9,4431.5,4413.8,4397.7,4381.7,4373.9
