date,NQZ31,NQZ30,NQZ29,NQM29,NQZ28,NQM28,NQH28,NQZ27,NQU27,NQM27,NQH27,NQZ26,NQU26
2026-08-03,33037.75,33038.5,32133.25,31648.25,31188.75,30749.5,,30286.0,30038.25,29853.5,29507.75,29182.0,28891.75
2026-08-04,34022.25,34023.0,33117.75,32632.75,32173.25,31734.0,,31270.5,31022.75,30838.0,30492.25,30164.25,29863.5
2026-08-05,33767.5,33768.25,32863.0,32378.0,31918.5,31479.25,,31015.75,30768.0,30583.25,30340.0,29915.0,29615.0
2026-08-06,33638.5,33636.0,32734.0,32245.75,31786.25,31350.25,,30883.5,30635.75,30451.0,30110.25,29850.0,29555.5
2026-08-07,33987.5,33985.0,33083.0,32594.75,32135.25,31699.25,,31232.5,30984.75,30800.0,30459.25,30134.0,29834.75
2026-08-10,33897.0,33894.5,32992.5,32504.25,32044.75,31608.75,,31142.0,30894.25,30709.5,30368.75,30036.0,29737.0
2026-08-11,33787.75,33785.25,32883.25,32395.0,31935.5,31499.5,,31032.75,30785.0,30600.25,30259.5,29940.25,29636.75
2026-08-12,34019.25,34016.75,33114.75,32631.0,32171.5,31731.0,,31264.25,31021.0,30831.75,30489.25,30147.25,29853.25
2026-08-13,34357.75,34355.25,33453.25,32969.5,32510.0,32069.5,,31602.75,31359.5,31168.5,30827.75,30485.75,30188.5
2026-08-14,34313.0,34310.5,33408.5,32924.75,32465.25,32024.75,,31558.0,31314.75,31121.75,30771.25,30444.25,30148.25
2026-08-15,34313.0,34310.5,33408.5,32924.75,32465.25,32024.75,,31558.0,31314.75,31121.75,30775.0,30437.25,30141.75
2026-08-17,34260.75,34258.25,33356.25,32872.5,32413.0,31972.5,,31505.75,31262.5,31069.5,30866.5,30350.0,30076.0
2026-08-18,33745.25,33742.75,32840.75,32357.0,31897.5,31457.0,,30990.25,30747.0,30554.0,30235.25,29848.0,29561.0
2026-08-19,33666.25,33663.75,32761.75,32278.0,31818.5,31378.0,,30911.25,30668.0,30475.0,30158.0,29830.0,29561.0
