date,SIN31,SIZ30,SIN30,SIZ29,SIN29,SIZ28,SIU28,SIQ28,SIN28,SIM28,SIK28,SIJ28,SIH28,SIG28,SIF28,SIZ27,SIX27,SIV27,SIU27,SIQ27,SIN27,SIM27,SIK27,SIJ27,SIH27,SIG27,SIF27,SIZ26,SIX26,SIV26,SIU26,SIQ26
2026-08-03,72.823,71.854,71.352,70.383,69.095,63.894,63.228,62.991,62.821,62.606,61.46,62.143,61.905,61.673,61.455,60.98,60.977,60.743,60.56,60.276,60.052,59.815,59.645,59.374,59.165,58.948,58.749,58.496,58.275,58.056,57.856,57.667
2026-08-04,75.275,74.306,73.804,72.835,71.547,64.945,65.68,65.443,65.273,65.059,64.825,64.597,64.359,64.128,63.91,62.02,63.433,63.2,62.97,62.732,62.507,62.267,62.053,61.816,61.575,61.379,61.171,60.911,60.68,60.456,60.245,58.825
2026-08-05,77.469,76.5,75.998,75.029,73.741,68.54,67.874,67.637,67.467,67.253,67.019,66.791,66.553,66.32,66.099,64.525,65.615,65.376,64.52,64.895,64.659,64.405,63.57,63.929,63.69,63.465,62.005,62.987,62.752,62.511,62.288,62.099
2026-08-06,76.796,75.827,75.325,74.356,73.068,67.867,67.19,66.952,66.781,66.566,66.331,66.102,65.863,65.629,65.407,65.161,64.921,64.681,64.445,64.198,63.961,63.709,63.489,63.236,62.999,62.785,62.57,62.485,62.06,61.823,61.81,61.439
2026-08-07,78.845,77.876,77.374,76.405,75.117,69.916,69.236,68.994,68.82,68.602,68.363,68.13,68.6,67.65,67.425,67.165,66.932,66.687,66.446,66.193,65.945,65.689,65.43,66.66,64.945,65.905,64.845,64.222,63.995,63.73,63.499,63.332
2026-08-10,80.715,79.746,79.244,78.275,76.987,71.786,71.102,70.859,70.684,70.466,70.226,69.992,69.747,69.51,69.285,69.02,68.79,68.544,66.725,68.045,67.75,67.534,67.292,67.021,66.769,66.15,66.307,66.016,65.76,65.507,65.272,64.055
2026-08-11,80.459,79.49,78.988,78.019,76.731,71.53,70.839,70.59,70.408,70.188,69.947,69.711,69.468,69.229,69.001,68.75,68.496,68.243,67.993,67.732,67.476,67.212,66.966,66.694,66.442,66.22,65.985,65.67,65.436,65.22,64.905,64.769
2026-08-12,81.299,80.33,79.828,78.859,77.571,72.37,71.679,71.43,71.248,71.021,70.781,70.543,70.895,70.054,69.822,69.567,69.311,69.055,68.803,68.538,68.26,68.011,67.758,67.484,67.224,66.998,66.759,66.458,66.505,65.937,65.7,66.42
2026-08-13,80.552,79.583,79.081,78.112,76.824,71.623,70.931,70.68,70.497,70.265,70.021,69.781,69.533,69.289,69.056,68.855,68.542,68.285,68.031,67.769,67.49,67.258,66.675,66.737,66.483,66.14,66.019,65.73,65.59,65.225,64.993,64.873
2026-08-14,80.633,79.664,79.162,78.193,76.905,71.76,71.04,70.803,70.634,70.401,70.156,69.915,69.665,69.42,69.186,68.929,68.672,68.415,68.162,67.899,67.65,67.385,67.132,66.86,66.605,66.376,65.9,65.585,66.2,65.05,64.83,64.988
2026-08-15,80.633,79.664,79.162,78.193,76.905,71.76,71.04,70.803,70.634,70.401,70.156,69.915,69.665,69.42,69.186,68.929,68.672,68.415,68.162,67.899,67.64,67.385,67.132,66.86,66.603,66.376,66.142,65.848,65.598,65.338,65.108,64.988
2026-08-17,81.751,80.782,80.28,79.311,78.023,72.878,72.158,71.921,71.752,71.519,71.274,71.033,70.783,70.538,70.02,70.105,69.792,69.537,69.285,69.026,68.77,68.519,68.22,68.0,67.455,67.512,67.1,66.665,66.465,66.315,65.905,65.835
2026-08-18,79.453,78.484,77.982,77.013,75.725,70.58,69.86,69.623,69.454,69.221,68.976,68.735,68.485,68.0,69.23,67.94,67.5,67.249,66.45,66.745,68.53,66.252,65.96,65.741,64.8,65.273,65.7,64.105,64.515,63.525,63.445,63.83
2026-08-19,81.289,80.32,79.818,78.849,77.561,72.416,71.696,71.459,71.29,71.057,70.812,70.571,70.321,70.077,69.845,71.02,69.336,69.085,68.836,68.581,68.36,68.035,69.225,67.568,68.64,67.089,67.5,67.9,67.615,67.365,67.13,66.85
2026-08-20,83.7,82.731,82.229,81.26,79.972,74.827,74.107,73.87,73.701,73.466,73.218,72.971,72.095,72.475,72.24,71.981,71.724,71.468,71.075,70.955,70.88,70.393,70.41,69.904,69.69,69.411,69.35,68.92,68.7,68.435,68.13,68.18
2026-08-21,85.378,84.409,83.907,82.938,81.65,76.505,75.762,75.503,75.311,75.072,74.821,74.571,74.319,74.072,73.836,72.98,73.315,73.056,72.8,72.524,72.26,72.025,71.17,71.429,70.95,70.911,70.85,69.8,69.67,69.245,69.01,69.65
2026-08-23,85.378,84.409,83.907,82.938,81.65,76.505,75.762,75.503,75.311,75.072,74.821,74.571,74.319,74.072,73.836,73.575,73.315,73.056,72.8,72.524,72.256,71.944,71.719,71.429,71.157,70.911,70.668,70.349,70.079,69.787,69.53,69.466
