date,YMM27,YMH27,YMZ26,YMU26
2026-08-03,54761.0,54246.0,53743.0,53334.0
2026-08-04,55714.0,55223.0,54687.0,54268.0
2026-08-05,55867.0,55419.0,54912.0,54494.0
2026-08-06,55432.0,54941.0,54398.0,53989.0
2026-08-07,55579.0,55066.0,54562.0,54152.0
2026-08-10,55485.0,54992.0,54481.0,54063.0
2026-08-11,55286.0,54823.0,54296.0,53894.0
2026-08-12,55246.0,54788.0,54283.0,53871.0
2026-08-13,55336.0,54823.0,54344.0,53935.0
2026-08-14,55119.0,54706.0,54250.0,53784.0
2026-08-15,55119.0,54706.0,54214.0,53807.0
2026-08-17,54915.0,54418.0,53931.0,53506.0
2026-08-18,54774.0,54488.0,53814.0,53402.0
2026-08-19,54906.0,54411.0,53954.0,53527.0
2026-08-20,54200.0,53731.0,53223.0,52854.0
2026-08-21,54742.0,53859.0,53736.0,53331.0
2026-08-23,54742.0,54236.0,53762.0,53353.0
2026-08-24,54881.0,54377.0,53908.0,53517.0
2026-08-25,54991.0,54565.0,54060.0,53643.0
2026-08-26,54907.0,54405.0,54073.0,53695.0
2026-08-28,55012.0,54550.0,53975.0,53578.0
2026-09-04,54853.0,54240.0,53675.0,53275.0
2026-09-05,54853.0,54337.0,53857.0,53440.0
2026-09-06,54853.0,54337.0,53857.0,53440.0
2026-09-07,54853.0,54038.0,53543.0,53111.0
2026-09-08,54244.0,53801.0,53208.0,52801.0
2026-09-09,53798.0,53752.0,52886.0,52473.0
2026-09-10,53485.0,53070.0,52491.0,52089.0
2026-09-11,53995.0,53500.0,53008.0,52576.0
2026-09-12,53995.0,53506.0,53002.0,52585.0
2026-09-13,53995.0,53506.0,53002.0,52585.0
2026-09-14,53850.0,53197.0,52894.0,52476.0
2026-09-15,53525.0,53000.0,52571.0,52160.0
2026-09-16,53525.0,53050.0,52584.0,52172.0
