date,GVZ,MOVE,OVX,TDEX,VEEM,VEWZ,VIF,VIN,VIX,VIXD,VIXY,VOLI,VTLT,VVIX,VXAP,VXAZ,VXD,VXEF,VXGO,VXGS,VXHY,VXIB,VXMO,VXMT,VXN,VXNG,VXSL,VXST,VXTH,VXV,GVZ_chg1d,GVZ_chg1m,GVZ_chg1y,GVZ_chg5d,MOVE_chg1d,MOVE_chg1m,MOVE_chg1y,MOVE_chg5d,OVX_chg1d,OVX_chg1m,OVX_chg1y,OVX_chg5d,TDEX_chg1d,TDEX_chg1m,TDEX_chg1y,TDEX_chg5d,VEEM_chg1d,VEEM_chg1m,VEEM_chg1y,VEEM_chg5d,VEWZ_chg1d,VEWZ_chg1m,VEWZ_chg1y,VEWZ_chg5d,VIF_chg1d,VIF_chg1m,VIF_chg1y,VIF_chg5d,VIN_chg1d,VIN_chg1m,VIN_chg1y,VIN_chg5d,VIXD_chg1d,VIXD_chg1m,VIXD_chg1y,VIXD_chg5d,VIXY_chg1d,VIXY_chg1m,VIXY_chg1y,VIXY_chg5d,VIX_chg1d,VIX_chg1m,VIX_chg1y,VIX_chg5d,VOLI_chg1d,VOLI_chg1m,VOLI_chg1y,VOLI_chg5d,VTLT_chg1d,VTLT_chg1m,VTLT_chg1y,VTLT_chg5d,VVIX_chg1d,VVIX_chg1m,VVIX_chg1y,VVIX_chg5d,VXAP_chg1d,VXAP_chg1m,VXAP_chg1y,VXAP_chg5d,VXAZ_chg1d,VXAZ_chg1m,VXAZ_chg1y,VXAZ_chg5d,VXD_chg1d,VXD_chg1m,VXD_chg1y,VXD_chg5d,VXEF_chg1d,VXEF_chg1m,VXEF_chg1y,VXEF_chg5d,VXGO_chg1d,VXGO_chg1m,VXGO_chg1y,VXGO_chg5d,VXGS_chg1d,VXGS_chg1m,VXGS_chg1y,VXGS_chg5d,VXHY_chg1d,VXHY_chg1m,VXHY_chg1y,VXHY_chg5d,VXIB_chg1d,VXIB_chg1m,VXIB_chg1y,VXIB_chg5d,VXMO_chg1d,VXMO_chg1m,VXMO_chg1y,VXMO_chg5d,VXMT_chg1d,VXMT_chg1m,VXMT_chg1y,VXMT_chg5d,VXNG_chg1d,VXNG_chg1m,VXNG_chg1y,VXNG_chg5d,VXN_chg1d,VXN_chg1m,VXN_chg1y,VXN_chg5d,VXSL_chg1d,VXSL_chg1m,VXSL_chg1y,VXSL_chg5d,VXST_chg1d,VXST_chg1m,VXST_chg1y,VXST_chg5d,VXTH_chg1d,VXTH_chg1m,VXTH_chg1y,VXTH_chg5d,VXV_chg1d,VXV_chg1m,VXV_chg1y,VXV_chg5d
2026-08-15,23.92,69.58,49.52,12.01,25.89,27.01,14.88,13.91,14.25,9.18,22.75,11.84,11.83,87.48,24.12,28.73,12.82,15.27,28.13,28.61,5.63,34.08,14.7,20.8,20.72,37.58,43.99,10.61,709.7,18.46,0.21,-4.4,56.03,-6.71,0.51,-7.26,-9.37,-3.4,0.32,-17.32,37.71,-11.25,-2.12,-19.23,-11.76,9.38,-7.9,-40.14,59.91,-12.65,0.78,-3.84,12.4,5.34,-2.75,-10.14,-2.36,-1.98,-3.94,-13.23,-5.63,-5.69,-3.27,-13.15,-23.18,-19.19,-0.31,-2.28,3.79,0.4,-2.6,-13.64,-3.91,-4.36,-2.47,-11.51,3.86,-5.36,8.04,13.31,-11.45,4.41,-2.17,-6.47,-10.77,-3.25,-3.56,-18.92,-6.73,-5.04,-4.3,-37.0,10.71,-9.28,-3.54,-7.64,-2.81,-5.11,-1.29,7.16,7.69,-4.62,-4.22,-31.76,-11.98,-8.25,-7.44,-16.54,5.42,-13.7,1.99,12.15,11.05,11.93,-4.56,-42.94,42.53,-13.08,-2.65,-7.49,2.65,-3.8,-0.62,-3.35,1.51,-1.05,-3.79,-6.96,-33.42,-9.79,-2.4,-21.16,21.31,-9.2,-1.96,-9.49,87.03,-4.99,-6.68,-21.17,-18.26,-11.29,-0.17,2.08,7.89,0.16,-0.81,-4.35,-0.16,-1.39
2026-08-17,25.12,69.58,52.92,14.4,25.91,25.91,15.4,14.41,15.19,8.32,23.04,12.56,12.57,93.92,25.22,30.19,13.28,15.89,29.18,31.44,5.59,35.71,15.16,21.33,21.51,37.58,46.41,12.39,705.9,19.04,5.02,-1.87,65.05,-9.96,0.51,-7.26,-9.37,-3.4,6.87,-11.83,42.18,-5.6,19.9,-20.4,4.35,14.2,0.08,-32.89,69.24,-14.71,-4.07,-11.63,6.28,3.72,3.49,-18.04,-0.13,-0.96,3.59,-23.19,-3.35,-5.07,-9.37,-50.15,-29.43,-10.92,1.27,-3.27,5.4,1.23,6.6,-19.07,0.66,-1.75,6.08,-15.87,5.72,-1.8,6.26,23.48,-6.12,2.53,7.36,-10.44,-4.02,1.52,4.56,-23.69,-7.01,-2.55,5.08,-33.71,15.41,-6.04,3.59,-9.97,4.24,-5.35,4.06,-4.16,5.58,-6.14,3.73,-28.78,-12.4,-7.83,9.89,-10.99,20.6,-4.73,-0.71,6.68,-6.68,3.33,4.78,-28.72,50.04,-7.17,3.13,-17.83,3.06,-4.77,2.55,-4.26,3.24,0.9,,-8.7,-31.21,-4.74,3.81,-25.9,22.91,-6.64,5.5,-5.57,100.13,-8.91,16.78,-26.47,-6.63,-2.98,-0.54,2.51,7.62,-0.27,3.14,-7.3,2.15,0.32
2026-08-18,23.98,74.98,47.17,15.25,27.77,26.21,15.92,15.01,15.84,10.06,22.94,13.03,11.83,92.87,25.92,30.46,13.61,17.17,29.7,30.57,5.39,35.05,15.83,21.37,22.56,37.44,44.08,13.59,700.99,19.27,-4.54,-6.33,60.94,-7.73,-0.86,6.7,-1.34,0.23,-10.87,-21.41,46.72,-14.22,5.9,-16.09,12.69,21.34,7.18,-28.08,79.39,-4.34,1.16,-10.61,8.17,-6.26,3.38,-15.27,5.57,3.92,4.16,-20.04,2.6,0.6,20.91,-39.78,28.03,-19.73,-0.43,-3.69,5.67,0.84,4.28,-15.61,5.67,3.66,3.74,-13.13,8.26,2.37,-5.89,16.21,-16.51,-4.37,-1.12,-11.45,-3.9,2.16,2.78,-21.57,-2.48,3.85,0.89,-33.11,17.02,-1.1,2.48,-7.73,1.87,-1.8,8.06,3.56,18.09,4.0,1.78,-27.51,-8.31,-3.07,-2.77,-13.45,14.75,-4.59,-3.58,2.86,45.68,1.32,-1.85,-30.04,46.96,-5.24,4.42,-14.2,6.67,0.25,0.19,-4.08,4.04,1.28,-0.37,-1.38,-29.11,0.05,4.88,-22.29,27.1,0.8,-5.02,-10.21,88.99,-8.58,9.69,-19.41,-1.52,8.47,-0.7,1.8,6.95,-0.6,1.21,-6.18,4.44,1.9
2026-08-19,26.68,71.26,47.69,13.29,26.54,27.28,15.36,14.87,14.89,9.76,22.69,12.42,11.66,86.53,26.61,30.88,13.13,16.35,30.3,31.83,5.68,34.78,14.91,20.9,22.04,35.84,48.67,12.66,701.64,18.57,11.26,4.22,80.03,4.3,-4.96,5.78,-8.36,-3.77,1.1,-20.54,44.34,-8.88,-12.85,-26.64,-4.87,10.03,-4.43,-31.26,66.29,-8.89,4.08,-6.96,3.96,2.94,-3.52,-18.25,-1.54,,-0.93,-20.84,-2.17,2.06,-2.98,-41.04,-3.15,4.02,-1.09,-4.74,3.23,0.31,-6.0,-20.78,-4.5,2.2,-4.68,-16.81,-1.58,3.67,-1.44,14.54,-17.6,0.09,-6.83,-17.43,-15.18,-2.16,2.66,-19.49,0.99,6.1,1.38,-32.19,15.1,1.65,-3.53,-10.98,-6.28,-0.68,-4.78,-1.39,15.79,2.77,2.02,-26.04,-7.99,2.26,4.12,-9.88,16.64,3.85,5.38,8.4,-4.54,-4.38,-0.77,-30.58,45.71,-0.37,-5.81,-19.35,-4.0,-1.46,-2.2,-6.19,-0.33,0.38,-4.27,-12.93,-34.59,-0.58,-2.3,-24.08,13.67,5.1,10.41,-0.98,107.11,0.75,-6.84,-24.75,-13.74,14.34,0.09,1.89,7.69,-0.69,-3.63,-9.59,-1.75,0.22
2026-08-20,27.28,73.18,49.63,14.87,27.05,28.16,16.29,15.93,16.01,12.31,22.9,13.2,12.29,89.86,26.98,31.7,14.0,16.24,30.37,31.44,6.19,34.79,16.06,21.25,23.26,40.34,49.95,14.39,696.3,19.06,2.25,7.53,77.14,14.29,2.69,0.54,-13.26,-1.15,4.07,-20.04,52.66,0.55,11.89,-14.59,8.86,21.19,1.92,-31.15,75.31,-3.77,3.23,-4.12,12.01,5.07,6.05,-12.65,0.87,6.47,7.13,-14.49,1.66,10.01,26.13,-8.34,12.94,29.72,0.93,-3.25,4.0,0.35,7.52,-14.16,2.04,9.43,6.54,-12.06,1.3,8.73,5.4,16.38,-14.95,12.24,3.85,-12.6,-8.86,0.49,1.39,-18.09,-0.04,7.88,2.66,-29.81,13.05,5.6,6.63,-8.44,0.21,5.34,-0.67,-0.85,19.41,4.98,0.23,-25.69,-6.44,3.4,-1.23,-12.91,11.45,1.71,8.98,22.33,-30.92,12.14,0.03,-30.22,42.76,-2.58,7.71,-13.33,2.23,6.36,1.67,-4.28,0.9,1.53,12.56,1.31,-28.53,3.28,5.54,-18.47,16.3,9.56,2.63,-0.2,106.58,11.32,13.67,-19.07,-4.64,26.56,-0.76,1.6,7.38,-2.06,2.64,-6.57,-0.21,2.42
2026-08-21,27.29,73.4,49.62,13.28,26.63,31.0,15.43,14.96,15.13,10.0,22.64,12.6,11.92,86.27,26.24,30.87,13.42,15.37,30.62,32.79,5.98,34.58,15.24,20.9,21.98,38.62,48.41,12.58,698.32,18.5,0.04,13.99,76.75,14.09,0.3,0.72,-9.37,5.71,-0.02,-22.2,57.32,0.2,-10.69,-14.65,-4.18,10.57,-1.55,-28.14,63.07,2.86,10.09,11.15,23.06,14.77,-5.28,-9.55,-8.37,3.76,-6.09,-10.79,-9.5,7.55,-18.77,-1.38,-45.18,8.93,-1.14,-2.87,1.89,-0.48,-5.5,-11.26,-8.86,6.18,-4.55,-7.96,-9.87,6.42,-3.01,7.68,-19.35,0.76,-4.0,-10.43,-13.7,-1.36,-2.74,-18.31,-2.92,8.79,-2.62,-30.94,7.9,7.45,-4.14,-6.74,-7.51,4.68,-5.36,-3.52,7.94,0.65,0.82,-23.75,-8.68,8.85,4.29,-6.13,16.24,14.61,-3.39,13.9,2.57,6.22,-0.6,-30.24,41.2,1.47,-5.11,-10.35,-8.58,3.67,-1.65,-3.51,-2.34,0.48,-4.26,-3.91,-29.29,2.77,-5.5,-17.55,6.96,6.08,-3.08,2.43,95.99,10.05,-12.58,-18.8,-23.21,18.47,0.29,1.08,8.04,-1.6,-2.94,-5.56,-4.69,0.22
2026-08-23,27.29,73.4,49.62,13.28,26.63,31.0,15.43,14.96,15.13,10.0,22.64,12.59,11.92,86.27,26.24,30.87,13.42,15.37,30.62,32.79,5.98,34.58,15.24,20.9,21.98,38.62,48.41,12.58,698.32,18.5,0.04,13.99,76.75,14.09,0.3,-1.7,-8.84,5.49,-0.02,-22.2,57.32,0.2,-10.69,-14.65,-4.18,10.57,-1.55,-28.14,63.07,2.86,10.09,11.15,23.06,14.77,-5.28,-9.61,-8.43,3.7,-6.09,-10.79,-9.5,7.55,-18.77,-1.38,-45.18,8.93,-1.14,-2.87,1.89,-0.48,-5.5,-11.26,-8.86,6.18,-4.62,-8.04,-9.94,6.33,-3.01,7.68,-19.35,0.76,-4.0,-10.45,-13.72,-1.38,-2.74,-18.31,-2.92,8.79,-2.62,-30.94,7.9,7.45,-4.14,-6.74,-7.51,4.68,-5.36,-3.52,7.94,0.65,0.82,-23.75,-8.68,8.85,4.29,-6.13,16.24,14.61,-3.39,13.9,2.57,6.22,-0.6,-30.24,41.2,1.47,-5.11,-10.35,-8.58,3.67,-1.65,-3.51,-2.34,0.48,-4.26,-3.91,-29.29,2.77,-5.5,-17.55,6.96,6.08,-3.08,2.43,95.99,10.05,-12.58,-18.73,-23.15,18.57,0.29,1.08,8.04,-1.6,-2.94,-5.56,-4.69,0.22
2026-08-24,28.28,73.98,46.74,14.28,26.13,31.82,15.94,15.53,15.85,8.71,22.69,12.9,12.15,88.64,26.34,31.52,14.06,15.01,30.31,32.27,5.45,35.19,16.06,21.04,22.69,37.87,49.34,14.07,696.31,18.56,3.63,16.24,86.67,12.58,0.79,-1.7,-8.84,5.49,-5.8,-31.26,54.0,-11.68,7.53,-13.92,12.89,-0.83,-1.88,-32.15,66.65,0.85,2.65,12.92,26.42,22.81,3.31,-15.93,9.93,3.51,3.81,-15.37,10.46,7.77,-12.9,-43.55,-8.03,4.69,0.22,-4.5,5.58,-1.52,4.76,-14.69,11.46,4.34,2.46,-15.3,10.92,2.71,1.93,10.86,-11.38,-3.34,2.75,-12.0,-1.27,-5.62,0.38,-15.82,1.46,4.44,2.11,-28.25,20.63,4.41,4.77,-8.7,8.91,5.87,-2.34,-23.65,15.55,-5.54,-1.01,-5.87,-7.08,3.87,-1.59,-8.38,24.07,2.64,-8.86,-26.45,6.45,-2.5,1.76,-19.31,52.34,-1.46,5.38,-13.33,11.92,5.94,0.67,-6.2,4.42,-1.36,-1.94,-3.2,-32.3,0.77,3.23,-20.08,25.64,5.49,1.92,2.68,93.72,6.31,11.84,-20.15,18.73,13.56,-0.29,2.01,6.49,-1.36,0.32,-9.51,4.5,-2.52
2026-08-25,27.69,73.98,46.16,13.24,25.35,33.77,15.49,15.05,15.45,8.41,22.61,12.68,12.17,85.67,26.13,30.89,13.95,15.29,29.73,31.5,5.05,34.82,15.69,20.84,21.79,44.16,48.05,13.45,697.7,18.21,-2.09,13.81,83.5,15.47,0.79,-3.7,-5.28,-2.18,-1.24,-32.12,47.76,-2.14,-7.28,-20.19,-2.43,-13.18,-2.99,-34.17,56.97,-8.71,6.13,19.84,33.37,28.84,-2.82,-18.3,4.17,-2.7,-3.09,-17.98,3.86,0.27,-3.44,-45.5,4.34,-16.4,-0.35,-4.84,4.34,-1.44,-2.52,-16.85,4.46,-2.46,-1.71,-16.61,7.17,-2.53,0.16,11.04,-10.71,2.87,-3.35,-14.95,-7.18,-7.75,-0.8,-16.49,-3.01,0.81,-2.0,-29.68,16.74,1.41,-0.78,-9.42,1.01,2.5,1.87,-22.23,1.06,-10.95,-1.91,-7.67,-14.27,0.1,-2.39,-10.56,18.78,3.04,-7.34,-31.58,-1.74,-5.94,-1.05,-20.16,50.74,-0.66,-2.3,-15.33,4.05,-0.88,-0.95,-7.09,1.76,-2.48,16.61,12.63,-21.59,17.68,-3.97,-23.25,18.3,-3.41,-2.61,0.33,89.73,9.37,-4.41,-23.67,3.38,-1.03,0.2,2.21,7.17,-0.47,-1.89,-11.21,1.05,-5.5
2026-08-26,26.96,69.44,46.83,12.7,25.27,33.39,15.68,15.21,15.21,12.91,22.42,12.67,12.13,85.24,26.33,30.48,13.66,14.91,29.59,31.52,5.03,34.24,15.49,20.64,21.42,44.87,47.46,13.33,697.27,17.99,-2.64,10.81,69.77,1.05,-3.45,-9.61,-12.5,-2.55,1.45,-31.13,38.84,-1.8,-4.08,-23.45,-8.3,-4.44,-0.32,-34.38,53.99,-4.79,-1.13,18.49,35.24,22.4,1.23,-17.3,7.03,2.08,1.06,-17.11,5.77,2.29,53.51,-16.33,66.15,32.27,-0.84,-5.64,3.37,-1.19,-1.55,-18.14,4.04,2.15,-0.24,-16.81,8.57,2.26,-0.33,10.68,-13.17,4.03,-0.5,-15.38,-6.99,-1.49,0.77,-15.85,-0.68,-1.05,-1.33,-30.62,16.47,-1.3,-2.08,-11.3,-1.01,4.04,-2.49,-24.16,-4.42,-8.81,-0.47,-8.11,-11.49,-2.34,0.06,-10.51,17.0,-0.97,-0.4,-32.12,7.94,-11.44,-1.67,-21.49,51.5,-1.55,-1.27,-16.41,2.72,3.89,-0.96,-7.98,0.88,-1.24,1.61,14.7,-16.75,25.2,-1.7,-24.55,17.76,-2.81,-1.23,-1.23,83.67,-2.49,-0.89,-24.35,3.25,5.29,-0.06,2.15,6.71,-0.62,-1.21,-12.29,0.5,-3.12
