date,VIX1D,OVX,VIX9D,VIX,VIX3M,VIX6M,VIX1Y,SKEW,VIX_TERM_SLOPE
1990-01-02,,,,17.24,,,,126.09,
1990-01-03,,,,18.19,,,,123.34,
1990-01-04,,,,19.22,,,,122.62,
1990-01-05,,,,20.11,,,,121.27,
1990-01-08,,,,20.26,,,,124.12,
1990-01-09,,,,22.2,,,,119.82,
1990-01-10,,,,22.44,,,,120.82,
1990-01-11,,,,20.05,,,,107.48,
1990-01-12,,,,24.64,,,,116.78,
1990-01-15,,,,26.34,,,,116.16,
1990-01-16,,,,24.18,,,,120.62,
1990-01-17,,,,24.16,,,,123.03,
1990-01-18,,,,24.34,,,,131.14,
1990-01-19,,,,22.5,,,,129.31,
1990-01-22,,,,26.7,,,,118.95,
1990-01-23,,,,24.72,,,,117.94,
1990-01-24,,,,25.39,,,,128.75,
1990-01-25,,,,25.63,,,,124.33,
1990-01-26,,,,26.28,,,,122.76,
1990-01-29,,,,26.44,,,,124.6,
1990-01-30,,,,27.25,,,,120.91,
1990-01-31,,,,25.36,,,,128.22,
1990-02-01,,,,24.87,,,,129.53,
1990-02-02,,,,24.32,,,,132.53,
1990-02-05,,,,24.54,,,,121.22,
1990-02-06,,,,24.69,,,,120.3,
1990-02-07,,,,24.29,,,,123.35,
1990-02-08,,,,23.77,,,,124.87,
1990-02-09,,,,23.69,,,,126.06,
1990-02-12,,,,24.38,,,,126.99,
1990-02-13,,,,23.76,,,,133.06,
1990-02-14,,,,22.05,,,,131.55,
1990-02-15,,,,19.71,,,,139.07,
1990-02-16,,,,20.78,,,,136.61,
1990-02-20,,,,22.78,,,,126.47,
1990-02-21,,,,23.89,,,,129.17,
1990-02-22,,,,22.54,,,,124.8,
1990-02-23,,,,23.69,,,,125.82,
1990-02-26,,,,23.56,,,,130.69,
1990-02-27,,,,22.69,,,,131.45,
1990-02-28,,,,21.99,,,,123.1,
1990-03-01,,,,21.9,,,,123.96,
1990-03-02,,,,21.34,,,,126.44,
1990-03-05,,,,22.03,,,,124.24,
1990-03-06,,,,20.55,,,,124.86,
1990-03-07,,,,19.1,,,,121.08,
1990-03-08,,,,19.74,,,,124.46,
1990-03-09,,,,20.3,,,,125.6,
1990-03-12,,,,20.07,,,,129.69,
1990-03-13,,,,21.05,,,,128.07,
1990-03-14,,,,19.65,,,,131.82,
1990-03-15,,,,18.81,,,,133.02,
1990-03-16,,,,17.62,,,,136.73,
1990-03-19,,,,18.29,,,,138.69,
1990-03-20,,,,19.06,,,,134.2,
1990-03-21,,,,20.1,,,,132.58,
1990-03-22,,,,22.74,,,,129.8,
1990-03-23,,,,20.46,,,,130.76,
1990-03-26,,,,19.59,,,,129.9,
1990-03-27,,,,21.01,,,,135.33,
1990-03-28,,,,19.77,,,,133.51,
1990-03-29,,,,18.46,,,,131.2,
1990-03-30,,,,19.73,,,,111.33,
1990-04-02,,,,22.84,,,,126.46,
1990-04-03,,,,20.44,,,,117.63,
1990-04-04,,,,22.03,,,,114.13,
1990-04-05,,,,21.21,,,,114.42,
1990-04-06,,,,21.76,,,,114.91,
1990-04-09,,,,22.3,,,,117.6,
1990-04-10,,,,21.69,,,,119.09,
1990-04-11,,,,17.73,,,,108.87,
1990-04-12,,,,19.8,,,,121.52,
1990-04-16,,,,20.75,,,,126.05,
1990-04-17,,,,20.38,,,,131.24,
1990-04-18,,,,22.67,,,,122.74,
1990-04-19,,,,22.46,,,,120.77,
1990-04-20,,,,23.33,,,,120.88,
1990-04-23,,,,24.16,,,,120.03,
1990-04-24,,,,21.7,,,,124.56,
1990-04-25,,,,20.86,,,,127.03,
1990-04-26,,,,20.25,,,,124.51,
1990-04-27,,,,22.19,,,,118.84,
1990-04-30,,,,19.52,,,,110.49,
1990-05-01,,,,18.43,,,,111.99,
1990-05-02,,,,19.32,,,,128.49,
1990-05-03,,,,17.81,,,,114.27,
1990-05-04,,,,17.28,,,,116.35,
1990-05-07,,,,17.65,,,,117.22,
1990-05-08,,,,18.49,,,,117.83,
1990-05-09,,,,18.64,,,,117.27,
1990-05-10,,,,18.59,,,,119.5,
1990-05-11,,,,19.81,,,,119.51,
1990-05-14,,,,20.14,,,,123.12,
1990-05-15,,,,19.49,,,,125.1,
1990-05-16,,,,17.71,,,,125.7,
1990-05-17,,,,17.27,,,,121.95,
1990-05-18,,,,17.2,,,,124.68,
1990-05-21,,,,16.72,,,,127.35,
1990-05-22,,,,17.84,,,,124.88,
1990-05-23,,,,17.18,,,,118.8,
1990-05-24,,,,17.7,,,,117.3,
1990-05-25,,,,17.32,,,,111.93,
1990-05-29,,,,18.75,,,,122.18,
1990-05-30,,,,17.44,,,,119.88,
1990-05-31,,,,17.37,,,,120.21,
1990-06-01,,,,17.09,,,,119.33,
1990-06-04,,,,18.39,,,,122.78,
1990-06-05,,,,18.97,,,,121.22,
1990-06-06,,,,17.42,,,,121.45,
1990-06-07,,,,16.88,,,,123.99,
1990-06-08,,,,17.58,,,,122.13,
1990-06-11,,,,16.34,,,,132.14,
1990-06-12,,,,16.6,,,,132.61,
1990-06-13,,,,17.38,,,,131.51,
1990-06-14,,,,17.4,,,,132.45,
1990-06-15,,,,15.9,,,,138.31,
1990-06-18,,,,17.71,,,,133.31,
1990-06-19,,,,15.23,,,,136.21,
1990-06-20,,,,15.27,,,,139.12,
1990-06-21,,,,14.72,,,,142.57,
1990-06-22,,,,19.36,,,,139.62,
1990-06-25,,,,17.06,,,,106.8,
1990-06-26,,,,16.29,,,,104.65,
1990-06-27,,,,16.0,,,,106.54,
1990-06-28,,,,16.18,,,,107.42,
1990-06-29,,,,15.5,,,,107.31,
1990-07-02,,,,16.26,,,,108.16,
1990-07-03,,,,16.11,,,,107.62,
1990-07-05,,,,17.25,,,,105.08,
1990-07-06,,,,16.41,,,,107.27,
1990-07-09,,,,16.66,,,,106.5,
1990-07-10,,,,16.92,,,,105.19,
