date,open,high,low,close,volume,average,barCount
2024-06-27,70.68,70.68,70.68,70.68,0.0,70.68,0
2024-06-28,70.45,70.45,70.45,70.45,0.0,70.45,0
2024-07-01,71.43,71.43,71.43,71.43,0.0,71.43,0
2024-07-02,71.41,71.41,71.41,71.41,0.0,71.41,0
2024-07-05,71.5,71.5,71.5,71.5,0.0,71.5,0
2024-07-08,71.4,71.4,71.4,71.4,0.0,71.4,0
2024-07-09,70.64,70.64,70.64,70.64,0.0,70.64,0
2024-07-10,70.66,70.66,70.66,70.66,0.0,70.66,0
2024-07-11,70.58,70.58,70.58,70.58,0.0,70.58,0
2024-07-12,70.55,70.55,70.55,70.55,0.0,70.55,0
2024-07-15,70.34,70.34,70.34,70.34,0.0,70.34,0
2024-07-16,69.73,69.73,69.73,69.73,0.0,69.73,0
2024-07-17,70.17,70.17,70.17,70.17,0.0,70.17,0
2024-07-18,70.21,70.21,70.21,70.21,0.0,70.21,0
2024-07-19,68.78,68.78,68.78,68.78,0.0,68.78,0
2024-07-22,69.04,69.04,69.04,69.04,0.0,69.04,0
2024-07-23,67.98,67.98,67.98,67.98,0.0,67.98,0
2024-07-24,68.56,68.56,68.56,68.56,0.0,68.56,0
2024-07-25,68.85,68.85,68.85,68.85,0.0,68.85,0
2024-07-26,68.4,68.4,68.4,68.4,0.0,68.4,0
2024-07-29,68.02,68.02,68.02,68.02,0.0,68.02,0
2024-07-30,67.68,67.68,67.64,67.64,5.0,67.68,2
2024-07-31,68.9,68.9,68.9,68.9,0.0,68.9,0
2024-08-01,68.25,68.25,68.25,68.25,0.0,68.25,0
2024-08-02,66.38,66.38,66.38,66.38,0.0,66.38,0
2024-08-05,66.52,66.52,66.52,66.52,0.0,66.52,0
2024-08-06,66.2,66.2,66.2,66.2,0.0,66.2,0
2024-08-07,67.08,67.08,67.08,67.08,0.0,67.08,0
2024-08-08,67.79,67.79,67.79,67.79,0.0,67.79,0
2024-08-09,68.13,68.13,68.13,68.13,0.0,68.13,0
2024-08-12,69.54,69.54,69.54,69.54,0.0,69.54,0
2024-08-13,68.59,68.59,68.59,68.59,0.0,68.59,0
2024-08-14,68.33,68.33,68.33,68.33,0.0,68.33,0
2024-08-15,68.88,68.88,68.88,68.88,0.0,68.88,0
2024-08-16,68.12,68.12,68.12,68.12,0.0,68.12,0
2024-08-19,67.32,67.32,67.32,67.32,0.0,67.32,0
2024-08-20,66.69,66.72,66.69,66.72,12.0,66.693,3
2024-08-21,66.14,66.14,66.14,66.14,0.0,66.14,0
2024-08-22,66.62,66.62,66.62,66.62,0.0,66.62,0
2024-08-23,67.66,67.66,67.66,67.66,0.0,67.66,0
2024-08-26,68.61,68.61,68.61,68.61,0.0,68.61,0
2024-08-27,67.87,67.87,67.87,67.87,0.0,67.87,0
2024-08-28,67.2,67.2,67.2,67.2,0.0,67.2,0
2024-08-29,67.96,67.96,67.96,67.96,0.0,67.96,0
2024-08-30,66.9,66.9,66.9,66.9,0.0,66.9,0
2024-09-03,65.31,65.31,65.31,65.31,0.0,65.31,0
2024-09-04,65.1,65.1,65.1,65.1,0.0,65.1,0
2024-09-05,65.57,65.57,65.57,65.57,0.0,65.57,0
2024-09-06,64.75,64.75,64.75,64.75,0.0,64.75,0
2024-09-09,64.83,64.83,64.83,64.83,0.0,64.83,0
2024-09-10,63.28,63.36,63.14,63.14,5.0,63.326,5
2024-09-11,64.07,64.07,64.07,64.07,0.0,64.07,0
2024-09-12,65.04,65.04,65.04,65.04,0.0,65.04,0
2024-09-13,64.57,64.57,64.57,64.57,0.0,64.57,0
2024-09-16,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-09-17,65.93,65.93,65.93,65.93,0.0,65.93,0
2024-09-18,65.86,65.86,65.86,65.86,0.0,65.86,0
2024-09-19,66.3,66.3,66.3,66.3,0.0,66.3,0
2024-09-20,66.29,66.29,66.29,66.29,0.0,66.29,0
2024-09-23,66.19,66.19,66.19,66.19,0.0,66.19,0
2024-09-24,67.05,67.05,67.05,67.05,0.0,67.05,0
2024-09-25,66.25,66.25,66.25,66.25,0.0,66.25,0
2024-09-26,65.49,65.49,65.49,65.49,0.0,65.49,0
2024-09-27,65.61,65.61,65.61,65.61,0.0,65.61,0
2024-09-30,65.87,65.87,65.87,65.87,0.0,65.87,0
2024-10-01,66.8,66.8,66.8,66.8,0.0,66.8,0
2024-10-02,66.78,66.78,66.78,66.78,0.0,66.78,0
2024-10-03,68.82,68.82,68.82,68.82,0.0,68.82,0
2024-10-04,68.47,68.47,68.47,68.47,0.0,68.47,0
2024-10-07,70.13,70.13,70.13,70.13,0.0,70.13,0
2024-10-08,68.63,68.63,68.63,68.63,0.0,68.63,0
2024-10-14,68.59,68.59,68.59,68.59,0.0,68.59,0
2024-10-15,66.5,66.5,66.5,66.5,0.0,66.5,0
2024-10-16,66.07,66.07,66.07,66.07,0.0,66.07,0
2024-10-17,66.32,66.32,66.32,66.32,0.0,66.32,0
2024-10-18,65.59,65.59,65.59,65.59,0.0,65.59,0
2024-10-21,66.36,66.36,66.36,66.36,0.0,66.36,0
2024-10-22,67.44,67.44,67.44,67.44,0.0,67.44,0
2024-10-23,66.66,66.66,66.66,66.66,0.0,66.66,0
2024-10-24,66.4,66.65,66.23,66.52,19.0,66.459,19
2024-10-25,67.45,67.45,67.45,67.45,0.0,67.45,0
2024-10-28,64.57,64.57,64.57,64.57,0.0,64.57,0
2024-10-29,64.5,64.5,64.5,64.5,0.0,64.5,0
2024-10-30,65.45,65.45,65.45,65.45,0.0,65.45,0
2024-10-31,65.59,65.59,65.59,65.59,0.0,65.59,0
2024-11-01,66.83,66.83,65.91,65.91,3.0,66.83,3
2024-11-04,66.65,66.65,66.65,66.65,0.0,66.65,0
2024-11-05,66.81,66.81,66.81,66.81,0.0,66.81,0
2024-11-06,65.59,66.84,65.59,66.84,6.0,65.59,3
2024-11-07,67.43,67.43,67.43,67.43,0.0,67.43,0
2024-11-08,66.3,66.61,66.3,66.61,3.0,66.3,3
2024-11-11,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-11-12,65.25,65.25,65.25,65.25,0.0,65.25,0
2024-11-13,65.21,65.21,65.21,65.21,0.0,65.21,0
2024-11-14,65.13,65.13,65.13,65.13,0.0,65.13,0
2024-11-15,64.14,64.14,64.14,64.14,0.0,64.14,0
2024-11-18,65.85,65.85,65.85,65.85,0.0,65.85,0
2024-11-19,66.14,66.14,66.14,66.14,0.0,66.14,0
2024-11-20,65.78,65.78,65.78,65.78,0.0,65.78,0
2024-11-21,66.16,66.16,66.16,66.16,0.0,66.16,0
2024-11-22,66.75,66.75,66.75,66.75,0.0,66.75,0
2024-11-25,65.28,65.28,65.28,65.28,0.0,65.28,0
2024-11-26,65.45,65.45,65.45,65.45,0.0,65.45,0
2024-11-27,65.23,65.23,65.23,65.23,0.0,65.23,0
2024-12-02,64.83,64.83,64.83,64.83,0.0,64.83,0
2024-12-03,65.94,65.94,65.94,65.94,0.0,65.94,0
2024-12-04,64.87,64.87,64.87,64.87,0.0,64.87,0
2024-12-05,64.84,64.84,64.73,64.73,3.0,64.84,1
2024-12-06,64.39,64.39,64.39,64.39,0.0,64.39,0
2024-12-09,65.3,65.3,65.3,65.3,0.0,65.3,0
2024-12-10,65.31,65.31,65.31,65.31,0.0,65.31,0
2024-12-11,65.93,65.93,65.93,65.93,0.0,65.93,0
2024-12-12,66.01,66.01,66.01,66.01,0.0,66.01,0
2024-12-13,66.55,66.55,66.55,66.55,0.0,66.55,0
2024-12-16,66.22,66.22,66.22,66.22,0.0,66.22,0
2024-12-17,65.68,65.68,65.68,65.68,0.0,65.68,0
2024-12-18,65.58,65.58,65.58,65.58,0.0,65.58,0
2024-12-19,64.96,64.96,64.96,64.96,0.0,64.96,0
2024-12-20,65.05,65.05,65.05,65.05,0.0,65.05,0
2024-12-23,65.02,65.02,65.02,65.02,0.0,65.02,0
2024-12-24,65.55,65.55,65.55,65.55,0.0,65.55,0
2024-12-26,65.48,65.48,65.23,65.23,3.0,65.48,1
2024-12-27,65.58,65.58,65.58,65.58,0.0,65.58,0
2024-12-30,65.87,65.87,65.87,65.87,0.0,65.87,0
2024-12-31,66.35,66.35,66.35,66.35,0.0,66.35,0
2025-01-02,66.92,66.92,66.92,66.92,0.0,66.92,0
2025-01-03,67.17,67.17,67.17,67.17,0.0,67.17,0
2025-01-06,67.35,67.35,67.35,67.35,0.0,67.35,0
2025-01-07,67.55,67.55,67.55,67.55,0.0,67.55,0
2025-01-08,67.04,67.04,67.04,67.04,0.0,67.04,0
2025-01-09,67.17,67.17,67.17,67.17,0.0,67.17,0
2025-01-10,67.76,67.76,67.76,67.76,0.0,67.76,0
2025-01-13,67.38,67.38,67.38,67.38,0.0,67.38,0
2025-01-14,67.83,67.86,67.83,67.83,21.0,67.831,2
2025-01-15,68.25,68.31,68.25,68.31,4.0,68.25,4
2025-01-16,67.73,67.73,67.73,67.73,0.0,67.73,0
2025-01-17,67.61,67.61,67.61,67.61,0.0,67.61,0
2025-01-21,67.56,67.56,67.56,67.56,0.0,67.56,0
2025-01-22,67.62,67.62,67.62,67.62,0.0,67.62,0
2025-01-23,67.51,67.51,67.51,67.51,0.0,67.51,0
2025-01-24,67.26,67.26,67.26,67.26,0.0,67.26,0
2025-01-27,66.35,66.35,66.35,66.35,0.0,66.35,0
2025-01-28,66.15,66.15,66.15,66.15,0.0,66.15,0
2025-01-29,65.74,65.74,65.74,65.74,0.0,65.74,0
2025-01-30,65.87,65.87,65.87,65.87,0.0,65.87,0
2025-01-31,65.72,65.72,65.72,65.72,0.0,65.72,0
2025-02-03,65.67,65.67,65.67,65.67,0.0,65.67,0
2025-02-04,66.21,66.21,66.21,66.21,0.0,66.21,0
2025-02-05,65.42,65.42,65.42,65.42,0.0,65.42,0
2025-02-06,65.6,65.6,65.6,65.6,0.0,65.6,0
2025-02-07,65.87,65.87,65.87,65.87,0.0,65.87,0
2025-02-10,66.53,66.53,66.53,66.53,0.0,66.53,0
2025-02-11,67.5,67.5,67.5,67.5,0.0,67.5,0
2025-02-12,66.45,66.45,66.45,66.45,0.0,66.45,0
2025-02-13,66.28,66.28,66.28,66.28,0.0,66.28,0
2025-02-14,66.32,66.32,66.32,66.32,0.0,66.32,0
2025-02-18,66.7,66.7,66.7,66.7,0.0,66.7,0
2025-02-19,66.9,66.9,66.9,66.9,0.0,66.9,0
2025-02-20,67.28,67.28,67.28,67.28,0.0,67.28,0
2025-02-21,65.89,65.89,65.89,65.89,0.0,65.89,0
2025-02-24,65.95,65.95,65.95,65.95,0.0,65.95,0
2025-02-25,64.65,64.65,64.65,64.65,0.0,64.65,0
2025-02-26,64.16,64.16,64.16,64.16,0.0,64.16,0
2025-02-27,64.96,64.96,64.96,64.96,0.0,64.96,0
2025-02-28,64.38,64.39,64.38,64.39,1.0,64.38,1
2025-03-03,63.86,63.86,63.83,63.86,10.0,63.839,6
2025-03-04,63.72,63.72,63.72,63.72,0.0,63.72,0
2025-03-05,62.54,62.54,62.54,62.54,0.0,62.54,0
2025-03-06,62.41,62.41,62.41,62.41,0.0,62.41,0
2025-03-07,63.09,63.09,63.09,63.09,0.0,63.09,0
2025-03-10,62.03,62.03,62.03,62.03,0.0,62.03,0
2025-03-11,62.14,62.14,62.14,62.14,0.0,62.14,0
2025-03-12,63.28,63.28,63.28,63.28,0.0,63.28,0
2025-03-13,62.59,62.59,62.59,62.59,0.0,62.59,0
2025-03-14,63.06,63.06,63.06,63.06,0.0,63.06,0
2025-03-17,63.49,63.49,63.49,63.49,0.0,63.49,0
2025-03-18,63.31,63.31,63.31,63.31,0.0,63.31,0
2025-03-19,63.33,63.33,63.33,63.33,0.0,63.33,0
2025-03-20,64.02,64.02,64.02,64.02,0.0,64.02,0
2025-03-21,63.97,63.97,63.97,63.97,0.0,63.97,0
2025-03-24,64.39,64.39,64.39,64.39,0.0,64.39,0
2025-03-25,64.41,64.41,64.41,64.41,0.0,64.41,0
2025-03-26,64.78,64.78,64.78,64.78,0.0,64.78,0
2025-03-27,65.09,65.09,65.09,65.09,0.0,65.09,0
2025-03-28,64.36,64.36,64.36,64.36,0.0,64.36,0
2025-03-31,65.42,65.42,65.42,65.42,0.0,65.42,0
2025-04-01,65.6,65.6,65.6,65.6,0.0,65.6,0
2025-04-02,65.76,65.76,65.76,65.76,0.0,65.76,0
2025-04-03,62.56,62.56,62.56,62.56,0.0,62.56,0
2025-04-04,59.38,59.4,59.35,59.4,19.0,59.371,11
2025-04-07,59.7,59.7,59.25,59.25,10.0,59.615,4
2025-04-08,57.8,57.8,57.78,57.78,1.0,57.8,1
2025-04-09,58.38,59.99,58.38,59.63,5.0,59.346,5
2025-04-10,58.49,58.49,58.49,58.49,0.0,58.49,0
2025-04-11,58.93,58.93,58.93,58.93,0.0,58.93,0
2025-04-14,59.48,59.48,59.48,59.48,0.0,59.48,0
2025-04-15,59.0,59.0,59.0,59.0,0.0,59.0,0
2025-04-16,59.52,59.52,59.52,59.52,0.0,59.52,0
2025-04-17,61.08,61.08,61.08,61.08,0.0,61.08,0
2025-04-21,59.69,59.69,59.69,59.69,0.0,59.69,0
2025-04-22,60.73,60.73,60.73,60.73,0.0,60.73,0
2025-04-23,60.1,60.1,60.1,60.1,0.0,60.1,0
2025-04-24,60.25,60.66,60.25,60.66,3.0,60.383,2
2025-04-25,60.87,60.87,60.87,60.87,0.0,60.87,0
2025-04-28,60.0,60.34,60.0,60.34,1.0,60.0,1
2025-04-29,59.51,59.51,59.51,59.51,0.0,59.51,0
2025-04-30,57.5,57.5,57.48,57.5,2.0,57.49,2
2025-05-01,56.78,58.3,56.78,58.3,8.0,56.78,8
2025-05-02,58.06,58.06,58.06,58.06,0.0,58.06,0
2025-05-05,57.46,57.46,57.46,57.46,0.0,57.46,0
2025-05-06,58.9,59.03,58.9,59.03,6.0,58.9,6
2025-05-07,58.13,58.13,58.13,58.13,0.0,58.13,0
2025-05-08,59.32,59.32,59.32,59.32,0.0,59.32,0
2025-05-09,59.82,59.82,59.82,59.82,2.0,59.82,2
2025-05-12,60.86,60.86,60.86,60.86,0.0,60.86,0
2025-05-13,61.87,61.87,61.87,61.87,0.0,61.87,0
2025-05-14,61.37,61.37,61.35,61.35,1.0,61.37,1
2025-05-15,60.42,60.42,60.42,60.42,0.0,60.42,0
2025-05-16,60.63,60.63,60.63,60.63,0.0,60.63,0
2025-05-19,60.41,60.41,60.41,60.41,0.0,60.41,0
2025-05-20,60.67,60.67,60.67,60.67,0.0,60.67,0
2025-05-21,60.43,60.43,60.43,60.43,7.0,60.43,2
2025-05-22,60.09,60.09,60.09,60.09,0.0,60.09,0
2025-05-23,60.28,60.28,60.28,60.28,9.0,60.28,5
2025-05-27,59.82,59.83,59.82,59.83,8.0,59.82,3
2025-05-28,60.31,60.31,60.31,60.31,0.0,60.31,0
2025-05-29,59.32,59.32,59.32,59.32,0.0,59.32,0
2025-05-30,58.9,58.9,58.9,58.9,3.0,58.9,3
2025-06-02,60.18,60.18,60.04,60.04,51.0,60.18,26
2025-06-03,60.98,60.98,60.98,60.98,0.0,60.98,0
2025-06-04,60.4,60.4,60.38,60.38,4.0,60.4,1
2025-06-05,60.78,60.78,60.78,60.78,0.0,60.78,0
2025-06-06,61.4,61.4,61.4,61.4,0.0,61.4,0
2025-06-09,61.7,61.7,61.7,61.7,0.0,61.7,0
2025-06-10,61.17,61.64,61.17,61.53,9.0,61.433,9
2025-06-11,61.98,63.56,61.98,63.09,8.0,62.675,8
2025-06-12,62.77,62.77,62.77,62.77,0.0,62.77,0
2025-06-13,65.01,65.01,63.54,64.4,65.0,63.974,54
2025-06-16,65.32,65.32,64.81,64.81,2.0,65.08,2
2025-06-17,64.96,66.25,64.96,66.25,6.0,65.782,6
2025-06-18,64.92,66.07,64.92,66.07,30.0,64.925,11
2025-06-20,66.26,66.3,66.05,66.3,2.0,66.155,2
2025-06-23,66.38,67.0,63.6,64.11,33.0,64.871,15
2025-06-24,61.87,61.87,61.37,61.54,11.0,61.813,7
2025-06-25,61.73,61.73,61.13,61.13,9.0,61.436,7
2025-06-26,61.43,61.51,61.43,61.51,5.0,61.43,5
2025-06-27,61.49,61.49,60.84,61.4,7.0,61.373,7
2025-06-30,61.28,61.33,61.28,61.32,5.0,61.29,5
2025-07-01,61.26,61.57,61.26,61.5,2.0,61.415,2
2025-07-02,61.42,62.22,61.42,62.2,25.0,61.926,18
2025-07-03,61.8,61.83,61.79,61.83,3.0,61.807,3
2025-07-07,62.13,62.65,62.13,62.65,16.0,62.396,11
2025-07-08,62.23,63.32,62.23,63.22,6.0,62.953,6
2025-07-09,62.82,63.24,62.82,63.01,5.0,63.02,5
2025-07-10,62.24,62.26,62.24,62.26,4.0,62.24,3
2025-07-11,63.45,63.5,63.33,63.33,15.0,63.407,7
2025-07-14,62.97,63.19,62.95,62.95,5.0,63.102,3
2025-07-15,62.35,62.58,62.35,62.58,2.0,62.465,2
2025-07-16,62.35,62.4,62.34,62.4,71.0,62.354,59
2025-07-17,62.48,63.05,62.48,63.02,5.0,62.748,5
2025-07-18,63.38,63.38,63.05,63.07,12.0,63.234,10
2025-07-21,62.89,63.07,62.89,63.07,3.0,62.937,3
2025-07-22,62.69,62.73,62.47,62.73,15.0,62.637,12
2025-07-23,62.68,63.0,62.68,62.83,4.0,62.805,4
2025-07-24,63.0,63.36,62.67,63.17,36.0,63.099,25
2025-07-25,63.06,63.06,62.6,62.6,4.0,62.753,4
2025-07-28,63.57,63.78,63.57,63.78,1.0,63.57,1
