date,open,high,low,close,volume,average,barCount
2024-07-30,64.71,64.71,64.71,64.71,0.0,64.71,0
2024-07-31,65.29,65.29,65.29,65.29,0.0,65.29,0
2024-08-01,64.78,64.78,64.78,64.78,0.0,64.78,0
2024-08-02,63.9,63.9,63.9,63.9,0.0,63.9,0
2024-08-05,64.15,64.15,64.15,64.15,0.0,64.15,0
2024-08-06,63.8,63.8,63.8,63.8,0.0,63.8,0
2024-08-07,64.32,64.32,64.32,64.32,0.0,64.32,0
2024-08-08,64.74,64.74,64.74,64.74,0.0,64.74,0
2024-08-09,64.96,64.96,64.96,64.96,0.0,64.96,0
2024-08-12,66.0,66.0,66.0,66.0,0.0,66.0,0
2024-08-13,65.36,65.36,65.36,65.36,0.0,65.36,0
2024-08-14,65.22,65.22,65.22,65.22,0.0,65.22,0
2024-08-15,65.67,65.67,65.67,65.67,0.0,65.67,0
2024-08-16,65.25,65.25,65.25,65.25,0.0,65.25,0
2024-08-19,64.79,64.79,64.79,64.79,0.0,64.79,0
2024-08-20,64.32,64.32,64.32,64.32,0.0,64.32,0
2024-08-21,64.09,64.09,64.09,64.09,0.0,64.09,0
2024-08-22,64.34,64.34,64.34,64.34,0.0,64.34,0
2024-08-23,65.0,65.0,65.0,65.0,0.0,65.0,0
2024-08-26,65.54,65.54,65.54,65.54,0.0,65.54,0
2024-08-27,65.19,65.19,65.19,65.19,0.0,65.19,0
2024-08-28,64.79,64.79,64.79,64.79,0.0,64.79,0
2024-08-29,65.35,65.35,65.35,65.35,0.0,65.35,0
2024-08-30,64.63,64.63,64.63,64.63,0.0,64.63,0
2024-09-03,64.09,64.09,64.09,64.09,0.0,64.09,0
2024-09-04,64.17,64.17,64.17,64.17,0.0,64.17,0
2024-09-05,64.35,64.35,64.35,64.35,0.0,64.35,0
2024-09-06,64.17,64.17,64.17,64.17,0.0,64.17,0
2024-09-09,64.22,64.22,64.22,64.22,0.0,64.22,0
2024-09-10,62.96,62.96,62.96,62.96,0.0,62.96,0
2024-09-11,63.6,63.6,63.6,63.6,0.0,63.6,0
2024-09-12,64.23,64.23,64.23,64.23,0.0,64.23,0
2024-09-13,63.84,63.84,63.84,63.84,0.0,63.84,0
2024-09-16,64.34,64.34,64.34,64.34,0.0,64.34,0
2024-09-17,64.79,64.79,64.79,64.79,0.0,64.79,0
2024-09-18,64.8,64.8,64.8,64.8,0.0,64.8,0
2024-09-19,65.01,65.01,65.01,65.01,0.0,65.01,0
2024-09-20,65.01,65.01,65.01,65.01,0.0,65.01,0
2024-09-23,65.08,65.08,65.08,65.08,0.0,65.08,0
2024-09-24,65.74,65.74,65.74,65.74,0.0,65.74,0
2024-09-25,65.31,65.31,65.31,65.31,0.0,65.31,0
2024-09-26,65.13,65.13,65.13,65.13,0.0,65.13,0
2024-09-27,65.23,65.23,65.23,65.23,0.0,65.23,0
2024-09-30,65.47,65.47,65.47,65.47,0.0,65.47,0
2024-10-01,66.29,66.29,66.29,66.29,0.0,66.29,0
2024-10-02,66.07,66.07,66.07,66.07,0.0,66.07,0
2024-10-03,67.4,67.4,67.4,67.4,0.0,67.4,0
2024-10-04,67.09,67.09,67.09,67.09,0.0,67.09,0
2024-10-07,68.12,68.12,68.12,68.12,0.0,68.12,0
2024-10-08,66.93,66.93,66.93,66.93,0.0,66.93,0
2024-10-09,66.6,66.6,66.6,66.6,0.0,66.6,0
2024-10-10,67.1,67.1,67.1,67.1,0.0,67.1,0
2024-10-11,67.1,67.1,67.1,67.1,0.0,67.1,0
2024-10-14,66.84,66.84,66.84,66.84,0.0,66.84,0
2024-10-15,65.44,65.44,65.44,65.44,0.0,65.44,0
2024-10-16,64.95,64.95,64.95,64.95,0.0,64.95,0
2024-10-17,64.98,64.98,64.98,64.98,0.0,64.98,0
2024-10-18,64.48,64.48,64.48,64.48,0.0,64.48,0
2024-10-21,65.03,65.03,65.03,65.03,0.0,65.03,0
2024-10-22,65.76,65.76,65.76,65.76,0.0,65.76,0
2024-10-23,64.99,64.99,64.99,64.99,0.0,64.99,0
2024-10-24,65.05,65.05,65.05,65.05,0.0,65.05,0
2024-10-25,65.71,65.71,65.71,65.71,0.0,65.71,0
2024-10-28,63.73,63.73,63.73,63.73,0.0,63.73,0
2024-10-29,63.8,63.8,63.8,63.8,0.0,63.8,0
2024-10-30,64.37,64.37,64.37,64.37,0.0,64.37,0
2024-10-31,64.17,64.17,64.17,64.17,0.0,64.17,0
