date,open,high,low,close,volume,average,barCount
2024-06-27,4.4295,4.4295,4.4295,4.4295,0.0,4.4295,0
2024-06-28,4.468,4.468,4.468,4.468,0.0,4.468,0
2024-07-01,4.493,4.493,4.493,4.493,0.0,4.493,0
2024-07-02,4.4865,4.4865,4.4865,4.4865,0.0,4.4865,0
2024-07-05,4.653,4.653,4.653,4.653,0.0,4.653,0
2024-07-08,4.6405,4.6405,4.6405,4.6405,0.0,4.6405,0
2024-07-09,4.6075,4.6075,4.6075,4.6075,0.0,4.6075,0
2024-07-10,4.616,4.616,4.616,4.616,0.0,4.616,0
2024-07-11,4.581,4.581,4.581,4.581,0.0,4.581,0
2024-07-12,4.6385,4.6385,4.6385,4.6385,0.0,4.6385,0
2024-07-15,4.6005,4.6005,4.6005,4.6005,0.0,4.6005,0
2024-07-16,4.54,4.54,4.54,4.54,0.0,4.54,0
2024-07-17,4.521,4.521,4.521,4.521,0.0,4.521,0
2024-07-18,4.412,4.412,4.412,4.412,0.0,4.412,0
2024-07-19,4.387,4.387,4.387,4.387,0.0,4.387,0
2024-07-22,4.352,4.352,4.352,4.352,0.0,4.352,0
2024-07-23,4.3075,4.3075,4.3075,4.3075,0.0,4.3075,0
2024-07-24,4.275,4.275,4.275,4.275,0.0,4.275,0
2024-07-25,4.29,4.29,4.29,4.29,0.0,4.29,0
2024-07-26,4.303,4.303,4.303,4.303,0.0,4.303,0
2024-07-29,4.2675,4.2675,4.2675,4.2675,0.0,4.2675,0
2024-07-30,4.271,4.271,4.271,4.271,0.0,4.271,0
2024-07-31,4.3545,4.3545,4.3545,4.3545,0.0,4.3545,0
2024-08-01,4.2755,4.2755,4.2755,4.2755,0.0,4.2755,0
2024-08-02,4.294,4.294,4.294,4.294,0.0,4.294,0
2024-08-05,4.1865,4.1865,4.1865,4.1865,0.0,4.1865,0
2024-08-06,4.2115,4.2115,4.2115,4.2115,0.0,4.2115,0
2024-08-07,4.1595,4.1595,4.1595,4.1595,0.0,4.1595,0
2024-08-08,4.159,4.159,4.159,4.159,0.0,4.159,0
2024-08-09,4.186,4.186,4.186,4.186,0.0,4.186,0
2024-08-12,4.256,4.256,4.256,4.256,0.0,4.256,0
2024-08-13,4.2365,4.2365,4.2365,4.2365,0.0,4.2365,0
2024-08-14,4.2245,4.2245,4.2245,4.2245,0.0,4.2245,0
2024-08-15,4.3065,4.3065,4.3065,4.3065,0.0,4.3065,0
2024-08-16,4.3245,4.3245,4.3245,4.3245,0.0,4.3245,0
2024-08-19,4.3595,4.3595,4.3595,4.3595,0.0,4.3595,0
2024-08-20,4.3395,4.3395,4.3395,4.3395,0.0,4.3395,0
2024-08-21,4.3545,4.3545,4.3545,4.3545,0.0,4.3545,0
2024-08-22,4.3245,4.3245,4.3245,4.3245,0.0,4.3245,0
2024-08-23,4.377,4.377,4.377,4.377,0.0,4.377,0
2024-08-26,4.4185,4.4185,4.4185,4.4185,0.0,4.4185,0
2024-08-27,4.444,4.444,4.444,4.444,0.0,4.444,0
2024-08-28,4.371,4.371,4.371,4.371,0.0,4.371,0
2024-08-29,4.3805,4.3805,4.3805,4.3805,0.0,4.3805,0
2024-08-30,4.368,4.368,4.368,4.368,0.0,4.368,0
2024-09-03,4.24,4.24,4.24,4.24,0.0,4.24,0
2024-09-04,4.2305,4.2305,4.2305,4.2305,0.0,4.2305,0
2024-09-05,4.2915,4.2915,4.2915,4.2915,0.0,4.2915,0
2024-09-06,4.241,4.241,4.241,4.241,0.0,4.241,0
2024-09-09,4.306,4.306,4.306,4.306,0.0,4.306,0
2024-09-10,4.2555,4.2555,4.2555,4.2555,0.0,4.2555,0
2024-09-11,4.295,4.295,4.295,4.295,0.0,4.295,0
2024-09-12,4.343,4.343,4.343,4.343,0.0,4.343,0
2024-09-13,4.3735,4.3735,4.3735,4.3735,0.0,4.3735,0
2024-09-16,4.4155,4.4155,4.4155,4.4155,0.0,4.4155,0
2024-09-17,4.422,4.422,4.422,4.422,0.0,4.422,0
2024-09-18,4.437,4.437,4.437,4.437,0.0,4.437,0
2024-09-19,4.482,4.482,4.482,4.482,0.0,4.482,0
2024-09-20,4.482,4.482,4.482,4.482,0.0,4.482,0
2024-09-23,4.489,4.489,4.489,4.489,0.0,4.489,0
2024-09-24,4.6155,4.6155,4.6155,4.6155,0.0,4.6155,0
2024-09-25,4.624,4.624,4.624,4.624,0.0,4.624,0
2024-09-26,4.7055,4.7055,4.7055,4.7055,0.0,4.7055,0
2024-09-27,4.687,4.687,4.687,4.687,0.0,4.687,0
2024-09-30,4.62,4.62,4.62,4.62,0.0,4.62,0
2024-10-01,4.683,4.683,4.683,4.683,0.0,4.683,0
2024-10-02,4.7435,4.7435,4.7435,4.7435,0.0,4.7435,0
2024-10-03,4.6645,4.6645,4.6645,4.6645,0.0,4.6645,0
2024-10-04,4.713,4.713,4.713,4.713,0.0,4.713,0
2024-10-07,4.714,4.714,4.714,4.714,0.0,4.714,0
2024-10-08,4.633,4.633,4.633,4.633,0.0,4.633,0
2024-10-09,4.571,4.571,4.571,4.571,0.0,4.571,0
2024-10-10,4.594,4.594,4.594,4.594,0.0,4.594,0
2024-10-14,4.589,4.589,4.589,4.589,0.0,4.589,0
2024-10-15,4.5595,4.5595,4.5595,4.5595,0.0,4.5595,0
2024-10-16,4.581,4.581,4.581,4.581,0.0,4.581,0
2024-10-17,4.555,4.555,4.555,4.555,0.0,4.555,0
2024-10-18,4.6155,4.6155,4.6155,4.6155,0.0,4.6155,0
2024-10-21,4.5935,4.5935,4.5935,4.5935,0.0,4.5935,0
2024-10-22,4.6135,4.6135,4.6135,4.6135,0.0,4.6135,0
2024-10-23,4.582,4.582,4.582,4.582,0.0,4.582,0
2024-10-24,4.5915,4.5915,4.5915,4.5915,0.0,4.5915,0
2024-10-25,4.5985,4.5985,4.5985,4.5985,0.0,4.5985,0
2024-10-28,4.582,4.582,4.582,4.582,0.0,4.582,0
2024-10-29,4.574,4.574,4.574,4.574,0.0,4.574,0
2024-10-30,4.5425,4.5425,4.5425,4.5425,0.0,4.5425,0
2024-10-31,4.533,4.533,4.533,4.533,0.0,4.533,0
2024-11-01,4.5675,4.5675,4.5675,4.5675,0.0,4.5675,0
2024-11-04,4.618,4.618,4.618,4.618,0.0,4.618,0
2024-11-05,4.662,4.662,4.662,4.662,0.0,4.662,0
2024-11-06,4.457,4.457,4.457,4.457,0.0,4.457,0
2024-11-07,4.626,4.626,4.626,4.626,0.0,4.626,0
2024-11-08,4.516,4.516,4.516,4.516,0.0,4.516,0
2024-11-11,4.452,4.452,4.452,4.452,0.0,4.452,0
2024-11-12,4.3685,4.3685,4.3685,4.3685,0.0,4.3685,0
2024-11-13,4.3,4.3135,4.3,4.3135,5.0,4.3,5
2024-11-14,4.312,4.312,4.312,4.312,0.0,4.312,0
