date,open,high,low,close,volume,average,barCount
2026-01-30,6.4225,6.4225,6.4225,6.4225,0.0,6.4225,0
2026-02-02,6.314,6.314,6.314,6.314,0.0,6.314,0
2026-02-03,6.5735,6.5735,6.5735,6.5735,0.0,6.5735,0
2026-02-04,6.3535,6.3535,6.3535,6.3535,0.0,6.3535,0
2026-02-05,6.325,6.325,6.325,6.325,0.0,6.325,0
2026-02-06,6.3975,6.3975,6.3975,6.3975,0.0,6.3975,0
2026-02-09,6.482,6.482,6.482,6.482,0.0,6.482,0
2026-02-10,6.4335,6.4335,6.4335,6.4335,0.0,6.4335,0
2026-02-11,6.4785,6.4785,6.4785,6.4785,0.0,6.4785,0
2026-02-12,6.3055,6.3055,6.3055,6.3055,0.0,6.3055,0
2026-02-13,6.316,6.316,6.316,6.316,0.0,6.316,0
2026-02-17,6.161,6.161,6.161,6.161,0.0,6.161,0
2026-02-18,6.3185,6.3185,6.3185,6.3185,0.0,6.3185,0
2026-02-19,6.2605,6.2605,6.2605,6.2605,0.0,6.2605,0
2026-02-20,6.364,6.364,6.364,6.364,0.0,6.364,0
2026-02-23,6.301,6.301,6.301,6.301,0.0,6.301,0
2026-02-24,6.456,6.456,6.456,6.456,0.0,6.456,0
2026-02-25,6.5135,6.5135,6.5135,6.5135,0.0,6.5135,0
2026-02-26,6.477,6.477,6.477,6.477,0.0,6.477,0
2026-02-27,6.53,6.53,6.53,6.53,0.0,6.53,0
2026-03-02,6.4215,6.4215,6.4215,6.4215,0.0,6.4215,0
2026-03-03,6.2935,6.2935,6.2935,6.2935,0.0,6.2935,0
2026-03-04,6.3725,6.3725,6.3725,6.3725,0.0,6.3725,0
2026-03-05,6.271,6.271,6.271,6.271,0.0,6.271,0
2026-03-06,6.2705,6.2705,6.2705,6.2705,0.0,6.2705,0
2026-03-09,6.309,6.309,6.309,6.309,0.0,6.309,0
2026-03-10,6.413,6.413,6.413,6.413,0.0,6.413,0
2026-03-11,6.3555,6.3555,6.3555,6.3555,0.0,6.3555,0
2026-03-12,6.333,6.333,6.333,6.333,0.0,6.333,0
2026-03-13,6.2255,6.2255,6.2255,6.2255,0.0,6.2255,0
2026-03-16,6.298,6.298,6.298,6.298,0.0,6.298,0
2026-03-17,6.234,6.234,6.234,6.234,0.0,6.234,0
2026-03-18,6.0585,6.0585,6.0585,6.0585,0.0,6.0585,0
2026-03-19,5.9355,5.9355,5.9355,5.9355,0.0,5.9355,0
2026-03-20,5.838,5.838,5.838,5.838,0.0,5.838,0
2026-03-23,5.936,5.936,5.936,5.936,0.0,5.936,0
2026-03-24,5.9225,5.9225,5.9225,5.9225,0.0,5.9225,0
2026-03-25,6.0285,6.0285,6.0285,6.0285,0.0,6.0285,0
2026-03-26,5.9465,5.9465,5.9465,5.9465,0.0,5.9465,0
2026-03-27,5.9595,5.9595,5.9595,5.9595,0.0,5.9595,0
2026-03-30,5.973,5.973,5.973,5.973,0.0,5.973,0
2026-03-31,6.082,6.082,6.082,6.082,0.0,6.082,0
2026-04-01,6.1155,6.1155,6.1155,6.1155,0.0,6.1155,0
2026-04-02,6.055,6.055,6.055,6.055,0.0,6.055,0
2026-04-06,6.074,6.074,6.074,6.074,0.0,6.074,0
2026-04-07,6.032,6.032,6.032,6.032,0.0,6.032,0
2026-04-08,6.251,6.251,6.251,6.251,0.0,6.251,0
2026-04-09,6.2405,6.2405,6.2405,6.2405,0.0,6.2405,0
2026-04-10,6.3605,6.3605,6.3605,6.3605,0.0,6.3605,0
2026-04-13,6.469,6.469,6.469,6.469,0.0,6.469,0
