date,open,high,low,close,volume,average,barCount
2024-07-30,4.218,4.218,4.218,4.218,0.0,4.218,0
2024-07-31,4.19,4.19,4.184,4.184,1.0,4.19,1
2024-08-01,4.19,4.19,4.165,4.173,23.0,4.1857,4
2024-08-02,4.173,4.175,4.157,4.175,18.0,4.1726,5
2024-08-05,4.115,4.115,4.115,4.115,0.0,4.115,0
2024-08-06,4.102,4.102,4.101,4.101,1.0,4.102,1
2024-08-07,4.122,4.122,4.122,4.122,0.0,4.122,0
2024-08-08,4.173,4.173,4.173,4.173,0.0,4.173,0
2024-08-09,4.171,4.191,4.171,4.191,7.0,4.171,1
2024-08-12,4.185,4.2,4.185,4.2,5.0,4.185,3
2024-08-13,4.15,4.158,4.15,4.158,3.0,4.15,1
2024-08-14,4.181,4.181,4.181,4.181,0.0,4.181,0
2024-08-15,4.18,4.18,4.177,4.177,4.0,4.18,3
2024-08-16,4.151,4.167,4.131,4.134,52.0,4.142,7
2024-08-19,4.135,4.147,4.135,4.147,8.0,4.135,3
2024-08-20,4.145,4.18,4.14,4.18,86.0,4.1511,28
2024-08-21,4.188,4.208,4.188,4.208,2.0,4.193,2
2024-08-22,4.159,4.211,4.159,4.211,6.0,4.1723,3
2024-08-23,4.245,4.248,4.23,4.23,28.0,4.2381,8
2024-08-26,4.221,4.221,4.221,4.221,0.0,4.221,0
2024-08-27,4.205,4.205,4.205,4.205,0.0,4.205,0
2024-08-28,4.187,4.187,4.187,4.187,0.0,4.187,0
2024-08-29,4.157,4.166,4.157,4.166,20.0,4.1638,3
2024-08-30,4.154,4.154,4.154,4.154,0.0,4.154,0
2024-09-03,4.143,4.143,4.143,4.143,0.0,4.143,0
2024-09-04,4.155,4.155,4.131,4.131,1.0,4.155,1
2024-09-05,4.135,4.135,4.122,4.122,2.0,4.135,1
2024-09-06,4.111,4.111,4.11,4.11,25.0,4.111,15
2024-09-09,4.11,4.11,4.11,4.11,0.0,4.11,0
2024-09-10,4.09,4.092,4.09,4.092,23.0,4.09,3
2024-09-11,4.091,4.091,4.091,4.091,5.0,4.091,3
2024-09-12,4.103,4.103,4.081,4.091,31.0,4.0886,7
2024-09-13,4.1,4.1,4.096,4.096,2.0,4.1,2
2024-09-16,4.109,4.111,4.107,4.107,52.0,4.1091,7
2024-09-17,4.112,4.112,4.112,4.112,0.0,4.112,0
2024-09-18,4.121,4.122,4.112,4.112,16.0,4.1211,2
2024-09-19,4.126,4.126,4.126,4.126,0.0,4.126,0
2024-09-20,4.131,4.16,4.131,4.16,32.0,4.1328,10
2024-09-23,4.185,4.185,4.132,4.145,34.0,4.1573,16
2024-09-24,4.145,4.155,4.145,4.155,16.0,4.145,4
2024-09-25,4.17,4.189,4.17,4.189,10.0,4.17,1
2024-09-26,4.198,4.209,4.198,4.209,2.0,4.198,1
2024-09-27,4.23,4.23,4.21,4.21,1.0,4.23,1
2024-09-30,4.195,4.195,4.195,4.195,0.0,4.195,0
2024-10-01,4.179,4.179,4.179,4.179,0.0,4.179,0
2024-10-02,4.198,4.198,4.188,4.188,1.0,4.198,1
2024-10-03,4.205,4.212,4.205,4.205,283.0,4.2068,6
2024-10-04,4.23,4.23,4.23,4.23,0.0,4.23,0
2024-10-07,4.258,4.258,4.258,4.258,0.0,4.258,0
2024-10-08,4.22,4.232,4.22,4.227,10.0,4.2229,3
2024-10-09,4.21,4.21,4.205,4.205,8.0,4.21,1
2024-10-10,4.161,4.207,4.161,4.207,28.0,4.163,2
2024-10-11,4.194,4.213,4.194,4.202,7.0,4.2051,5
2024-10-14,4.188,4.188,4.188,4.188,0.0,4.188,0
2024-10-15,4.2,4.205,4.2,4.205,1.0,4.2,1
2024-10-16,4.164,4.164,4.164,4.164,0.0,4.164,0
2024-10-17,4.179,4.179,4.173,4.173,4.0,4.179,2
2024-10-18,4.155,4.155,4.137,4.137,1.0,4.155,1
2024-10-21,4.166,4.172,4.152,4.153,42.0,4.168,24
2024-10-22,4.181,4.204,4.181,4.187,8.0,4.1975,4
2024-10-23,4.201,4.207,4.199,4.199,13.0,4.2015,2
2024-10-24,4.209,4.209,4.209,4.209,0.0,4.209,0
2024-10-25,4.205,4.218,4.205,4.216,139.0,4.2093,41
2024-10-28,4.149,4.185,4.149,4.185,1.0,4.149,1
2024-10-29,4.171,4.184,4.171,4.184,100.0,4.173,3
2024-10-30,4.194,4.223,4.194,4.223,20.0,4.1985,12
2024-10-31,4.224,4.224,4.224,4.224,200.0,4.224,13
2024-11-01,4.208,4.22,4.208,4.22,2.0,4.2095,2
2024-11-04,4.229,4.229,4.209,4.209,100.0,4.229,2
2024-11-05,4.215,4.215,4.189,4.189,87.0,4.2045,4
2024-11-06,4.187,4.221,4.187,4.221,5.0,4.195,2
2024-11-07,4.203,4.205,4.203,4.205,100.0,4.203,1
2024-11-08,4.184,4.184,4.182,4.182,5.0,4.184,1
2024-11-11,4.199,4.205,4.191,4.191,16.0,4.2006,10
2024-11-12,4.21,4.21,4.203,4.203,54.0,4.2097,5
2024-11-13,4.199,4.217,4.199,4.215,229.0,4.2002,32
2024-11-14,4.202,4.207,4.202,4.202,7.0,4.2046,5
2024-11-15,4.209,4.224,4.209,4.224,268.0,4.2098,25
2024-11-18,4.232,4.232,4.232,4.232,0.0,4.232,0
2024-11-19,4.238,4.238,4.237,4.237,2.0,4.238,1
2024-11-20,4.25,4.274,4.245,4.274,15.0,4.2512,8
2024-11-21,4.291,4.291,4.26,4.28,64.0,4.2694,36
2024-11-22,4.252,4.27,4.25,4.269,16.0,4.2603,13
2024-11-25,4.296,4.311,4.281,4.3,146.0,4.2965,47
2024-11-26,4.305,4.315,4.302,4.302,5.0,4.3074,3
2024-11-27,4.25,4.27,4.25,4.266,16.0,4.2631,8
2024-11-29,4.303,4.311,4.303,4.311,8.0,4.3072,5
2024-12-02,4.283,4.294,4.283,4.291,170.0,4.2888,10
2024-12-03,4.265,4.274,4.265,4.274,4.0,4.268,3
2024-12-04,4.276,4.319,4.276,4.319,36.0,4.2923,33
2024-12-05,4.309,4.327,4.303,4.319,10.0,4.3144,9
2024-12-06,4.31,4.33,4.31,4.33,29.0,4.3133,21
2024-12-09,4.338,4.338,4.304,4.317,33.0,4.3174,20
2024-12-10,4.287,4.325,4.281,4.324,123.0,4.2911,16
2024-12-11,4.319,4.321,4.308,4.314,13.0,4.3152,8
2024-12-12,4.314,4.363,4.314,4.363,17.0,4.3238,13
2024-12-13,4.356,4.36,4.328,4.333,16.0,4.342,11
2024-12-16,4.331,4.341,4.325,4.329,23.0,4.3295,15
2024-12-17,4.32,4.343,4.319,4.343,4.0,4.3215,3
2024-12-18,4.323,4.35,4.323,4.327,117.0,4.333,15
2024-12-19,4.322,4.334,4.322,4.334,12.0,4.3286,4
2024-12-20,4.345,4.364,4.314,4.355,36.0,4.3542,15
2024-12-23,4.35,4.365,4.35,4.365,43.0,4.3503,3
2024-12-24,4.38,4.388,4.38,4.388,3.0,4.38,1
