date,open,high,low,close,volume,average,barCount
2025-12-22,2654.8,2654.8,2654.8,2654.8,0.0,2654.8,0
2025-12-23,2637.3,2637.3,2637.3,2637.3,0.0,2637.3,0
2025-12-24,2644.8,2644.8,2644.8,2644.8,0.0,2644.8,0
2025-12-26,2629.4,2629.4,2629.4,2629.4,0.0,2629.4,0
2025-12-29,2612.7,2612.7,2612.7,2612.7,0.0,2612.7,0
2025-12-30,2593.4,2593.4,2593.4,2593.4,0.0,2593.4,0
2025-12-31,2573.4,2573.4,2573.4,2573.4,0.0,2573.4,0
2026-01-02,2599.8,2599.8,2599.8,2599.8,0.0,2599.8,0
2026-01-05,2641.0,2641.0,2641.0,2641.0,0.0,2641.0,0
2026-01-06,2676.7,2676.7,2676.7,2676.7,0.0,2676.7,0
2026-01-07,2669.0,2669.0,2669.0,2669.0,0.0,2669.0,0
2026-01-08,2698.2,2698.2,2698.2,2698.2,0.0,2698.2,0
2026-01-09,2719.0,2719.0,2719.0,2719.0,0.0,2719.0,0
2026-01-12,2730.7,2730.7,2730.7,2730.7,0.0,2730.7,0
2026-01-13,2727.5,2727.5,2727.5,2727.5,0.0,2727.5,0
2026-01-14,2745.7,2745.7,2745.7,2745.7,0.0,2745.7,0
2026-01-15,2769.6,2769.6,2769.6,2769.6,0.0,2769.6,0
2026-01-16,2773.6,2773.6,2773.6,2773.6,0.0,2773.6,0
2026-01-20,2738.3,2738.3,2738.3,2738.3,0.0,2738.3,0
2026-01-21,2793.5,2793.5,2793.5,2793.5,0.0,2793.5,0
2026-01-22,2813.9,2813.9,2813.9,2813.9,0.0,2813.9,0
2026-01-23,2762.4,2762.4,2762.4,2762.4,0.0,2762.4,0
2026-01-26,2752.0,2752.0,2752.0,2752.0,0.0,2752.0,0
2026-01-27,2759.3,2759.3,2759.3,2759.3,0.0,2759.3,0
2026-01-28,2745.7,2745.7,2745.7,2745.7,0.0,2745.7,0
2026-01-29,2745.9,2745.9,2745.9,2745.9,0.0,2745.9,0
2026-01-30,2703.3,2703.3,2703.3,2703.3,0.0,2703.3,0
2026-02-02,2730.3,2730.3,2730.3,2730.3,0.0,2730.3,0
2026-02-03,2738.7,2738.7,2738.7,2738.7,0.0,2738.7,0
2026-02-04,2713.0,2713.0,2713.0,2713.0,0.0,2713.0,0
2026-02-05,2665.7,2665.7,2665.7,2665.7,0.0,2665.7,0
2026-02-06,2763.0,2763.0,2763.0,2763.0,0.0,2763.0,0
2026-02-09,2780.3,2780.3,2780.3,2780.3,0.0,2780.3,0
2026-02-10,2770.3,2770.3,2770.3,2770.3,0.0,2770.3,0
2026-02-11,2759.1,2759.1,2759.1,2759.1,0.0,2759.1,0
2026-02-12,2702.6,2702.6,2702.6,2702.6,0.0,2702.6,0
2026-02-13,2735.5,2735.5,2735.5,2735.5,0.0,2735.5,0
2026-02-17,2733.8,2733.8,2733.8,2733.8,0.0,2733.8,0
2026-02-18,2746.4,2746.4,2746.4,2746.4,0.0,2746.4,0
2026-02-19,2752.4,2752.4,2752.4,2752.4,0.0,2752.4,0
2026-02-20,2750.5,2750.5,2750.5,2750.5,0.0,2750.5,0
2026-02-23,2705.7,2705.7,2705.7,2705.7,0.0,2705.7,0
2026-02-24,2738.8,2738.8,2738.8,2738.8,0.0,2738.8,0
2026-02-25,2749.7,2749.7,2749.7,2749.7,0.0,2749.7,0
2026-02-26,2764.3,2764.3,2764.3,2764.3,0.0,2764.3,0
2026-02-27,2716.8,2716.8,2716.8,2716.8,0.0,2716.8,0
2026-03-02,2740.7,2740.7,2740.7,2740.7,0.0,2740.7,0
2026-03-03,2691.5,2691.5,2691.5,2691.5,0.0,2691.5,0
2026-03-04,2720.2,2720.2,2720.2,2720.2,0.0,2720.2,0
2026-03-05,2667.1,2667.1,2667.1,2667.1,0.0,2667.1,0
2026-03-06,2605.1,2605.1,2605.1,2605.1,0.0,2605.1,0
2026-03-09,2633.7,2633.7,2633.7,2633.7,0.0,2633.7,0
2026-03-10,2627.0,2627.0,2627.0,2627.0,0.0,2627.0,0
2026-03-11,2622.0,2622.0,2622.0,2622.0,0.0,2622.0,0
2026-03-12,2566.6,2566.6,2566.6,2566.6,0.0,2566.6,0
2026-03-13,2556.9,2556.9,2556.9,2556.9,0.0,2556.9,0
2026-03-16,2581.0,2581.0,2581.0,2581.0,0.0,2581.0,0
2026-03-17,2596.7,2596.7,2596.7,2596.7,0.0,2596.7,0
2026-03-18,2554.4,2554.4,2554.4,2554.4,0.0,2554.4,0
2026-03-19,2571.5,2571.5,2571.5,2571.5,0.0,2571.5,0
2026-03-20,2511.4,2511.4,2511.4,2511.4,0.0,2511.4,0
2026-03-23,2569.0,2569.0,2569.0,2569.0,0.0,2569.0,0
2026-03-24,2581.6,2581.6,2581.6,2581.6,0.0,2581.6,0
2026-03-25,2612.1,2612.1,2612.1,2612.1,0.0,2612.1,0
2026-03-26,2567.6,2567.6,2567.6,2567.6,0.0,2567.6,0
2026-03-27,2523.8,2523.8,2523.8,2523.8,0.0,2523.8,0
2026-03-30,2485.5,2485.5,2485.5,2485.5,0.0,2485.5,0
