date,open,high,low,close,volume,average,barCount
2024-06-27,32.125,32.125,32.125,32.125,0.0,32.125,0
2024-06-28,32.455,32.455,32.455,32.455,0.0,32.455,0
2024-07-01,32.515,32.515,32.515,32.515,0.0,32.515,0
2024-07-02,32.57,32.57,32.57,32.57,0.0,32.57,0
2024-07-05,34.7,34.7,34.7,34.7,0.0,34.7,0
2024-07-08,33.905,33.905,33.905,33.905,0.0,33.905,0
2024-07-09,34.065,34.065,34.065,34.065,0.0,34.065,0
2024-07-10,34.025,34.025,34.025,34.025,0.0,34.025,0
2024-07-11,34.68,34.68,34.68,34.68,0.0,34.68,0
2024-07-12,34.14,34.14,34.14,34.14,0.0,34.14,0
2024-07-15,33.905,33.905,33.905,33.905,0.0,33.905,0
2024-07-16,34.43,34.43,34.43,34.43,0.0,34.43,0
2024-07-17,33.335,33.335,33.335,33.335,0.0,33.335,0
2024-07-18,33.17,33.17,33.17,33.17,0.0,33.17,0
2024-07-19,32.21,32.21,32.21,32.21,0.0,32.21,0
2024-07-22,32.22,32.22,32.22,32.22,0.0,32.22,0
2024-07-23,32.24,32.24,32.24,32.24,0.0,32.24,0
2024-07-24,32.215,32.215,32.215,32.215,0.0,32.215,0
2024-07-25,30.77,30.77,30.77,30.77,0.0,30.77,0
2024-07-26,30.825,30.825,30.825,30.825,0.0,30.825,0
2024-07-29,30.665,30.665,30.665,30.665,0.0,30.665,0
2024-07-30,31.27,31.27,31.27,31.27,0.0,31.27,0
2024-07-31,31.685,31.685,31.685,31.685,0.0,31.685,0
2024-08-01,31.215,31.215,31.215,31.215,0.0,31.215,0
2024-08-02,30.97,30.97,30.97,30.97,0.0,30.97,0
2024-08-05,29.67,29.67,29.67,29.67,0.0,29.67,0
2024-08-06,29.655,29.655,29.655,29.655,0.0,29.655,0
2024-08-07,29.455,29.455,29.455,29.455,0.0,29.455,0
2024-08-08,30.155,30.155,30.155,30.155,0.0,30.155,0
2024-08-09,30.18,30.18,30.18,30.18,0.0,30.18,0
2024-08-12,30.67,30.67,30.67,30.67,0.0,30.67,0
2024-08-13,30.49,30.49,30.49,30.49,0.0,30.49,0
2024-08-14,29.99,29.99,29.99,29.99,0.0,29.99,0
2024-08-15,31.12,31.12,31.12,31.12,0.0,31.12,0
2024-08-16,31.575,31.575,31.575,31.575,0.0,31.575,0
2024-08-19,32.055,32.055,32.055,32.055,0.0,32.055,0
2024-08-20,32.285,32.285,32.285,32.285,0.0,32.285,0
2024-08-21,32.285,32.285,32.285,32.285,0.0,32.285,0
2024-08-22,31.77,31.77,31.77,31.77,0.0,31.77,0
2024-08-23,32.565,32.565,32.565,32.565,0.0,32.565,0
2024-08-26,32.765,32.765,32.765,32.765,0.0,32.765,0
2024-08-27,32.735,32.735,32.735,32.735,0.0,32.735,0
2024-08-28,31.885,31.885,31.885,31.885,0.0,31.885,0
2024-08-29,32.265,32.265,32.265,32.265,0.0,32.265,0
2024-08-30,31.365,31.365,31.365,31.365,0.0,31.365,0
2024-09-03,30.51,30.51,30.51,30.51,0.0,30.51,0
2024-09-04,30.69,30.69,30.69,30.69,0.0,30.69,0
2024-09-05,31.24,31.24,31.24,31.24,0.0,31.24,0
2024-09-06,30.285,30.285,30.285,30.285,0.0,30.285,0
2024-09-09,30.725,30.725,30.725,30.725,0.0,30.725,0
2024-09-10,30.69,30.69,30.69,30.69,0.0,30.69,0
2024-09-11,31.0,31.0,31.0,31.0,0.0,31.0,0
2024-09-12,32.25,32.25,32.25,32.25,0.0,32.25,0
2024-09-13,33.215,33.215,33.215,33.215,0.0,33.215,0
2024-09-16,33.275,33.275,33.275,33.275,0.0,33.275,0
2024-09-17,33.1,33.1,33.1,33.1,0.0,33.1,0
2024-09-18,32.805,32.805,32.805,32.805,0.0,32.805,0
2024-09-19,33.545,33.545,33.545,33.545,0.0,33.545,0
2024-09-20,33.61,33.61,33.61,33.61,0.0,33.61,0
2024-09-23,33.205,33.205,33.205,33.205,0.0,33.205,0
2024-09-24,34.56,34.56,34.56,34.56,0.0,34.56,0
2024-09-25,34.14,34.14,34.14,34.14,0.0,34.14,0
2024-09-26,34.49,34.49,34.49,34.49,0.0,34.49,0
2024-09-27,33.96,33.96,33.96,33.96,0.0,33.96,0
2024-09-30,33.57,33.57,33.57,33.57,0.0,33.57,0
2024-10-01,33.89,33.89,33.89,33.89,0.0,33.89,0
2024-10-02,34.085,34.085,34.085,34.085,0.0,34.085,0
2024-10-03,34.65,34.65,34.65,34.65,0.0,34.65,0
2024-10-04,34.685,34.685,34.685,34.685,0.0,34.685,0
2024-10-07,34.34,34.34,34.34,34.34,0.0,34.34,0
2024-10-08,32.87,32.87,32.87,32.87,0.0,32.87,0
2024-10-09,32.955,32.955,32.955,32.955,0.0,32.955,0
2024-10-10,33.55,33.55,33.55,33.55,0.0,33.55,0
2024-10-14,33.64,33.64,33.64,33.64,0.0,33.64,0
2024-10-15,34.09,34.09,34.09,34.09,0.0,34.09,0
2024-10-16,34.33,34.33,34.33,34.33,0.0,34.33,0
2024-10-17,34.13,34.13,34.13,34.13,0.0,34.13,0
2024-10-18,35.63,35.63,35.63,35.63,0.0,35.63,0
2024-10-21,36.565,36.565,36.565,36.565,0.0,36.565,0
2024-10-22,37.595,37.595,37.595,37.595,0.0,37.595,0
2024-10-23,36.355,36.355,36.355,36.355,0.0,36.355,0
2024-10-24,36.335,36.335,36.335,36.335,0.0,36.335,0
2024-10-25,36.32,36.32,36.32,36.32,0.0,36.32,0
2024-10-28,36.565,36.565,36.565,36.565,0.0,36.565,0
2024-10-29,37.045,37.045,37.045,37.045,0.0,37.045,0
2024-10-30,36.675,36.675,36.675,36.675,0.0,36.675,0
2024-10-31,35.35,35.35,35.35,35.35,0.0,35.35,0
2024-11-01,35.25,35.25,35.25,35.25,0.0,35.25,0
2024-11-04,35.165,35.165,35.165,35.165,0.0,35.165,0
2024-11-05,35.335,35.335,35.335,35.335,0.0,35.335,0
2024-11-06,33.84,33.84,33.84,33.84,0.0,33.84,0
2024-11-07,34.4,34.4,34.4,34.4,0.0,34.4,0
2024-11-08,33.975,33.975,33.975,33.975,0.0,33.975,0
2024-11-11,33.11,33.11,33.11,33.11,0.0,33.11,0
2024-11-12,33.265,33.265,33.265,33.265,0.0,33.265,0
2024-11-13,33.155,33.155,33.155,33.155,0.0,33.155,0
2024-11-14,33.055,33.055,33.055,33.055,0.0,33.055,0
2024-11-15,32.905,32.905,32.905,32.905,0.0,32.905,0
2024-11-18,33.73,33.73,33.73,33.73,0.0,33.73,0
2024-11-19,33.775,33.775,33.775,33.775,0.0,33.775,0
2024-11-20,33.52,33.52,33.52,33.52,0.0,33.52,0
2024-11-21,33.45,33.45,33.45,33.45,0.0,33.45,0
2024-11-22,33.85,33.85,33.85,33.85,0.0,33.85,0
2024-11-25,32.74,32.74,32.74,32.74,0.0,32.74,0
2024-11-26,32.905,32.905,32.905,32.905,0.0,32.905,0
2024-11-27,33.215,33.215,32.63,32.63,1.0,33.215,1
2024-11-28,32.63,32.63,32.63,32.63,0.0,32.63,0
