date,open,high,low,close,volume,average,barCount
2026-01-30,92.0,92.0,81.205,81.205,1.0,92.0,1
2026-02-02,82.1,82.235,79.39,79.39,2.0,82.1675,2
2026-02-03,85.975,85.975,85.975,85.975,0.0,85.975,0
2026-02-04,91.53,91.53,87.185,87.185,2.0,89.655,2
2026-02-05,75.74,79.245,74.0,79.245,2.0,74.87,2
2026-02-06,78.675,79.54,78.675,79.54,1.0,78.675,1
2026-02-09,84.99,84.99,84.99,84.99,0.0,84.99,0
2026-02-10,83.085,83.085,83.085,83.085,0.0,83.085,0
2026-02-11,86.75,86.75,86.75,86.75,0.0,86.75,0
2026-02-12,78.305,78.305,78.305,78.305,0.0,78.305,0
2026-02-13,81.32,81.32,80.53,80.53,1.0,81.32,1
2026-02-17,75.885,75.885,75.885,75.885,0.0,75.885,0
2026-02-18,80.14,80.14,80.14,80.14,0.0,80.14,0
2026-02-19,80.19,80.19,80.19,80.19,0.0,80.19,0
2026-02-20,85.2,85.2,84.985,84.985,1.0,85.2,1
2026-02-23,89.395,89.395,89.395,89.395,0.0,89.395,0
2026-02-24,90.5,90.5,90.33,90.33,2.0,90.5,2
2026-02-25,93.265,93.86,93.265,93.86,1.0,93.265,1
2026-02-26,89.795,89.795,89.795,89.795,0.0,89.795,0
2026-02-27,96.89,96.89,95.595,95.595,2.0,96.3525,2
2026-03-02,91.03,91.03,91.03,91.03,0.0,91.03,0
2026-03-03,82.105,85.59,82.105,85.59,2.0,83.8475,2
2026-03-04,85.33,85.33,85.33,85.33,0.0,85.33,0
2026-03-05,84.335,84.335,84.335,84.335,0.0,84.335,0
2026-03-06,86.66,86.66,86.475,86.475,1.0,86.66,1
2026-03-09,86.66,86.66,86.66,86.66,0.0,86.66,0
2026-03-10,91.83,91.83,91.83,91.83,0.0,91.83,0
2026-03-11,87.775,87.775,87.775,87.775,0.0,87.775,0
2026-03-12,87.36,87.36,87.36,87.36,0.0,87.36,0
2026-03-13,83.495,83.495,83.495,83.495,0.0,83.495,0
2026-03-16,82.97,82.97,82.82,82.82,1.0,82.97,1
2026-03-17,82.525,82.525,80.8,82.065,3.0,81.5385,3
2026-03-18,78.755,79.705,78.0,79.705,9.0,78.9755,9
2026-03-19,74.5,74.645,73.16,73.16,4.0,74.5115,4
2026-03-20,70.775,72.0,70.0,71.69,4.0,71.194,4
2026-03-23,72.215,72.5,71.28,71.28,5.0,72.251,5
2026-03-24,70.705,73.295,70.705,71.525,7.0,72.2935,7
2026-03-25,75.3,75.3,74.73,74.73,1.0,75.3,1
2026-03-26,69.4,69.905,69.4,69.905,1.0,69.4,1
2026-03-27,70.88,73.41,70.745,71.87,6.0,72.3375,5
2026-03-30,72.64,72.64,72.64,72.64,0.0,72.64,0
2026-03-31,76.025,77.225,76.025,77.105,4.0,76.6,4
2026-04-01,78.345,78.345,78.345,78.345,0.0,78.345,0
2026-04-02,73.33,75.11,73.33,75.11,2.0,73.99,2
2026-04-06,75.105,75.15,75.03,75.03,2.0,75.1275,2
2026-04-07,73.6,74.155,71.95,74.155,6.0,72.856,6
2026-04-08,77.65,77.65,77.65,77.65,0.0,77.65,0
2026-04-09,78.4,78.72,78.4,78.72,1.0,78.4,1
2026-04-10,78.8,78.8,78.76,78.76,1.0,78.8,1
2026-04-13,78.0,78.0,77.6,77.89,5.0,77.769,5
2026-04-14,80.15,81.82,80.15,81.82,7.0,81.0685,7
2026-04-15,82.66,82.75,81.505,81.915,5.0,82.332,5
2026-04-16,81.04,81.04,80.965,80.965,1.0,81.04,1
2026-04-17,85.1,85.1,84.175,84.175,1.0,85.1,1
2026-04-20,82.34,82.34,82.34,82.34,0.0,82.34,0
2026-04-21,81.045,81.045,78.675,78.675,10.0,79.9245,6
2026-04-22,80.19,80.19,80.19,80.19,0.0,80.19,0
2026-04-23,78.55,78.6,76.8,77.69,27.0,77.526,24
2026-04-24,77.935,78.75,77.935,78.545,6.0,78.2925,6
