date,open,high,low,close,volume,average,barCount
2024-08-01,96.24,96.24,96.24,96.24,0.0,96.24,0
2024-08-02,96.565,96.565,96.565,96.565,0.0,96.565,0
2024-08-05,96.515,96.515,96.515,96.515,0.0,96.515,0
2024-08-06,96.385,96.385,96.385,96.385,0.0,96.385,0
2024-08-07,96.38,96.38,96.38,96.38,0.0,96.38,0
2024-08-08,96.335,96.335,96.335,96.335,0.0,96.335,0
2024-08-09,96.33,96.33,96.33,96.33,0.0,96.33,0
2024-08-12,96.36,96.36,96.36,96.36,0.0,96.36,0
2024-08-13,96.46,96.46,96.46,96.46,0.0,96.46,0
2024-08-14,96.445,96.445,96.445,96.445,0.0,96.445,0
2024-08-15,96.245,96.245,96.245,96.245,0.0,96.245,0
2024-08-16,96.28,96.28,96.28,96.28,0.0,96.28,0
2024-08-19,96.28,96.28,96.28,96.28,0.0,96.28,0
2024-08-20,96.36,96.36,96.36,96.36,0.0,96.36,0
2024-08-21,96.455,96.455,96.455,96.455,0.0,96.455,0
2024-08-22,96.345,96.345,96.345,96.345,0.0,96.345,0
2024-08-23,96.455,96.455,96.455,96.455,0.0,96.455,0
2024-08-26,96.43,96.43,96.43,96.43,0.0,96.43,0
2024-08-27,96.465,96.465,96.465,96.465,0.0,96.465,0
2024-08-28,96.455,96.455,96.455,96.455,0.0,96.455,0
2024-08-29,96.43,96.43,96.43,96.43,0.0,96.43,0
2024-08-30,96.4,96.4,96.4,96.4,0.0,96.4,0
2024-09-03,96.43,96.43,96.43,96.43,0.0,96.43,0
2024-09-04,96.585,96.585,96.585,96.585,0.0,96.585,0
2024-09-05,96.59,96.59,96.59,96.59,0.0,96.59,0
2024-09-06,96.725,96.725,96.725,96.725,0.0,96.725,0
2024-09-09,96.695,96.695,96.695,96.695,0.0,96.695,0
2024-09-10,96.76,96.76,96.76,96.76,0.0,96.76,0
2024-09-11,96.72,96.72,96.72,96.72,0.0,96.72,0
2024-09-12,96.715,96.715,96.715,96.715,0.0,96.715,0
2024-09-13,96.74,96.74,96.74,96.74,0.0,96.74,0
2024-09-16,96.74,96.74,96.74,96.74,0.0,96.74,0
2024-09-17,96.685,96.685,96.685,96.685,0.0,96.685,0
2024-09-18,96.655,96.655,96.655,96.655,0.0,96.655,0
2024-09-19,96.655,96.655,96.655,96.655,0.0,96.655,0
2024-09-20,96.675,96.675,96.675,96.675,0.0,96.675,0
2024-09-23,96.67,96.67,96.67,96.67,0.0,96.67,0
2024-09-24,96.705,96.705,96.705,96.705,0.0,96.705,0
2024-09-25,96.665,96.665,96.665,96.665,0.0,96.665,0
2024-09-26,96.575,96.575,96.575,96.575,0.0,96.575,0
2024-09-27,96.65,96.65,96.65,96.65,0.0,96.65,0
2024-09-30,96.545,96.545,96.545,96.545,0.0,96.545,0
2024-10-01,96.585,96.585,96.585,96.585,0.0,96.585,0
2024-10-02,96.56,96.56,96.56,96.56,0.0,96.56,0
2024-10-03,96.47,96.47,96.47,96.47,0.0,96.47,0
2024-10-04,96.2,96.2,96.2,96.2,0.0,96.2,0
2024-10-07,96.125,96.125,96.125,96.125,0.0,96.125,0
2024-10-08,96.15,96.15,96.15,96.15,0.0,96.15,0
2024-10-09,96.1,96.1,96.1,96.1,0.0,96.1,0
2024-10-10,96.12,96.12,96.12,96.12,0.0,96.12,0
2024-10-11,96.2,96.2,96.2,96.2,0.0,96.2,0
2024-10-14,96.13,96.13,96.13,96.13,0.0,96.13,0
2024-10-15,96.185,96.185,96.185,96.185,0.0,96.185,0
2024-10-16,96.21,96.21,96.21,96.21,0.0,96.21,0
2024-10-17,96.155,96.155,96.155,96.155,0.0,96.155,0
2024-10-18,96.185,96.185,96.185,96.185,0.0,96.185,0
2024-10-21,96.1,96.1,96.1,96.1,0.0,96.1,0
2024-10-22,96.09,96.09,96.09,96.09,0.0,96.09,0
2024-10-23,96.03,96.03,96.03,96.03,0.0,96.03,0
2024-10-24,96.07,96.07,96.07,96.07,0.0,96.07,0
2024-10-25,96.07,96.07,96.07,96.07,0.0,96.07,0
2024-10-28,96.07,96.07,96.07,96.07,0.0,96.07,0
2024-10-29,96.09,96.09,96.09,96.09,0.0,96.09,0
2024-10-30,96.07,96.07,96.07,96.07,0.0,96.07,0
2024-10-31,96.07,96.07,96.07,96.07,0.0,96.07,0
2024-11-01,96.07,96.07,96.07,96.07,0.0,96.07,0
