date,GC_OI,GC_PROD_L,GC_PROD_S,GC_SWAP_L,GC_SWAP_S,GC_MM_L,GC_MM_S,SI_OI,SI_PROD_L,SI_PROD_S,SI_SWAP_L,SI_SWAP_S,SI_MM_L,SI_MM_S,HG_OI,HG_PROD_L,HG_PROD_S,HG_SWAP_L,HG_SWAP_S,HG_MM_L,HG_MM_S,CL_OI,CL_PROD_L,CL_PROD_S,CL_SWAP_L,CL_SWAP_S,CL_MM_L,CL_MM_S,NG_OI,NG_PROD_L,NG_PROD_S,NG_SWAP_L,NG_SWAP_S,NG_MM_L,NG_MM_S,ES_OI,ES_DEALER_L,ES_DEALER_S,ES_ASSET_L,ES_ASSET_S,ES_HEDGE_L,ES_HEDGE_S,NQ_OI,NQ_DEALER_L,NQ_DEALER_S,NQ_ASSET_L,NQ_ASSET_S,NQ_HEDGE_L,NQ_HEDGE_S,RTY_OI,RTY_DEALER_L,RTY_DEALER_S,RTY_ASSET_L,RTY_ASSET_S,RTY_HEDGE_L,RTY_HEDGE_S,ZQ_OI,ZQ_DEALER_L,ZQ_DEALER_S,ZQ_ASSET_L,ZQ_ASSET_S,ZQ_HEDGE_L,ZQ_HEDGE_S,VX_OI,VX_DEALER_L,VX_DEALER_S,VX_ASSET_L,VX_ASSET_S,VX_HEDGE_L,VX_HEDGE_S,ZF_OI,ZF_DEALER_L,ZF_DEALER_S,ZF_ASSET_L,ZF_ASSET_S,ZF_HEDGE_L,ZF_HEDGE_S,ZN_OI,ZN_DEALER_L,ZN_DEALER_S,ZN_ASSET_L,ZN_ASSET_S,ZN_HEDGE_L,ZN_HEDGE_S,ZB_OI,ZB_DEALER_L,ZB_DEALER_S,ZB_ASSET_L,ZB_ASSET_S,ZB_HEDGE_L,ZB_HEDGE_S,EUR_OI,EUR_DEALER_L,EUR_DEALER_S,EUR_ASSET_L,EUR_ASSET_S,EUR_HEDGE_L,EUR_HEDGE_S,JPY_OI,JPY_DEALER_L,JPY_DEALER_S,JPY_ASSET_L,JPY_ASSET_S,JPY_HEDGE_L,JPY_HEDGE_S,BTC_OI,BTC_DEALER_L,BTC_DEALER_S,BTC_ASSET_L,BTC_ASSET_S,BTC_HEDGE_L,BTC_HEDGE_S,DXY_OI,DXY_DEALER_L,DXY_DEALER_S,DXY_ASSET_L,DXY_ASSET_S,DXY_HEDGE_L,DXY_HEDGE_S
2024-01-02,500364,13674,55375,76117,269894,154384,45235,134725,4483,42194,30612,43448,38424,22367,190752,17545,57597,42626,14212,54649,45960,1586914,467851,328570,57346,378831,199139,132576,382555,55119,34658,40400,270651,638,0,2221215.0,256034.0,848860.0,1218405.0,263482.0,148510.0,538311.0,272832.0,48210.0,106212.0,115669.0,26698.0,46998.0,81924.0,516339.0,83735.0,139184.0,244382.0,160911.0,95876.0,135540.0,1484841.0,399877.0,136291.0,31088.0,21188.0,224772.0,489204.0,335960.0,52902.0,35967.0,63553.0,75096.0,65384.0,75478.0,5797316.0,111508.0,696083.0,3020163.0,1040674.0,844074.0,2825109.0,4620698.0,169610.0,330098.0,2421790.0,1079503.0,293812.0,1831940.0,1427734.0,33824.0,198221.0,822173.0,287401.0,78259.0,501534.0,718885.0,18714.0,456316.0,460498.0,92299.0,86037.0,73326.0,184042.0,31560.0,7092.0,64625.0,42073.0,28836.0,87631.0,23579.0,882.0,5867.0,12724.0,0.0,3317.0,13616.0,23916.0,0.0,4089.0,4551.0,2448.0,13813.0,10264.0
2024-01-09,489849,11949,56950,78213,250913,134333,45874,131992,4454,41495,31530,38244,32392,24044,206716,30374,56720,43049,7674,44702,62874,1598167,485089,353270,56199,372645,201782,110826,382360,53991,34658,40828,269982,638,0,2209328.0,213291.0,897201.0,1194090.0,266029.0,157671.0,470186.0,277732.0,48814.0,102635.0,114263.0,26154.0,51636.0,87809.0,499063.0,84247.0,132570.0,220843.0,161267.0,92776.0,122385.0,1626636.0,414838.0,195203.0,13427.0,26374.0,285736.0,466483.0,355172.0,52532.0,36163.0,69188.0,68180.0,61143.0,79025.0,5798901.0,99090.0,744192.0,2988941.0,1058845.0,912489.0,2787345.0,4652295.0,151622.0,315591.0,2423409.0,1109593.0,339062.0,1846769.0,1452040.0,37331.0,198205.0,815600.0,287952.0,79195.0,512545.0,714079.0,21104.0,459402.0,460848.0,95296.0,80190.0,64329.0,200299.0,38794.0,10109.0,65746.0,59957.0,32930.0,78059.0,26846.0,906.0,6261.0,14339.0,0.0,3579.0,14998.0,23878.0,0.0,4069.0,5780.0,2205.0,11696.0,9756.0
2024-01-16,489334,12864,53418,75791,242657,130931,47702,131956,3996,41203,29225,35777,31698,25475,219315,41761,58746,45403,5567,43330,70488,1610493,502525,357612,53494,377034,196664,124191,390991,57547,36954,40828,273667,638,0,2217057.0,218844.0,855548.0,1189628.0,262325.0,152279.0,450958.0,273460.0,47900.0,98079.0,112243.0,26608.0,55243.0,89270.0,490097.0,85607.0,128561.0,206779.0,164357.0,109629.0,116956.0,1811265.0,409247.0,191469.0,27302.0,33091.0,347040.0,516466.0,359265.0,57019.0,39102.0,67134.0,68438.0,64818.0,79404.0,5913271.0,103345.0,774673.0,3084106.0,1116865.0,940081.0,2826387.0,4744714.0,169000.0,324760.0,2534390.0,1145844.0,346550.0,1923486.0,1442368.0,36228.0,194426.0,813611.0,298885.0,79984.0,503868.0,733091.0,20988.0,465014.0,479464.0,97950.0,80292.0,68347.0,213309.0,47226.0,11672.0,66178.0,73638.0,35551.0,71734.0,23286.0,1921.0,5039.0,12824.0,15.0,3578.0,13413.0,23501.0,64.0,4035.0,6752.0,2498.0,9504.0,10000.0
2024-01-23,465872,13724,52673,78535,231679,111298,50265,138617,5416,38275,32519,33731,29434,32088,233110,44371,57517,46296,5455,46280,78987,1649542,524758,390379,46341,383188,211002,89252,401989,57547,36954,40828,284665,638,0,2271312.0,248373.0,837700.0,1190608.0,278354.0,178471.0,571094.0,289392.0,53483.0,115185.0,117894.0,23690.0,57307.0,93684.0,504119.0,88654.0,128426.0,207434.0,160288.0,116417.0,126430.0,1891792.0,399279.0,196565.0,26534.0,41919.0,364814.0,459967.0,340313.0,47861.0,22719.0,59957.0,72380.0,61396.0,71155.0,5998809.0,153499.0,809945.0,3151214.0,1195312.0,917626.0,2834849.0,4644740.0,145612.0,372331.0,2491161.0,1087018.0,310214.0,1887752.0,1443490.0,33192.0,202500.0,812964.0,297262.0,79740.0,490110.0,725423.0,20470.0,448644.0,476138.0,98368.0,75337.0,71769.0,243032.0,66066.0,12286.0,65726.0,94400.0,46599.0,75099.0,22815.0,1588.0,4017.0,12427.0,42.0,2972.0,11328.0,24663.0,0.0,3985.0,10175.0,2284.0,6690.0,11638.0
2024-01-30,430328,15272,49631,77882,214041,108093,52069,136544,4103,40136,33364,35109,32840,28509,229699,35413,64279,44220,8083,54098,58919,1747660,540301,413885,48063,393554,213400,75885,386998,54584,35327,38504,271025,638,0,2308955.0,260951.0,870023.0,1210061.0,240569.0,175813.0,605349.0,294510.0,51367.0,127131.0,122529.0,25136.0,60992.0,87647.0,510247.0,92876.0,139243.0,209966.0,166472.0,104388.0,121521.0,2025249.0,469844.0,205240.0,26958.0,25935.0,353055.0,522708.0,347797.0,48726.0,26529.0,64137.0,70297.0,61867.0,80436.0,5937929.0,164808.0,756630.0,3100514.0,1226426.0,835150.0,2752439.0,4733002.0,164579.0,320078.0,2501712.0,1071223.0,306284.0,1983155.0,1426560.0,37592.0,197220.0,785997.0,282071.0,77948.0,490976.0,727210.0,22769.0,438343.0,470145.0,112148.0,79542.0,68993.0,242029.0,71599.0,11661.0,66084.0,100792.0,35268.0,74782.0,20679.0,1575.0,4784.0,12793.0,0.0,2642.0,12123.0,25739.0,168.0,3602.0,11022.0,2992.0,7138.0,12958.0
2024-02-06,419121,14285,50903,77734,221357,114316,46247,147333,6697,39360,33825,34645,32101,36700,245784,34349,61265,45534,7730,50487,72604,1808220,568604,427102,52615,383300,167934,90861,387181,54584,35327,38504,271216,638,0,2297385.0,288314.0,858314.0,1179498.0,263480.0,164837.0,575928.0,285062.0,47235.0,118545.0,120557.0,24425.0,56079.0,89201.0,479790.0,93849.0,133985.0,189872.0,152556.0,91768.0,109829.0,1808611.0,461828.0,232287.0,10092.0,24765.0,328087.0,449422.0,361732.0,52701.0,33438.0,59482.0,70208.0,75922.0,85791.0,5833253.0,160464.0,639194.0,3064411.0,1283694.0,769622.0,2715976.0,4707907.0,138076.0,347409.0,2442677.0,1057726.0,289952.0,1885943.0,1433426.0,37124.0,184666.0,789954.0,297970.0,71150.0,496949.0,731991.0,25767.0,401825.0,466851.0,131883.0,80024.0,85356.0,259542.0,81131.0,15072.0,67566.0,109012.0,40268.0,80658.0,20897.0,1675.0,4957.0,12290.0,0.0,2938.0,12252.0,29202.0,302.0,3876.0,11545.0,2795.0,10062.0,15563.0
2024-02-13,420812,15888,48131,78854,199591,100642,66466,152544,8067,39577,35052,33230,33004,41987,257761,47634,57264,46061,6005,52279,96207,1715857,502005,354226,44916,384197,180235,80047,389769,55980,35327,38504,271300,638,0,2338964.0,298695.0,870703.0,1181559.0,243719.0,178596.0,558063.0,295946.0,47737.0,121608.0,121232.0,21449.0,61123.0,98093.0,506742.0,97852.0,140575.0,201696.0,145768.0,86893.0,117182.0,1937647.0,482491.0,243644.0,9790.0,30637.0,319114.0,467966.0,362470.0,58696.0,23381.0,58205.0,63744.0,66147.0,87932.0,5900715.0,161777.0,628519.0,3053198.0,1369820.0,799166.0,2677552.0,4735241.0,136252.0,390626.0,2427656.0,1128554.0,306583.0,1799733.0,1434869.0,32685.0,182554.0,774887.0,314111.0,85960.0,478932.0,740105.0,30023.0,392521.0,464667.0,136045.0,88270.0,94055.0,304592.0,120278.0,17048.0,68114.0,122609.0,42980.0,101349.0,24769.0,1923.0,5462.0,13220.0,0.0,3935.0,14059.0,32227.0,0.0,3602.0,12859.0,2474.0,11792.0,19119.0
2024-02-20,407063,10614,49065,77980,198940,98840,48917,146584,6607,42883,33267,34936,36252,31327,229777,38874,60100,44483,7049,63104,74057,1662234,493605,363524,43443,390998,193300,69904,391941,58312,35327,38552,271348,638,0,2322953.0,295614.0,853963.0,1177894.0,232595.0,150382.0,567646.0,287130.0,45838.0,112052.0,117737.0,22345.0,58626.0,93252.0,503407.0,93234.0,146356.0,208209.0,136713.0,78993.0,114767.0,1962721.0,465877.0,274718.0,17852.0,27509.0,382122.0,501777.0,341280.0,47498.0,20339.0,61157.0,64304.0,57283.0,76081.0,6000253.0,150891.0,666234.0,3045553.0,1389819.0,811957.0,2628068.0,4819493.0,117644.0,422432.0,2393338.0,1095130.0,314567.0,1753759.0,1417135.0,30207.0,169206.0,762436.0,316652.0,87031.0,466554.0,722299.0,31638.0,387684.0,444982.0,142138.0,87583.0,77256.0,305438.0,131315.0,16133.0,60681.0,125848.0,37801.0,97272.0,25530.0,1941.0,5606.0,13724.0,34.0,4400.0,14677.0,29958.0,115.0,3602.0,13970.0,1642.0,8688.0,18689.0
2024-02-27,411195,11378,51050,78743,197423,103885,47732,144382,8336,42541,36186,34429,33292,37375,189805,23953,56233,41435,8875,54512,49466,1658921,452435,355547,43379,388521,217215,50677,397964,58312,35327,38854,276059,638,0,2344340.0,267234.0,841648.0,1174746.0,234504.0,167174.0,601419.0,288075.0,45535.0,103597.0,115900.0,22499.0,58410.0,106124.0,515015.0,107701.0,143977.0,209511.0,135462.0,91193.0,113170.0,2031511.0,501050.0,248465.0,15443.0,28313.0,353638.0,563669.0,361331.0,54237.0,23498.0,57380.0,66153.0,59542.0,80271.0,6059054.0,168591.0,656818.0,2909458.0,1202288.0,774074.0,2717610.0,4532179.0,100103.0,384227.0,2288270.0,1087416.0,286044.0,1639888.0,1534097.0,30739.0,197855.0,761811.0,325634.0,119344.0,458292.0,715545.0,20353.0,384434.0,442988.0,134256.0,85862.0,79487.0,309633.0,135967.0,18033.0,64380.0,119344.0,30322.0,109695.0,25229.0,1956.0,5454.0,14065.0,311.0,4141.0,15037.0,29549.0,197.0,3602.0,13472.0,1874.0,8477.0,18507.0
2024-03-05,471616,11650,60537,77009,234914,145106,35343,141026,5570,41326,33308,42577,40556,25744,198561,25549,55033,40929,8737,51724,60287,1642519,419049,347593,45343,388454,210194,35609,378896,54292,32036,37018,262796,638,0,2377697.0,289467.0,828615.0,1156741.0,238575.0,182711.0,589572.0,289047.0,54594.0,92397.0,107847.0,25540.0,53263.0,109546.0,517143.0,110677.0,143998.0,211028.0,139893.0,89441.0,114766.0,1625095.0,383920.0,161747.0,34669.0,27191.0,148106.0,362017.0,364498.0,51260.0,22441.0,59037.0,66476.0,63691.0,81909.0,5815202.0,174950.0,604410.0,2906023.0,1252929.0,848689.0,2784427.0,4277776.0,118241.0,349641.0,2257663.0,1033609.0,265657.0,1508932.0,1492384.0,34625.0,174021.0,769706.0,330931.0,116113.0,484318.0,707108.0,22907.0,385252.0,423822.0,124185.0,88588.0,79149.0,314586.0,122721.0,27450.0,65860.0,115086.0,30933.0,104941.0,27747.0,2501.0,5169.0,15924.0,393.0,4650.0,17059.0,28450.0,180.0,3602.0,12644.0,2089.0,7819.0,16733.0
