expiration,strike,right,bid,ask,last,volume_x,delta,gamma,theta,vega,iv,openInterest,volume_y,impliedVolatility,gex
20260710,255.0,C,26.8,28.85,,0.0,0.9489306752702276,0.005929812322278541,-0.10408542608342586,0.05894524957013303,0.3595305617316004,0,,,0.0
20260710,255.0,P,0.36,0.44,0.38,35.0,-0.051231707057433774,0.005944096932429748,-0.07708703174315357,0.05896354365319112,0.3595305617316004,0,,,0.0
20260710,260.0,C,22.3,23.8,,0.0,0.9227649756989333,0.008829109198657925,-0.13003903545175888,0.07905163619273736,0.33313934151002783,0,,,0.0
20260710,260.0,P,0.54,0.61,0.61,160.0,-0.07474070445321232,0.008618454435508996,-0.09489630700394636,0.07909299473959897,0.33313934151002783,0,,,0.0
20260710,262.5,C,20.0,21.45,19.8,5.0,0.9044470205282196,0.010741072660674136,-0.14152929798412117,0.07954642610021878,0.3208254068884524,0,,,0.0
20260710,262.5,P,0.67,0.74,0.71,23.0,-0.09582709457950819,0.010771515082939945,-0.1136603233800979,0.07969055941376213,0.3208254068884524,0,,,0.0
20260710,265.0,C,17.75,19.05,23.2,7.0,0.8835059406385176,0.012835404908723987,-0.1685634422657678,0.10191678736724796,0.30942887824770127,0,,,0.0
20260710,265.0,P,0.84,0.91,0.97,152.0,-0.11558617751336876,0.012775996054376836,-0.13908601685264277,0.10197202787815751,0.30942887824770127,0,,,0.0
20260710,267.5,C,15.6,16.75,,0.0,0.8542870747420542,0.015568154487102663,-0.16411571546837145,0.12479504591222046,0.29917836346173377,0,,,0.0
20260710,267.5,P,1.08,1.15,1.26,47.0,-0.14621563861489906,0.015626554856508365,-0.1363920524204012,0.12506255136618094,0.29917836346173377,0,,,0.0
20260710,270.0,C,13.55,14.45,,9.0,0.8210861405293595,0.018246850538117993,-0.1905916138919661,0.1263820253010408,0.29025334518061924,0,,,0.0
20260710,270.0,P,1.41,1.52,1.45,590.0,-0.17951674661321054,0.018319227719458327,-0.16225011076149798,0.12655643057320298,0.29025334518061924,0,,,0.0
20260710,272.5,C,11.5,12.35,11.2,47.0,0.7752018762947639,0.02146574484917721,-0.21497658966635846,0.14953982743517713,0.2828017706654101,0,,,0.0
20260710,272.5,P,1.79,2.1,2.2,417.0,-0.22562788107688386,0.021563371912380332,-0.18652334940305804,0.149686205811983,0.2828017706654101,0,,,0.0
20260710,275.0,C,9.65,10.3,9.85,56.0,0.71525137358023,0.024839948410803017,-0.23524222407348105,0.17004488183387423,0.27693716054037554,0,,,0.0
20260710,275.0,P,2.41,2.53,2.5,3878.0,-0.287305861348728,0.025033839221820113,-0.20676041862774053,0.17017586442673371,0.27693716054037554,0,,,0.0
20260710,277.5,C,8.0,8.45,7.5,30.0,0.6526148022007099,0.0274746924239558,-0.24986137131755548,0.18582762164340139,0.27269933567174254,0,,,0.0
