expiration,strike,right,gamma,iv,openInterest,volume,impliedVolatility,gex
20260731,270.0,C,0.0,1.0000000000000003e-05,12,1,1.0000000000000003e-05,0.0
20260731,280.0,C,0.0,1.0000000000000003e-05,26,2,1.0000000000000003e-05,0.0
20260731,290.0,C,0.0,1.0000000000000003e-05,25,2,1.0000000000000003e-05,0.0
20260731,300.0,C,0.0,1.0000000000000003e-05,189,10,1.0000000000000003e-05,0.0
20260731,305.0,C,0.0,1.0000000000000003e-05,69,10,1.0000000000000003e-05,0.0
20260731,310.0,C,0.0,1.0000000000000003e-05,106,11,1.0000000000000003e-05,0.0
20260731,315.0,C,0.0,1.0000000000000003e-05,73,2,1.0000000000000003e-05,0.0
20260731,320.0,C,0.0,1.0000000000000003e-05,91,5,1.0000000000000003e-05,0.0
20260731,322.5,C,0.0,1.0000000000000003e-05,3,8,1.0000000000000003e-05,0.0
20260731,325.0,C,0.0,1.0000000000000003e-05,59,7,1.0000000000000003e-05,0.0
20260731,327.5,C,0.0,1.0000000000000003e-05,3,6,1.0000000000000003e-05,0.0
20260731,330.0,C,0.0,1.0000000000000003e-05,146,2,1.0000000000000003e-05,0.0
20260731,332.5,C,0.0,1.0000000000000003e-05,68,8,1.0000000000000003e-05,0.0
20260731,335.0,C,0.0,1.0000000000000003e-05,90,8,1.0000000000000003e-05,0.0
20260731,337.5,C,0.0,1.0000000000000003e-05,26,18,1.0000000000000003e-05,0.0
20260731,340.0,C,0.0,1.0000000000000003e-05,274,211,1.0000000000000003e-05,0.0
20260731,342.5,C,0.0,1.0000000000000003e-05,13,11,1.0000000000000003e-05,0.0
20260731,345.0,C,0.0,1.0000000000000003e-05,117,5,1.0000000000000003e-05,0.0
20260731,347.5,C,0.0,1.0000000000000003e-05,2,1,1.0000000000000003e-05,0.0
20260731,350.0,C,0.0,1.0000000000000003e-05,695,56,1.0000000000000003e-05,0.0
20260731,352.5,C,0.0,1.0000000000000003e-05,162,38,1.0000000000000003e-05,0.0
20260731,355.0,C,0.0,1.0000000000000003e-05,411,27,1.0000000000000003e-05,0.0
20260731,357.5,C,0.0,1.0000000000000003e-05,90,21,1.0000000000000003e-05,0.0
20260731,360.0,C,0.0,1.0000000000000003e-05,657,67,1.0000000000000003e-05,0.0
20260731,362.5,C,0.0,1.0000000000000003e-05,42,4,1.0000000000000003e-05,0.0
20260731,365.0,C,0.0,1.0000000000000003e-05,339,63,1.0000000000000003e-05,0.0
20260731,367.5,C,0.0,1.0000000000000003e-05,133,7,1.0000000000000003e-05,0.0
20260731,370.0,C,0.0,1.0000000000000003e-05,1959,180,1.0000000000000003e-05,0.0
20260731,372.5,C,0.0,1.0000000000000003e-05,140,24,1.0000000000000003e-05,0.0
20260731,375.0,C,0.0,1.0000000000000003e-05,595,471,1.0000000000000003e-05,0.0
20260731,377.5,C,0.0,1.0000000000000003e-05,232,414,1.0000000000000003e-05,0.0
20260731,380.0,C,0.0,1.0000000000000003e-05,1625,1037,1.0000000000000003e-05,0.0
20260731,382.5,C,0.0,1.0000000000000003e-05,1125,216,1.0000000000000003e-05,0.0
20260731,385.0,C,0.0,1.0000000000000003e-05,1533,549,1.0000000000000003e-05,0.0
20260731,387.5,C,0.0,1.0000000000000003e-05,876,296,1.0000000000000003e-05,0.0
20260731,390.0,C,0.0,1.0000000000000003e-05,5727,2101,1.0000000000000003e-05,0.0
20260731,392.5,C,0.0,1.0000000000000003e-05,3037,978,1.0000000000000003e-05,0.0
20260731,395.0,C,0.0,1.0000000000000003e-05,3661,2459,1.0000000000000003e-05,0.0
20260731,397.5,C,0.0,1.0000000000000003e-05,1008,428,1.0000000000000003e-05,0.0
20260731,400.0,C,1.05545904690218e-06,0.007822421875,8614,4439,0.007822421875,362.1824634103707
20260731,402.5,C,0.0007046352601531426,0.0312596875,1974,382,0.0312596875,55410.57845776336
20260731,405.0,C,2.9190737210062333e-08,0.0312596875,3703,2296,0.0312596875,4.306058635462741
20260731,407.5,C,7.526870145055457e-05,0.062509375,1434,1034,0.062509375,4299.765185324831
20260731,410.0,C,5.984338045660199e-07,0.062509375,5489,4668,0.062509375,130.85505760714128
20260731,412.5,C,1.544976764791087e-09,0.062509375,520,563,0.062509375,0.032004161998553556
20260731,415.0,C,1.3220713351745429e-12,0.062509375,5824,3510,0.062509375,0.0003067308226679156
20260731,417.5,C,1.9370277376166614e-05,0.12500875,994,276,0.12500875,767.0141715646986
20260731,420.0,C,1.9397308311143414e-06,0.12500875,8791,5632,0.12500875,679.2989023946443
20260731,422.5,C,1.495657191286606e-07,0.12500875,1012,241,0.12500875,6.029672719496719
20260731,425.0,C,8.921742216617125e-09,0.12500875,6796,1451,0.12500875,2.4153729867770797
20260731,427.5,C,4.136111029981893e-10,0.12500875,841,488,0.12500875,0.0138570041908637
20260731,430.0,C,1.4969749716999972e-11,0.12500875,15174,3836,0.12500875,0.009048899880812531
20260731,432.5,C,4.2484430966961347e-13,0.12500875,852,405,0.12500875,1.4419512058031089e-05
20260731,435.0,C,9.495335843194032e-15,0.12500875,14605,1250,0.12500875,5.524500985536532e-06
20260731,437.5,C,9.545575276877434e-06,0.2500075,363,322,0.2500075,138.03521497095815
20260731,440.0,C,3.292384966142206e-06,0.2500075,5371,1727,0.2500075,704.4447330137566
20260731,442.5,C,1.0730599134365808e-06,0.2500075,616,649,0.2500075,26.332121319323072
20260731,445.0,C,3.3080511092656376e-07,0.2500075,4192,890,0.2500075,55.242668469344615
20260731,447.5,C,9.655536581098205e-08,0.2500075,1451,1187,0.2500075,5.58116664469925
20260731,450.0,C,2.670846668874125e-08,0.2500075,6747,4427,0.2500075,7.1786177829324975
20260731,452.5,C,7.007994111205793e-09,0.2500075,3226,388,0.2500075,0.9006151645301269
20260731,455.0,C,1.7458476616238369e-09,0.2500075,1164,503,0.2500075,0.08095440588879378
20260731,457.5,C,4.13308520459481e-10,0.2500075,485,434,0.2500075,0.007985410768756319
20260731,460.0,C,9.306308661853326e-11,0.2500075,2346,1090,0.2500075,0.008697343533876817
20260731,462.5,C,1.9947461916940053e-11,0.2500075,241,171,0.2500075,0.00019150752836899162
20260731,465.0,C,4.073516417930359e-12,0.2500075,1392,477,0.2500075,0.0002258862888643364
20260731,467.5,C,7.931953742746335e-13,0.2500075,126,37,0.2500075,3.981363970838509e-06
20260731,470.0,C,1.4739062945205276e-13,0.2500075,4716,2638,0.2500075,2.7690119757943214e-05
20260731,472.5,C,2.6156627809694842e-14,0.2500075,376,332,0.2500075,3.917876678021949e-07
20260731,475.0,C,4.436619809075651e-15,0.2500075,2009,992,0.2500075,3.5506945598943575e-07
20260731,477.5,C,7.197986842848561e-16,0.2500075,94,10,0.2500075,2.695380400857015e-09
20260731,480.0,C,1.1178450130970318e-16,0.2500075,2909,1502,0.2500075,1.2954077142647706e-08
20260731,482.5,C,3.303987846727274e-06,0.500005,86,16,0.500005,11.319260542145635
20260731,485.0,C,2.034259541256248e-06,0.500005,995,717,0.500005,80.63258933752958
20260731,487.5,C,1.2395267515792423e-06,0.500005,74,29,0.500005,3.6540020609320245
20260731,490.0,C,7.475872244852107e-07,0.500005,865,230,0.500005,25.76078794349062
20260731,492.5,C,4.463727073089497e-07,0.500005,32,23,0.500005,0.569021629401668
20260731,495.0,C,2.6389742943715494e-07,0.500005,1016,189,0.500005,10.680953685101864
20260731,497.5,C,1.5450589645280482e-07,0.500005,534,53,0.500005,3.286756112346102
20260731,500.0,C,8.959764563642898e-08,0.500005,2527,819,0.500005,9.019511233363
20260731,502.5,C,5.147042391638353e-08,0.500005,163,27,0.500005,0.334215443209191
20260731,505.0,C,2.929511400144253e-08,0.500005,389,41,0.500005,0.45396874954057276
20260731,507.5,C,1.6522447729493134e-08,0.500005,112,2,0.500005,0.07371800495816404
20260731,510.0,C,9.235481826148547e-09,0.500005,509,29,0.500005,0.18726581473890574
20260731,515.0,C,2.8105986501763998e-09,0.500005,285,72,0.500005,0.031909856959162666
20260731,520.0,C,8.266155091755736e-10,0.500005,591,51,0.500005,0.019461315543102337
20260731,525.0,C,2.35204946932574e-10,0.500005,492,26,0.500005,0.004609912886283279
20260731,530.0,C,6.481615733496638e-11,0.500005,643,40,0.500005,0.001660257370926642
20260731,535.0,C,1.7316236400776406e-11,0.500005,149,4,0.500005,0.00010278291693590219
20260731,540.0,C,4.489324878708913e-12,0.500005,140,72,0.500005,2.5037458060521382e-05
20260731,545.0,C,1.1305112012422816e-12,0.500005,278,3,0.500005,1.2519899125267978e-05
20260731,550.0,C,2.767768370268366e-13,0.500005,843,196,0.500005,9.294766426854732e-06
20260731,555.0,C,6.593662473696867e-14,0.500005,318,137,0.500005,8.352856032478796e-07
20260731,560.0,C,1.5297967659232793e-14,0.500005,2410,1449,0.500005,1.4686961116594298e-06
20260731,570.0,C,7.63110636064828e-16,0.500005,429,124,0.500005,1.3041452470491284e-08
20260731,580.0,C,3.456946048013283e-17,0.500005,959,446,0.500005,1.3206641012326124e-09
20260731,270.0,P,-1.7616276197427657e-18,0.500005,1397,77,0.500005,-9.803737650409986e-11
