expiration,strike,right,bid,ask,last,volume_x,delta,gamma,theta,vega,iv,openInterest,volume_y,impliedVolatility,gex
20260807,350.0,C,44.45,47.15,47.75,1.0,0.8896606890283115,0.004713097957843062,-0.41343562676681245,0.1336816193649426,0.6062878178289905,282,4.0,0.934448897705078,52632.107514825046
20260807,350.0,P,2.24,2.43,2.3,62.0,-0.11328916040095685,0.004815267931470958,-0.3922750103859509,0.13362721913121334,0.6062878178289905,1541,32.0,0.5471236694335939,293844.9841429112
20260807,352.5,C,42.15,45.0,,0.0,0.8781419879554986,0.005052280825641048,-0.4428763909701985,0.1343353258673332,0.6715962411966853,0,,,0.0
20260807,352.5,P,2.4,2.77,,0.0,-0.12454544456718268,0.005155423935701538,-0.4005226645790101,0.13428329294292007,0.6048936197549402,0,,,0.0
20260807,355.0,C,40.2,43.1,,0.0,0.8618426944195501,0.005563551297047172,-0.4421192473588249,0.1348068632497501,0.6036402587647758,144,9.0,0.8612074426269531,31725.594916281796
20260807,355.0,P,2.8,3.25,2.68,22.0,-0.14621429989430643,0.005806046759296108,-0.423586402033417,0.16458381938137734,0.6038890264240364,973,12.0,0.5387009020996094,223711.62647308648
20260807,357.5,C,38.15,40.85,,0.0,0.84432658754632,0.006019961507173622,-0.5338098769357629,0.16545343998240014,0.6507927358365371,0,,,0.0
20260807,357.5,P,3.3,3.7,3.45,1.0,-0.1559094950040917,0.006030915073475795,-0.4922968953564131,0.16549419743535054,0.5971711001794039,0,,,0.0
20260807,360.0,C,36.15,38.8,39.58,1.0,0.8334786816504752,0.0062764984373600095,-0.5354470157831912,0.16633797354699453,0.6559238904049722,295,1.0,0.8040791076660156,73322.05474523963
20260807,360.0,P,3.75,4.15,3.5,93.0,-0.17185474981007906,0.0064390262753548306,-0.49223841085185516,0.16623999763285857,0.6015376724373592,774,75.0,0.5313767565917968,197358.73095013568
20260807,362.5,C,33.95,36.85,,0.0,0.8103641739478349,0.006871340753014788,-0.535299313217692,0.1668680034464387,0.6408849785785652,0,,,0.0
20260807,362.5,P,4.25,4.65,,0.0,-0.1848521520925961,0.00674341046471581,-0.4942197483608588,0.16721026237493852,0.5946676762460311,0,,,0.0
20260807,365.0,C,32.45,34.6,,0.0,0.7910244291307325,0.007274565300720411,-0.6236010188211907,0.1967153433884974,0.5999457583821043,615,4.0,0.7719749365234375,177164.7633337449
20260807,365.0,P,4.8,5.25,4.74,83.0,-0.20971237696843964,0.0073073342559852785,-0.5808099517185905,0.19673436845688386,0.5999457583821043,1577,78.0,0.5311326184082032,456337.17841887585
20260807,367.5,C,30.65,32.8,,0.0,0.7735495116693268,0.007624745359171338,-0.6244311821392685,0.19758472252075876,0.5993315008759459,4,1.0,0.8167132586669921,1207.75966489274
20260807,370.0,C,28.65,31.05,30.86,6.0,0.7572159496931223,0.007931126007830218,-0.6266171886524745,0.19853199848464698,0.6356486701323051,472,1.0,0.7376735217285155,148242.26243755617
20260807,370.0,P,6.05,6.5,6.35,247.0,-0.25460434224322953,0.008203327034751195,-0.5918013310136123,0.22358303508610256,0.5928182351106017,1925,242.0,0.5180101910400392,625339.6198590836
20260807,372.5,C,26.9,29.15,,0.0,0.72320198034791,0.008516048060344538,-0.7020355268957594,0.22446622874167588,0.5984482864323799,28,4.0,0.8009053112792968,9442.594089310023
20260807,372.5,P,6.75,7.25,6.0,1.0,-0.27728205061995015,0.008535861412250908,-0.6594583679290755,0.22452968473160606,0.5984482864323799,59,28.0,0.5105029418945313,19943.186603583017
20260807,375.0,C,25.55,27.55,28.4,4.0,0.7055338957446246,0.008761642750489464,-0.7042663949626977,0.2255174999509144,0.5981724718817559,363,1.0,0.7678856219482424,125946.86220973595
20260807,375.0,P,7.55,8.2,7.85,12.0,-0.29497953858715426,0.008782729435456535,-0.6615541409289794,0.22561579136030652,0.5981724718817559,478,10.0,0.5061694891357422,166246.52893786968
20260807,377.5,C,24.5,25.4,,0.0,0.6788001489043382,0.009159269220087344,-0.7054911376632766,0.24345812239897313,0.59800274382078,17,11.0,0.7390162817382812,6166.0200389628
20260807,377.5,P,8.35,8.9,,0.0,-0.32181653183289854,0.009183186394293138,-0.6640145558243447,0.24407506900278442,0.59800274382078,43,49.0,0.5107470800781251,15637.129792202355
20260807,380.0,C,22.9,23.9,,1.0,0.657990383034775,0.009345182226677564,-0.7642928930447326,0.24630207081472832,0.597935813050975,486,215.0,0.6975127905273439,179853.63906174572
20260807,380.0,P,9.1,9.75,9.5,42.0,-0.34266315601549485,0.009370076873322041,-0.7213259752328671,0.2463531276026849,0.597935813050975,2925,6.0,0.5131884619140624,1085336.004236892
20260807,382.5,C,21.4,22.25,21.35,4.0,0.634139496201246,0.009563975345527996,-0.7664231818849458,0.2473183310110798,0.5979683829959915,135,2.0,0.6849396740722657,51129.012197192664
20260807,382.5,P,10.2,10.8,,0.0,-0.3665608192910855,0.009590753726947338,-0.7233474259279706,0.24739429794598777,0.5979683829959915,94,16.0,0.510869149169922,35700.62167318877
20260807,385.0,C,19.85,20.8,22.0,54.0,0.6045804401743006,0.009848809157683727,-0.7679759625607119,0.25108741537792056,0.5980971242337593,549,43.0,0.7082548706054688,214117.05061170732
20260807,385.0,P,11.2,11.85,9.8,115.0,-0.387457802826307,0.009774400504389068,-0.7260451458351369,0.24855655280937938,0.5980971242337593,407,46.0,0.508793974609375,157535.9678093395
20260807,387.5,C,18.6,19.35,20.51,11.0,0.5826610210752331,0.009932243119728556,-0.8010515536844487,0.2594362258738485,0.5983186645134867,296,9.0,0.6834138104248049,116421.78095221025
