expiration,strike,right,bid,ask,last,volume,delta,gamma,theta,vega,iv
20260807,402.5,C,6.75,7.7,,2.0,,,,,
20260807,402.5,P,25.0,27.8,,1.0,,,,,
20260807,405.0,C,6.05,6.55,7.0,17.0,,,,,
20260807,405.0,P,26.8,29.45,25.95,11.0,,,,,
20260807,407.5,C,5.4,5.9,6.33,40.0,,,,,
20260807,407.5,P,29.05,31.4,,0.0,,,,,
20260807,410.0,C,4.85,5.3,5.5,17.0,,,,,
20260807,410.0,P,31.25,33.35,28.47,18.0,,,,,
20260807,412.5,C,4.3,4.75,5.45,191.0,,,,,
20260807,412.5,P,32.35,35.75,33.0,9.0,,,,,
20260807,415.0,C,3.85,4.25,4.5,13.0,,,,,
20260807,415.0,P,34.4,37.5,35.8,6.0,,,,,
20260807,417.5,C,3.4,3.75,3.7,6.0,,,,,
20260807,417.5,P,36.5,39.7,,0.0,,,,,
20260807,420.0,C,3.0,3.35,4.15,40.0,,,,,
20260807,420.0,P,38.65,42.2,,3.0,,,,,
20260807,422.5,C,2.68,3.05,2.88,186.0,,,,,
20260807,422.5,P,40.95,43.95,,5.0,,,,,
20260807,425.0,C,2.39,2.61,2.55,25.0,,,,,
20260807,425.0,P,42.95,46.0,41.91,33.0,,,,,
20260807,427.5,C,2.08,2.56,,1.0,,,,,
20260807,427.5,P,45.2,48.6,,0.0,,,,,
20260814,340.0,C,46.05,49.3,,0.0,,,,,
20260814,340.0,P,4.05,4.45,4.1,75.0,,,,,
20260814,345.0,C,41.8,45.15,,0.0,,,,,
20260814,345.0,P,4.8,5.7,5.15,22.0,,,,,
20260814,350.0,C,38.4,41.2,,0.0,,,,,
20260814,350.0,P,5.8,6.5,5.3,5.0,,,,,
20260814,355.0,C,34.8,37.4,37.0,265.0,,,,,
20260814,355.0,P,6.65,7.75,,0.0,,,,,
20260814,360.0,C,30.95,33.75,,0.0,,,,,
20260814,360.0,P,8.2,9.15,7.25,3.0,,,,,
20260814,365.0,C,27.65,29.3,,0.0,,,,,
20260814,365.0,P,9.65,10.95,9.6,15.0,,,,,
20260814,370.0,C,24.6,26.9,,0.0,,,,,
20260814,370.0,P,11.6,12.65,11.75,35.0,,,,,
20260814,375.0,C,21.4,23.8,,0.0,,,,,
20260814,375.0,P,13.65,14.75,13.4,21.0,,,,,
20260814,380.0,C,18.75,20.4,,0.0,,,,,
20260814,380.0,P,15.95,17.0,15.64,14.0,,,,,
20260814,382.5,C,17.6,19.05,,0.0,,,,,
20260814,382.5,P,17.15,18.45,16.36,6.0,-0.47439935680020434,-0.008931851202320864,-0.5072247189064178,0.32964929058042713,0.5432738297656082
20260814,385.0,C,16.5,17.9,18.75,32.0,0.506693539235835,0.00889723497868206,-0.5487260969790988,0.3311371217602286,0.5414036747583226
20260814,385.0,P,18.45,19.7,17.72,5.0,-0.496536681834436,-0.008953604258244627,-0.5065899784158923,0.33095418319954106,0.5414036747583226
