date,open,high,low,close,volume
2016-07-01,4643.93,4880.17,4643.93,4862.57,0.0
2016-07-08,4837.06,4959.0,4786.01,4956.76,0.0
2016-07-15,4976.54,5045.18,4976.54,5029.59,0.0
2016-07-22,5034.99,5103.52,5028.24,5100.16,0.0
2016-07-29,5096.99,5175.81,5082.66,5162.13,0.0
2016-08-05,5167.42,5227.23,5109.8,5221.12,0.0
2016-08-12,5223.54,5238.54,5193.79,5232.9,0.0
2016-08-19,5242.18,5271.36,5197.23,5238.38,0.0
2016-08-26,5231.46,5275.74,5191.86,5218.91,0.0
2016-09-02,5223.8,5263.39,5189.36,5249.9,0.0
2016-09-09,5260.0,5287.61,5125.91,5125.91,0.0
2016-09-16,5098.03,5254.78,5097.8,5244.57,0.0
2016-09-23,5263.55,5342.88,5222.91,5305.74,0.0
2016-09-30,5275.73,5325.88,5251.32,5312.0,0.0
2016-10-07,5300.29,5330.81,5266.8,5292.4,0.0
2016-10-14,5318.46,5340.52,5169.76,5214.16,0.0
2016-10-21,5213.69,5264.27,5196.03,5257.4,0.0
2016-10-28,5290.31,5311.5,5178.76,5190.11,0.0
2016-11-04,5205.09,5206.7,5034.41,5046.37,0.0
2016-11-11,5128.99,5302.68,5122.77,5237.11,0.0
2016-11-18,5246.33,5346.8,5192.04,5321.52,0.0
2016-11-25,5336.78,5398.92,5334.16,5398.92,0.0
2016-12-02,5387.92,5403.86,5238.21,5255.65,0.0
2016-12-09,5283.58,5450.16,5269.57,5444.5,0.0
2016-12-16,5428.22,5486.75,5394.42,5437.16,0.0
2016-12-23,5441.2,5489.47,5432.77,5462.69,0.0
2016-12-30,5470.76,5512.37,5371.89,5383.11,0.0
2017-01-06,5425.62,5536.52,5397.99,5521.06,0.0
2017-01-13,5527.58,5584.26,5496.82,5574.11,0.0
2017-01-20,5555.16,5574.35,5527.22,5555.34,0.0
2017-01-27,5546.64,5669.61,5522.69,5660.78,0.0
2017-02-03,5635.86,5666.84,5576.09,5666.77,0.0
2017-02-10,5656.95,5743.43,5649.39,5734.13,0.0
2017-02-17,5753.19,5838.58,5748.74,5838.58,0.0
2017-02-24,5850.2,5867.89,5800.55,5845.31,0.0
2017-03-03,5835.04,5911.79,5817.22,5870.76,0.0
2017-03-10,5846.42,5872.6,5812.33,5861.73,0.0
2017-03-17,5863.48,5912.61,5831.88,5900.99,0.0
2017-03-24,5898.81,5928.06,5781.8,5828.74,0.0
2017-03-31,5776.33,5927.81,5769.39,5911.74,0.0
2017-04-07,5917.32,5936.39,5855.51,5877.81,0.0
2017-04-14,5883.43,5907.85,5805.15,5805.15,0.0
2017-04-21,5821.55,5926.23,5818.2,5910.52,0.0
2017-04-28,5979.96,6074.04,5970.25,6047.61,0.0
2017-05-05,6067.56,6102.72,6053.28,6100.76,0.0
2017-05-12,6100.66,6133.0,6075.68,6121.23,0.0
2017-05-19,6128.11,6170.16,5996.81,6083.7,0.0
2017-05-26,6098.25,6217.34,6097.24,6210.19,0.0
2017-06-02,6204.18,6308.76,6164.07,6305.8,0.0
2017-06-09,6305.47,6341.7,6137.68,6207.92,0.0
2017-06-16,6153.56,6237.53,6107.85,6151.76,0.0
2017-06-23,6196.85,6269.37,6186.94,6265.25,0.0
2017-06-30,6292.73,6303.45,6087.81,6140.42,0.0
2017-07-07,6173.29,6177.36,6081.96,6153.08,0.0
2017-07-14,6156.03,6321.76,6141.83,6312.47,0.0
2017-07-21,6320.35,6398.26,6291.07,6387.76,0.0
2017-07-28,6387.82,6460.84,6318.62,6374.68,0.0
2017-08-04,6394.69,6396.59,6313.43,6351.57,0.0
2017-08-11,6361.06,6423.35,6214.41,6256.56,0.0
2017-08-18,6306.11,6374.56,6193.38,6216.53,0.0
2017-08-25,6216.32,6308.72,6177.19,6265.65,0.0
2017-09-01,6286.01,6449.65,6228.73,6435.33,0.0
2017-09-08,6414.82,6426.51,6334.59,6360.19,0.0
2017-09-15,6411.18,6464.27,6410.71,6448.47,0.0
2017-09-22,6460.1,6477.77,6400.81,6426.92,0.0
2017-09-29,6403.11,6497.98,6343.96,6495.96,0.0
2017-10-06,6506.08,6590.18,6484.14,6590.18,0.0
2017-10-13,6597.37,6616.58,6561.78,6605.8,0.0
2017-10-20,6622.55,6640.03,6558.53,6629.06,0.0
2017-10-27,6641.57,6708.13,6517.93,6701.27,0.0
2017-11-03,6693.77,6765.14,6677.15,6764.44,0.0
2017-11-10,6763.3,6795.52,6687.28,6750.94,0.0
2017-11-17,6727.39,6806.67,6667.31,6782.79,0.0
2017-11-24,6789.28,6890.02,6779.49,6889.16,0.0
2017-12-01,6889.91,6914.19,6737.16,6847.59,0.0
2017-12-08,6897.13,6899.23,6734.13,6840.08,0.0
2017-12-15,6847.64,6945.82,6844.88,6936.59,0.0
2017-12-22,6980.4,7003.89,6935.42,6959.96,0.0
2017-12-29,6928.92,6955.38,6903.39,6903.39,0.0
2018-01-05,6937.65,7137.04,6924.08,7136.56,0.0
2018-01-12,7135.38,7265.26,7111.52,7261.06,0.0
2018-01-19,7307.19,7336.38,7205.93,7336.38,0.0
2018-01-26,7338.04,7505.77,7332.81,7505.77,0.0
2018-02-02,7484.47,7500.61,7238.18,7240.94,0.0
2018-02-09,7165.96,7277.36,6630.67,6874.49,0.0
2018-02-16,6936.68,7303.26,6879.69,7239.47,0.0
2018-02-23,7209.03,7338.64,7194.84,7337.39,0.0
2018-03-02,7373.3,7438.09,7084.83,7257.86,0.0
2018-03-09,7222.89,7560.81,7205.31,7560.81,0.0
2018-03-16,7581.04,7637.27,7463.19,7481.99,0.0
2018-03-23,7419.2,7421.23,6992.66,6992.66,0.0
2018-03-30,7125.2,7255.54,6901.07,7063.44,0.0
2018-04-06,7016.17,7112.38,6805.96,6915.11,0.0
2018-04-13,6971.45,7183.62,6944.96,7106.65,0.0
2018-04-20,7153.87,7319.57,7115.85,7146.13,0.0
2018-04-27,7173.99,7197.15,6926.97,7119.8,0.0
2018-05-04,7133.95,7228.26,6991.14,7209.62,0.0
2018-05-11,7241.82,7417.67,7224.7,7402.89,0.0
2018-05-18,7429.45,7458.42,7320.97,7354.34,0.0
2018-05-25,7406.33,7452.85,7334.62,7433.86,0.0
2018-06-01,7398.51,7557.38,7354.29,7554.33,0.0
2018-06-08,7570.08,7697.41,7561.2,7645.51,0.0
2018-06-15,7647.24,7768.6,7642.87,7746.38,0.0
2018-06-22,7692.96,7806.6,7635.73,7692.82,0.0
2018-06-29,7631.12,7639.73,7419.56,7510.31,0.0
2018-07-06,7451.9,7695.81,7443.1,7688.39,0.0
2018-07-13,7731.74,7843.52,7696.58,7825.98,0.0
2018-07-20,7831.74,7867.15,7749.6,7820.2,0.0
2018-07-27,7806.93,7933.31,7698.96,7737.42,0.0
2018-08-03,7735.27,7824.06,7604.24,7812.02,0.0
2018-08-10,7809.54,7923.35,7801.88,7839.11,0.0
2018-08-17,7848.0,7888.66,7732.69,7816.33,0.0
2018-08-24,7834.37,7949.71,7787.9,7945.98,0.0
2018-08-31,7989.64,8133.3,7976.6,8109.53,0.0
2018-09-07,8087.95,8104.07,7873.93,7902.54,0.0
2018-09-14,7939.57,8040.83,7880.92,8010.05,0.0
2018-09-21,7992.21,8057.26,7890.07,7986.95,0.0
2018-09-28,7939.38,8071.56,7912.47,8046.36,0.0
2018-10-05,8091.5,8107.38,7715.97,7788.44,0.0
2018-10-12,7747.1,7799.75,7274.04,7496.9,0.0
2018-10-19,7473.33,7670.49,7400.07,7449.03,0.0
2018-10-26,7486.74,7520.54,7057.0,7167.21,0.0
2018-11-02,7272.42,7466.53,6922.83,7356.99,0.0
2018-11-09,7344.08,7572.93,7255.88,7406.9,0.0
2018-11-16,7364.05,7371.09,7072.36,7247.88,0.0
2018-11-23,7217.24,7224.12,6830.76,6938.99,0.0
2018-11-30,7026.5,7330.53,7003.12,7330.53,0.0
2018-12-07,7486.13,7486.51,6945.27,6969.25,0.0
2018-12-14,6959.63,7197.29,6878.98,6910.66,0.0
2018-12-21,6886.46,6931.81,6304.63,6332.99,0.0
2018-12-28,6278.49,6684.18,6192.54,6584.52,0.0
2019-01-04,6649.52,6760.69,6457.13,6738.86,0.0
2019-01-11,6757.53,6991.37,6741.4,6971.48,0.0
2019-01-18,6908.03,7185.38,6887.48,7157.23,0.0
2019-01-25,7109.57,7174.56,6953.23,7164.86,0.0
2019-02-01,7075.01,7303.12,7011.47,7263.87,0.0
2019-02-08,7266.28,7410.77,7225.14,7298.2,0.0
2019-02-15,7327.37,7477.28,7290.03,7472.41,0.0
2019-02-22,7450.75,7527.55,7430.89,7527.55,0.0
2019-03-01,7585.3,7603.04,7485.39,7595.36,0.0
2019-03-08,7636.62,7643.66,7332.92,7408.14,0.0
2019-03-15,7442.56,7714.96,7442.4,7688.53,0.0
2019-03-22,7696.38,7850.1,7642.57,7642.66,0.0
2019-03-29,7618.98,7738.17,7579.29,7729.32,0.0
2019-04-05,7800.24,7940.45,7777.09,7938.69,0.0
2019-04-12,7924.89,7992.09,7891.85,7984.16,0.0
2019-04-19,7987.16,8052.4,7933.56,7998.06,0.0
2019-04-26,7969.37,8151.84,7965.9,8146.4,0.0
2019-05-03,8147.65,8176.08,7976.77,8163.99,0.0
2019-05-10,7981.85,8135.54,7759.34,7916.94,0.0
2019-05-17,7720.07,7946.23,7627.22,7816.28,0.0
2019-05-24,7714.06,7804.44,7585.32,7637.01,0.0
2019-05-31,7655.66,7693.74,7448.23,7453.15,0.0
2019-06-07,7441.21,7767.02,7292.21,7742.1,0.0
2019-06-14,7798.87,7909.99,7773.97,7796.66,0.0
2019-06-21,7819.43,8088.88,7812.61,8031.7,0.0
2019-06-28,8040.58,8047.56,7879.15,8006.24,0.0
2019-07-05,8145.85,8171.97,8059.29,8161.79,0.0
2019-07-12,8112.91,8245.66,8061.32,8244.15,0.0
2019-07-19,8263.18,8264.78,8135.12,8146.49,0.0
2019-07-26,8171.99,8339.64,8171.54,8330.21,0.0
2019-08-02,8325.1,8325.28,7953.67,8004.07,0.0
2019-08-09,7823.33,8041.12,7662.9,7959.14,0.0
2019-08-16,7907.49,8065.24,7716.55,7895.99,0.0
2019-08-23,8006.18,8048.58,7730.77,7751.77,0.0
2019-08-30,7829.58,8017.91,7766.67,7962.88,0.0
2019-09-06,7906.44,8134.42,7847.32,8103.07,0.0
2019-09-13,8130.91,8243.8,8001.68,8176.72,0.0
2019-09-20,8121.64,8237.43,8086.16,8117.68,0.0
2019-09-27,8106.49,8158.83,7890.28,7939.63,0.0
2019-10-04,7964.09,8062.5,7700.0,7982.48,0.0
2019-10-11,7956.41,8115.8,7823.73,8057.04,0.0
2019-10-18,8044.35,8183.64,8036.41,8089.55,0.0
2019-10-25,8137.42,8249.96,8078.35,8243.12,0.0
2019-11-01,8285.77,8386.4,8241.7,8386.4,0.0
2019-11-08,8445.5,8483.16,8379.33,8475.32,0.0
2019-11-15,8431.26,8540.83,8425.48,8540.83,0.0
2019-11-22,8529.16,8589.76,8468.63,8519.89,0.0
2019-11-29,8559.65,8705.69,8559.65,8665.47,0.0
2019-12-06,8672.84,8672.84,8435.4,8656.53,0.0
2019-12-13,8650.86,8768.87,8600.82,8734.88,0.0
2019-12-20,8791.31,8931.91,8789.77,8924.95,0.0
2019-12-27,8950.2,9052.0,8934.36,9006.61,0.0
2020-01-03,9004.45,9092.19,8909.19,9020.77,0.0
2020-01-10,8943.5,9235.19,8943.5,9178.86,0.0
2020-01-17,9213.72,9393.48,9193.06,9388.94,0.0
2020-01-24,9361.07,9451.43,9273.23,9314.91,0.0
2020-01-31,9092.46,9329.11,9088.04,9150.93,0.0
2020-02-07,9190.72,9575.66,9188.55,9520.51,0.0
2020-02-14,9493.63,9748.32,9493.63,9731.18,0.0
2020-02-21,9679.04,9838.37,9542.33,9576.59,0.0
2020-02-28,9188.44,9322.88,8264.16,8567.36,0.0
2020-03-06,8667.14,9070.32,8375.13,8575.62,0.0
2020-03-13,7957.93,8344.26,7195.64,7874.88,0.0
2020-03-20,7392.73,7422.2,6686.36,6879.52,0.0
2020-03-27,6847.28,7809.82,6631.42,7502.38,0.0
