date,open,high,low,close,volume,wap,count
2016-06-28,1089.65,1110.5,1089.65,1107.3,0.0,0.0,2992
2016-06-29,1107.3,1132.61,1107.3,1131.62,0.0,0.0,2586
2016-06-30,1131.62,1151.92,1128.91,1151.92,0.0,0.0,2880
2016-07-01,1151.92,1161.05,1151.25,1156.77,0.0,0.0,2575
2016-07-05,1156.77,1156.77,1133.63,1139.45,0.0,0.0,2618
2016-07-06,1139.45,1147.91,1131.71,1147.34,0.0,0.0,2706
2016-07-07,1147.33,1156.89,1143.43,1149.76,0.0,0.0,2629
2016-07-08,1149.76,1178.11,1149.76,1177.36,0.0,0.0,2439
2016-07-11,1177.36,1192.04,1177.36,1190.04,0.0,0.0,2194
2016-07-12,1190.03,1211.77,1190.03,1205.89,0.0,0.0,2460
2016-07-13,1205.89,1210.38,1197.87,1201.16,0.0,0.0,2450
2016-07-14,1201.16,1209.91,1201.16,1202.17,0.0,0.0,2078
2016-07-15,1202.17,1208.24,1201.68,1205.31,0.0,0.0,2035
2016-07-18,1205.31,1210.64,1202.49,1207.9,0.0,0.0,1824
2016-07-19,1207.91,1207.91,1198.78,1200.44,0.0,0.0,1974
2016-07-20,1200.45,1212.07,1198.4,1209.75,0.0,0.0,1819
2016-07-21,1209.74,1213.51,1201.41,1203.86,0.0,0.0,2128
2016-07-22,1203.86,1214.16,1202.23,1212.89,0.0,0.0,1845
2016-07-25,1212.89,1212.89,1207.2,1209.82,0.0,0.0,1944
2016-07-26,1209.82,1217.12,1208.76,1216.86,0.0,0.0,2151
2016-07-27,1216.86,1222.26,1212.83,1218.92,0.0,0.0,2368
2016-07-28,1218.93,1219.49,1214.27,1217.33,0.0,0.0,1996
2016-07-29,1217.33,1224.77,1210.26,1219.94,0.0,0.0,2395
2016-08-01,1219.94,1224.45,1214.64,1219.13,0.0,0.0,2331
2016-08-02,1219.12,1219.12,1199.61,1202.35,0.0,0.0,2456
2016-08-03,1202.35,1212.73,1198.73,1212.73,0.0,0.0,2228
2016-08-04,1212.73,1219.09,1211.98,1213.76,0.0,0.0,2152
2016-08-05,1213.76,1232.86,1213.76,1231.3,0.0,0.0,2083
2016-08-08,1231.3,1235.77,1228.89,1230.42,0.0,0.0,1915
2016-08-09,1231.3,1233.29,1229.44,1231.75,0.0,0.0,1961
2016-08-10,1231.74,1232.83,1220.76,1223.28,0.0,0.0,2137
2016-08-11,1223.27,1230.99,1223.27,1229.12,0.0,0.0,1934
2016-08-12,1229.12,1231.65,1225.04,1229.82,0.0,0.0,1763
2016-08-15,1229.82,1243.82,1229.82,1241.87,0.0,0.0,1733
2016-08-16,1241.86,1241.86,1230.75,1231.13,0.0,0.0,1770
2016-08-17,1231.13,1231.13,1221.72,1227.68,0.0,0.0,2134
2016-08-18,1227.68,1236.85,1227.42,1236.85,0.0,0.0,1941
2016-08-19,1236.85,1237.39,1231.77,1236.77,0.0,0.0,1699
2016-08-22,1236.77,1239.75,1232.0,1239.75,0.0,0.0,1875
2016-08-23,1239.74,1251.32,1239.74,1248.58,0.0,0.0,1719
2016-08-24,1248.58,1248.91,1235.47,1237.25,0.0,0.0,1970
2016-08-25,1237.25,1243.3,1234.41,1240.01,0.0,0.0,2131
2016-08-26,1240.0,1250.18,1231.27,1238.03,0.0,0.0,2497
2016-08-29,1238.03,1248.22,1238.03,1244.94,0.0,0.0,1854
2016-08-30,1244.94,1248.43,1241.55,1246.03,0.0,0.0,1908
2016-08-31,1246.03,1246.03,1233.12,1239.9,0.0,0.0,2117
2016-09-01,1239.91,1242.09,1228.78,1239.81,0.0,0.0,2202
2016-09-02,1239.8,1251.83,1239.8,1251.83,0.0,0.0,2005
2016-09-06,1251.83,1254.41,1246.47,1253.37,0.0,0.0,1876
2016-09-07,1253.37,1261.12,1252.41,1261.01,0.0,0.0,1861
2016-09-08,1261.01,1261.01,1254.94,1258.36,0.0,0.0,1952
2016-09-09,1258.36,1258.36,1219.21,1219.21,0.0,0.0,2571
2016-09-12,1219.21,1235.87,1211.66,1235.87,0.0,0.0,2681
2016-09-13,1235.87,1235.87,1206.07,1212.32,0.0,0.0,2847
2016-09-14,1212.32,1219.93,1209.72,1211.59,0.0,0.0,2571
2016-09-15,1211.59,1227.35,1211.11,1227.03,0.0,0.0,2299
2016-09-16,1227.02,1227.09,1218.28,1224.78,0.0,0.0,2297
2016-09-19,1224.78,1239.98,1224.78,1232.53,0.0,0.0,2328
2016-09-20,1232.53,1238.25,1228.33,1228.33,0.0,0.0,2108
2016-09-21,1228.33,1245.24,1228.13,1245.04,0.0,0.0,2467
2016-09-22,1245.04,1263.46,1245.04,1263.44,0.0,0.0,2230
2016-09-23,1263.44,1263.44,1254.63,1254.63,0.0,0.0,2206
2016-09-26,1254.62,1254.62,1240.78,1240.94,0.0,0.0,2107
2016-09-27,1240.94,1247.11,1238.31,1246.38,0.0,0.0,2196
2016-09-28,1246.38,1255.9,1240.59,1255.67,0.0,0.0,2341
2016-09-29,1255.67,1255.67,1236.86,1237.75,0.0,0.0,2669
2016-09-30,1237.75,1255.7,1237.75,1251.64,0.0,0.0,2379
2016-10-03,1251.65,1251.65,1240.97,1245.79,0.0,0.0,2308
2016-10-04,1245.78,1249.93,1235.75,1239.78,0.0,0.0,2413
2016-10-05,1239.78,1254.08,1239.78,1248.37,0.0,0.0,2160
2016-10-06,1247.77,1247.77,1237.42,1246.24,0.0,0.0,3243
2016-10-07,1246.37,1247.58,1231.35,1236.56,0.0,0.0,3335
2016-10-10,1239.21,1253.81,1239.21,1250.77,0.0,0.0,3074
2016-10-11,1249.96,1249.96,1222.57,1227.63,0.0,0.0,3469
2016-10-12,1227.67,1232.61,1224.29,1227.23,0.0,0.0,3294
2016-10-13,1225.14,1225.14,1209.32,1215.75,0.0,0.0,3393
2016-10-14,1217.63,1226.01,1212.41,1212.41,0.0,0.0,3428
2016-10-17,1212.42,1215.42,1209.83,1210.13,0.0,0.0,3092
2016-10-18,1211.3,1222.2,1211.3,1217.3,0.0,0.0,3038
2016-10-19,1217.34,1226.35,1214.05,1222.64,0.0,0.0,3015
2016-10-20,1221.99,1222.61,1213.16,1219.79,0.0,0.0,3182
2016-10-21,1217.89,1220.03,1208.99,1218.1,0.0,0.0,2988
2016-10-24,1219.73,1231.92,1219.73,1226.45,0.0,0.0,2946
2016-10-25,1225.9,1226.16,1214.81,1216.11,0.0,0.0,3035
2016-10-26,1214.49,1216.08,1203.12,1204.75,0.0,0.0,3248
2016-10-27,1205.74,1208.18,1188.75,1189.94,0.0,0.0,3479
2016-10-28,1190.06,1196.24,1185.48,1187.62,0.0,0.0,3517
2016-10-31,1187.87,1192.98,1185.17,1191.39,0.0,0.0,3170
2016-11-01,1191.77,1194.48,1170.87,1177.94,0.0,0.0,3611
2016-11-02,1177.77,1177.77,1161.85,1162.53,0.0,0.0,3665
2016-11-03,1164.47,1168.13,1156.08,1156.88,0.0,0.0,3536
2016-11-04,1157.19,1174.78,1156.92,1163.44,0.0,0.0,3655
2016-11-07,1164.57,1193.39,1164.57,1192.25,0.0,0.0,3440
2016-11-08,1192.04,1200.22,1184.85,1195.14,0.0,0.0,3590
2016-11-09,1194.34,1233.66,1188.43,1232.16,0.0,0.0,4166
2016-11-10,1235.86,1258.48,1234.02,1251.61,0.0,0.0,4213
2016-11-11,1251.52,1282.82,1250.83,1282.38,0.0,0.0,4179
2016-11-14,1283.03,1306.56,1283.03,1298.6,0.0,0.0,4018
2016-11-15,1298.52,1304.38,1290.45,1302.14,0.0,0.0,3655
2016-11-16,1300.69,1304.98,1296.11,1302.2,0.0,0.0,3640
2016-11-17,1302.86,1313.06,1302.86,1309.49,0.0,0.0,3622
2016-11-18,1309.74,1316.22,1308.44,1315.64,0.0,0.0,3431
