date,open,high,low,close,volume
2016-07-29,770.65,775.81,763.8,766.77,0.0
2016-08-05,766.99,774.06,751.29,773.78,0.0
2016-08-12,775.9,781.28,769.94,779.85,0.0
2016-08-19,780.67,798.85,780.37,797.06,0.0
2016-08-26,796.59,807.1,791.95,801.4,0.0
2016-09-02,802.86,810.83,797.31,806.96,0.0
2016-09-09,807.36,809.32,767.09,768.38,0.0
2016-09-16,764.32,808.77,760.09,801.55,0.0
2016-09-23,805.27,818.37,797.35,804.6,0.0
2016-09-30,802.03,840.46,794.23,835.6,0.0
2016-10-07,838.42,840.88,824.33,837.02,0.0
2016-10-14,838.51,844.35,790.19,809.39,0.0
2016-10-21,809.22,819.7,803.46,814.52,0.0
2016-10-28,819.69,837.8,818.2,818.88,0.0
2016-11-04,823.8,829.9,797.74,802.88,0.0
2016-11-11,816.62,838.02,798.2,837.24,0.0
2016-11-18,837.69,874.22,829.99,872.63,0.0
2016-11-25,876.25,891.39,872.52,890.97,0.0
2016-12-02,888.87,891.46,832.13,847.7,0.0
2016-12-09,854.87,903.64,849.46,892.51,0.0
2016-12-16,886.29,916.57,878.24,900.85,0.0
2016-12-23,904.57,928.29,902.39,927.92,0.0
2016-12-30,931.1,944.23,904.23,906.47,0.0
2017-01-06,910.8,919.87,898.55,908.65,0.0
2017-01-13,911.92,926.76,904.66,924.68,0.0
2017-01-20,919.9,935.58,906.56,930.01,0.0
2017-01-27,924.13,962.32,916.86,962.26,0.0
2017-02-03,956.62,965.31,938.76,964.02,0.0
2017-02-10,963.5,976.43,953.91,963.05,0.0
2017-02-17,968.91,976.8,957.0,976.8,0.0
2017-02-24,981.21,991.24,955.11,973.44,0.0
2017-03-03,972.66,988.09,967.37,973.97,0.0
2017-03-10,968.15,994.21,963.03,991.94,0.0
2017-03-17,995.4,1007.45,988.42,1004.6,0.0
2017-03-24,1005.98,1017.14,986.3,1004.35,0.0
2017-03-31,994.09,1016.61,990.66,1011.4,0.0
2017-04-07,1012.79,1014.74,984.94,999.35,0.0
2017-04-14,998.83,1000.24,960.01,960.01,0.0
2017-04-21,964.78,999.18,964.66,992.94,0.0
2017-04-28,1008.56,1024.61,1002.89,1005.52,0.0
2017-05-05,1007.7,1015.8,998.87,1011.03,0.0
2017-05-12,1011.5,1047.24,1005.04,1045.25,0.0
2017-05-19,1048.46,1077.05,1027.37,1060.77,0.0
2017-05-26,1066.4,1084.94,1059.58,1084.85,0.0
2017-06-02,1085.32,1104.9,1084.28,1103.4,0.0
2017-06-09,1102.48,1149.86,1068.56,1090.05,0.0
2017-06-16,1074.94,1101.97,1053.33,1067.23,0.0
2017-06-23,1079.94,1094.37,1074.62,1088.49,0.0
2017-06-30,1095.62,1099.41,1026.05,1034.9,0.0
2017-07-07,1040.92,1058.6,1020.42,1054.9,0.0
2017-07-14,1058.96,1104.81,1052.38,1104.32,0.0
2017-07-21,1106.85,1117.89,1089.86,1107.54,0.0
2017-07-28,1108.13,1120.51,1084.29,1092.99,0.0
2017-08-04,1096.92,1099.95,1073.74,1079.44,0.0
2017-08-11,1082.85,1107.23,1052.72,1066.22,0.0
2017-08-18,1078.92,1102.62,1066.76,1071.89,0.0
2017-08-25,1073.59,1091.84,1057.17,1080.5,0.0
2017-09-01,1083.67,1124.66,1070.08,1119.34,0.0
2017-09-08,1112.79,1116.73,1090.19,1093.49,0.0
2017-09-15,1103.95,1147.64,1103.33,1146.68,0.0
2017-09-22,1153.77,1169.01,1133.28,1149.59,0.0
2017-09-29,1144.47,1172.89,1122.16,1171.74,0.0
2017-10-06,1176.61,1191.47,1170.74,1191.45,0.0
2017-10-13,1194.95,1223.31,1194.18,1219.21,0.0
