date,open,high,low,close,volume,wap,count
2021-10-19 07:15:00+00:00,16.09,16.11,16.03,16.09,0.0,0.0,87
2021-10-19 08:00:00+00:00,16.08,16.13,15.95,16.11,0.0,0.0,97
2021-10-19 09:00:00+00:00,16.1,16.15,16.02,16.06,0.0,0.0,78
2021-10-19 10:00:00+00:00,16.08,16.08,15.94,15.96,0.0,0.0,74
2021-10-19 11:00:00+00:00,15.97,16.07,15.96,16.01,0.0,0.0,94
2021-10-19 12:00:00+00:00,16.02,16.11,15.98,16.11,0.0,0.0,92
2021-10-19 13:00:00+00:00,16.15,16.17,16.12,16.16,0.0,0.0,19
2021-10-19 13:30:00+00:00,16.18,16.31,16.02,16.25,0.0,0.0,103
2021-10-19 14:00:00+00:00,16.26,16.26,15.8,15.84,0.0,0.0,182
2021-10-19 15:00:00+00:00,15.83,15.95,15.79,15.84,0.0,0.0,145
2021-10-19 16:00:00+00:00,15.82,15.89,15.67,15.74,0.0,0.0,96
2021-10-19 17:00:00+00:00,15.73,15.78,15.61,15.61,0.0,0.0,93
2021-10-19 18:00:00+00:00,15.6,15.82,15.59,15.72,0.0,0.0,115
2021-10-19 19:00:00+00:00,15.73,15.82,15.57,15.63,0.0,0.0,150
2021-10-19 20:00:00+00:00,15.59,15.7,15.58,15.7,0.0,0.0,27
2021-10-20 07:15:00+00:00,15.82,15.86,15.71,15.85,0.0,0.0,74
2021-10-20 08:00:00+00:00,15.86,15.86,15.73,15.75,0.0,0.0,66
2021-10-20 09:00:00+00:00,15.76,15.76,15.68,15.7,0.0,0.0,65
2021-10-20 10:00:00+00:00,15.69,15.72,15.61,15.62,0.0,0.0,55
2021-10-20 11:00:00+00:00,15.61,15.74,15.6,15.73,0.0,0.0,74
2021-10-20 12:00:00+00:00,15.72,15.73,15.54,15.57,0.0,0.0,79
2021-10-20 13:00:00+00:00,15.53,15.61,15.37,15.38,0.0,0.0,35
2021-10-20 13:30:00+00:00,15.36,15.57,15.35,15.51,0.0,0.0,86
2021-10-20 14:00:00+00:00,15.53,15.57,15.29,15.49,0.0,0.0,140
2021-10-20 15:00:00+00:00,15.48,15.54,15.4,15.42,0.0,0.0,105
2021-10-20 16:00:00+00:00,15.43,15.45,15.32,15.32,0.0,0.0,85
2021-10-20 17:00:00+00:00,15.33,15.89,15.32,15.58,0.0,0.0,158
2021-10-20 18:00:00+00:00,15.6,15.66,15.47,15.52,0.0,0.0,136
2021-10-20 19:00:00+00:00,15.48,15.67,15.37,15.48,0.0,0.0,153
2021-10-20 20:00:00+00:00,15.43,15.54,15.43,15.49,0.0,0.0,39
2021-10-21 07:15:00+00:00,16.06,16.08,15.84,15.89,0.0,0.0,88
2021-10-21 08:00:00+00:00,15.88,16.08,15.87,16.06,0.0,0.0,122
2021-10-21 09:00:00+00:00,16.04,16.08,15.95,15.95,0.0,0.0,78
2021-10-21 10:00:00+00:00,15.94,16.04,15.92,16.01,0.0,0.0,91
2021-10-21 11:00:00+00:00,16.0,16.11,15.9,16.1,0.0,0.0,89
2021-10-21 12:00:00+00:00,16.09,16.1,15.77,15.86,0.0,0.0,112
2021-10-21 13:00:00+00:00,15.88,15.91,15.82,15.82,0.0,0.0,27
2021-10-21 13:30:00+00:00,15.83,15.9,15.63,15.68,0.0,0.0,86
2021-10-21 14:00:00+00:00,15.67,15.72,15.42,15.49,0.0,0.0,140
2021-10-21 15:00:00+00:00,15.5,15.67,15.44,15.45,0.0,0.0,157
2021-10-21 16:00:00+00:00,15.44,15.48,15.34,15.38,0.0,0.0,115
2021-10-21 17:00:00+00:00,15.39,15.49,15.34,15.47,0.0,0.0,96
2021-10-21 18:00:00+00:00,15.48,15.49,15.22,15.22,0.0,0.0,93
2021-10-21 19:00:00+00:00,15.2,15.22,14.92,14.93,0.0,0.0,135
2021-10-21 20:00:00+00:00,14.92,15.01,14.92,15.0,0.0,0.0,37
2021-10-22 07:15:00+00:00,15.35,15.36,15.2,15.29,0.0,0.0,99
2021-10-22 08:00:00+00:00,15.3,15.36,15.11,15.14,0.0,0.0,111
2021-10-22 09:00:00+00:00,15.13,15.18,15.12,15.13,0.0,0.0,62
2021-10-22 10:00:00+00:00,15.14,15.16,14.94,14.98,0.0,0.0,59
2021-10-22 11:00:00+00:00,14.97,14.98,14.92,14.94,0.0,0.0,60
2021-10-22 12:00:00+00:00,14.93,15.14,14.92,15.12,0.0,0.0,70
2021-10-22 13:00:00+00:00,15.11,15.23,15.11,15.19,0.0,0.0,37
2021-10-22 13:30:00+00:00,15.18,15.18,14.87,15.06,0.0,0.0,91
2021-10-22 14:00:00+00:00,15.05,15.15,14.84,15.12,0.0,0.0,159
2021-10-22 15:00:00+00:00,15.14,16.39,15.03,15.95,0.0,0.0,190
2021-10-22 16:00:00+00:00,15.97,16.21,15.46,15.63,0.0,0.0,194
2021-10-22 17:00:00+00:00,15.62,15.72,15.49,15.72,0.0,0.0,174
2021-10-22 18:00:00+00:00,15.69,15.71,15.23,15.47,0.0,0.0,165
2021-10-22 19:00:00+00:00,15.49,15.55,15.2,15.37,0.0,0.0,190
