date,open,high,low,close,volume
2016-07-01,21.76,22.07,14.61,14.77,0.0
2016-07-08,16.05,17.04,13.19,13.2,0.0
2016-07-15,13.25,13.93,12.14,12.67,0.0
2016-07-22,12.75,13.12,11.4,12.02,0.0
2016-07-29,12.64,13.74,11.77,11.87,0.0
2016-08-05,11.89,14.24,11.18,11.39,0.0
2016-08-12,11.66,12.5,11.02,11.55,0.0
2016-08-19,11.81,13.71,11.33,11.34,0.0
2016-08-26,12.53,14.93,11.72,13.65,0.0
2016-09-02,14.09,14.61,11.9,11.98,0.0
2016-09-09,12.42,17.54,11.65,17.5,0.0
2016-09-16,20.13,20.51,14.76,15.37,0.0
2016-09-23,15.14,16.09,11.76,12.29,0.0
2016-09-30,13.26,15.69,12.14,13.29,0.0
2016-10-07,13.75,14.57,12.21,13.48,0.0
2016-10-14,14.19,17.95,13.29,16.12,0.0
2016-10-21,17.01,17.11,13.27,13.34,0.0
2016-10-28,13.19,17.35,12.73,16.19,0.0
2016-11-04,16.31,23.01,16.25,22.51,0.0
2016-11-11,19.78,21.48,13.26,14.17,0.0
2016-11-18,14.69,15.56,12.85,12.85,0.0
2016-11-25,13.27,13.44,12.16,12.37,0.0
2016-12-02,13.4,14.72,12.23,14.12,0.0
2016-12-09,13.75,13.77,11.3,11.75,0.0
2016-12-16,12.23,13.42,12.07,12.2,0.0
2016-12-23,12.5,12.52,10.93,11.44,0.0
2016-12-30,12.26,14.68,11.84,14.04,0.0
2017-01-06,14.07,14.07,10.98,11.32,0.0
2017-01-13,11.71,12.6,10.94,11.23,0.0
2017-01-20,12.2,13.28,11.53,11.54,0.0
2017-01-27,12.3,12.62,10.3,10.58,0.0
2017-02-03,11.1,12.99,9.97,10.97,0.0
2017-02-10,11.37,11.84,10.55,10.85,0.0
2017-02-17,11.36,12.86,10.73,11.49,0.0
2017-02-24,12.05,12.59,11.34,11.47,0.0
2017-03-03,11.78,12.96,10.94,10.96,0.0
2017-03-10,11.59,12.43,11.04,11.66,0.0
2017-03-17,12.16,12.54,10.6,11.28,0.0
2017-03-24,11.71,14.16,10.92,12.96,0.0
2017-03-31,14.78,15.11,11.03,12.37,0.0
2017-04-07,12.59,13.59,10.9,12.87,0.0
2017-04-14,13.24,16.22,12.94,15.96,0.0
2017-04-21,16.19,16.28,13.46,14.63,0.0
2017-04-28,11.56,12.01,10.22,10.82,0.0
2017-05-05,10.92,11.24,9.9,10.57,0.0
2017-05-12,10.53,11.23,9.56,10.4,0.0
2017-05-19,10.54,16.3,10.18,12.04,0.0
2017-05-26,12.29,12.52,9.65,9.81,0.0
2017-06-02,10.61,11.3,9.58,9.75,0.0
2017-06-09,10.08,12.11,9.37,10.7,0.0
2017-06-16,11.19,12.37,10.01,10.38,0.0
2017-06-23,10.57,11.4,9.85,10.02,0.0
2017-06-30,10.13,15.16,9.68,11.18,0.0
