filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-13,2024-08-09,KONDO CHRIS,Principal Accounting Officer,S,5178.0,216.5,1121037.0,24125.0,0000320193-24-000086
2024-08-19,2024-08-15,KONDO CHRIS,Principal Accounting Officer,S,8706.0,225.0,1958850.0,15419.0,0000320193-24-000088
2024-10-03,2024-10-01,WILLIAMS JEFFREY E,COO,M,127282.0,,,617226.0,0000320193-24-000112
2024-10-03,2024-10-01,WILLIAMS JEFFREY E,COO,F,67552.0,226.21,15280937.92,549674.0,0000320193-24-000112
2024-10-03,2024-10-01,Maestri Luca,"Senior Vice President, CFO",M,127282.0,,,235070.0,0000320193-24-000111
2024-10-03,2024-10-01,Maestri Luca,"Senior Vice President, CFO",F,67977.0,226.21,15377077.17,167093.0,0000320193-24-000111
2024-10-03,2024-10-01,Adams Katherine L.,"SVP, GC and Secretary",M,127282.0,,,314325.0,0000320193-24-000110
2024-10-03,2024-10-01,Adams Katherine L.,"SVP, GC and Secretary",F,66263.0,226.21,14989353.23,248062.0,0000320193-24-000110
2024-10-03,2024-10-01,COOK TIMOTHY D,Chief Executive Officer,M,477301.0,,,3757481.0,0000320193-24-000109
2024-10-03,2024-10-01,COOK TIMOTHY D,Chief Executive Officer,F,253315.0,226.21,57302386.15,3504166.0,0000320193-24-000109
2024-10-03,2024-10-01,O'BRIEN DEIRDRE,Senior Vice President,M,127282.0,,,263854.0,0000320193-24-000108
2024-10-03,2024-10-01,O'BRIEN DEIRDRE,Senior Vice President,F,66263.0,226.21,14989353.23,197591.0,0000320193-24-000108
2024-10-03,2024-10-02,WILLIAMS JEFFREY E,COO,S,51674.0,226.8,11719663.200000001,498000.0,0000320193-24-000112
2024-10-03,2024-10-02,WILLIAMS JEFFREY E,COO,S,8056.0,227.22,1830484.32,489944.0,0000320193-24-000112
2024-10-03,2024-10-02,Adams Katherine L.,"SVP, GC and Secretary",S,5850.0,223.79,1309171.5,242212.0,0000320193-24-000110
2024-10-03,2024-10-02,Adams Katherine L.,"SVP, GC and Secretary",S,6454.0,224.59,1449503.86,235758.0,0000320193-24-000110
2024-10-03,2024-10-02,Adams Katherine L.,"SVP, GC and Secretary",S,7550.0,225.87,1705318.5,228208.0,0000320193-24-000110
2024-10-03,2024-10-02,Adams Katherine L.,"SVP, GC and Secretary",S,38170.0,226.82,8657719.4,190038.0,0000320193-24-000110
2024-10-03,2024-10-02,Adams Katherine L.,"SVP, GC and Secretary",S,2995.0,227.24,680583.8,187043.0,0000320193-24-000110
2024-10-03,2024-10-02,COOK TIMOTHY D,Chief Executive Officer,S,109741.0,223.75,24554548.75,3394425.0,0000320193-24-000109
2024-10-03,2024-10-02,COOK TIMOTHY D,Chief Executive Officer,S,61912.0,224.46,13896767.520000001,3332513.0,0000320193-24-000109
2024-10-03,2024-10-02,COOK TIMOTHY D,Chief Executive Officer,S,45140.0,225.86,10195320.4,3287373.0,0000320193-24-000109
2024-10-03,2024-10-02,COOK TIMOTHY D,Chief Executive Officer,S,7193.0,226.57,1629718.01,3280180.0,0000320193-24-000109
2024-10-03,2024-10-02,O'BRIEN DEIRDRE,Senior Vice President,S,38691.0,226.72,8772023.52,158900.0,0000320193-24-000108
2024-10-03,2024-10-02,O'BRIEN DEIRDRE,Senior Vice President,S,22328.0,227.13,5071358.64,136572.0,0000320193-24-000108
2024-10-08,2024-10-04,Maestri Luca,"Senior Vice President, CFO",S,59305.0,226.52,13433768.600000001,107788.0,0000320193-24-000114
2024-10-17,2024-10-15,KONDO CHRIS,Principal Accounting Officer,M,8115.0,,,23534.0,0000320193-24-000116
2024-10-17,2024-10-15,KONDO CHRIS,Principal Accounting Officer,F,3985.0,233.85,931892.25,19549.0,0000320193-24-000116
2024-11-07,2024-11-05,Adams Katherine L.,"SVP, GC and Secretary",G,8000.0,0.0,,179043.0,0000320193-24-000126
2024-11-19,2024-11-15,LEVINSON ARTHUR D,董事,S,75000.0,224.68,16851000.0,4284576.0,0000320193-24-000130
2024-11-19,2024-11-18,LEVINSON ARTHUR D,董事,S,75000.0,228.66,17149500.0,4209576.0,0000320193-24-000130
2024-11-19,2024-11-18,KONDO CHRIS,Principal Accounting Officer,S,4130.0,228.87,945233.1,15419.0,0000320193-24-000129
2024-11-19,2024-11-19,LEVINSON ARTHUR D,董事,S,50000.0,229.28,11464000.0,4159576.0,0000320193-24-000130
2024-12-18,2024-12-16,WILLIAMS JEFFREY E,COO,S,13925.0,248.61,3461894.25,476019.0,0000320193-24-000132
2024-12-18,2024-12-16,WILLIAMS JEFFREY E,COO,S,34752.0,249.5,8670624.0,441267.0,0000320193-24-000132
