filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-09-30,2024-09-24,SALEKI-GERHARDT AZITA,"EVP, CHIEF OPERATIONS OFFICER",G,25630.0,0.0,,194348.0,0001415889-24-024096
2024-10-02,2024-09-30,GONZALEZ RICHARD A,EXECUTIVE CHAIRMAN OF BOARD,G,36698.0,0.0,,388929.0,0001415889-24-024451
2024-12-18,2024-12-16,Buckbee Kevin K,"SVP, CONTROLLER",S,1800.0,172.24,310032.0,6983.0,0001415889-24-029754
2025-02-18,2025-02-13,Buckbee Kevin K,"SVP, CONTROLLER",A,1674.0,0.0,,15330.0,0001415889-25-004464
2025-02-18,2025-02-13,Thakkar Roopal,"EVP, R&D and CSO",A,3348.0,0.0,,46954.0,0001415889-25-004463
2025-02-18,2025-02-13,Stewart Jeffrey Ryan,"EVP, CHIEF COMMERCIAL OFFICER",A,9432.0,0.0,,106592.0,0001415889-25-004462
2025-02-18,2025-02-13,Siatis Perry C,"EVP, GC AND SECRETARY",A,5630.0,0.0,,28159.0,0001415889-25-004461
2025-02-18,2025-02-13,SALEKI-GERHARDT AZITA,"EVP, CHIEF OPERATIONS OFFICER",A,7074.0,0.0,,232846.0,0001415889-25-004460
2025-02-18,2025-02-13,RICHMOND TIMOTHY J.,"EVP, CHIEF HR OFFICER",A,6998.0,0.0,,51991.0,0001415889-25-004459
2025-02-18,2025-02-13,Reents Scott T,"EVP, CHIEF FINANCIAL OFFICER",A,7608.0,0.0,,40194.0,0001415889-25-004458
2025-02-18,2025-02-13,Donoghoe Nicholas,"EVP, CHIEF BUS/STRAT OFFICER",A,5174.0,0.0,,81248.0,0001415889-25-004457
2025-02-18,2025-02-13,Michael Robert A.,CHIEF EXECUTIVE OFFICER,A,14454.0,0.0,,160007.0,0001415889-25-004456
2025-02-18,2025-02-13,GONZALEZ RICHARD A,,A,27386.0,0.0,,560766.0,0001415889-25-004455
2025-02-24,2025-02-20,Siatis Perry C,"EVP, GC AND SECRETARY",S,3994.0,198.12,791291.28,22381.0,0001415889-25-005291
2025-02-28,2025-02-26,Buckbee Kevin K,"SVP, CONTROLLER",S,16260.0,203.41,3307446.6,11496.0,0001415889-25-006025
2025-02-28,2025-02-26,RICHMOND TIMOTHY J.,"EVP, CHIEF HR OFFICER",S,4829.0,203.63,983329.27,44284.0,0001415889-25-006024
2025-03-04,2025-02-28,Buckbee Kevin K,"SVP, CONTROLLER",F,3699.0,205.02,758368.98,7797.0,0001415889-25-006586
2025-03-04,2025-02-28,Thakkar Roopal,"EVP, R&D and CSO",F,4678.0,205.02,959083.56,42276.0,0001415889-25-006587
2025-03-04,2025-02-28,Donoghoe Nicholas,"EVP, CHIEF BUS/STRAT OFFICER",F,11230.0,205.02,2302374.6,70018.0,0001415889-25-006585
2025-03-04,2025-02-28,Reents Scott T,"EVP, CHIEF FINANCIAL OFFICER",F,10973.0,205.02,2249684.46,29221.0,0001415889-25-006584
2025-03-04,2025-02-28,Michael Robert A.,CHIEF EXECUTIVE OFFICER,F,27186.0,205.02,5573673.720000001,132821.0,0001415889-25-006583
2025-03-04,2025-02-28,SALEKI-GERHARDT AZITA,"EVP, CHIEF OPERATIONS OFFICER",F,17056.0,205.02,3496821.12,177292.0,0001415889-25-006581
2025-03-04,2025-02-28,Stewart Jeffrey Ryan,"EVP, CHIEF COMMERCIAL OFFICER",F,20226.0,205.02,4146734.52,86366.0,0001415889-25-006582
2025-03-04,2025-03-03,GONZALEZ RICHARD A,,S,6168.0,210.53,1298549.04,388929.0,0001415889-25-006579
2025-03-04,2025-03-03,Siatis Perry C,"EVP, GC AND SECRETARY",S,18008.0,210.0,3781680.0,4619.0,0001415889-25-006578
2025-03-04,2025-03-03,RICHMOND TIMOTHY J.,"EVP, CHIEF HR OFFICER",S,600.0,211.32,126792.0,6130.0,0001415889-25-006580
2025-03-18,2025-03-14,Reents Scott T,"EVP, CHIEF FINANCIAL OFFICER",S,17644.0,212.34,3746526.96,11577.0,0001415889-25-008437
2025-04-02,2025-03-31,GONZALEZ RICHARD A,,G,2450.0,0.0,,386479.0,0001415889-25-009688
2025-04-02,2025-03-31,Stewart Jeffrey Ryan,"EVP, CHIEF COMMERCIAL OFFICER",S,33132.0,210.54,6975611.279999999,53234.0,0001415889-25-009687
2025-05-13,2025-05-09,FALK THOMAS J,,A,1203.0,0.0,,1203.0,0001415889-25-012804
2025-05-13,2025-05-09,TILTON GLENN F,,A,1203.0,0.0,,51564.0,0001415889-25-012803
2025-05-13,2025-05-09,FREYMAN THOMAS C,,A,1203.0,0.0,,126751.0,0001415889-25-012802
2025-05-13,2025-05-09,WADDELL FREDERICK H,,A,1203.0,0.0,,28958.0,0001415889-25-012801
2025-05-13,2025-05-09,Roberts Rebecca B,,A,1203.0,0.0,,13728.0,0001415889-25-012800
2025-05-13,2025-05-09,Quaggin Susan E,,A,1203.0,0.0,,2525.0,0001415889-25-012799
2025-05-13,2025-05-09,MEYER MELODY B,,A,1203.0,0.0,,16498.0,0001415889-25-012798
2025-05-13,2025-05-09,Hart Brett J,,A,1203.0,0.0,,19472.0,0001415889-25-012797
2025-05-13,2025-05-09,Davis Jennifer L.,,A,1203.0,0.0,,2525.0,0001415889-25-012796
2025-05-13,2025-05-09,BURNSIDE WILLIAM H.L.,,A,1203.0,0.0,,26958.0,0001415889-25-012795
2025-05-13,2025-05-09,AUSTIN ROXANNE S,,A,1203.0,0.0,,38458.0,0001415889-25-012794
2025-05-13,2025-05-09,Alpern Robert J,,A,1203.0,0.0,,35646.0,0001415889-25-012793
2025-05-13,2025-05-09,RAPP EDWARD J,,A,1203.0,0.0,,34458.0,0001415889-25-012792
2025-08-07,2025-08-05,Donoghoe Nicholas,"EVP, CHIEF BUS/STRAT OFFICER",S,10061.0,198.59,1998013.99,58247.0,0001415889-25-021280
2025-08-14,2025-08-12,SALEKI-GERHARDT AZITA,"EVP, CHIEF OPERATIONS OFFICER",S,42370.0,198.42,8407055.4,177292.0,0001415889-25-021944
2026-02-20,2026-02-18,Thakkar Roopal,"EVP, R&D and CSO",A,6638.0,0.0,,60413.0,0002004979-26-000002
2026-02-20,2026-02-18,Purdue David Ryan,"SVP, Controller",A,1384.0,0.0,,10576.0,0002057696-26-000002
2026-02-20,2026-02-18,Stewart Jeffrey Ryan,"EVP, CHIEF COMMERCIAL OFFICER",A,8988.0,0.0,,106983.0,0001761675-26-000002
2026-02-20,2026-02-18,Siatis Perry C,"EVP, GC AND SECRETARY",A,5808.0,0.0,,38137.0,0001951400-26-000002
2026-02-20,2026-02-18,SALEKI-GERHARDT AZITA,"EVP, CHIEF OPERATIONS OFFICER",A,6638.0,0.0,,214103.0,0001563545-26-000002
2026-02-20,2026-02-18,Crum Demetris D,"EVP, CHIEF HR OFFICER",A,1244.0,0.0,,9508.0,0002078592-26-000002
2026-02-20,2026-02-18,Donoghoe Nicholas,"EVP, CHIEF BUS/STRAT OFFICER",A,6222.0,0.0,,87304.0,0001762951-26-000002
2026-02-20,2026-02-18,Reents Scott T,"EVP, CHIEF FINANCIAL OFFICER",A,7260.0,0.0,,60415.0,0001937048-26-000002
2026-02-20,2026-02-18,Michael Robert A.,CHIEF EXECUTIVE OFFICER,A,22124.0,0.0,,215260.0,0001699914-26-000002
2026-02-27,2026-02-25,Siatis Perry C,"EVP, GC AND SECRETARY",S,22381.0,230.0,5147630.0,38137.0,0001951400-26-000004
2026-03-03,2026-02-27,Thakkar Roopal,"EVP, R&D and CSO",F,8037.0,232.08,1865226.96,52376.0,0002004979-26-000004
2026-03-03,2026-02-27,Michael Robert A.,CHAIRMAN OF THE BOARD AND CEO,F,36523.0,232.08,8476257.84,178737.0,0001699914-26-000004
2026-03-03,2026-02-27,Stewart Jeffrey Ryan,"EVP, CHIEF COMMERCIAL OFFICER",F,23812.0,232.08,5526288.96,83171.0,0001761675-26-000004
2026-03-03,2026-02-27,Reents Scott T,"EVP, CHIEF FINANCIAL OFFICER",F,21638.0,232.08,5021747.04,38777.0,0001937048-26-000004
2026-03-03,2026-02-27,Purdue David Ryan,"SVP, Controller",F,2692.0,232.08,624759.36,7884.0,0002057696-26-000004
2026-03-03,2026-02-27,SALEKI-GERHARDT AZITA,"EVP, CHIEF OPERATIONS OFFICER",F,16309.0,232.08,3784992.72,197794.0,0001563545-26-000004
2026-03-03,2026-02-27,Donoghoe Nicholas,"EVP, CHIEF BUS/STRAT OFFICER",F,12874.0,232.08,2987797.9200000004,74430.0,0001762951-26-000004
2026-03-03,2026-03-02,Siatis Perry C,"EVP, GC AND SECRETARY",S,2600.0,235.26,611676.0,4619.0,0001951400-26-000006
