filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-13,2024-08-09,SMITH DARLA M,,M,2793.0,0.0,,8841.0,0000002488-24-000143
2024-08-13,2024-08-09,SMITH DARLA M,,F,1083.0,134.27,145414.41,7758.0,0000002488-24-000143
2024-08-13,2024-08-09,PENG VICTOR,"President, AMD",M,10921.0,0.0,,26293.0,0000002488-24-000141
2024-08-13,2024-08-09,PENG VICTOR,"President, AMD",F,5416.0,134.27,727206.3200000001,20877.0,0000002488-24-000141
2024-08-13,2024-08-09,Papermaster Mark D,Chief Technology Officer & EVP,M,14398.0,0.0,,1560625.0,0000002488-24-000139
2024-08-13,2024-08-09,Papermaster Mark D,Chief Technology Officer & EVP,M,217054.0,0.0,,1777679.0,0000002488-24-000139
2024-08-13,2024-08-09,Papermaster Mark D,Chief Technology Officer & EVP,F,5667.0,134.27,760908.0900000001,1772012.0,0000002488-24-000139
2024-08-13,2024-08-09,Papermaster Mark D,Chief Technology Officer & EVP,F,85411.0,134.27,11468134.97,1686601.0,0000002488-24-000139
2024-08-13,2024-08-09,Norrod Forrest Eugene,EVP & GM DESG,M,9297.0,0.0,,275478.0,0000002488-24-000137
2024-08-13,2024-08-09,Norrod Forrest Eugene,EVP & GM DESG,F,3660.0,134.27,491428.2,271818.0,0000002488-24-000137
2024-08-13,2024-08-09,GUIDO PHILIP,EVP & Chief Commercial Officer,M,2642.0,0.0,,29917.0,0000002488-24-000135
2024-08-13,2024-08-09,GUIDO PHILIP,EVP & Chief Commercial Officer,F,1040.0,134.27,139640.80000000002,28877.0,0000002488-24-000135
2024-08-13,2024-08-09,Su Lisa T,"Chair, President & CEO",M,32215.0,0.0,,2992881.0,0000002488-24-000133
2024-08-13,2024-08-09,Su Lisa T,"Chair, President & CEO",M,775194.0,0.0,,3768075.0,0000002488-24-000133
2024-08-13,2024-08-09,Su Lisa T,"Chair, President & CEO",F,12678.0,134.27,1702275.06,3755397.0,0000002488-24-000133
2024-08-13,2024-08-09,Su Lisa T,"Chair, President & CEO",F,305039.0,134.27,40957586.53,3450358.0,0000002488-24-000133
2024-08-13,2024-08-09,Hu Jean X.,"EVP, CFO and Treasurer",M,3303.0,0.0,,42809.0,0000002488-24-000131
2024-08-13,2024-08-09,Hu Jean X.,"EVP, CFO and Treasurer",F,1300.0,134.27,174551.0,41509.0,0000002488-24-000131
2024-08-13,2024-08-09,HUYNH JACK M,"SVP & GM, Computing & Graphics",M,6544.0,0.0,,425587.0,0000002488-24-000129
2024-08-13,2024-08-09,HUYNH JACK M,"SVP & GM, Computing & Graphics",F,2576.0,134.27,345879.52,423011.0,0000002488-24-000129
2024-08-19,2024-08-15,HUYNH JACK M,"SVP & GM, Computing & Graphics",M,8764.0,0.0,,431775.0,0000002488-24-000151
2024-08-19,2024-08-15,HUYNH JACK M,"SVP & GM, Computing & Graphics",F,3450.0,147.36,508392.00000000006,428325.0,0000002488-24-000151
2024-08-19,2024-08-15,Su Lisa T,"Chair, President & CEO",M,191928.0,0.0,,3642286.0,0000002488-24-000149
2024-08-19,2024-08-15,Su Lisa T,"Chair, President & CEO",F,75524.0,147.36,11129216.64,3566762.0,0000002488-24-000149
2024-08-19,2024-08-15,Papermaster Mark D,Chief Technology Officer & EVP,M,60032.0,0.0,,1746633.0,0000002488-24-000147
2024-08-19,2024-08-15,Papermaster Mark D,Chief Technology Officer & EVP,F,23623.0,147.36,3481085.2800000003,1723010.0,0000002488-24-000147
