filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-19,2024-08-15,Herrington Douglas J,CEO Worldwide Amazon Stores,S,500.0,176.184,88092.0,512004.0,0001018724-24-000134
2024-08-23,2024-08-21,Jassy Andrew R,President and CEO,S,890.0,182.1103,162078.167,2056534.0,0001018724-24-000146
2024-08-23,2024-08-21,Herrington Douglas J,CEO Worldwide Amazon Stores,S,504.0,182.1754,91816.4016,521160.0,0001018724-24-000144
2024-08-23,2024-08-21,Garman Matthew S,CEO Amazon Web Services,S,538.0,182.2157,98032.0466,0.0,0001018724-24-000142
2024-08-23,2024-08-21,Olsavsky Brian T,Senior Vice President and CFO,S,14600.0,180.0,2628000.0,49000.0,0001018724-24-000140
2024-08-23,2024-08-21,Zapolsky David,Senior Vice President,S,1032.0,182.0703,187896.5496,64610.0,0001018724-24-000138
2024-08-23,2024-08-21,Reynolds Shelley,Vice President,S,200.0,182.195,36439.0,121461.0,0001018724-24-000136
2024-08-30,2024-08-29,BEZOS JEFFREY P,Executive Chair,G,261739.0,0.0,,927474514.0,0001018724-24-000148
2024-09-05,2024-09-03,Herrington Douglas J,CEO Worldwide Amazon Stores,S,3500.0,177.87,622545.0,517660.0,0001018724-24-000150
2024-09-26,2024-09-24,Zapolsky David,Senior Vice President,S,2190.0,195.0,427050.0,62420.0,0001018724-24-000154
2024-10-03,2024-10-01,Herrington Douglas J,CEO Worldwide Amazon Stores,S,3500.0,184.8,646800.0,514160.0,0001018724-24-000156
2024-11-05,2024-11-01,RUBINSTEIN JONATHAN,董事,S,5004.0,199.85,1000049.4,99396.0,0001018724-24-000167
2024-11-05,2024-11-01,Herrington Douglas J,CEO Worldwide Amazon Stores,S,3500.0,198.96,696360.0,510660.0,0001018724-24-000165
2024-11-05,2024-11-01,BEZOS JEFFREY P,Executive Chair,S,1068452.0,200.0657,213760597.2964,926406062.0,0001018724-24-000163
