filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-09-19,2024-09-17,TAN HOCK E,President and CEO,S,50000.0,163.371,8168550.000000001,1331910.0,0001730168-24-000101
2024-09-23,2024-09-19,Kawwas Charlie B,"President, Semi Solutions Grp",S,25200.0,168.274,4240504.8,753280.0,0001730168-24-000103
2024-09-26,2024-09-24,TAN HOCK E,President and CEO,S,150000.0,172.94,25941000.0,1181910.0,0001730168-24-000105
2024-09-27,2024-09-25,SAMUELI HENRY,董事,G,142988.0,0.0,,39600492.0,0001104659-24-103762
2024-09-27,2024-09-25,DELLY GAYLA J,董事,S,750.0,174.53,130897.5,34750.0,0001730168-24-000107
2024-10-03,2024-10-01,TAN HOCK E,President and CEO,S,10000.0,167.141,1671410.0,1171910.0,0001730168-24-000109
2024-10-07,2024-10-04,TAN HOCK E,President and CEO,S,20000.0,174.874,3497480.0,1131910.0,0001730168-24-000111
2024-10-09,2024-10-07,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,20280.0,177.098,3591547.4400000004,399460.0,0001730168-24-000113
2024-10-11,2024-10-09,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,18900.0,182.875,3456337.5,380560.0,0001730168-24-000115
2024-10-16,2024-10-11,Kawwas Charlie B,"President, Semi Solutions Grp",S,15950.0,181.445,2894047.75,737330.0,0001730168-24-000119
2024-10-16,2024-10-11,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,18900.0,181.45,3429405.0,361660.0,0001730168-24-000117
2024-11-08,2024-11-06,TAN HOCK E,President and CEO,F,696804.0,179.55,125111158.2,887836.0,0001730168-24-000121
2024-12-18,2024-12-16,Spears Kirsten M.,CFO & Chief Accounting Officer,F,96682.0,224.8,21734113.6,338013.0,0001730168-24-000129
2024-12-18,2024-12-16,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,F,19832.0,224.8,4458233.600000001,341828.0,0001730168-24-000127
2024-12-18,2024-12-16,SAMUELI HENRY,董事,G,137795.0,0.0,,39462697.0,0001104659-24-129647
2024-12-19,2024-12-17,You Harry L.,董事,S,6540.0,240.004,1569626.16,30450.0,0001730168-24-000133
2024-12-19,2024-12-17,PAGE JUSTINE,董事,G,1000.0,0.0,,26180.0,0001730168-24-000131
2024-12-26,2024-12-20,Spears Kirsten M.,CFO & Chief Accounting Officer,S,12570.0,229.62,2886323.4,325443.0,0001730168-24-000143
2024-12-26,2024-12-23,Bryant Diane M,董事,S,15000.0,226.68,3400200.0,6460.0,0001730168-24-000141
2024-12-27,2024-12-24,TAN HOCK E,President and CEO,G,130000.0,0.0,,712836.0,0001730168-24-000147
2024-12-27,2024-12-24,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,20168.0,238.791,4815936.888,321660.0,0001730168-24-000145
2025-01-06,2025-01-02,Kawwas Charlie B,"President, Semi Solutions Grp",S,40000.0,231.98,9279200.0,696730.0,0001730168-25-000002
2025-01-08,2025-01-06,Low Check Kian,董事,S,48000.0,235.35,11296800.0,113050.0,0001730168-25-000004
2025-01-10,2025-01-08,HARTENSTEIN EDDY W,董事,S,4000.0,229.637,918548.0,46400.0,0001730168-25-000006
2025-03-06,2025-03-04,Spears Kirsten M.,CFO & Chief Accounting Officer,A,118760.0,0.0,,444203.0,0001730168-25-000015
2025-03-06,2025-03-04,Kawwas Charlie B,"President, Semi Solutions Grp",A,150000.0,0.0,,232990.0,0001730168-25-000013
2025-03-06,2025-03-04,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,A,262500.0,0.0,,584160.0,0001730168-25-000011
2025-03-18,2025-03-17,Spears Kirsten M.,CFO & Chief Accounting Officer,F,86024.0,195.54,16821132.96,418247.0,0001730168-25-000025
2025-03-18,2025-03-17,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,F,123204.0,195.54,24091310.16,520956.0,0001730168-25-000023
2025-03-19,2025-03-17,Kawwas Charlie B,"President, Semi Solutions Grp",F,98396.0,195.54,19240353.84,134746.0,0001730168-25-000027
2025-03-26,2025-03-24,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,30000.0,194.65,5839500.0,490956.0,0001730168-25-000029
2025-03-28,2025-03-26,SAMUELI HENRY,董事,G,136248.0,0.0,,38662473.0,0001104659-25-029438
2025-04-15,2025-04-11,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,25000.0,180.0,4500000.0,465956.0,0001730168-25-000031
2025-04-16,2025-04-14,PAGE JUSTINE,董事,S,800.0,185.0,148000.0,25380.0,0001730168-25-000033
2025-04-23,2025-04-21,SAMUELI HENRY,董事,A,1602.0,0.0,,3492.0,0001104659-25-038130
2025-04-23,2025-04-21,You Harry L.,董事,A,1602.0,0.0,,32052.0,0001730168-25-000049
2025-04-23,2025-04-21,PAGE JUSTINE,董事,A,1602.0,0.0,,26982.0,0001730168-25-000047
2025-04-23,2025-04-21,Low Check Kian,董事,F,152.0,166.21,25263.92,114500.0,0001730168-25-000045
2025-04-23,2025-04-21,HARTENSTEIN EDDY W,董事,A,1602.0,0.0,,3492.0,0001730168-25-000043
2025-04-23,2025-04-21,DELLY GAYLA J,董事,A,1602.0,0.0,,36352.0,0001730168-25-000041
2025-04-23,2025-04-21,Bryant Diane M,董事,A,1602.0,0.0,,8062.0,0001730168-25-000039
2025-04-23,2025-04-21,Hao Kenneth,,A,1602.0,0.0,,3942.0,0000950170-25-057448
2025-05-16,2025-05-14,PAGE JUSTINE,董事,S,800.0,230.19,184152.0,26182.0,0001730168-25-000051
2025-06-13,2025-06-11,Kawwas Charlie B,"President, Semi Solutions Grp",S,10000.0,252.881,2528810.0,789784.0,0001730168-25-000066
2025-06-16,2025-06-12,TAN HOCK E,President and CEO,S,117758.0,252.91,29782175.78,1014152.0,0001730168-25-000070
2025-06-18,2025-06-16,PAGE JUSTINE,董事,S,800.0,250.35,200280.0,25382.0,0001730168-25-000072
2025-06-23,2025-06-18,Spears Kirsten M.,CFO & Chief Accounting Officer,S,56310.0,251.749,14175986.19,361937.0,0001730168-25-000074
2025-06-25,2025-06-23,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,50000.0,253.285,12664250.0,415956.0,0001730168-25-000076
2025-06-25,2025-06-24,TAN HOCK E,President and CEO,S,40000.0,262.173,10486920.0,974152.0,0001730168-25-000078
2025-06-26,2025-06-24,Spears Kirsten M.,CFO & Chief Accounting Officer,S,36350.0,261.269,9497128.15,325587.0,0001730168-25-000082
2025-06-26,2025-06-24,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,50000.0,262.101,13105050.0,365956.0,0001730168-25-000080
2025-06-27,2025-06-25,SAMUELI HENRY,董事,G,94780.0,0.0,,31479210.0,0001104659-25-063682
2025-06-27,2025-06-25,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,G,9450.0,0.0,,356506.0,0001730168-25-000084
2025-06-30,2025-06-26,TAN HOCK E,President and CEO,S,40000.0,268.293,10731720.0,482836.0,0001730168-25-000088
2025-06-30,2025-06-26,DELLY GAYLA J,董事,S,3000.0,265.13,795390.0,33352.0,0001730168-25-000086
2025-07-11,2025-07-09,SAMUELI HENRY,董事,G,49670.0,0.0,,31429540.0,0001104659-25-067440
2025-07-16,2025-07-14,PAGE JUSTINE,董事,S,800.0,274.3,219440.0,24582.0,0001730168-25-000091
2025-08-15,2025-08-14,PAGE JUSTINE,董事,S,800.0,307.46,245968.0,23782.0,0001359561-25-000003
2025-09-10,2025-09-10,You Harry L.,董事,P,500.0,363.375,181687.5,35602.0,0001730168-25-000100
2025-09-12,2025-09-10,TAN HOCK E,President and CEO,S,148154.0,336.67,49879007.18,825998.0,0001730168-25-000102
2025-09-17,2025-09-15,PAGE JUSTINE,董事,S,800.0,360.0,288000.0,22982.0,0001359561-25-000005
2025-09-18,2025-09-17,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,40.0,359.58,14383.2,329302.0,0001730168-25-000108
2025-09-18,2025-09-17,Kawwas Charlie B,"President, Semi Solutions Grp",S,69.0,358.69,24749.61,25295.0,0001608425-25-000005
2025-09-18,2025-09-17,Spears Kirsten M.,CFO & Chief Accounting Officer,S,32.0,359.58,11506.56,313330.0,0001730168-25-000106
2025-09-25,2025-09-23,TAN HOCK E,President and CEO,S,34984.0,340.264,11903795.776,725638.0,0001730168-25-000110
2025-09-26,2025-09-24,SAMUELI HENRY,董事,G,75678.0,0.0,,37646856.0,0001104659-25-093914
2025-10-16,2025-10-14,PAGE JUSTINE,董事,S,800.0,350.15,280120.0,22182.0,0001359561-25-000007
2025-11-18,2025-11-14,PAGE JUSTINE,董事,S,800.0,331.14,264912.0,21382.0,0001730168-25-000112
2025-12-09,2025-12-08,SAMUELI HENRY,董事,G,68933.0,0.0,,37257607.0,0001104659-25-119782
2025-12-17,2025-12-16,PAGE JUSTINE,董事,G,400.0,0.0,,20182.0,0001730168-25-000118
2025-12-18,2025-12-16,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,80.0,347.14,27771.2,304775.0,0001627720-25-000005
2025-12-18,2025-12-17,Kawwas Charlie B,"President, Semi Solutions Grp",S,20.0,345.04,6900.8,23582.0,0001730168-25-000125
2025-12-18,2025-12-17,Spears Kirsten M.,CFO & Chief Accounting Officer,S,4.0,346.49,1385.96,307237.0,0001730168-25-000123
2025-12-19,2025-12-17,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,120.0,345.013,41401.56,266494.0,0001730168-25-000127
2025-12-22,2025-12-18,You Harry L.,董事,P,1000.0,325.129,325129.0,36602.0,0001432602-25-000006
2025-12-22,2025-12-18,TAN HOCK E,President and CEO,S,130000.0,326.02,42382600.0,595638.0,0001211588-25-000005
2025-12-29,2025-12-23,TAN HOCK E,President and CEO,S,856.0,349.848,299469.88800000004,495638.0,0001730168-25-000130
2025-12-30,2025-12-26,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,25921.0,352.072,9126058.312,240573.0,0001730168-25-000132
2026-01-05,2025-12-31,Spears Kirsten M.,CFO & Chief Accounting Officer,S,29977.0,347.821,10426630.117,277237.0,0001730168-26-000002
2026-01-08,2026-01-06,TAN HOCK E,President and CEO,S,9723.0,348.28,3386326.44,132836.0,0001730168-26-000004
2026-01-08,2026-01-06,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,5887.0,347.66,2046674.42,210573.0,0001627720-26-000002
2026-03-04,2026-03-02,Velaga S. Ram,"President, ISG",A,125000.0,0.0,,160458.0,0002103553-26-000002
2026-03-04,2026-03-02,Spears Kirsten M.,CFO & Chief Accounting Officer,A,110640.0,0.0,,387877.0,0001670725-26-000002
2026-03-04,2026-03-02,Kawwas Charlie B,"President, SSG",A,125000.0,0.0,,139392.0,0001608425-26-000002
2026-03-04,2026-03-02,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,A,151250.0,0.0,,361823.0,0001627720-26-000004
2026-03-18,2026-03-17,Velaga S. Ram,"President, ISG",S,488.0,326.718,159438.38400000002,96147.0,0002103553-26-000004
2026-03-18,2026-03-17,Spears Kirsten M.,CFO & Chief Accounting Officer,S,480.0,326.742,156836.16,327760.0,0001730168-26-000022
2026-03-18,2026-03-17,Kawwas Charlie B,"President, SSG",S,731.0,326.611,238752.641,74626.0,0001730168-26-000020
2026-03-18,2026-03-17,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,854.0,326.673,278978.742,278141.0,0001730168-26-000018
2026-03-27,2026-03-25,SAMUELI HENRY,董事,G,172799.0,0.0,,30558484.0,0001104659-26-036164
2026-04-10,2026-04-08,TAN HOCK E,President and CEO,G,22000.0,0.0,,110836.0,0001730168-26-000028
2026-04-10,2026-04-08,PAGE JUSTINE,董事,S,2018.0,353.0001,712354.2017999999,18164.0,0001730168-26-000026
2026-04-10,2026-04-08,Kawwas Charlie B,"President, SSG",S,10000.0,345.227,3452269.9999999995,787184.0,0001730168-26-000024
2026-04-10,2026-04-09,Velaga S. Ram,"President, ISG",S,17260.0,352.1184,6077563.584,65932.0,0001730168-26-000030
2026-04-13,2026-04-09,DELLY GAYLA J,董事,S,1000.0,358.31,358310.0,32352.0,0001730168-26-000032
2026-04-14,2026-04-10,Velaga S. Ram,"President, ISG",S,8000.0,370.5223,2964178.4,57932.0,0001730168-26-000034
2026-04-22,2026-04-20,You Harry L.,董事,A,864.0,0.0,,37466.0,0001730168-26-000043
2026-04-22,2026-04-20,PAGE JUSTINE,董事,A,864.0,0.0,,19028.0,0001359561-26-000002
2026-04-22,2026-04-20,Low Check Kian,董事,F,117.0,399.63,46756.71,115247.0,0001692615-26-000002
2026-04-22,2026-04-20,DELLY GAYLA J,董事,A,864.0,0.0,,33216.0,0001218358-26-000002
2026-04-22,2026-04-20,Bryant Diane M,董事,A,864.0,0.0,,8926.0,0001730168-26-000041
2026-04-22,2026-04-20,Hao Kenneth,,A,864.0,0.0,,4806.0,0001193125-26-170554
2026-04-23,2026-04-21,SAMUELI HENRY,董事,A,864.0,0.0,,4356.0,0001104659-26-047737
2026-06-15,2026-06-11,You Harry L.,董事,P,1000.0,373.57,373570.0,38466.0,0001730168-26-000056
2026-06-17,2026-06-15,O'Toole Amie Thuener,Chief Financial Officer,A,50000.0,0.0,,50151.036,0001730168-26-000060
2026-06-18,2026-06-17,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,36.0,400.29,14410.44,269989.0,0001730168-26-000062
2026-06-26,2026-06-24,SAMUELI HENRY,董事,G,263903.0,0.0,,29984040.0,0001104659-26-078348
2026-06-29,2026-06-25,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,25000.0,387.0,9675000.0,244989.0,0001730168-26-000064
2026-07-01,2026-06-29,PAGE JUSTINE,董事,S,1602.0,373.855,598915.7100000001,17426.0,0001359561-26-000004
2026-07-10,2026-07-08,DELLY GAYLA J,董事,S,1890.0,385.38,728368.2,31326.0,0001730168-26-000068
2026-07-10,2026-07-08,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,25000.0,379.188,9479700.0,219989.0,0001730168-26-000066
2026-07-14,2026-07-10,DELLY GAYLA J,董事,G,500.0,0.0,,30826.0,0001730168-26-000072
2026-07-14,2026-07-10,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,S,25000.0,401.329,10033225.0,194989.0,0001730168-26-000070
2026-09-17,2026-09-15,O'Toole Amie Thuener,Chief Financial Officer,F,1554.0,339.27,527225.58,48597.036,0001730168-26-000084
2026-09-17,2026-09-15,Brazeal Mark David,Chief Legal & Corp Affairs Ofc,F,8059.0,339.27,2734176.9299999997,186930.0,0001730168-26-000082
