filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-19,2024-08-19,BERKSHIRE HATHAWAY INC,,S,5035018.0,39.6454,199615302.6172,928460939.0,0000950170-24-098772
2024-08-27,2024-08-27,BERKSHIRE HATHAWAY INC,,S,6931283.0,39.7504,275521271.7632,903800376.0,0000950170-24-101212
2024-08-30,2024-08-30,BERKSHIRE HATHAWAY INC,,S,7938699.0,40.6117,322404062.1783,882723903.0,0000950170-24-102487
2024-09-05,2024-09-05,BERKSHIRE HATHAWAY INC,,S,5031014.0,40.2837,202667858.6718,863977599.0,0000950170-24-104183
2024-09-10,2024-09-10,BERKSHIRE HATHAWAY INC,,S,2994625.0,39.2978,117682174.325,858180506.0,0000950170-24-105263
2024-09-12,2024-09-09,BERKSHIRE HATHAWAY INC,,J,70002897.0,0.0,,0.0,0000950170-24-106169
2024-09-12,2024-09-09,BERKSHIRE HATHAWAY INC,,J,35182219.0,0.0,,0.0,0000950170-24-106166
2024-09-13,2024-09-12,Jain Ajit,Vice Chairman,G,23.0,,,443.0,0001728451-24-000005
2024-09-13,2024-09-12,BUFFETT WARREN E,Chairman and CEO,G,10.0,0.0,,1333.0,0000950170-24-106521
2024-09-19,2024-09-19,BERKSHIRE HATHAWAY INC,,S,11422560.0,40.779,465800574.24000007,835908435.0,0000950170-24-108228
2024-09-24,2024-09-24,BERKSHIRE HATHAWAY INC,,S,6371845.0,39.4937,251647734.8765,814347226.0,0000950170-24-109158
2024-09-27,2024-09-27,BERKSHIRE HATHAWAY INC,,S,3915126.0,39.5226,154735958.84759998,802668860.0,0000950170-24-110123
2024-10-02,2024-10-02,BERKSHIRE HATHAWAY INC,,S,1722523.0,39.4036,67873607.28279999,794120913.0,0000950170-24-111799
2024-10-07,2024-10-07,BERKSHIRE HATHAWAY INC,,S,4076169.0,40.054,163266873.12600002,784549933.0,0000950170-24-113350
2024-10-10,2024-10-10,BERKSHIRE HATHAWAY INC,,S,1614511.0,39.9175,64447242.8425,775000000.0,0000950170-24-114125
2024-10-11,2024-10-11,BERKSHIRE HATHAWAY INC,,P,1259259.0,24.9474,31415237.9766,108719088.0,0000950170-24-114414
2024-10-17,2024-10-15,BERKSHIRE HATHAWAY INC,,S,324360.0,43.1891,14008816.476000002,766305462.0,0000950170-24-115415
2024-10-18,2024-10-18,BERKSHIRE HATHAWAY INC,,P,175569.0,27.4305,4815945.4545,110276790.0,0000950170-24-115720
2024-10-31,2024-10-31,BERKSHIRE HATHAWAY INC,,P,679207.0,26.5913,18060997.0991,112504729.0,0000950170-24-119748
2024-11-22,2024-11-20,Jain Ajit,Vice Chairman,G,4.0,,,439.0,0001728451-24-000006
2024-11-25,2024-11-25,BUFFETT WARREN E,Chairman and CEO,G,300000.0,0.0,,1333.0,0000950170-24-130514
2024-12-04,2024-12-04,BUFFETT WARREN E,Chairman and CEO,G,6382.0,0.0,,951.0,0000950170-24-133370
2024-12-11,2024-12-09,GUYMAN CHARLOTTE,,G,84.0,0.0,,3619.0,0000950170-24-135465
2024-12-19,2024-12-19,BERKSHIRE HATHAWAY INC,,P,1897.0,194.2652,368521.0844,13049925.0,0000950170-24-138717
2024-12-19,2024-12-19,BERKSHIRE HATHAWAY INC,,P,31326.0,21.519,674104.1939999999,117468573.0,0000950170-24-138712
2024-12-19,2024-12-19,BERKSHIRE HATHAWAY INC,,P,241706.0,46.3088,11193114.8128,264178414.0,0000950170-24-138710
2024-12-26,2024-12-24,BERKSHIRE HATHAWAY INC,,P,200.0,201.62,40324.0,13193349.0,0000950170-24-140587
2024-12-27,2024-12-24,GUYMAN CHARLOTTE,,G,247.0,0.0,,3372.0,0000950170-24-140795
2024-12-30,2024-12-30,BERKSHIRE HATHAWAY INC,,P,9741.0,204.8507,1995450.6687,13269836.0,0000950170-24-141263
2025-01-03,2025-01-03,BERKSHIRE HATHAWAY INC,,P,800.0,204.9429,163954.32,13289880.0,0000950170-25-001530
2025-01-17,2025-01-16,Jain Ajit,Vice Chairman,G,3.0,,,436.0,0001728451-25-000001
2025-02-03,2025-02-03,BERKSHIRE HATHAWAY INC,,P,283899.0,24.0519,6828310.3581,119776692.0,0000950170-25-012600
2025-02-11,2025-02-07,BERKSHIRE HATHAWAY INC,,P,763017.0,46.8195,35724074.431499995,264941431.0,0000950170-25-018266
2025-02-13,2025-02-11,BERKSHIRE HATHAWAY INC,,S,203091.0,156.011,31684430.001,35892479.0,0000950170-25-020189
2025-02-19,2025-02-19,BERKSHIRE HATHAWAY INC,,S,9477.0,155.2467,1471272.9759,35142479.0,0000950170-25-023556
2025-03-04,2025-03-03,WITMER MERYL  B,董事,S,2.0,775883.3,1551766.6,2.0,0000919574-25-001778
2025-03-14,2025-03-14,Jain Ajit,Vice Chairman,G,10.0,,,426.0,0001728451-25-000002
2025-03-21,2025-03-19,GUYMAN CHARLOTTE,,G,1000.0,0.0,,2372.0,0000950170-25-043423
2025-04-04,2025-04-02,Jain Ajit,Vice Chairman,G,10.0,,,416.0,0001728451-25-000003
2025-04-09,2025-04-09,BUFFETT WARREN E,Chairman and CEO,G,160.0,0.0,,791.0,0000950170-25-052621
2025-05-12,2025-05-08,BERKSHIRE HATHAWAY INC,,S,1145938.0,147.108,168576647.304,33996541.0,0000950170-25-069150
2025-05-15,2025-05-14,BUFFETT WARREN E,Chairman and CEO,G,22.0,0.0,,965.0,0000950170-25-072923
2025-05-27,2025-05-27,BERKSHIRE HATHAWAY INC,,S,11978.0,140.1794,1679068.8531999998,33796541.0,0000950170-25-078056
2025-06-30,2025-06-30,BUFFETT WARREN E,Chairman and CEO,G,660366.0,0.0,,1144.0,0000950170-25-091838
2025-07-16,2025-07-14,BUFFETT WARREN E,Chairman and CEO,G,30.0,0.0,,1114.0,0000950170-25-096373
2025-08-01,2025-07-30,BERKSHIRE HATHAWAY INC,,S,4300000.0,282.15,1213245000.0,8989880.0,0000950170-25-101546
2025-08-04,2025-07-31,BERKSHIRE HATHAWAY INC,,S,1635962.0,140.6052,230024764.2024,32160579.0,0000950170-25-102306
2025-08-04,2025-08-04,BERKSHIRE HATHAWAY INC,,P,1037199.0,21.6252,22429635.8148,124807117.0,0000950170-25-102303
2025-08-08,2025-08-08,Jain Ajit,Vice Chairman,S,2000.0,464.726,929452.0,122308.0,0001728451-25-000006
2025-09-26,2025-09-24,Jain Ajit,Vice Chairman,G,32.0,,,384.0,0001728451-25-000007
2025-09-26,2025-09-26,Jain Ajit,Vice Chairman,S,15000.0,,,107308.0,0001728451-25-000008
2025-10-24,2025-10-22,Jain Ajit,Vice Chairman,G,32.0,,,352.0,0001728451-25-000009
2025-10-29,2025-10-27,BERKSHIRE HATHAWAY INC,,S,401514.0,135.3558,54347248.6812,31759065.0,0001193125-25-256858
2025-11-05,2025-11-03,GUYMAN CHARLOTTE,,G,410.0,0.0,,3462.0,0001193125-25-267252
2025-11-12,2025-11-10,BUFFETT WARREN E,Chairman and CEO,G,400000.0,0.0,,1114.0,0001193125-25-277658
2026-02-02,2026-01-29,BERKSHIRE HATHAWAY INC,,S,1658480.0,120.5561,199939880.728,30100585.0,0001193125-26-033900
2026-02-17,2026-01-16,BERKSHIRE HATHAWAY INC,,S,7685.0,83.7221,643404.3385,10587143.0,0001193125-26-054947
2026-03-27,2026-03-27,Jain Ajit,Vice Chairman,G,22.0,,,330.0,0001728451-26-000001
2026-05-05,2026-05-01,BERKSHIRE HATHAWAY INC,,S,1220376.0,149.8429,182864678.9304,28880209.0,0001193125-26-207021
2026-05-06,2026-05-06,O'Sullivan Michael J.,See Remarks,P,53.0,470.22,24921.66,663.0,0001193125-26-209661
2026-05-18,2026-05-14,GUYMAN CHARLOTTE,,G,574.0,0.0,,2888.0,0001193125-26-229218
2026-05-20,2026-05-18,BUFFETT WARREN E,,G,18646.0,0.0,,1322.0,0001193125-26-232543
