filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-15,2024-08-13,GALANTI RICHARD A,Executive Vice President,S,500.0,863.875,431937.5,23800.0,0001127602-24-022267
2024-08-15,2024-08-13,GALANTI RICHARD A,Executive Vice President,G,400.0,0.0,,23400.0,0001127602-24-022267
2024-08-15,2024-08-15,GALANTI RICHARD A,Executive Vice President,S,500.0,874.05,437025.0,22900.0,0001127602-24-022267
2024-08-15,2024-08-15,DECKER SUSAN L,董事,S,620.0,876.5,543430.0,11774.936,0001127602-24-022265
2024-08-29,2024-07-25,Jones Teresa A.,Executive Vice President,S,4.0,832.5475,3330.19,4935.017,0001127602-24-023189
2024-09-18,2024-09-16,Rubanenko Yoram,Executive Vice President,A,6737.124,0.0,,12647.254,0001127602-24-024176
2024-09-18,2024-09-16,Rubanenko Yoram,Executive Vice President,F,2873.222,907.87,2608512.05714,9774.032,0001127602-24-024176
2024-09-18,2024-09-16,Riel Pierre,Executive Vice President,A,7433.436,0.0,,14855.612,0001127602-24-024174
2024-09-18,2024-09-16,Riel Pierre,Executive Vice President,F,2645.366,907.87,2401648.43042,12210.246,0001127602-24-024174
2024-09-18,2024-09-16,Miller Russell D,Senior EVP,A,7433.436,0.0,,7435.082,0001127602-24-024172
2024-09-18,2024-09-16,Miller Russell D,Senior EVP,F,2832.072,907.87,2571153.20664,4603.01,0001127602-24-024172
2024-09-18,2024-09-16,Klauer James C,Executive Vice President,A,6737.124,0.0,,50701.242,0001127602-24-024170
2024-09-18,2024-09-16,Klauer James C,Executive Vice President,F,1610.418,907.87,1462050.18966,49090.824,0001127602-24-024170
2024-09-18,2024-09-16,GALANTI RICHARD A,Executive Vice President,A,9482.67,0.0,,32382.67,0001127602-24-024168
2024-09-18,2024-09-16,GALANTI RICHARD A,Executive Vice President,F,3566.209,907.87,3237654.1648299997,28816.461,0001127602-24-024168
2024-09-18,2024-09-16,Frates Caton,Executive Vice President,A,6737.124,0.0,,13493.323,0001127602-24-024166
2024-09-18,2024-09-16,Frates Caton,Executive Vice President,F,2111.028,907.87,1916538.9903599997,11382.295,0001127602-24-024166
2024-09-18,2024-09-16,Callans Patrick J,Executive Vice President,A,6737.124,0.0,,69632.002,0001127602-24-024162
2024-09-18,2024-09-16,Callans Patrick J,Executive Vice President,F,718.465,907.87,652272.81955,68913.537,0001127602-24-024162
2024-09-18,2024-09-16,Adamo Claudine,Executive Vice President,A,6737.124,0.0,,13431.738,0001127602-24-024159
2024-09-18,2024-09-16,Adamo Claudine,Executive Vice President,F,1602.151,907.87,1454544.82837,11829.587,0001127602-24-024159
2024-09-26,2024-09-24,Miller Russell D,Sr. Executive Vice President,G,4602.0,0.0,,1.01,0001127602-24-024514
2024-09-26,2024-09-24,Miller Russell D,Sr. Executive Vice President,G,4602.0,0.0,,14602.0,0001127602-24-024514
2024-10-02,2024-09-30,Adamo Claudine,Executive Vice President,S,3200.0,888.993,2844777.6,8629.587,0001127602-24-024943
2024-10-02,2024-09-30,Callans Patrick J,Executive Vice President,S,2500.0,893.94,2234850.0,66413.537,0001127602-24-024926
2024-10-02,2024-09-30,Callans Patrick J,Executive Vice President,G,750.0,0.0,,65663.537,0001127602-24-024926
2024-10-02,2024-09-30,Frates Caton,Executive Vice President,S,1700.0,883.35,1501695.0,9682.295,0001127602-24-024922
2024-10-15,2024-10-11,Miller Russell D,Sr. Executive Vice President,S,4400.0,891.152,3921068.8000000003,10202.0,0001127602-24-025504
2024-10-15,2024-10-15,Riel Pierre,Executive Vice President,S,2000.0,896.713,1793426.0,10210.246,0001127602-24-025529
2024-10-24,2024-10-22,Klauer James C,Executive Vice President,F,291.224,893.49,260205.73176,48799.6,0001127602-24-025957
2024-10-24,2024-10-22,Klauer James C,Executive Vice President,F,239.95,893.49,214392.92549999998,48559.65,0001127602-24-025957
2024-10-24,2024-10-22,Klauer James C,Executive Vice President,F,191.079,893.49,170727.17571,48368.571,0001127602-24-025957
2024-10-24,2024-10-22,Klauer James C,Executive Vice President,F,198.289,893.49,177169.23861,48170.282,0001127602-24-025957
2024-10-24,2024-10-22,Klauer James C,Executive Vice President,F,176.658,893.49,157842.15641999998,47993.624,0001127602-24-025957
2024-10-24,2024-10-22,Vachris Roland Michael,President and CEO,A,19147.562,0.0,,46407.725,0001127602-24-025953
2024-10-24,2024-10-22,Vachris Roland Michael,President and CEO,F,1730.863,893.49,1546508.78187,44676.862,0001127602-24-025953
2024-10-24,2024-10-22,Sullivan John Christopher,Executive VP,A,7433.436,0.0,,48051.527,0001127602-24-025952
2024-10-24,2024-10-22,Sullivan John Christopher,Executive VP,F,514.349,893.49,459565.68801000004,47537.178,0001127602-24-025952
2024-10-24,2024-10-22,Sullivan John Christopher,Executive VP,F,421.414,893.49,376529.19486,47115.764,0001127602-24-025952
2024-10-24,2024-10-22,Sullivan John Christopher,Executive VP,F,572.834,893.49,511821.45066,46542.93,0001127602-24-025952
2024-10-24,2024-10-22,Sullivan John Christopher,Executive VP,F,427.386,893.49,381865.11714000005,46115.544,0001127602-24-025952
2024-10-24,2024-10-22,Sullivan John Christopher,Executive VP,F,584.852,893.49,522559.41348,45530.692,0001127602-24-025952
2024-10-24,2024-10-22,POLIT JAVIER,Executive Vice President,A,6737.124,0.0,,10420.248,0001127602-24-025950
2024-10-24,2024-10-22,POLIT JAVIER,Executive Vice President,F,380.176,893.49,339683.45424,10040.072,0001127602-24-025950
2024-10-24,2024-10-22,POLIT JAVIER,Executive Vice President,F,293.891,893.49,262588.66959,9746.181,0001127602-24-025950
2024-10-24,2024-10-22,MILLERCHIP GARY,Executive Vice President,A,3922.0,0.0,,13725.0,0001127602-24-025948
2024-10-24,2024-10-22,MILLERCHIP GARY,Executive Vice President,F,313.052,893.49,279708.83148,13411.948,0001127602-24-025948
2024-10-24,2024-10-22,Jones Teresa A.,Executive Vice President,F,45.859,893.49,40974.55791,4889.158,0001127602-24-025946
2024-10-24,2024-10-22,Jones Teresa A.,Executive Vice President,F,75.605,893.49,67552.31145000001,4813.553,0001127602-24-025946
2024-10-24,2024-10-22,Jones Teresa A.,Executive Vice President,F,198.567,893.49,177417.62883,4614.986,0001127602-24-025946
