filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2025-06-09,2025-06-05,Chandhok Nikhil,Chief Product & Tech. Officer,F,457816.0,31.0,14192296.0,905580.0,0000950103-25-007165
2025-06-09,2025-06-05,Fox-Geen Jeremy,Chief Financial Officer,F,44605.0,31.0,1382755.0,360371.0,0000950103-25-007163
2025-06-09,2025-06-05,Fox-Geen Jeremy,Chief Financial Officer,M,160000.0,10.11,1617600.0,520371.0,0000950103-25-007163
2025-06-09,2025-06-05,Schulz Tamara L,Chief Accounting Officer,F,10691.0,31.0,331421.0,96091.0,0000950103-25-007162
2025-06-09,2025-06-05,Allaire Jeremy,Chairman and CEO,F,121942.0,31.0,3780202.0,18594699.0,0000950103-25-007161
2025-06-09,2025-06-05,Tarbert Heath,President and CLO,F,118825.0,31.0,3683575.0,720936.0,0000950103-25-007159
2025-06-09,2025-06-06,"General Catalyst Group VI, L.P.",,J,23383800.0,,,23671493.0,0000950170-25-083926
2025-06-09,2025-06-06,"General Catalyst Group VI, L.P.",,S,3550724.0,29.3,104036213.2,20120769.0,0000950170-25-083926
2025-06-09,2025-06-06,Chandhok Nikhil,Chief Product & Tech. Officer,S,300000.0,29.3,8790000.0,605580.0,0000950103-25-007165
2025-06-09,2025-06-06,Date Rajeev V,董事,J,336860.0,,,336860.0,0000950103-25-007164
2025-06-09,2025-06-06,Date Rajeev V,董事,J,263317.0,,,263317.0,0000950103-25-007164
2025-06-09,2025-06-06,Date Rajeev V,董事,S,50000.0,29.3,1465000.0,238513.0,0000950103-25-007164
2025-06-09,2025-06-06,Fox-Geen Jeremy,Chief Financial Officer,S,200000.0,29.3,5860000.0,320371.0,0000950103-25-007163
2025-06-09,2025-06-06,Allaire Jeremy,Chairman and CEO,D,18594699.0,,,0.0,0000950103-25-007161
2025-06-09,2025-06-06,Allaire Jeremy,Chairman and CEO,D,335684.0,,,0.0,0000950103-25-007161
2025-06-09,2025-06-06,Allaire Jeremy,Chairman and CEO,S,1582160.0,29.3,46357288.0,0.0,0000950103-25-007161
2025-06-09,2025-06-06,Neville Patrick Sean,董事,D,3626730.0,,,0.0,0000950103-25-007160
2025-06-09,2025-06-06,Neville Patrick Sean,董事,D,167842.0,,,0.0,0000950103-25-007160
2025-06-09,2025-06-06,Neville Patrick Sean,董事,S,1000000.0,29.3,29300000.0,0.0,0000950103-25-007160
2025-06-09,2025-06-06,Tarbert Heath,President and CLO,S,80000.0,29.3,2344000.0,640936.0,0000950103-25-007159
2025-06-09,2025-06-06,Ostling Danita K,董事,S,3027.0,29.3,88691.1,30242.0,0000950103-25-007158
2025-06-09,2025-06-06,BURNS M MICHELE,董事,J,180909.0,,,478488.0,0000950103-25-007157
2025-06-09,2025-06-06,BURNS M MICHELE,董事,S,133312.0,29.3,3906041.6,345176.0,0000950103-25-007157
2025-06-10,2025-06-06,Chuang Xi Capital Ltd,,J,6908404.0,,,6908404.0,0000929638-25-002210
2025-06-10,2025-06-06,Chuang Xi Capital Ltd,,J,1690306.0,,,8598710.0,0000929638-25-002210
2025-06-10,2025-06-06,Chuang Xi Capital Ltd,,J,9548476.0,,,10979473.0,0000929638-25-002210
2025-06-10,2025-06-06,Chuang Xi Capital Ltd,,J,3696857.0,,,14676330.0,0000929638-25-002210
2025-06-10,2025-06-06,Chuang Xi Capital Ltd,,S,859871.0,29.295,25189920.945,7738839.0,0000929638-25-002210
2025-06-10,2025-06-06,Chuang Xi Capital Ltd,,S,1467633.0,29.295,42994308.735,13208697.0,0000929638-25-002210
2025-07-03,2025-07-01,Chandhok Nikhil,Chief Product & Tech. Officer,F,12389.0,181.29,2246001.81,593191.0,0001628280-25-034287
2025-07-03,2025-07-01,Fox-Geen Jeremy,Chief Financial Officer,F,2052.0,181.29,372007.07999999996,318319.0,0001628280-25-034283
2025-07-03,2025-07-01,Schulz Tamara L,Chief Accounting Officer,F,823.0,181.29,149201.66999999998,95268.0,0001628280-25-034277
2025-07-03,2025-07-01,Tarbert Heath,President and CLO,M,7970.0,25.09,199967.3,648906.0,0001628280-25-034261
2025-07-03,2025-07-01,Tarbert Heath,President and CLO,F,5555.0,181.29,1007065.95,643351.0,0001628280-25-034261
2025-07-23,2025-07-22,Selipsky Adam,董事,A,1850.0,0.0,,1850.0,0001628280-25-035739
2025-08-05,2025-08-01,Fox-Geen Jeremy,Chief Financial Officer,F,2052.0,183.52,376583.04000000004,316267.0,0001628280-25-037825
2025-08-05,2025-08-01,Chandhok Nikhil,Chief Product & Tech. Officer,F,12388.0,183.52,2273445.7600000002,580803.0,0001628280-25-037823
2025-08-05,2025-08-01,Tarbert Heath,President,F,5556.0,183.52,1019637.1200000001,637795.0,0001628280-25-037821
2025-08-05,2025-08-01,Schulz Tamara L,Chief Accounting Officer,F,823.0,183.52,151036.96000000002,94445.0,0001628280-25-037819
2025-08-20,2025-08-18,Allaire Jeremy,Chairman and CEO,S,357812.0,127.075,45468959.9,0.0,0001628280-25-040915
2025-08-20,2025-08-18,Broderick Craig W.,董事,S,1035.0,127.075,131522.625,29877.0,0001628280-25-040912
2025-08-20,2025-08-18,Ostling Danita K,董事,S,1290.0,127.075,163926.75,28952.0,0001929125-25-000004
2025-08-20,2025-08-18,BURNS M MICHELE,董事,S,29946.0,127.075,3805387.95,315230.0,0001197664-25-000007
2025-08-20,2025-08-18,Tarbert Heath,President,S,31925.0,127.075,4056869.375,605870.0,0002060670-25-000003
2025-08-20,2025-08-18,Neville Patrick Sean,董事,S,260374.0,127.075,33087026.05,0.0,0001628280-25-040910
2025-08-20,2025-08-18,Fox-Geen Jeremy,Chief Financial Officer,S,16392.0,127.075,2083013.4000000001,299875.0,0001818008-25-000004
2025-08-20,2025-08-18,Date Rajeev V,董事,S,15431.0,127.075,1960894.325,223082.0,0001628280-25-040907
2025-08-20,2025-08-18,Date Rajeev V,董事,S,18746.0,127.075,2382147.95,318114.0,0001628280-25-040907
2025-08-20,2025-08-18,Date Rajeev V,董事,S,14654.0,127.075,1862157.05,248663.0,0001628280-25-040907
2025-08-20,2025-08-18,Chandhok Nikhil,Chief Product & Tech. Officer,S,50000.0,127.075,6353750.0,530803.0,0002060495-25-000003
2025-08-20,2025-08-18,Schulz Tamara L,Chief Accounting Officer,S,836.0,127.075,106234.7,93609.0,0001874409-25-000003
2025-09-03,2025-09-01,Razzaghi Hossein,Chief Commercial Officer,A,55466.0,0.0,,659033.0,0002083179-25-000004
2025-09-03,2025-09-02,Razzaghi Hossein,Chief Commercial Officer,F,2678.0,131.98,353442.43999999994,656355.0,0002083179-25-000004
2025-09-04,2025-09-02,Chandhok Nikhil,Chief Product & Tech. Officer,F,12388.0,131.98,1634968.2399999998,518415.0,0002060495-25-000005
2025-09-04,2025-09-02,Tarbert Heath,President,F,5555.0,131.98,733148.8999999999,600315.0,0002060670-25-000005
2025-09-04,2025-09-02,Schulz Tamara L,Chief Accounting Officer,F,823.0,131.98,108619.54,92786.0,0001874409-25-000005
2025-09-04,2025-09-02,Fox-Geen Jeremy,Chief Financial Officer,F,2052.0,131.98,270822.95999999996,297823.0,0001818008-25-000006
2025-09-04,2025-09-03,Fox-Geen Jeremy,Chief Financial Officer,M,33608.0,10.11,339776.88,331431.0,0001818008-25-000006
2025-09-04,2025-09-03,Fox-Geen Jeremy,Chief Financial Officer,S,33608.0,121.45,4081691.6,297823.0,0001818008-25-000006
2025-09-12,2025-09-11,BURNS M MICHELE,董事,G,10000.0,0.0,,305230.0,0001876042-25-000009
2025-10-03,2025-10-01,Fox-Geen Jeremy,Chief Financial Officer,F,2052.0,132.58,272054.16000000003,295771.0,0001876042-25-000027
2025-10-03,2025-10-01,Chandhok Nikhil,Chief Product & Tech. Officer,F,12388.0,132.58,1642401.0400000003,506027.0,0001876042-25-000024
2025-10-03,2025-10-01,Tarbert Heath,President,F,5555.0,132.58,736481.9,594760.0,0001876042-25-000022
2025-10-03,2025-10-01,Schulz Tamara L,Chief Accounting Officer,F,823.0,132.58,109113.34000000001,91963.0,0001876042-25-000020
2025-10-03,2025-10-01,Razzaghi Hossein,Chief Commercial Officer,F,2677.0,132.58,354916.66000000003,653678.0,0001876042-25-000017
2025-11-05,2025-11-03,Fox-Geen Jeremy,Chief Financial Officer,F,2052.0,126.98,260562.96000000002,293719.0,0001876042-25-000038
2025-11-05,2025-11-03,Chandhok Nikhil,Chief Product & Tech. Officer,F,12388.0,126.98,1573028.24,493639.0,0001876042-25-000037
2025-11-05,2025-11-03,Tarbert Heath,President,F,5555.0,126.98,705373.9,589205.0,0001876042-25-000036
2025-11-05,2025-11-03,Schulz Tamara L,Chief Accounting Officer,F,823.0,126.98,104504.54000000001,91140.0,0001876042-25-000035
2025-11-05,2025-11-03,Razzaghi Hossein,Chief Commercial Officer,F,783.0,126.98,99425.34,652895.0,0001876042-25-000034
2025-11-17,2025-11-13,Neville Patrick Sean,董事,S,33569.0,85.05,2855043.4499999997,33568.0,0001876042-25-000053
2025-11-17,2025-11-13,Date Rajeev V,董事,S,28000.0,85.04,2381120.0,195082.0,0001876042-25-000052
2025-11-17,2025-11-13,Date Rajeev V,董事,S,9500.0,86.16,818520.0,185582.0,0001876042-25-000052
2025-11-17,2025-11-13,Date Rajeev V,董事,S,8000.0,86.19,689520.0,17000.0,0001876042-25-000052
2025-11-17,2025-11-13,Date Rajeev V,董事,S,54600.0,85.5,4668300.0,194063.0,0001876042-25-000052
2025-11-17,2025-11-13,Ostling Danita K,董事,S,2662.0,84.69,225444.78,26290.0,0001876042-25-000051
2025-11-17,2025-11-14,Date Rajeev V,董事,S,127245.0,83.0,10561335.0,190869.0,0001876042-25-000052
2025-11-17,2025-11-14,Date Rajeev V,董事,S,63622.0,84.73,5390692.0600000005,127247.0,0001876042-25-000052
2025-11-19,2025-11-17,Date Rajeev V,董事,S,36400.0,75.62,2752568.0,157663.0,0001876042-25-000054
2025-11-19,2025-11-18,Date Rajeev V,董事,J,157662.0,,,1.0,0001876042-25-000054
2025-11-19,2025-11-19,Date Rajeev V,董事,S,1.0,67.8,67.8,0.0,0001876042-25-000054
2025-11-21,2025-11-20,Date Rajeev V,董事,S,5000.0,70.89,354450.0,180582.0,0001876042-25-000058
2025-11-21,2025-11-20,Date Rajeev V,董事,S,2000.0,70.91,141820.0,15000.0,0001876042-25-000058
2025-11-21,2025-11-21,Date Rajeev V,董事,G,8254.0,,,172328.0,0001876042-25-000058
2025-11-21,2025-11-21,Date Rajeev V,董事,G,8254.0,,,23254.0,0001876042-25-000058
2025-11-25,2025-11-24,Date Rajeev V,董事,S,127247.0,72.29,9198685.63,0.0,0001876042-25-000060
2025-11-25,2025-11-24,Date Rajeev V,董事,S,20000.0,72.22,1444400.0,152328.0,0001876042-25-000060
2025-12-03,2025-12-01,Fox-Geen Jeremy,Chief Financial Officer,F,2116.0,79.93,169131.88,291603.0,0001876042-25-000068
2025-12-03,2025-12-01,Tarbert Heath,President,F,5555.0,79.93,444011.15,583650.0,0001876042-25-000067
2025-12-03,2025-12-01,Schulz Tamara L,Chief Accounting Officer,F,823.0,79.93,65782.39,90317.0,0001876042-25-000065
2025-12-03,2025-12-01,Razzaghi Hossein,Chief Commercial Officer,F,2459.0,79.93,196547.87000000002,650436.0,0001876042-25-000064
