filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-19,2024-08-15,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",S,5195.0,359.32,1866667.4,20398.7689,0000354950-24-000197
2024-08-19,2024-08-15,Broggi Jordan,EVP-Cust. Svc. & Pres.-Online,A,694.0,0.0,,3380.1396,0000354950-24-000196
2024-08-20,2024-08-19,Scardino Kimberly R,"SVP-Finance, CAO & Controller",S,1700.0,363.0,617100.0,7037.0,0000354950-24-000203
2024-09-25,2024-09-23,Bastek William D,"EVP, Merchandising",F,149.0,391.96,58402.03999999999,21514.4224,0000354950-24-000222
2024-09-25,2024-09-23,Broggi Jordan,EVP-Cust. Svc. & Pres.-Online,F,127.0,391.96,49778.92,3253.5582,0000354950-24-000221
2024-09-25,2024-09-23,Campbell Ann Marie,Senior EVP,F,594.0,391.96,232824.24,67360.6542,0000354950-24-000220
2024-09-25,2024-09-23,Carey Matt,EVP,F,488.0,391.96,191276.47999999998,32977.7655,0000354950-24-000219
2024-09-25,2024-09-23,Deaton John A.,EVP - Supply Chain & Prod. Dev,F,382.0,391.96,149728.72,11915.0392,0000354950-24-000218
2024-09-25,2024-09-23,McPhail Richard V,EVP & CFO,F,584.0,391.96,228904.63999999998,42059.6757,0000354950-24-000217
2024-09-25,2024-09-23,Padilla Hector A,EVP - US Sales and Operations,F,382.0,391.96,149728.72,13673.6684,0000354950-24-000216
2024-09-25,2024-09-23,Scardino Kimberly R,"SVP-Finance, CAO & Controller",F,149.0,391.96,58402.03999999999,6888.0,0000354950-24-000215
2024-09-25,2024-09-23,Siddiqui Fahim,EVP and CIO,F,149.0,391.96,58402.03999999999,8006.0,0000354950-24-000214
2024-11-15,2024-11-13,McPhail Richard V,EVP & CFO,M,6500.0,130.22,846430.0,48559.6757,0000354950-24-000234
2024-11-15,2024-11-13,McPhail Richard V,EVP & CFO,S,6500.0,408.45,2654925.0,42059.6757,0000354950-24-000234
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",M,9972.0,189.25,1887201.0,30375.9593,0000354950-24-000237
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",M,7571.0,181.76,1376104.96,37946.9593,0000354950-24-000237
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",M,3157.0,292.75,924211.75,41103.9593,0000354950-24-000237
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",M,1384.0,317.05,438797.2,42487.9593,0000354950-24-000237
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",S,12635.0,408.32,5159123.2,29852.9593,0000354950-24-000237
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",S,5149.0,409.39,2107949.11,24703.9593,0000354950-24-000237
2024-11-15,2024-11-14,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",S,4300.0,410.08,1763344.0,20403.9593,0000354950-24-000237
2024-11-15,2024-11-14,Campbell Ann Marie,Senior EVP,M,13660.0,178.02,2431753.2,81020.6542,0000354950-24-000236
2024-11-15,2024-11-14,Campbell Ann Marie,Senior EVP,M,16308.0,189.25,3086289.0,97328.6542,0000354950-24-000236
2024-11-15,2024-11-14,Campbell Ann Marie,Senior EVP,S,27306.0,408.34,11150132.04,70022.6542,0000354950-24-000236
2024-11-15,2024-11-14,Campbell Ann Marie,Senior EVP,S,2662.0,409.07,1088944.34,67360.6542,0000354950-24-000236
2024-11-15,2024-11-14,Padilla Hector A,EVP - US Sales and Operations,M,2908.0,147.36,428522.88000000006,16581.6684,0000354950-24-000235
2024-11-15,2024-11-14,Padilla Hector A,EVP - US Sales and Operations,S,2908.0,408.99,1189342.92,13673.6684,0000354950-24-000235
2024-11-15,2024-11-14,Padilla Hector A,EVP - US Sales and Operations,S,718.0,408.86,293561.48,12955.6684,0000354950-24-000235
2024-11-20,2024-11-18,Hourigan Timothy A.,EVP - Human Resources,M,6135.0,125.59,770494.65,83609.9257,0000354950-24-000246
2024-11-20,2024-11-18,Hourigan Timothy A.,EVP - Human Resources,M,9869.0,130.22,1285141.18,93478.9257,0000354950-24-000246
2024-11-20,2024-11-18,Hourigan Timothy A.,EVP - Human Resources,S,16004.0,409.52,6553958.08,77474.9257,0000354950-24-000246
2024-11-20,2024-11-19,Carey Matt,EVP,F,98.0,406.8,39866.4,32879.7655,0000354950-24-000245
2024-11-20,2024-11-19,Siddiqui Fahim,EVP and CIO,F,195.0,406.8,79326.0,7811.0,0000354950-24-000244
2024-11-22,2024-11-20,Campbell Ann Marie,Senior EVP,S,100.0,402.58,40258.0,12465.0,0000354950-24-000248
2024-11-25,2024-11-21,McPhail Richard V,EVP & CFO,F,257.0,410.45,105485.65,41802.6757,0000354950-24-000254
2024-11-25,2024-11-22,Bastek William D,"EVP, Merchandising",M,2969.0,116.15,344849.35000000003,24483.4224,0000354950-24-000253
2024-11-25,2024-11-22,Bastek William D,"EVP, Merchandising",S,2969.0,416.61,1236915.09,21514.4224,0000354950-24-000253
2024-11-25,2024-11-23,Carey Matt,EVP,F,815.0,420.0,342300.0,32064.7655,0000354950-24-000252
2024-11-25,2024-11-23,Carey Matt,EVP,F,506.0,420.0,212520.0,31558.7655,0000354950-24-000252
2024-11-25,2024-11-23,Carey Matt,EVP,F,488.0,420.0,204960.0,31070.7655,0000354950-24-000252
2024-11-25,2024-11-23,Carey Matt,EVP,F,98.0,420.0,41160.0,30972.7655,0000354950-24-000252
2024-11-25,2024-11-23,Carey Matt,EVP,F,1095.0,420.0,459900.0,29877.7655,0000354950-24-000252
2024-12-02,2024-11-27,Bastek William D,"EVP, Merchandising",G,210.0,0.0,,21304.4224,0000354950-24-000258
2024-12-02,2024-11-29,Hourigan Timothy A.,EVP - Human Resources,G,200.0,0.0,,77274.9257,0000354950-24-000257
2025-02-20,2025-02-18,Bastek William D,"EVP, Merchandising",F,61.0,403.31,24601.91,21249.2932,0000354950-25-000026
2025-02-28,2025-02-26,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",F,458.0,390.48,178839.84,19950.8873,0000354950-25-000050
2025-02-28,2025-02-26,Hourigan Timothy A.,EVP - Human Resources,F,459.0,390.48,179230.32,76840.8594,0000354950-25-000047
2025-02-28,2025-02-26,Decker Edward P.,"Chair, President and CEO",F,3469.0,390.48,1354575.12,112982.8763,0000354950-25-000042
2025-02-28,2025-02-27,Siddiqui Fahim,EVP and CIO,A,206.0,0.0,,8017.0,0000354950-25-000052
2025-02-28,2025-02-27,Siddiqui Fahim,EVP and CIO,F,96.0,390.27,37465.92,7921.0,0000354950-25-000052
2025-02-28,2025-02-27,Scardino Kimberly R,"SVP-Finance, CAO & Controller",A,203.0,0.0,,7091.0,0000354950-25-000051
2025-02-28,2025-02-27,Scardino Kimberly R,"SVP-Finance, CAO & Controller",F,99.0,390.27,38636.729999999996,6992.0,0000354950-25-000051
2025-02-28,2025-02-27,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",A,576.0,0.0,,20526.8873,0000354950-25-000050
2025-02-28,2025-02-27,Roseborough Teresa Wynn,"EVP, Gen. Counsel & Corp. Sec.",F,246.0,390.27,96006.42,20280.8873,0000354950-25-000050
2025-02-28,2025-02-27,Padilla Hector A,EVP - US Sales and Operations,A,541.0,0.0,,13498.3535,0000354950-25-000049
2025-02-28,2025-02-27,Padilla Hector A,EVP - US Sales and Operations,F,237.0,390.27,92493.98999999999,13261.3535,0000354950-25-000049
2025-02-28,2025-02-27,McPhail Richard V,EVP & CFO,A,835.0,0.0,,42641.6065,0000354950-25-000048
2025-02-28,2025-02-27,McPhail Richard V,EVP & CFO,F,355.0,390.27,138545.85,42286.6065,0000354950-25-000048
