filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-16,2024-08-14,Bhatt Baiju,董事,S,143944.0,18.726,2695495.344,0.0,0001783879-24-000239
2024-08-28,2024-08-26,Warnick Jason,Chief Financial Officer,S,25000.0,20.9562,523905.0,1077162.0,0001783879-24-000241
2024-09-04,2024-09-01,RUBINSTEIN JONATHAN,董事,M,4528.0,,,20374.0,0001783879-24-000255
2024-09-04,2024-09-01,Warnick Jason,Chief Financial Officer,M,123831.0,,,1200993.0,0001783879-24-000254
2024-09-04,2024-09-01,Warnick Jason,Chief Financial Officer,F,49919.0,20.12,1004370.28,1151074.0,0001783879-24-000254
2024-09-04,2024-09-01,Zoellick Robert B.,董事,M,2264.0,,,81971.0,0001783879-24-000253
2024-09-04,2024-09-01,Gallagher Daniel Martin Jr,Chief Legal Officer,M,195982.0,,,1152229.0,0001783879-24-000256
2024-09-04,2024-09-01,Gallagher Daniel Martin Jr,Chief Legal Officer,F,94661.0,20.12,1904579.32,1057568.0,0001783879-24-000256
2024-09-04,2024-09-01,Quirk Steven M.,Chief Brokerage Officer,M,95595.0,,,596661.0,0001783879-24-000257
2024-09-04,2024-09-01,Quirk Steven M.,Chief Brokerage Officer,F,42350.0,20.12,852082.0,554311.0,0001783879-24-000257
2024-09-05,2024-09-03,Gallagher Daniel Martin Jr,Chief Legal Officer,S,12500.0,19.3253,241566.24999999997,1045068.0,0001783879-24-000259
2024-09-06,2024-09-04,Tenev Vladimir,Chief Executive Officer,S,250000.0,19.2569,4814225.0,0.0,0001783879-24-000261
2024-09-11,2024-09-09,Bhatt Baiju,董事,S,139916.0,19.5481,2735091.9596,0.0,0001783879-24-000263
2024-10-02,2024-09-30,Malka Meyer,,A,624.0,,,16114.0,0000950170-24-111815
2024-10-02,2024-09-30,RUBINSTEIN JONATHAN,董事,A,1334.0,,,21708.0,0001783879-24-000279
2024-10-02,2024-10-01,Malka Meyer,,M,3955.0,,,20069.0,0000950170-24-111815
2024-10-02,2024-10-01,Warnick Jason,Chief Financial Officer,M,60483.0,,,1211557.0,0001783879-24-000283
2024-10-02,2024-10-01,Warnick Jason,Chief Financial Officer,F,24525.0,23.42,574375.5,1187032.0,0001783879-24-000283
2024-10-02,2024-10-01,Gallagher Daniel Martin Jr,Chief Legal Officer,M,48225.0,,,1093293.0,0001783879-24-000282
2024-10-02,2024-10-01,Gallagher Daniel Martin Jr,Chief Legal Officer,S,23293.0,23.42,545522.06,1070000.0,0001783879-24-000282
2024-10-02,2024-10-01,Zoellick Robert B.,董事,M,2521.0,,,84492.0,0001783879-24-000281
2024-10-02,2024-10-01,Treseder Oluwadara Johnson,董事,M,2521.0,,,64888.0,0001783879-24-000280
2024-10-02,2024-10-01,RUBINSTEIN JONATHAN,董事,M,2521.0,,,24229.0,0001783879-24-000279
2024-10-02,2024-10-01,Loop Paula,董事,M,4785.0,,,54452.0,0001783879-24-000278
2024-10-02,2024-10-01,Bhatt Baiju,董事,M,2521.0,,,2521.0,0001783879-24-000277
2024-10-07,2024-10-03,Gallagher Daniel Martin Jr,Chief Legal Officer,S,12500.0,22.3697,279621.25,1057500.0,0001783879-24-000285
2024-10-08,2024-10-04,Tenev Vladimir,Chief Executive Officer,S,250000.0,22.8815,5720375.0,0.0,0001783879-24-000287
2024-10-10,2024-10-08,Quirk Steven M.,Chief Brokerage Officer,S,208291.0,24.9792,5202942.5472,346020.0,0001783879-24-000289
2024-10-10,2024-10-08,Malka Meyer,,S,3225806.0,25.0724,80878698.3544,29357336.0,0000950170-24-114086
2024-10-21,2024-10-17,Bhatt Baiju,董事,S,98404.0,26.4003,2597895.1212,0.0,0001783879-24-000291
