filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-09-04,2024-08-31,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,1004.0,20.84,20923.36,2377.875,0001127602-24-023450
2024-11-01,2024-10-30,Schell Christoph,EVP; Chief Cml Ofcr; SMG,F,3998.0,22.6,90354.8,69288.0,0001127602-24-026225
2024-11-01,2024-10-30,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,1620.0,22.6,36612.0,6256.36,0001127602-24-026224
2024-11-01,2024-10-30,Miller Boise April,EVP and Chief Legal Officer,F,1351.0,22.6,30532.6,43564.0,0001127602-24-026223
2024-11-01,2024-10-31,Zinsner David,"EVP, CFO",F,3224.0,21.86,70476.64,155837.0,0001127602-24-026230
2024-11-01,2024-10-31,Holthaus Michelle Johnston,"EVP & GM, CCG",F,3195.0,21.86,69842.7,298258.0,0001127602-24-026229
2024-11-01,2024-10-31,GELSINGER PATRICK P,CEO,F,3362.0,21.86,73493.31999999999,93883.0,0001127602-24-026228
2024-11-06,2024-11-04,GELSINGER PATRICK P,CEO,P,11150.0,22.529,251198.35,105033.0,0001127602-24-026581
2024-11-08,2024-11-07,Holthaus Michelle Johnston,"EVP & GM, CCG",S,25000.0,26.0,650000.0,273258.0,0001127602-24-026829
2024-12-04,2024-12-02,Holthaus Michelle Johnston,"Interim Co-CEO, CEO Intel Prod",F,30370.0,24.46,742850.2000000001,320067.0,0001127602-24-028639
2024-12-04,2024-12-02,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,1004.0,24.46,24557.84,8496.36,0001127602-24-028638
2024-12-05,2024-12-03,Zinsner David,"Interim Co-CEO, EVP, CFO",F,2620.0,23.1,60522.00000000001,158500.0,0001127602-24-028708
2024-12-05,2024-12-03,Schell Christoph,EVP; Chief Cml Ofcr; SMG,F,2620.0,23.1,60522.00000000001,71951.0,0001127602-24-028707
2024-12-05,2024-12-03,Holthaus Michelle Johnston,"Interim Co-CEO, CEO Intel Prod",F,2079.0,23.1,48024.9,323271.0,0001127602-24-028706
2024-12-05,2024-12-03,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,792.0,23.1,18295.2,3218.36,0001127602-24-028704
2024-12-05,2024-12-03,Miller Boise April,EVP and Chief Legal Officer,F,2334.0,23.1,53915.4,45936.0,0001127602-24-028701
2025-02-03,2025-01-30,Schell Christoph,EVP; Chief Cml Ofcr; SMG,F,3059.0,19.77,60476.43,76955.0,0001127602-25-002796
2025-02-03,2025-01-30,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,2391.0,19.77,47270.07,6807.36,0001127602-25-002791
2025-02-03,2025-01-30,Miller Boise April,EVP and Chief Legal Officer,F,903.0,19.77,17852.31,47756.0,0001127602-25-002788
2025-02-03,2025-01-31,Zinsner David,"Interim Co-CEO, EVP, CFO",F,3225.0,19.86,64048.5,207418.0,0001127602-25-002797
2025-02-03,2025-01-31,Holthaus Michelle Johnston,"Interim Co-CEO, CEO Intel Prod",F,2003.0,19.86,39779.58,329386.0,0001127602-25-002792
2025-03-03,2025-02-28,Zinsner David,"Interim Co-CEO, EVP, CFO",F,14377.0,23.54,338434.58,222854.0,0001127602-25-007573
2025-03-03,2025-02-28,Schell Christoph,EVP; Chief Cml Ofcr; SMG,F,12701.0,23.54,298981.54,93250.0,0001127602-25-007572
2025-03-03,2025-02-28,Holthaus Michelle Johnston,"Interim Co-CEO, CEO Intel Prod",F,11483.0,23.54,270309.82,351109.0,0001127602-25-007570
2025-03-03,2025-02-28,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,1199.0,23.54,28224.46,9046.36,0001127602-25-007568
2025-03-03,2025-02-28,Miller Boise April,EVP and Chief Legal Officer,F,4511.0,23.54,106188.94,60256.0,0001127602-25-007567
2025-03-25,2025-03-21,TAN LIP BU,CEO,A,1043406.0,23.96,25000007.76,1209406.0,0001127602-25-010360
2025-05-02,2025-04-30,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,1620.0,19.87,32189.4,12889.36,0001127602-25-013180
2025-05-02,2025-04-30,Miller Boise April,EVP and Chief Legal Officer,F,1102.0,19.87,21896.74,61877.0,0001127602-25-013177
2025-05-08,2025-05-06,WEISLER DION J,董事,F,2221.0,19.95,44308.95,53289.0,0001127602-25-013741
2025-05-08,2025-05-06,Smith Stacy J,董事,M,2665.0,,,11069.0,0001127602-25-013740
2025-05-08,2025-05-06,SANGHI STEVE,董事,M,5132.0,,,5132.0,0001127602-25-013738
2025-05-08,2025-05-06,Meurice Eric,董事,M,5132.0,,,5132.0,0001127602-25-013734
2025-05-08,2025-05-06,Liu Tsu-Jae King,董事,M,7403.0,,,42027.0,0001127602-25-013732
2025-05-08,2025-05-06,Henry Alyssa,董事,M,3294.0,,,56660.0,0001127602-25-013726
2025-05-08,2025-05-06,Goldsmith Andrea Jo,董事,M,7403.0,,,22176.0,0001127602-25-013723
2025-05-08,2025-05-06,GOETZ JAMES J,董事,M,7403.0,,,234235.0,0001127602-25-013720
2025-05-08,2025-05-07,Yeary Frank D,董事,M,35146.0,,,35956.0,0001127602-25-013742
2025-06-03,2025-05-30,Zinsner David,"Interim Co-CEO, EVP, CFO",F,18347.0,19.79,363087.13,241510.0,0001127602-25-016515
2025-06-03,2025-05-30,Holthaus Michelle Johnston,"Interim Co-CEO, CEO Intel Prod",F,18179.0,19.79,359762.41,379128.0,0001127602-25-016513
2025-06-03,2025-05-30,Miller Boise April,EVP and Chief Legal Officer,F,9610.0,19.79,190181.9,74693.0,0001127602-25-016494
2025-06-03,2025-06-02,GAWEL SCOTT,"CVP, Chief Accounting Officer",F,1004.0,19.6,19678.4,19092.36,0001127602-25-016503
