filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-13,2024-08-12,DeSantis Robert,EVP & Chief Strategy & Corp Op,M,120.0,304.67,36560.4,5626.0,0001035267-24-000221
2024-08-13,2024-08-12,DeSantis Robert,EVP & Chief Strategy & Corp Op,S,120.0,464.76,55771.2,5506.0,0001035267-24-000221
2024-08-13,2024-08-12,DeSantis Robert,EVP & Chief Strategy & Corp Op,M,120.0,229.39,27526.8,5626.0,0001035267-24-000221
2024-08-13,2024-08-12,DeSantis Robert,EVP & Chief Strategy & Corp Op,S,120.0,464.76,55771.2,5506.0,0001035267-24-000221
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,2625.0,166.6233,437386.1625,26111.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,2625.0,486.8484,1277977.05,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,2625.0,182.8333,479937.41250000003,26111.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,2625.0,486.8484,1277977.05,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,2414.0,174.2567,420655.6738,25900.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,2414.0,486.8117,1175163.4438,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,1336.0,174.2567,232806.95119999998,24822.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,1336.0,486.8484,650429.4624000001,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,3750.0,139.52,523200.00000000006,27236.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,3750.0,486.8117,1825543.875,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,5203.0,109.4856,569653.5768,28689.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,5203.0,486.8374,2533014.9922,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,422.0,109.4856,46202.923200000005,23908.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,422.0,486.8117,205434.5374,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,468.0,79.6378,37270.4904,23954.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,468.0,486.8374,227839.9032,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,456.0,76.9989,35111.498400000004,23942.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,456.0,486.8374,221997.8544,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,M,459.0,59.4622,27293.149800000003,23945.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,459.0,486.8374,223458.3666,23486.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,6828.0,486.8237,3324032.2235999997,16658.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,6828.0,486.8614,3324289.6392,9830.0,0001035267-24-000224
2024-08-26,2024-08-23,Charlton Henry L,SVP & Chief Commercial and Mkt,S,6829.0,486.8479,3324684.3090999997,3001.0,0001035267-24-000224
