filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-09-03,2024-08-30,Decker Robert J,VP Corporate Controller,M,5635.0,100.06,563838.1,24608.0,0001225208-24-008326
2024-09-03,2024-08-30,Decker Robert J,VP Corporate Controller,S,5635.0,165.06,930113.1,18973.0,0001225208-24-008326
2024-10-21,2024-05-22,Wolk Joseph J,"Exec VP, CFO",G,55.0,0.0,,68835.0,0000200406-24-000090
2024-10-21,2024-10-17,Wolk Joseph J,"Exec VP, CFO",G,68835.0,0.0,,0.0,0000200406-24-000090
2024-10-21,2024-10-17,Wolk Joseph J,"Exec VP, CFO",G,68835.0,0.0,,68835.0,0000200406-24-000090
2024-12-12,2024-12-12,WEINBERGER MARK A,董事,P,1000.0,147.22,147220.0,1000.0,0000200406-24-000106
2025-02-11,2025-02-07,Duato Joaquin,CEO and Chairman of the Board,M,126369.0,100.06,12644482.14,489671.0,0000200406-25-000015
2025-02-11,2025-02-07,Duato Joaquin,CEO and Chairman of the Board,F,100643.0,153.12,15410456.16,389028.0,0000200406-25-000015
2025-02-11,2025-02-07,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",M,32762.0,100.06,3278165.72,115027.8735,0000200406-25-000014
2025-02-11,2025-02-07,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",F,26076.0,153.12,3992757.12,88951.8735,0000200406-25-000014
2025-02-11,2025-02-07,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",M,58504.0,100.06,5853910.24,213355.001,0000200406-25-000013
2025-02-11,2025-02-07,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",F,47436.0,153.12,7263400.32,165919.001,0000200406-25-000013
2025-02-11,2025-02-07,Wolk Joseph J,"Exec VP, CFO",M,13015.0,100.06,1302280.9000000001,13015.0,0000200406-25-000012
2025-02-11,2025-02-07,Wolk Joseph J,"Exec VP, CFO",S,13015.0,153.89,2002878.3499999999,0.0,0000200406-25-000012
2025-02-18,2025-02-13,Schmid Timothy,"EVP, WW Chair, MedTech",M,499.0,0.0,,13539.0,0000200406-25-000060
2025-02-18,2025-02-13,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",M,651.0,0.0,,89602.8735,0000200406-25-000058
2025-02-18,2025-02-13,Wolk Joseph J,"Exec VP, CFO",M,1779.0,0.0,,1779.0,0000200406-25-000056
2025-02-18,2025-02-13,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",M,1302.0,0.0,,167221.001,0000200406-25-000052
2025-02-18,2025-02-13,Swanson James D.,"EVP, CIO",M,447.0,0.0,,15018.59,0000200406-25-000050
2025-02-18,2025-02-13,Mulholland Kristen,"EVP, Chief HR Officer",M,411.0,0.0,,12100.0,0000200406-25-000048
2025-02-18,2025-02-13,Forminard Elizabeth,"Executive VP, General Counsel",M,651.0,0.0,,8991.0,0000200406-25-000046
2025-02-18,2025-02-13,Duato Joaquin,CEO and Chairman of the Board,M,3470.0,0.0,,392498.0,0000200406-25-000044
2025-02-18,2025-02-13,Decker Robert J,VP Corporate Controller,M,312.0,0.0,,19285.0,0000200406-25-000042
2025-02-18,2025-02-13,Broadhurst Vanessa,"EVP, Global Corp Affairs",M,408.0,0.0,,20242.0,0000200406-25-000040
2025-02-18,2025-02-14,Schmid Timothy,"EVP, WW Chair, MedTech",M,2806.0,0.0,,17904.0,0000200406-25-000062
2025-02-18,2025-02-14,Schmid Timothy,"EVP, WW Chair, MedTech",F,1015.0,156.71,159060.65,16889.0,0000200406-25-000062
2025-02-18,2025-02-14,Schmid Timothy,"EVP, WW Chair, MedTech",F,193.0,155.26,29965.179999999997,13346.0,0000200406-25-000060
2025-02-18,2025-02-14,Schmid Timothy,"EVP, WW Chair, MedTech",M,1765.0,0.0,,15111.0,0000200406-25-000060
2025-02-18,2025-02-14,Schmid Timothy,"EVP, WW Chair, MedTech",F,639.0,156.71,100137.69,14472.0,0000200406-25-000060
2025-02-18,2025-02-14,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",F,223.0,155.26,34622.979999999996,89379.8735,0000200406-25-000058
2025-02-18,2025-02-14,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",M,1530.0,0.0,,90909.8735,0000200406-25-000058
2025-02-18,2025-02-14,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",F,480.0,156.71,75220.8,90429.8735,0000200406-25-000058
2025-02-18,2025-02-14,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",M,5837.0,0.0,,96673.8735,0000200406-25-000058
2025-02-18,2025-02-14,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",F,2393.0,156.71,375007.03,94280.8735,0000200406-25-000058
2025-02-18,2025-02-14,Wolk Joseph J,"Exec VP, CFO",F,507.0,155.26,78716.81999999999,1272.0,0000200406-25-000056
2025-02-18,2025-02-14,Wolk Joseph J,"Exec VP, CFO",M,4014.0,0.0,,5286.0,0000200406-25-000056
2025-02-18,2025-02-14,Wolk Joseph J,"Exec VP, CFO",F,1144.0,156.71,179276.24000000002,4142.0,0000200406-25-000056
2025-02-18,2025-02-14,Wolk Joseph J,"Exec VP, CFO",M,15316.0,0.0,,20661.0,0000200406-25-000056
2025-02-18,2025-02-14,Wolk Joseph J,"Exec VP, CFO",F,6661.0,156.71,1043845.31,14000.0,0000200406-25-000056
2025-02-18,2025-02-14,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",F,410.0,155.26,63656.6,166811.001,0000200406-25-000052
2025-02-18,2025-02-14,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",M,4053.0,0.0,,170864.001,0000200406-25-000052
2025-02-18,2025-02-14,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",F,1348.0,156.71,211245.08000000002,169516.001,0000200406-25-000052
2025-02-18,2025-02-14,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",M,15465.0,0.0,,185924.001,0000200406-25-000052
2025-02-18,2025-02-14,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",F,7911.0,156.71,1239732.81,178013.001,0000200406-25-000052
2025-02-18,2025-02-14,Swanson James D.,"EVP, CIO",F,152.0,155.26,23599.519999999997,14866.59,0000200406-25-000050
2025-02-18,2025-02-14,Swanson James D.,"EVP, CIO",M,1961.0,0.0,,16827.59,0000200406-25-000050
2025-02-18,2025-02-14,Swanson James D.,"EVP, CIO",F,558.0,156.71,87444.18000000001,16269.59,0000200406-25-000050
2025-02-18,2025-02-14,Swanson James D.,"EVP, CIO",M,3118.0,0.0,,19738.59,0000200406-25-000050
2025-02-18,2025-02-14,Swanson James D.,"EVP, CIO",F,889.0,156.71,139315.19,18849.59,0000200406-25-000050
2025-02-18,2025-02-14,Mulholland Kristen,"EVP, Chief HR Officer",F,141.0,155.26,21891.66,11959.0,0000200406-25-000048
2025-02-18,2025-02-14,Mulholland Kristen,"EVP, Chief HR Officer",M,1007.0,0.0,,12966.0,0000200406-25-000048
2025-02-18,2025-02-14,Mulholland Kristen,"EVP, Chief HR Officer",F,290.0,156.71,45445.9,12676.0,0000200406-25-000048
2025-02-18,2025-02-14,Mulholland Kristen,"EVP, Chief HR Officer",M,1601.0,0.0,,14576.0,0000200406-25-000048
2025-02-18,2025-02-14,Mulholland Kristen,"EVP, Chief HR Officer",F,457.0,156.71,71616.47,14119.0,0000200406-25-000048
2025-02-18,2025-02-14,Forminard Elizabeth,"Executive VP, General Counsel",F,215.0,155.26,33380.9,8776.0,0000200406-25-000046
2025-02-18,2025-02-14,Forminard Elizabeth,"Executive VP, General Counsel",M,851.0,0.0,,9627.0,0000200406-25-000046
2025-02-18,2025-02-14,Forminard Elizabeth,"Executive VP, General Counsel",F,267.0,156.71,41841.57,9360.0,0000200406-25-000046
2025-02-18,2025-02-14,Forminard Elizabeth,"Executive VP, General Counsel",M,1352.0,0.0,,11366.0,0000200406-25-000046
2025-02-18,2025-02-14,Forminard Elizabeth,"Executive VP, General Counsel",F,464.0,156.71,72713.44,10902.0,0000200406-25-000046
2025-02-18,2025-02-14,Duato Joaquin,CEO and Chairman of the Board,F,1510.0,155.26,234442.59999999998,390988.0,0000200406-25-000044
2025-02-18,2025-02-14,Duato Joaquin,CEO and Chairman of the Board,M,5053.0,0.0,,396041.0,0000200406-25-000044
2025-02-18,2025-02-14,Duato Joaquin,CEO and Chairman of the Board,F,2198.0,156.71,344448.58,393843.0,0000200406-25-000044
2025-02-18,2025-02-14,Duato Joaquin,CEO and Chairman of the Board,M,19282.0,0.0,,415205.0,0000200406-25-000044
2025-02-18,2025-02-14,Duato Joaquin,CEO and Chairman of the Board,F,8386.0,156.71,1314170.06,406819.0,0000200406-25-000044
2025-02-18,2025-02-14,Decker Robert J,VP Corporate Controller,F,104.0,155.26,16147.039999999999,19181.0,0000200406-25-000042
2025-02-18,2025-02-14,Decker Robert J,VP Corporate Controller,M,850.0,0.0,,20031.0,0000200406-25-000042
2025-02-18,2025-02-14,Decker Robert J,VP Corporate Controller,F,254.0,156.71,39804.340000000004,19777.0,0000200406-25-000042
2025-02-18,2025-02-14,Decker Robert J,VP Corporate Controller,M,1351.0,0.0,,21373.0,0000200406-25-000042
2025-02-18,2025-02-14,Decker Robert J,VP Corporate Controller,F,372.0,156.71,58296.12,21001.0,0000200406-25-000042
2025-02-18,2025-02-14,Broadhurst Vanessa,"EVP, Global Corp Affairs",F,151.0,155.26,23444.26,20091.0,0000200406-25-000040
2025-02-18,2025-02-14,Broadhurst Vanessa,"EVP, Global Corp Affairs",M,1830.0,0.0,,21921.0,0000200406-25-000040
2025-02-18,2025-02-14,Broadhurst Vanessa,"EVP, Global Corp Affairs",F,574.0,156.71,89951.54000000001,21347.0,0000200406-25-000040
2025-02-18,2025-02-14,Broadhurst Vanessa,"EVP, Global Corp Affairs",M,2910.0,0.0,,24591.0,0000200406-25-000040
2025-02-18,2025-02-14,Broadhurst Vanessa,"EVP, Global Corp Affairs",F,997.0,156.71,156239.87,23594.0,0000200406-25-000040
2025-02-18,2025-02-15,Schmid Timothy,"EVP, WW Chair, MedTech",M,1029.0,0.0,,15501.0,0000200406-25-000060
2025-02-18,2025-02-15,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",M,607.0,0.0,,91036.8735,0000200406-25-000058
2025-02-18,2025-02-15,Wolk Joseph J,"Exec VP, CFO",M,1971.0,0.0,,6113.0,0000200406-25-000056
2025-02-18,2025-02-15,REED JOHN C,"EVP, Innovative Medicine, R&D",M,1350.0,0.0,,15927.0,0000200406-25-000054
2025-02-18,2025-02-15,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",M,1594.0,0.0,,171110.001,0000200406-25-000052
2025-02-18,2025-02-15,Swanson James D.,"EVP, CIO",M,492.0,0.0,,16761.59,0000200406-25-000050
2025-02-18,2025-02-15,Mulholland Kristen,"EVP, Chief HR Officer",M,419.0,0.0,,13095.0,0000200406-25-000048
2025-02-18,2025-02-15,Forminard Elizabeth,"Executive VP, General Counsel",M,961.0,0.0,,10321.0,0000200406-25-000046
2025-02-18,2025-02-15,Duato Joaquin,CEO and Chairman of the Board,M,3682.0,0.0,,397525.0,0000200406-25-000044
2025-02-18,2025-02-15,Decker Robert J,VP Corporate Controller,M,339.0,0.0,,20116.0,0000200406-25-000042
2025-02-18,2025-02-15,Broadhurst Vanessa,"EVP, Global Corp Affairs",M,492.0,0.0,,21839.0,0000200406-25-000040
2025-02-18,2025-02-18,Schmid Timothy,"EVP, WW Chair, MedTech",S,403.0,156.15,62928.450000000004,15098.0,0000200406-25-000060
2025-02-18,2025-02-18,Wengel Kathryn E,"EVP, Chief TO and Risk Officer",F,200.0,156.15,31230.0,90836.8735,0000200406-25-000058
2025-02-18,2025-02-18,Wolk Joseph J,"Exec VP, CFO",F,768.0,156.15,119923.20000000001,5345.0,0000200406-25-000056
2025-02-18,2025-02-18,REED JOHN C,"EVP, Innovative Medicine, R&D",F,385.0,156.15,60117.75,15542.0,0000200406-25-000054
2025-02-18,2025-02-18,Taubert Jennifer L,"EVP, WWC. Innovative Medicine",F,651.0,156.15,101653.65000000001,170459.001,0000200406-25-000052
2025-02-18,2025-02-18,Swanson James D.,"EVP, CIO",F,141.0,156.15,22017.15,16620.59,0000200406-25-000050
2025-02-18,2025-02-18,Mulholland Kristen,"EVP, Chief HR Officer",F,120.0,156.15,18738.0,12975.0,0000200406-25-000048
2025-02-18,2025-02-18,Forminard Elizabeth,"Executive VP, General Counsel",F,307.0,156.15,47938.05,10014.0,0000200406-25-000046
2025-02-18,2025-02-18,Duato Joaquin,CEO and Chairman of the Board,F,1602.0,156.15,250152.30000000002,395923.0,0000200406-25-000044
2025-02-18,2025-02-18,Decker Robert J,VP Corporate Controller,F,94.0,156.15,14678.1,20022.0,0000200406-25-000042
