filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-22,2024-08-21,CHANG LISA,Executive Vice President,M,40334.0,50.4383,2034378.3922,114401.0,0001127602-24-022767
2024-08-22,2024-08-21,CHANG LISA,Executive Vice President,S,40334.0,69.5351,2804628.7234,74067.0,0001127602-24-022767
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,M,18622.0,41.885,779982.47,168374.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,S,18622.0,69.5793,1295705.7246,149752.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,M,17691.0,43.515,769823.865,167443.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,S,17691.0,69.5798,1230936.2418000002,149752.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,M,19024.0,40.89,777891.36,168776.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,S,19024.0,69.5786,1323663.2863999999,149752.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,M,44663.0,44.475,1986386.925,194415.0,0001127602-24-022833
2024-08-23,2024-08-21,MANN JENNIFER K,Executive Vice President,S,44663.0,69.5801,3107656.0063,149752.0,0001127602-24-022833
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,M,36232.0,41.885,1517577.3199999998,478778.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,S,36232.0,70.0,2536240.0,442546.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,M,22114.0,41.885,926244.89,464660.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,S,22114.0,70.0351,1548756.2014,442546.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,M,22073.0,41.885,924527.605,464619.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,S,22073.0,70.0355,1545893.5914999999,442546.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,M,22114.0,41.885,926244.89,464660.0,0001127602-24-022831
2024-08-23,2024-08-21,Quincey James,Chairman and CEO,S,22114.0,70.0349,1548751.7785999998,442546.0,0001127602-24-022831
2024-08-23,2024-08-22,MANN JENNIFER K,Executive Vice President,M,29268.0,44.475,1301694.3,179020.0,0001127602-24-022833
2024-08-23,2024-08-22,MANN JENNIFER K,Executive Vice President,S,29268.0,69.306,2028448.008,149752.0,0001127602-24-022833
