filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-13,2024-08-12,Hakim Anat,"EVP, GC & Secretary",G,14700.0,0.0,,15779.0,0000059478-24-000189
2024-08-20,2024-08-19,Sulzberger Gabrielle,董事,A,11.0,921.81,10139.91,2176.0,0000059478-24-000206
2024-08-20,2024-08-19,LUCIANO JUAN R,董事,A,16.0,921.81,14748.96,15770.0,0000059478-24-000204
2024-08-20,2024-08-19,JOHNSON KIMBERLY H,董事,A,10.0,921.81,9218.1,2674.0,0000059478-24-000202
2024-08-20,2024-08-19,Hedley Mary Lynne,董事,A,11.0,921.81,10139.91,1524.0,0000059478-24-000200
2024-08-20,2024-08-19,Alvarez Ralph,董事,A,13.0,921.81,11983.53,54163.0,0000059478-24-000198
2024-08-21,2024-08-20,Ricks David A,"President, Chair, and CEO",G,13727.0,0.0,,469824.0,0000059478-24-000208
2024-08-23,2024-08-22,LILLY ENDOWMENT INC,,S,200.0,967.005,193401.0,96940614.0,0001415889-24-022123
2024-08-26,2024-08-26,Zakrowski Donald A,"SVP, Finance, & CAO",S,750.0,950.0,712500.0,6380.0,0000059478-24-000210
2024-08-28,2024-08-27,LILLY ENDOWMENT INC,,S,100.0,972.235,97223.5,96916062.0,0001415889-24-022413
2024-09-04,2024-09-03,LILLY ENDOWMENT INC,,S,979.0,969.176,948823.304,96891978.0,0001415889-24-022759
2024-09-12,2024-09-11,Skovronsky Daniel,"EVP, CSO & Pres. LRL & LLY Imm",G,5724.0,0.0,,117903.0,0000059478-24-000215
2024-09-17,2024-09-16,Sulzberger Gabrielle,董事,A,11.0,923.54,10158.94,2190.0,0000059478-24-000225
2024-09-17,2024-09-16,LUCIANO JUAN R,董事,A,16.0,923.54,14776.64,15809.0,0000059478-24-000223
2024-09-17,2024-09-16,JOHNSON KIMBERLY H,董事,A,10.0,923.54,9235.4,2688.0,0000059478-24-000221
2024-09-17,2024-09-16,Hedley Mary Lynne,董事,A,11.0,923.54,10158.94,1537.0,0000059478-24-000219
2024-09-17,2024-09-16,Alvarez Ralph,董事,A,13.0,923.54,12006.02,54254.0,0000059478-24-000217
