filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-23,2024-08-23,Erlinger Joseph M.,"President, McDonald's USA",S,1098.0,288.7,316992.6,12583.34,0000063908-24-000124
2024-09-03,2024-08-31,Rice Brian S,EVP-Global Chief Info. Officer,F,1753.91,288.66,506283.66060000006,5064.09,0000063908-24-000127
2024-09-03,2024-09-03,Gross Marion K.,EVP-Chief Supply Chain Officer,S,1498.0,286.36,428967.28,1560.39,0000063908-24-000128
2024-09-18,2024-09-16,Kempczinski Christopher J,Chairman and CEO,S,3934.0,300.0,1180200.0,61611.8,0000063908-24-000130
2024-09-18,2024-09-16,Borden Ian Frederick,EVP & CFO,S,1325.0,300.0,397500.0,20403.45,0000063908-24-000129
2024-09-24,2024-09-23,Borden Ian Frederick,EVP & CFO,S,5939.0,300.04,1781937.56,20403.45,0000063908-24-000132
2024-09-24,2024-09-23,Erlinger Joseph M.,"President, McDonald's USA",S,1099.0,298.57,328128.43,11484.34,0000063908-24-000131
2024-09-25,2024-09-24,Kempczinski Christopher J,Chairman and CEO,S,6629.0,300.0,1988700.0,43255.8,0000063908-24-000139
2024-09-27,2024-09-27,Kempczinski Christopher J,Chairman and CEO,S,9291.0,305.0,2833755.0,43255.8,0000063908-24-000140
2024-10-15,2024-10-14,Flatley Edith Morgan,EVP - Global CMO,S,2346.0,310.0,727260.0,2905.43,0000063908-24-000148
2024-10-25,2024-10-23,Erlinger Joseph M.,"President, McDonald's USA",S,1099.0,292.38,321325.62,10385.34,0000063908-24-000149
2024-11-05,2024-11-01,Gross Marion K.,EVP-Chief Supply Chain Officer,S,1499.0,294.51,441470.49,1560.39,0000063908-24-000154
2024-11-26,2024-11-25,Erlinger Joseph M.,"President, McDonald's USA",S,1099.0,292.5,321457.5,9286.34,0000063908-24-000157
2024-12-23,2024-12-23,Erlinger Joseph M.,"President, McDonald's USA",S,1099.0,291.1,319918.9,8187.34,0000063908-24-000158
2024-12-31,2024-12-31,Ralls-Morrison Desiree,"EVP, Chief Legal Off.",S,3408.0,289.63,987059.04,6267.12,0001567619-24-000427
2025-01-03,2025-01-02,Gross Marion K.,EVP-Chief Supply Chain Officer,S,1499.0,290.95,436134.05,1560.39,0001567619-25-000026
2025-01-24,2025-01-23,Erlinger Joseph M.,"President, McDonald's USA",S,300.0,280.75,84225.0,7887.34,0001567619-25-000036
2025-02-13,2025-02-11,Kempczinski Christopher J,Chairman and CEO,S,10500.0,310.05,3255525.0,32755.8,0001567619-25-000151
2025-02-14,2022-11-09,Daniel Kareem,,P,36.0,278.73,10034.28,145.0,0001567619-25-000168
2025-02-14,2025-02-13,McDonald Gillian,"EVP - President, IOM",F,1849.45,310.02,573366.489,4121.81,0001567619-25-000174
2025-02-14,2025-02-13,Banner Jonathan,EVP - Chief Impact Officer,F,2141.96,310.02,664050.4392,2598.66,0001567619-25-000165
