filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,988.0,500.3452,494341.0576,650521.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,715.0,501.534,358596.81,649806.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,2049.0,502.53,1029683.97,647757.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,854.0,503.4809,429972.6886,646903.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,826.0,504.6799,416865.59739999997,646077.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,742.0,505.6738,375209.9596,645335.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,495.0,506.9755,250952.8725,644840.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,531.0,508.0363,269767.2753,644309.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,717.0,508.7671,364786.01070000004,643592.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,58.0,509.825,29569.85,643534.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,1198.0,500.5172,599619.6056,114910.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,670.0,501.5108,336012.23600000003,114240.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,2406.0,502.5272,1209080.4432,111834.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,951.0,503.6767,478996.5417,110883.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,803.0,504.7755,405334.7265,110080.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,755.0,505.752,381842.76,109325.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,645.0,506.8057,326889.6765,108680.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,781.0,508.2475,396941.2975,107899.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,481.0,509.0117,244834.6277,107418.0,0000950103-24-012081
2024-08-12,2024-08-08,Zuckerberg Mark,COB and CEO,S,37.0,509.89,18865.93,107381.0,0000950103-24-012081
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,444.0,507.6232,225384.7008,643090.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,451.0,509.2072,229652.4472,642639.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,985.0,511.1305,503463.5425,641654.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1486.0,512.0971,760976.2906,640168.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1144.0,513.2914,587205.3616,639024.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1429.0,514.5821,735337.8208999999,637595.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1532.0,515.2939,789430.2548,636063.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,288.0,516.3478,148708.1664,635775.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,216.0,517.9156,111869.76960000001,635559.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,394.0,507.4721,199944.0074,106987.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,515.0,509.4058,262343.987,106472.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1260.0,510.9369,643780.494,105212.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1361.0,511.9126,696713.0486,103851.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,1096.0,512.9931,562240.4376000001,102755.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,939.0,514.1844,482819.1516,101816.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,2223.0,514.9726,1144784.0898000002,99593.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,500.0,515.7313,257865.65000000002,99093.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,192.0,516.645,99195.84,98901.0,0000950103-24-012082
2024-08-12,2024-08-09,Zuckerberg Mark,COB and CEO,S,247.0,517.9377,127930.61189999999,98654.0,0000950103-24-012082
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,122.0,509.8308,62199.3576,635437.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,264.0,511.9024,135142.2336,635173.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,557.0,513.1832,285843.04240000003,634616.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,874.0,514.226,449433.524,633742.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,4999.0,515.1065,2575017.3935,628743.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,883.0,515.8942,455534.57859999995,627860.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,276.0,517.2333,142756.3908,627584.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,168.0,510.8671,85825.6728,98486.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,386.0,512.4177,197793.2322,98100.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,1351.0,514.0902,694535.8602,96749.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,5147.0,515.075,2651091.0250000004,91602.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,1303.0,515.8605,672166.2315,90299.0,0000950103-24-012229
2024-08-14,2024-08-12,Zuckerberg Mark,COB and CEO,S,372.0,517.1535,192381.102,89927.0,0000950103-24-012229
2024-08-14,2024-08-12,KIMMITT ROBERT M,董事,G,1000.0,0.0,,10375.0,0000950103-24-012221
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,167.0,520.1991,86873.2497,627417.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1046.0,522.1041,546120.8886000001,626371.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1066.0,523.135,557661.91,625305.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,643.0,524.1529,337030.31470000005,624662.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1109.0,525.1038,582340.1142,623553.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1370.0,526.3897,721153.889,622183.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1208.0,527.4141,637116.2328,620975.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,806.0,528.5127,425981.2362,620169.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,292.0,529.5818,154637.8856,619877.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,268.0,530.7122,142230.8696,619609.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,72.0,518.59,37338.48,89855.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,75.0,520.336,39025.200000000004,89780.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1384.0,522.0976,722583.0784000001,88396.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,730.0,523.1222,381879.206,87666.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,804.0,524.0591,421343.51639999996,86862.0,0000950103-24-012230
2024-08-14,2024-08-13,Zuckerberg Mark,COB and CEO,S,1277.0,525.0786,670525.3722000001,85585.0,0000950103-24-012230
