filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-26,2024-08-23,Nadella Satya,Chief Executive Officer,S,7199.0,417.412,3004948.988,0.0,0001062993-24-015672
2024-08-26,2024-08-23,Nadella Satya,Chief Executive Officer,S,7199.0,417.412,3004948.988,0.0,0001062993-24-015672
2024-09-03,2024-08-30,Numoto Takeshi,"EVP, Chief Marketing Officer",F,209.913,413.12,86719.25856,46234.203,0001062993-24-016027
2024-09-03,2024-08-30,Jolla Alice L.,Chief Accounting Officer,F,60.68,413.12,25068.1216,67728.4916,0001062993-24-016025
2024-09-03,2024-08-31,Jolla Alice L.,Chief Accounting Officer,A,4411.0,0.0,,72139.4916,0001062993-24-016025
2024-09-03,2024-09-03,Young Christopher David,"EVP, Business Development",A,19573.0,0.0,,126213.0592,0001062993-24-016030
2024-09-03,2024-09-03,Young Christopher David,"EVP, Business Development",F,14162.023,417.14,5907546.274219999,112070.9549,0001062993-24-016030
2024-09-03,2024-09-03,SMITH BRADFORD L,President,A,40448.0,0.0,,607197.6431,0001062993-24-016029
2024-09-03,2024-09-03,SMITH BRADFORD L,President,F,22413.212,417.14,9349447.25368,584847.4896,0001062993-24-016029
2024-09-03,2024-09-03,Numoto Takeshi,"EVP, Chief Marketing Officer",A,14552.0,0.0,,60786.203,0001062993-24-016027
2024-09-03,2024-09-03,Numoto Takeshi,"EVP, Chief Marketing Officer",F,8320.847,417.14,3470958.11758,52499.5945,0001062993-24-016027
2024-09-03,2024-09-03,Nadella Satya,Chief Executive Officer,A,260949.0,0.0,,1047881.685,0001062993-24-016026
2024-09-03,2024-09-03,Nadella Satya,Chief Executive Officer,F,105201.441,417.14,43883729.098740004,942680.244,0001062993-24-016026
2024-09-03,2024-09-03,Jolla Alice L.,Chief Accounting Officer,F,498.242,417.14,207836.66788,71641.2496,0001062993-24-016025
2024-09-03,2024-09-03,Hood Amy,"EVP, Chief Financial Officer",A,45668.0,0.0,,562118.617,0001062993-24-016023
2024-09-03,2024-09-03,Hood Amy,"EVP, Chief Financial Officer",F,25299.444,417.14,10553410.07016,536819.173,0001062993-24-016023
2024-09-03,2024-09-03,Hogan Kathleen T,"EVP, Human Resources",A,17224.0,0.0,,176987.8199,0001062993-24-016022
2024-09-03,2024-09-03,Hogan Kathleen T,"EVP, Human Resources",F,9516.737,417.14,3969811.6721799993,167538.492,0001062993-24-016022
2024-09-03,2024-09-03,Althoff Judson,"EVP, Chief Commercial Officer",A,32881.0,0.0,,137829.654,0001062993-24-016021
