filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-12,2024-08-08,MEHROTRA SANJAY,CEO and President,G,14531.0,0.0,,338694.0,0001562180-24-006150
2024-09-30,2024-09-26,ARNZEN APRIL S,EVP and Chief People Officer,S,4890.0,113.0,552570.0,135830.0,0001562180-24-006995
2024-10-02,2024-09-30,SWAN ROBERT HOLMES,,A,291.0,0.0,,1740.0,0001562180-24-007173
2024-10-15,2024-10-13,BEYER RICHARD M,,A,2338.0,0.0,,101583.0,0001562180-24-007339
2024-10-15,2024-10-13,SWAN ROBERT HOLMES,,A,2338.0,0.0,,4078.0,0001562180-24-007338
2024-10-15,2024-10-13,SWITZ ROBERT E,,A,2338.0,0.0,,75765.0,0001562180-24-007337
2024-10-15,2024-10-13,GOMO STEVEN J,,A,2338.0,0.0,,29762.0,0001562180-24-007336
2024-10-15,2024-10-13,McCarthy Mary Pat,,A,2338.0,0.0,,29762.0,0001562180-24-007335
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",A,38580.0,0.0,,194884.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,7033.0,106.92,751968.36,187851.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,7804.0,106.92,834403.68,180047.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",M,29214.0,0.0,,209261.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,13115.0,106.92,1402255.8,196146.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",M,29214.0,0.0,,225360.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,13115.0,106.92,1402255.8,212245.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",M,12095.0,0.0,,224340.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,5234.0,106.92,559619.28,219106.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",M,15403.0,0.0,,234509.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,7301.0,106.92,780622.92,227208.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",M,4390.0,0.0,,231598.0,0001562180-24-007362
2024-10-16,2024-10-13,Deboer Scott J,"EVP, CTO and Product Officer",F,2081.0,106.92,222500.52,229517.0,0001562180-24-007362
