filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-12,2024-08-09,HUANG JEN HSUN,President and CEO,S,2264.0,106.2871,240633.9944,76614995.0,0001045810-24-000253
2024-09-04,2024-09-03,HUANG JEN HSUN,President and CEO,S,710.0,116.0321,82382.791,76375836.0,0001045810-24-000266
2024-09-06,2024-09-05,HUANG JEN HSUN,President and CEO,S,7092.0,109.2331,774681.1451999999,76135836.0,0001045810-24-000268
2024-09-10,2024-09-09,HUANG JEN HSUN,President and CEO,S,18518.0,106.1575,1965824.585,75895836.0,0001045810-24-000270
2024-09-12,2024-09-11,HUANG JEN HSUN,President and CEO,S,864.0,117.072,101150.208,75655836.0,0001045810-24-000272
2024-09-16,2024-09-13,HUANG JEN HSUN,President and CEO,S,55143.0,119.2616,6576442.4088,75415836.0,0001045810-24-000274
2024-09-20,2024-09-18,Puri Ajay K,"EVP, Worldwide Field Ops",F,61705.0,115.59,7132480.95,921307.0,0001045810-24-000288
2024-09-20,2024-09-18,HUANG JEN HSUN,President and CEO,F,63870.0,115.59,7382733.3,75351966.0,0001045810-24-000287
2024-09-20,2024-09-18,Teter Timothy S.,"EVP, General Counsel and Sec",F,56687.0,115.59,6552450.33,721704.0,0001045810-24-000286
2024-09-20,2024-09-18,Shoquist Debora,"EVP, Operations",F,55532.0,115.59,6418943.88,934844.0,0001045810-24-000281
2024-09-20,2024-09-20,Robertson Donald F Jr,Principal Accounting Officer,S,300.0,118.1467,35444.01,492409.0,0001045810-24-000284
2024-09-20,2024-09-20,Kress Colette,EVP & Chief Financial Officer,S,6869.0,118.0486,810875.8334,4954214.0,0001045810-24-000283
2024-09-23,2024-09-20,COXE TENCH,董事,S,797022.0,116.2665,92666958.363,4852480.0,0001225208-24-008806
2024-09-24,2024-09-20,HUANG JEN HSUN,President and CEO,G,1568000.0,0.0,,602819280.0,0001045810-24-000290
2024-09-26,2024-09-24,STEVENS MARK A,董事,S,165100.0,121.2685,20021429.35,8420117.0,0001045810-24-000292
2024-10-01,2024-09-27,STEVENS MARK A,董事,S,40000.0,121.0089,4840356.0,8380117.0,0001045810-24-000294
2024-10-07,2024-10-03,STEVENS MARK A,董事,S,125000.0,122.6076,15325950.0,8255117.0,0001045810-24-000296
2024-10-11,2024-10-09,STEVENS MARK A,董事,S,155000.0,132.2747,20502578.5,8100117.0,0001045810-24-000298
2024-11-27,2024-11-25,Dabiri John,董事,S,716.0,142.0,101672.0,19942.0,0001045810-24-000318
2024-12-09,2024-12-09,Ochoa Ellen,董事,A,1321.0,0.0,,3169.0,0001045810-24-000320
2024-12-13,2024-12-11,Teter Timothy S.,"EVP, General Counsel and Sec",F,56688.0,135.07,7656848.159999999,616692.0,0001045810-24-000333
2024-12-13,2024-12-11,HUANG JEN HSUN,President and CEO,F,63835.0,135.07,8622193.45,75288131.0,0001045810-24-000332
2024-12-13,2024-12-11,Shoquist Debora,"EVP, Operations",F,55533.0,135.07,7500842.31,879311.0,0001045810-24-000331
2024-12-13,2024-12-11,Puri Ajay K,"EVP, Worldwide Field Ops",F,61749.0,135.07,8340437.43,859558.0,0001045810-24-000327
2024-12-13,2024-12-13,Kress Colette,EVP & Chief Financial Officer,S,5659.0,138.88,785921.9199999999,3351572.0,0001045810-24-000335
2024-12-13,2024-12-13,Robertson Donald F Jr,Principal Accounting Officer,S,500.0,138.782,69391.0,480899.0,0001045810-24-000330
2024-12-18,2024-12-17,COXE TENCH,董事,G,1000000.0,0.0,,27671360.0,0001225208-24-010914
2024-12-20,2024-12-18,STEVENS MARK A,董事,G,385000.0,0.0,,10275333.0,0001045810-24-000337
2025-01-08,2025-01-07,Puri Ajay K,"EVP, Worldwide Field Ops",S,89.0,152.5001,13572.5089,3902655.0,0001045810-25-000002
2025-03-04,2025-02-28,Kress Colette,EVP & Chief Financial Officer,G,64080.0,0.0,,3059644.0,0001045810-25-000027
2025-03-05,2025-03-03,Puri Ajay K,"EVP, Worldwide Field Ops",A,42220.0,0.0,,995899.0,0001045810-25-000037
