filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-10-03,2024-09-30,Page David C,董事,A,516.9574,,,18008.2597,0001628280-24-042125
2024-10-03,2024-09-30,WEISSER ALBERTO,董事,A,838.9327,,,28601.4735,0001628280-24-042123
2024-10-03,2024-09-30,VASELLA DANIEL,董事,A,1109.0642,,,83369.0814,0001628280-24-042122
2024-10-03,2024-09-30,POHLAD ROBERT C,董事,A,494.517,,,185901.9558,0001628280-24-042121
2024-10-03,2024-09-30,Lewis Dave J,董事,A,90.36,,,6915.8922,0001628280-24-042119
2024-10-03,2024-09-30,Gass Michelle,董事,A,244.079,,,9030.3701,0001628280-24-042117
2024-10-03,2024-09-30,Conde Cesar,董事,A,428.4325,,,15095.7296,0001628280-24-042116
2024-10-03,2024-09-30,DUBLON DINA,董事,A,1260.2611,,,43918.471,0001628280-24-042114
2024-10-03,2024-09-30,COOPER EDITH W,董事,A,142.6098,,,5766.9646,0001628280-24-042113
2024-10-03,2024-09-30,COOK IAN M,董事,A,1216.8199,,,43603.224,0001628280-24-042112
2024-10-03,2024-09-30,Walker Darren,董事,A,390.7562,,,13856.1526,0001628280-24-042111
2024-10-03,2024-09-30,Agbaje Segun,董事,A,141.0022,,,9517.9248,0001628280-24-042109
2024-10-03,2024-09-30,Bailey Jennifer,董事,A,39.229,,,3453.2883,0001628280-24-042108
2024-10-03,2024-09-30,Diamond Susan M,董事,A,39.229,,,3453.2883,0001628280-24-042105
2024-10-03,2024-10-01,Page David C,董事,A,1166.9973,0.0,,19175.257,0001628280-24-042125
2024-10-03,2024-10-01,WEISSER ALBERTO,董事,A,1166.9973,0.0,,29768.4708,0001628280-24-042123
2024-10-03,2024-10-01,VASELLA DANIEL,董事,A,1166.9973,0.0,,84536.0787,0001628280-24-042122
2024-10-03,2024-10-01,POHLAD ROBERT C,董事,A,1166.9973,0.0,,187068.9531,0001628280-24-042121
2024-10-03,2024-10-01,Lewis Dave J,董事,A,1166.9973,0.0,,8082.8895,0001628280-24-042119
2024-10-03,2024-10-01,Gass Michelle,董事,A,1166.9973,0.0,,10197.3674,0001628280-24-042117
2024-10-03,2024-10-01,Conde Cesar,董事,A,1166.9973,0.0,,16262.7269,0001628280-24-042116
2024-10-03,2024-10-01,DUBLON DINA,董事,A,1166.9973,0.0,,45085.4683,0001628280-24-042114
2024-10-03,2024-10-01,COOPER EDITH W,董事,A,1166.9973,0.0,,6933.9619,0001628280-24-042113
2024-10-03,2024-10-01,COOK IAN M,董事,A,1166.9973,0.0,,44770.2213,0001628280-24-042112
2024-10-03,2024-10-01,Walker Darren,董事,A,1166.9973,0.0,,15023.1499,0001628280-24-042111
2024-10-03,2024-10-01,Agbaje Segun,董事,A,1166.9973,0.0,,10684.9221,0001628280-24-042109
2024-10-03,2024-10-01,Bailey Jennifer,董事,A,1166.9973,0.0,,4620.2856,0001628280-24-042108
2024-10-03,2024-10-01,Diamond Susan M,董事,A,1166.9973,0.0,,4620.2856,0001628280-24-042105
2024-12-03,2024-12-01,Bailey Jennifer,董事,A,367.9852,163.05,59999.986860000005,4988.2708,0001628280-24-049736
2024-12-03,2024-12-01,Lewis Dave J,董事,A,367.9852,163.05,59999.986860000005,8450.8747,0001628280-24-049733
2024-12-03,2024-12-01,Diamond Susan M,董事,A,367.9852,163.05,59999.986860000005,4988.2708,0001628280-24-049732
2024-12-03,2024-12-01,VASELLA DANIEL,董事,A,367.9852,163.05,59999.986860000005,84904.0639,0001628280-24-049731
2024-12-03,2024-12-01,Agbaje Segun,董事,A,367.9852,163.05,59999.986860000005,11052.9073,0001628280-24-049729
2025-03-03,2025-02-27,Santilli Paula,"CEO, Latin America Foods",M,7777.0,98.75,767978.75,95011.0,0001628280-25-009445
2025-03-03,2025-02-27,Santilli Paula,"CEO, Latin America Foods",S,7777.0,151.895,1181287.415,87234.0,0001628280-25-009445
2025-03-04,2025-03-01,Williams Steven C,"CEO, North America",A,24683.0,0.0,,136421.0,0001628280-25-009804
2025-03-04,2025-03-01,Williams Steven C,"CEO, North America",A,14172.0,0.0,,150593.0,0001628280-25-009804
2025-03-04,2025-03-01,Williams Steven C,"CEO, North America",F,10366.0,153.725,1593513.3499999999,140227.0,0001628280-25-009804
2025-03-04,2025-03-01,Flavell David,"EVP, Gen Counsel & Corp Sec",A,12470.0,0.0,,48734.0,0001628280-25-009803
