filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-12,2024-08-08,Keith R. Alexandra,CEO - Beauty,S,4163.0,171.0475,712070.7425,17349.9251,0001127602-24-021964
2024-08-12,2024-08-08,Coombe Gary A,CEO - Grooming,M,50000.0,91.07,4553500.0,86907.5637,0001127602-24-021963
2024-08-12,2024-08-08,Coombe Gary A,CEO - Grooming,S,50000.0,171.0442,8552210.0,36907.5637,0001127602-24-021963
2024-08-12,2024-08-09,Moeller Jon R,"Chairman, President and CEO",M,72174.0,98.55,7112747.7,335331.512,0001127602-24-021968
2024-08-12,2024-08-09,Moeller Jon R,"Chairman, President and CEO",S,72174.0,171.0095,12342439.653,263157.512,0001127602-24-021968
2024-08-20,2024-08-19,Pritchard Marc S.,Chief Brand Officer,A,18314.0,0.0,,182039.0506,0001127602-24-022633
2024-08-20,2024-08-19,Keith R. Alexandra,CEO - Beauty,A,23479.0,0.0,,40828.9251,0001127602-24-022632
2024-08-20,2024-08-19,Keith R. Alexandra,CEO - Beauty,A,1609.0,0.0,,5827.3561,0001127602-24-022632
2024-08-20,2024-08-19,Raman Sundar G.,CEO-Fabric & Home Care,A,19862.0,0.0,,38903.6962,0001127602-24-022631
2024-08-20,2024-08-19,Coombe Gary A,CEO - Grooming,A,22377.0,0.0,,59292.9937,0001127602-24-022630
2024-08-20,2024-08-19,Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",A,22068.0,0.0,,23559.6179,0001127602-24-022629
2024-08-20,2024-08-19,Jejurikar Shailesh,Chief Operating Officer,A,24657.0,0.0,,34454.6395,0001127602-24-022628
2024-08-20,2024-08-19,Whaley Susan Street,Chief Legal Officer & Secy,A,1493.0,0.0,,13450.7162,0001127602-24-022627
2024-08-20,2024-08-19,Davis Jennifer L.,CEO - Health Care,A,15971.0,0.0,,63437.2367,0001127602-24-022626
2024-08-20,2024-08-19,Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",A,14092.0,0.0,,27149.4881,0001127602-24-022625
2024-08-20,2024-08-19,Schulten Andre,Chief Financial Officer,A,22191.0,0.0,,59212.957,0001127602-24-022623
2024-08-20,2024-08-19,Purushothaman Balaji,Chief Human Resources Officer,A,2031.0,0.0,,13567.6537,0001127602-24-022622
2024-08-20,2024-08-19,Moeller Jon R,"Chairman, President and CEO",A,69037.0,0.0,,332194.512,0001127602-24-022620
2024-08-22,2024-08-20,Whaley Susan Street,Chief Legal Officer & Secy,S,450.0,169.219,76148.55,13072.1201,0001127602-24-022812
2024-08-22,2024-08-20,Pritchard Marc S.,Chief Brand Officer,S,9522.0,169.219,1611303.318,172665.4817,0001127602-24-022810
2024-08-22,2024-08-20,Purushothaman Balaji,Chief Human Resources Officer,S,920.0,169.219,155681.47999999998,12676.9989,0001127602-24-022807
2024-08-22,2024-08-20,Moeller Jon R,"Chairman, President and CEO",S,31797.0,169.219,5380656.543,300776.8949,0001127602-24-022805
2024-08-22,2024-08-20,Davis Jennifer L.,CEO - Health Care,S,6223.0,169.219,1053049.837,57319.0851,0001127602-24-022803
2024-08-22,2024-08-20,Jejurikar Shailesh,Chief Operating Officer,S,10623.0,169.219,1797613.437,23889.9125,0001127602-24-022801
2024-08-22,2024-08-20,Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",S,9844.0,169.219,1665791.836,13721.3362,0001127602-24-022795
2024-08-22,2024-08-20,Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",S,6163.0,169.219,1042896.6969999999,21018.7898,0001127602-24-022794
2024-08-22,2024-08-20,Schulten Andre,Chief Financial Officer,S,9150.0,169.219,1548353.8499999999,50249.2045,0001127602-24-022792
2024-08-22,2024-08-21,Purushothaman Balaji,Chief Human Resources Officer,S,1111.0,170.51,189436.61,11565.9989,0001127602-24-022807
2024-08-23,2024-08-21,Coombe Gary A,CEO - Grooming,S,10128.0,170.5949,1727785.1472,49209.9678,0001127602-24-022820
2024-08-23,2024-08-21,Raman Sundar G.,CEO-Fabric & Home Care,S,8990.0,170.5949,1533648.151,29915.3465,0001127602-24-022819
2024-08-23,2024-08-21,Keith R. Alexandra,CEO - Beauty,S,10627.0,170.5949,1812912.0023,30305.1608,0001127602-24-022817
2024-08-23,2024-08-21,Keith R. Alexandra,CEO - Beauty,S,729.0,170.5949,124363.68209999999,5121.9748,0001127602-24-022817
2024-08-23,2024-08-22,Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",M,96000.0,98.55,9460800.0,109721.3362,0001127602-24-022823
2024-08-23,2024-08-22,Francisco Ma. Fatima,"CEO - Baby, Fem & Family Care",S,96000.0,170.0,16320000.0,13721.3362,0001127602-24-022823
2024-08-23,2024-08-22,Coombe Gary A,CEO - Grooming,S,12249.0,170.0289,2082683.9960999999,36960.9678,0001127602-24-022820
2024-08-26,2024-08-23,Jejurikar Shailesh,Chief Operating Officer,S,14034.0,169.7823,2382724.7982,9855.9125,0001127602-24-022903
2024-08-26,2024-08-23,Keith R. Alexandra,CEO - Beauty,S,880.0,170.05,149644.0,4241.9748,0001127602-24-022902
2024-08-26,2024-08-23,Keith R. Alexandra,CEO - Beauty,S,12852.0,170.05,2185482.6,17453.1608,0001127602-24-022902
2024-08-27,2024-08-26,Moeller Jon R,"Chairman, President and CEO",M,87979.0,98.55,8670330.45,388755.8949,0001127602-24-022944
2024-08-27,2024-08-26,Moeller Jon R,"Chairman, President and CEO",S,87979.0,170.4022,14991815.1538,300776.8949,0001127602-24-022944
2024-08-27,2024-08-26,Schulten Andre,Chief Financial Officer,S,13041.0,170.0,2216970.0,37208.2045,0001127602-24-022943
2024-08-29,2024-08-28,Moeller Jon R,"Chairman, President and CEO",S,37240.0,168.8948,6289642.352,263536.8949,0001127602-24-023120
2024-09-11,2024-09-10,WOERTZ PATRICIA A,董事,A,169.0,0.0,,48274.2319,0001127602-24-023771
2024-09-11,2024-09-10,Portman Robert Jones,董事,A,43.0,0.0,,1844.6365,0001127602-24-023770
2024-09-11,2024-09-10,McEvoy Ashley,董事,A,169.0,0.0,,1773.6443,0001127602-24-023769
2024-09-11,2024-09-10,McCarthy Christine M,董事,A,211.0,0.0,,12403.1456,0001127602-24-023768
2024-09-11,2024-09-10,LUNDGREN TERRY J,董事,A,204.0,0.0,,40209.8003,0001127602-24-023767
2024-09-11,2024-09-10,Kempczinski Christopher J,董事,A,169.0,0.0,,6936.5316,0001127602-24-023766
2024-09-11,2024-09-10,JIMENEZ JOSEPH,董事,A,268.0,0.0,,31154.5277,0001127602-24-023765
2024-09-11,2024-09-10,Biggs M. Brett,董事,A,169.0,0.0,,2252.5285,0001127602-24-023764
2024-09-11,2024-09-10,Allen Bertrand Marc,董事,A,169.0,0.0,,7742.9845,0001127602-24-023763
2024-10-03,2024-10-01,Whaley Susan Street,Chief Legal Officer & Secy,A,6903.0,0.0,,19975.1201,0001127602-24-025124
2024-10-03,2024-10-01,Moeller Jon R,"Chairman, President and CEO",A,12642.0,0.0,,276178.8949,0001127602-24-025123
2024-10-03,2024-10-01,Aguilar Moses Victor Javier,"Chf Rsch, Dev & Innov Officer",A,3916.0,0.0,,24934.7898,0001127602-24-025120
2024-10-03,2024-10-01,Coombe Gary A,CEO - Grooming,A,2945.0,0.0,,39905.9678,0001127602-24-025114
2024-10-03,2024-10-02,Whaley Susan Street,Chief Legal Officer & Secy,S,634.0,171.6541,108828.6994,19341.1201,0001127602-24-025124
2024-10-03,2024-10-02,Moeller Jon R,"Chairman, President and CEO",S,7007.0,171.6541,1202780.2787,269171.8949,0001127602-24-025123
2024-10-03,2024-10-02,Davis Jennifer L.,CEO - Health Care,S,4447.0,171.6541,763345.7827,52872.0851,0001127602-24-025122
2024-10-03,2024-10-02,Schulten Andre,Chief Financial Officer,S,1569.0,171.6541,269325.2829,35639.2045,0001127602-24-025119
2024-10-04,2024-10-03,Keith R. Alexandra,CEO - Beauty,S,345.0,170.9899,58991.5155,3896.9748,0001127602-24-025230
2024-10-04,2024-10-03,Keith R. Alexandra,CEO - Beauty,S,1678.0,170.9899,286921.05220000003,15775.1608,0001127602-24-025230
2024-10-09,2024-10-08,Chang Amy,董事,A,1309.0,0.0,,15097.7453,0001127602-24-025363
2024-10-09,2024-10-08,McCarthy Christine M,董事,A,1309.0,0.0,,13712.1456,0001127602-24-025361
2024-10-09,2024-10-08,WOERTZ PATRICIA A,董事,A,1309.0,0.0,,49583.2319,0001127602-24-025360
2024-10-09,2024-10-08,Subramaniam Rajesh,董事,A,1309.0,0.0,,4557.5067,0001127602-24-025359
2024-10-09,2024-10-08,Portman Robert Jones,董事,A,1309.0,0.0,,3153.6365,0001127602-24-025358
2024-10-09,2024-10-08,McEvoy Ashley,董事,A,1309.0,0.0,,3082.6443,0001127602-24-025357
2024-10-09,2024-10-08,LUNDGREN TERRY J,董事,A,1309.0,0.0,,41518.8003,0001127602-24-025356
2024-10-09,2024-10-08,LEE DEBRA L,董事,A,1309.0,0.0,,7599.9199,0001127602-24-025355
2024-10-09,2024-10-08,Kempczinski Christopher J,董事,A,1309.0,0.0,,8245.5316,0001127602-24-025354
2024-10-09,2024-10-08,JIMENEZ JOSEPH,董事,A,1309.0,0.0,,32463.5277,0001127602-24-025353
2024-10-09,2024-10-08,Bonini Sheila,董事,A,1309.0,0.0,,2866.2186,0001127602-24-025352
2024-10-09,2024-10-08,Biggs M. Brett,董事,A,1309.0,0.0,,3561.5285,0001127602-24-025351
