filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2025-02-14,2025-02-13,WESTERN DIGITAL CORP,,A,29863251.0,0.0,,144863251.0,0001266824-25-000002
2025-02-25,2025-02-21,Visoso Luis Felipe,EVP & CFO,A,154745.0,0.0,,154745.0,0001363249-25-000009
2025-02-25,2025-02-21,Alexy Kimberly,董事,A,1252.0,0.0,,1252.0,0001363249-25-000008
2025-02-25,2025-02-21,Goeckeler David,Chief Executive Officer,A,215181.0,0.0,,485946.0,0001363249-25-000007
2025-02-25,2025-02-21,WESTERN DIGITAL CORP,,J,116035464.0,0.0,,28827787.0,0001266824-25-000003
2025-03-04,2025-03-03,MASSENGILL MATTHEW E,董事,A,4840.0,0.0,,4840.0,0001363249-25-000021
2025-03-04,2025-03-03,Shook Ellyn,董事,A,3771.0,0.0,,3771.0,0001363249-25-000020
2025-03-04,2025-03-03,Sayiner Necip,董事,A,3771.0,0.0,,3771.0,0001363249-25-000019
2025-03-04,2025-03-03,KUMAR DEVINDER,董事,A,3771.0,0.0,,3771.0,0001363249-25-000018
2025-03-04,2025-03-03,Cassidy Richard B. II,董事,A,3771.0,0.0,,3771.0,0001363249-25-000017
2025-03-04,2025-03-03,Alexy Kimberly,董事,A,4148.0,0.0,,5401.0,0001363249-25-000016
2025-03-04,2025-03-03,Caulfield Thomas,董事,A,4148.0,0.0,,15833.0,0001363249-25-000015
2025-03-04,2025-03-03,Suzuki Miyuki,董事,A,4148.0,0.0,,14641.0,0001363249-25-000014
2025-03-14,2025-03-12,Ilkbahar Alper,"EVP, Chief Technology Officer",F,569.0,50.44,28700.36,40846.0,0001363249-25-000031
2025-03-14,2025-03-12,Goeckeler David,Chairman and CEO,F,3847.0,50.44,194042.68,482099.0,0001363249-25-000030
2025-03-24,2025-03-20,Shek Bernard,Chief Legal Officer & Secreta,F,81.0,56.21,4553.01,17942.0,0001363249-25-000035
2025-03-24,2025-03-20,Ilkbahar Alper,"EVP, Chief Technology Officer",F,1558.0,56.21,87575.18000000001,39288.0,0001363249-25-000034
2025-04-21,2025-04-20,Shek Bernard,Chief Legal Officer & Secty,F,29.0,31.29,907.41,17913.0,0001363249-25-000039
2025-04-21,2025-04-20,Ilkbahar Alper,"EVP, Chief Technology Officer",F,1501.0,31.29,46966.29,37787.0,0001363249-25-000038
