filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-09-09,2024-09-05,Zhu Xiaotong,"SVP, Automotive",M,2633.0,0.0,,67787.75,0001972928-24-000003
2024-09-09,2024-09-06,Zhu Xiaotong,"SVP, Automotive",S,297.0,221.773,65866.581,67490.75,0001972928-24-000003
2024-09-25,2024-09-23,Taneja Vaibhav,Chief Financial Officer,M,8000.0,18.22,145760.0,113032.25,0001771340-24-000004
2024-09-25,2024-09-23,Taneja Vaibhav,Chief Financial Officer,S,8000.0,250.0,2000000.0,105032.25,0001771340-24-000004
2024-10-28,2024-10-24,Taneja Vaibhav,Chief Financial Officer,M,4000.0,18.22,72880.0,109032.25,0001771340-24-000005
2024-10-28,2024-10-24,Taneja Vaibhav,Chief Financial Officer,S,4000.0,250.0,1000000.0,105032.25,0001771340-24-000005
2024-11-04,2024-11-01,Taneja Vaibhav,Chief Financial Officer,M,4000.0,18.22,72880.0,109032.25,0001771340-24-000006
2024-11-04,2024-11-01,Taneja Vaibhav,Chief Financial Officer,S,4000.0,251.76,1007040.0,105032.25,0001771340-24-000006
2024-11-05,2024-11-01,Musk Kimbal,董事,M,15000.0,24.73,370950.0,1623720.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,8652.0,247.318,2139795.336,1615068.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,9630.0,248.165,2389828.9499999997,1605438.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,7275.0,249.028,1811678.7,1598163.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,4894.0,250.353,1225227.582,1593269.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,10097.0,251.174,2536103.878,1583172.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,15722.0,252.255,3965953.11,1567450.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,4115.0,253.019,1041173.185,1563335.0,0001494731-24-000001
2024-11-05,2024-11-01,Musk Kimbal,董事,S,115.0,253.78,29184.7,1563220.0,0001494731-24-000001
2024-11-13,2024-11-08,Taneja Vaibhav,Chief Financial Officer,M,8000.0,18.22,145760.0,113032.25,0001771340-24-000007
2024-11-13,2024-11-08,Taneja Vaibhav,Chief Financial Officer,S,6200.0,300.0,1860000.0,106832.25,0001771340-24-000007
2024-11-13,2024-11-08,Taneja Vaibhav,Chief Financial Officer,S,1800.0,301.642,542955.6,105032.25,0001771340-24-000007
2024-11-13,2024-11-11,Taneja Vaibhav,Chief Financial Officer,M,4000.0,18.22,72880.0,109032.25,0001771340-24-000007
2024-11-13,2024-11-11,Taneja Vaibhav,Chief Financial Officer,S,4000.0,350.0,1400000.0,105032.25,0001771340-24-000007
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,M,94897.0,14.99,1422506.03,100297.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,M,5103.0,16.1,82158.3,105400.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,418.0,336.953,140846.354,104982.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,3000.0,338.089,1014267.0,101982.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,1500.0,338.975,508462.50000000006,100482.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,3300.0,340.022,1122072.5999999999,97182.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,3382.0,341.252,1154114.264,93800.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,5850.0,342.152,2001589.2,87950.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,7556.0,343.216,2593340.096,80394.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,8980.0,344.232,3091203.3600000003,71414.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,11993.0,345.264,4140751.1520000002,59421.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,11723.0,346.232,4058877.7360000005,47698.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,13812.0,347.199,4795512.588,33886.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,10603.0,348.251,3692505.3529999997,23283.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,8395.0,349.184,2931399.68,14888.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,1119.0,350.046,391701.474,13769.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,500.0,351.318,175659.0,13269.0,0000950170-24-126580
2024-11-13,2024-11-11,Wilson-Thompson Kathleen,,S,1800.0,352.441,634393.7999999999,11469.0,0000950170-24-126580
