filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-09-10,2024-09-10,HEMSLEY STEPHEN J,董事,G,9000.0,0.0,,809356.942,0000731766-24-000264
2024-09-18,2024-09-16,HEMSLEY STEPHEN J,董事,G,5176.0,0.0,,0.0,0000731766-24-000266
2024-09-26,2024-09-24,Cianfrocco Heather,"Chief Executive Officer, Optum",A,36.254,0.0,,16886.512,0000731766-24-000298
2024-09-26,2024-09-24,HOOPER MICHELE J,董事,A,132.0,0.0,,39414.0,0000731766-24-000297
2024-09-26,2024-09-24,Zaetta Christopher R,EVP & Chief Legal Officer,A,24.969,0.0,,8065.903,0000731766-24-000296
2024-09-26,2024-09-24,MCNABB FREDERICK WILLIAM III,董事,A,25.0,0.0,,13059.0,0000731766-24-000295
2024-09-26,2024-09-24,Baker Charles D.,董事,A,2.0,0.0,,471.0,0000731766-24-000294
2024-09-26,2024-09-24,Gil Kristen,董事,A,3.0,0.0,,1110.0,0000731766-24-000293
2024-09-26,2024-09-24,GARCIA PAUL R,董事,A,5.0,0.0,,1965.0,0000731766-24-000292
2024-09-26,2024-09-24,REX JOHN F,President & CFO,A,66.27,0.0,,166423.989,0000731766-24-000291
2024-09-26,2024-09-24,HEMSLEY STEPHEN J,董事,A,25.0,0.0,,947229.942,0000731766-24-000290
2024-09-26,2024-09-24,Noseworthy John H,董事,A,19.0,0.0,,5188.0,0000731766-24-000289
2024-09-26,2024-09-24,THOMPSON BRIAN R,"CEO, UnitedHealthcare",A,38.403,0.0,,32674.986,0000731766-24-000288
2024-09-26,2024-09-24,WITTY ANDREW,"CEO, UHG",A,95.984,0.0,,97172.102,0000731766-24-000287
2024-09-26,2024-09-24,ROOS THOMAS E,Chief Accounting Officer,A,14.904,0.0,,29077.202,0000731766-24-000286
2024-09-26,2024-09-24,FLYNN TIMOTHY PATRICK,董事,A,31.0,0.0,,10020.0,0000731766-24-000285
2024-09-26,2024-09-24,MONTGOMERY RICE VALERIE MD,董事,A,20.0,0.0,,5681.0,0000731766-24-000284
2024-09-26,2024-09-24,McSweeney Erin,EVP & Chief People Officer,A,21.743,0.0,,7806.419,0000731766-24-000283
2024-10-03,2024-10-01,Noseworthy John H,董事,A,161.0,0.0,,5349.0,0000731766-24-000316
2024-10-03,2024-10-01,FLYNN TIMOTHY PATRICK,董事,A,161.0,0.0,,10181.0,0000731766-24-000315
2024-10-03,2024-10-01,Baker Charles D.,董事,A,151.0,0.0,,622.0,0000731766-24-000314
2024-10-03,2024-10-01,HOOPER MICHELE J,董事,A,97.0,0.0,,39511.0,0000731766-24-000313
2024-10-03,2024-10-01,GARCIA PAUL R,董事,A,54.0,0.0,,2116.0,0000731766-24-000312
2024-10-03,2024-10-01,HEMSLEY STEPHEN J,董事,A,245.0,0.0,,947474.942,0000731766-24-000311
2024-10-03,2024-10-01,MCNABB FREDERICK WILLIAM III,董事,A,164.0,0.0,,13223.0,0000731766-24-000310
2024-10-03,2024-10-01,Gil Kristen,董事,A,54.0,0.0,,1261.0,0000731766-24-000309
2024-10-03,2024-10-01,MONTGOMERY RICE VALERIE MD,董事,A,161.0,0.0,,5842.0,0000731766-24-000308
2024-11-05,2024-11-01,Zaetta Christopher R,EVP & Chief Legal Officer,F,685.519,567.56,389073.16364,7380.384,0000731766-24-000325
2024-11-13,2024-11-11,HEMSLEY STEPHEN J,董事,G,8000.0,0.0,,939474.942,0000731766-24-000329
2024-11-13,2024-11-11,McSweeney Erin,EVP & Chief People Officer,S,701.0,626.23,438987.23,7105.419,0000731766-24-000328
2024-11-15,2024-11-13,REX JOHN F,President & CFO,F,314.585,605.87,190597.61395,166109.404,0000731766-24-000331
2024-12-19,2024-12-17,Noseworthy John H,董事,A,24.0,0.0,,5373.0,0000731766-24-000370
2024-12-19,2024-12-17,WITTY ANDREW,"CEO, UHG",A,114.126,0.0,,97286.228,0000731766-24-000369
2024-12-19,2024-12-17,McSweeney Erin,EVP & Chief People Officer,A,25.853,0.0,,7131.272,0000731766-24-000368
2024-12-19,2024-12-17,Cianfrocco Heather,"Chief Executive Officer, Optum",A,43.107,0.0,,16929.619,0000731766-24-000367
2024-12-19,2024-12-17,Zaetta Christopher R,EVP & Chief Legal Officer,A,23.119,0.0,,7403.503,0000731766-24-000365
2024-12-19,2024-12-17,REX JOHN F,President & CFO,A,77.437,0.0,,166186.841,0000731766-24-000364
2024-12-19,2024-12-17,Baker Charles D.,董事,A,3.0,0.0,,625.0,0000731766-24-000363
2024-12-19,2024-12-17,ROOS THOMAS E,Chief Accounting Officer,A,17.721,0.0,,29094.922,0000731766-24-000362
2024-12-19,2024-12-17,FLYNN TIMOTHY PATRICK,董事,A,38.0,0.0,,8719.0,0000731766-24-000361
2024-12-19,2024-12-17,MONTGOMERY RICE VALERIE MD,董事,A,24.0,0.0,,5866.0,0000731766-24-000360
2024-12-19,2024-12-17,HOOPER MICHELE J,董事,A,157.0,0.0,,39668.0,0000731766-24-000359
2024-12-19,2024-12-17,Gil Kristen,董事,A,4.0,0.0,,1265.0,0000731766-24-000358
2024-12-19,2024-12-17,GARCIA PAUL R,董事,A,6.0,0.0,,2122.0,0000731766-24-000357
2024-12-19,2024-12-17,MCNABB FREDERICK WILLIAM III,董事,A,30.0,0.0,,13253.0,0000731766-24-000356
2024-12-19,2024-12-18,HEMSLEY STEPHEN J,董事,G,33000.0,0.0,,906505.942,0000731766-24-000366
2025-01-06,2025-01-02,Baker Charles D.,董事,A,174.0,0.0,,799.0,0000731766-25-000018
2025-01-06,2025-01-02,MCNABB FREDERICK WILLIAM III,董事,A,190.0,0.0,,13443.0,0000731766-25-000017
2025-01-06,2025-01-02,Gil Kristen,董事,A,62.0,0.0,,1439.0,0000731766-25-000016
2025-01-06,2025-01-02,HOOPER MICHELE J,董事,A,112.0,0.0,,39780.0,0000731766-25-000015
2025-01-06,2025-01-02,Noseworthy John H,董事,A,186.0,0.0,,5559.0,0000731766-25-000014
2025-01-06,2025-01-02,FLYNN TIMOTHY PATRICK,董事,A,186.0,0.0,,8905.0,0000731766-25-000013
2025-01-06,2025-01-02,GARCIA PAUL R,董事,A,62.0,0.0,,2296.0,0000731766-25-000012
