filing_date,transaction_date,insider_name,title,code,shares,price,value,shares_after,accession
2024-08-15,2024-08-13,Chojnowski David,Senior Vice President,F,281.558,68.7,19343.0346,93848.964,0001127602-24-022251
2024-08-15,2024-08-13,Nicholas Christopher James,Executive Vice President,F,120.929,68.7,8307.8223,351024.515,0001127602-24-022250
2024-08-16,2024-08-15,Bartlett Daniel J,Executive Vice President,S,2250.0,74.0,166500.0,461620.869,0001127602-24-022370
2024-08-16,2024-08-15,Moritz Robert Edward Jr.,董事,A,2201.0,73.18,161069.18000000002,2201.0,0001127602-24-022368
2024-08-23,2024-08-22,McMillon C Douglas,President and CEO,S,29124.0,75.6695,2203798.518,3902176.928,0001127602-24-022845
2024-08-23,2024-08-22,Furner John R.,Executive Vice President,S,13125.0,75.33,988706.25,619289.928,0001127602-24-022844
2024-08-29,2024-08-27,Nicholas Christopher James,Executive Vice President,F,19.206,76.03,1460.23218,351005.309,0001127602-24-023169
2024-09-05,2024-09-03,Rainey John D,Executive Vice President,S,3000.0,77.4815,232444.5,384165.103,0001127602-24-023568
2024-09-05,2024-09-05,WALTON ALICE L,,S,8617.0,77.423,667153.991,619646544.0,0001127602-24-023599
2024-09-05,2024-09-05,WALTON JIM C,,S,8617.0,77.423,667153.991,619646544.0,0001127602-24-023598
2024-09-05,2024-09-05,WALTON S ROBSON,,S,8617.0,77.423,667153.991,619646544.0,0001127602-24-023597
2024-09-10,2024-09-09,WALTON S ROBSON,,S,4057369.0,77.2022,313237813.0118,611988318.0,0001127602-24-023733
2024-09-10,2024-09-09,WALTON ALICE L,,S,4057369.0,77.2022,313237813.0118,611988318.0,0001127602-24-023731
2024-09-10,2024-09-09,WALTON JIM C,,S,4057369.0,77.2022,313237813.0118,611988318.0,0001127602-24-023730
2024-09-12,2024-09-10,Chojnowski David,Senior Vice President,F,281.558,77.34,21775.69572,93567.406,0001127602-24-023850
2024-09-13,2024-09-13,WALTON JIM C,,J,2067000.0,0.0,,608776318.0,0001127602-24-023942
2024-09-13,2024-09-13,WALTON ALICE L,,J,2067000.0,0.0,,22312740.0,0001127602-24-023941
2024-09-13,2024-09-13,WALTON S ROBSON,,J,2067000.0,0.0,,608776318.0,0001127602-24-023939
2024-09-18,2024-09-16,Bartlett Daniel J,Executive Vice President,S,2063.0,80.7571,166601.89729999998,459557.869,0001127602-24-024146
2024-09-19,2024-09-19,WALTON S ROBSON,,S,111833.0,78.6213,8792455.8429,603989702.0,0001127602-24-024263
2024-09-19,2024-09-19,WALTON JIM C,,S,111833.0,78.6213,8792455.8429,603989702.0,0001127602-24-024262
2024-09-19,2024-09-19,WALTON ALICE L,,S,111833.0,78.6213,8792455.8429,603989702.0,0001127602-24-024261
2024-09-26,2024-09-24,Nicholas Christopher James,Executive Vice President,F,140.135,80.33,11257.04455,350865.174,0001127602-24-024495
2024-09-30,2024-09-26,McMillon C Douglas,President and CEO,S,29124.0,80.6426,2348635.0824,3873052.928,0001127602-24-024576
