strike,call_gex,put_gex,total_gex,total_oi,avg_iv,abs_gex
347.5,0.0,0.0,0.0,0,0.6111062734041561,0.0
350.0,447271.47753549874,-4865583.120875812,-4418311.643340314,28510,0.4734519315842029,4418311.643340314
352.5,0.0,0.0,0.0,0,0.6088698967439462,0.0
355.0,268402.7567861638,-1270327.9891152775,-1001925.2323291136,7279,0.4724073128327401,1001925.2323291136
357.5,0.0,0.0,0.0,0,0.6070332726840705,0.0
360.0,1115231.0347142664,-6094589.469179973,-4979358.434465706,31979,0.4709943342966572,4979358.434465706
362.5,0.0,0.0,0.0,0,0.5281056857802947,0.0
365.0,552048.797653412,-1520439.9341086731,-968391.1364552611,7995,0.4697964887498986,968391.1364552611
367.5,12791.979855479896,-63518.35408647501,-50726.37423099511,274,0.5296349598138331,50726.37423099511
370.0,2012900.445231919,-4975268.768687124,-2962368.3234552047,26462,0.4648295423544199,2962368.3234552047
372.5,21607.707976774996,-67314.05918217353,-45706.35120539853,295,0.5245474331977878,45706.35120539853
375.0,992868.7840681656,-2193213.3293870436,-1200344.5453188783,11040,0.4639393536581883,1200344.5453188783
377.5,93385.1009696401,-60836.48032958162,32548.620640058478,494,0.5252234928904383,32548.620640058478
380.0,3440660.912919108,-6062598.370295821,-2621937.4573767134,32155,0.46747607551258774,2621937.4573767134
382.5,90222.87326394819,-110672.38296793558,-20449.509703987387,590,0.5247438483185338,20449.509703987387
385.0,2596491.020096016,-3511164.3170725517,-914673.2969765351,18954,0.4671215100378871,914673.2969765351
387.5,238594.22274042474,-65359.402720647304,173234.82001977743,852,0.5244978921603719,173234.82001977743
390.0,11737730.640284844,-4899134.715771288,6838595.924513556,51928,0.46697384701244965,6838595.924513556
392.5,238733.00870837935,-95745.39146803186,142987.6172403475,938,0.5244826563844239,142987.6172403475
395.0,3267559.4184512626,-2167466.2246808163,1100093.1937704468,16105,0.4670318271206022,1100093.1937704468
397.5,158808.38817578915,-68769.40691451749,90038.98126127166,627,0.5239825606591229,90038.98126127166
400.0,4715717.219564946,-6085487.577355992,-1369770.3577910447,35514,0.4673176954892051,1369770.3577910447
402.5,81793.6089477196,-19257.645898982726,62535.96304873687,279,0.5373943258713714,62535.96304873687
405.0,3854861.1317864377,-658912.8544884953,3195948.277297943,14370,0.45464781746416116,3195948.277297943
407.5,74348.68096735913,-12137.157641096623,62211.523326262504,253,0.5248917168136669,62211.523326262504
410.0,6999106.374094705,-3365103.537649505,3634002.8364452003,34037,0.46842485932193495,3634002.8364452003
412.5,226025.20079925604,-18359.476596279714,207665.72420297633,688,0.5358021087475281,207665.72420297633
415.0,2212892.7085296134,-851172.2173712887,1361720.491158325,9764,0.46928856171436445,1361720.491158325
417.5,0.0,0.0,0.0,0,0.6082385612505444,0.0
420.0,11572116.65886507,-5144313.886556448,6427802.772308623,57007,0.4703469864841108,6427802.772308623
422.5,0.0,0.0,0.0,0,0.6100358567157902,0.0
425.0,3433682.8315289207,-258391.5314828644,3175291.300046057,13397,0.4715965564074805,3175291.300046057
427.5,0.0,0.0,0.0,0,0.6120582885778346,0.0
430.0,9655118.840247355,-1480721.9022864318,8174396.937960923,43763,0.46944954180085685,8174396.937960923
432.5,0.0,0.0,0.0,0,0.6142863931602751,0.0
435.0,1677018.9535140006,-189825.2830586275,1487193.6704553731,7485,0.4725028591460044,1487193.6704553731
437.5,0.0,0.0,0.0,0,0.6167020227047603,0.0
440.0,6965543.174555467,-1521272.221544844,5444270.953010622,37669,0.47642073549413705,5444270.953010622
