date,meeting_date,contract,settlement,implied_rate,post_meeting_rate,prob_cut,prob_hold,prob_hike,range_2.75-3.00,range_3.00-3.25,range_3.25-3.50,range_3.50-3.75,range_3.75-4.00,range_4.00-4.25,range_4.25-4.50,expectation
2026-07-29,2026-07-29,ZQN26.CBT,96.36499786376952,3.635,3.78,0.0,0.38,0.62,0.0,0.0,0.0,0.38,0.62,0.0,0.0,加息
2026-07-29,2026-09-16,ZQU26.CBT,96.1999969482422,3.8,3.8229,0.0,0.2084,0.7916,0.0,0.0,0.0,0.2084,0.7916,0.0,0.0,加息
2026-07-29,2026-10-28,ZQV26.CBT,96.1050033569336,3.895,4.5679,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,加息
2026-07-29,2026-12-09,ZQZ26.CBT,95.96499633789062,4.035,3.817,0.0,0.232,0.768,0.0,0.0,0.0,0.232,0.768,0.0,0.0,加息
2026-07-31,2026-07-29,ZQ_202607,96.37,3.63,3.7025,0.0,0.69,0.31,0.0,0.0,0.0,0.69,0.31,0.0,0.0,维持
2026-07-31,2026-09-16,ZQ_202609,96.29,3.71,3.7186,0.0,0.6256,0.3744,0.0,0.0,0.0,0.6256,0.3744,0.0,0.0,维持
2026-07-31,2026-10-28,ZQ_202610,96.2,3.8,4.5597,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,加息
2026-07-31,2026-12-09,ZQ_202612,96.07,3.93,3.6724,0.0,0.8104,0.1896,0.0,0.0,0.0,0.8104,0.1896,0.0,0.0,维持
2026-08-01,2026-09-16,ZQ_202609,96.29,3.71,3.8071,0.0,0.2716,0.7284,0.0,0.0,0.0,0.2716,0.7284,0.0,0.0,加息
2026-08-01,2026-10-28,ZQ_202610,96.2,3.8,3.7337,0.0,0.5652,0.4348,0.0,0.0,0.0,0.5652,0.4348,0.0,0.0,维持
2026-08-01,2026-12-09,ZQ_202612,96.07,3.93,4.0103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4588,0.5412,0.0,加息
2026-08-03,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-03,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-03,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-04,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-04,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-04,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-05,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-05,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-05,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-06,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-06,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-06,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-07,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-07,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-07,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-10,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-10,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-10,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-11,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-11,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-11,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-12,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-12,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-12,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-13,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-13,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-13,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-14,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-14,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-14,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-15,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-15,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-15,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-17,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-17,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-17,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-18,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-18,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-18,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-19,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-19,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-19,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-20,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-20,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-20,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-21,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-21,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-21,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-23,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-23,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-23,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-24,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-24,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-24,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-25,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-25,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-25,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-26,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-26,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-26,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
2026-08-28,2026-09-16,ZQ_202609,96.28,3.72,3.8286,0.0,0.1856,0.8144,0.0,0.0,0.0,0.1856,0.8144,0.0,0.0,加息
2026-08-28,2026-10-28,ZQ_202610,96.18,3.82,3.7397,0.0,0.5412,0.4588,0.0,0.0,0.0,0.5412,0.4588,0.0,0.0,维持
2026-08-28,2026-12-09,ZQ_202612,96.03,3.97,4.0642,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2432,0.7568,0.0,加息
