date,contract,month,settlement,implied_rate
2026-07-29,ZQN26.CBT,2026-07,96.36499786376952,3.635
2026-07-29,ZQU26.CBT,2026-09,96.1999969482422,3.8
2026-07-29,ZQV26.CBT,2026-10,96.1050033569336,3.895
2026-07-29,ZQZ26.CBT,2026-12,95.96499633789062,4.035
2026-07-31,ZQ_202607,2026-07,96.37,3.63
2026-07-31,ZQ_202609,2026-09,96.29,3.71
2026-07-31,ZQ_202610,2026-10,96.2,3.8
2026-07-31,ZQ_202612,2026-12,96.07,3.93
2026-08-01,ZQ_202609,2026-09,96.29,3.71
2026-08-01,ZQ_202610,2026-10,96.2,3.8
2026-08-01,ZQ_202612,2026-12,96.07,3.93
2026-08-03,ZQ_202609,2026-09,96.28,3.72
2026-08-03,ZQ_202610,2026-10,96.18,3.82
2026-08-03,ZQ_202612,2026-12,96.03,3.97
2026-08-04,ZQ_202609,2026-09,96.28,3.72
2026-08-04,ZQ_202610,2026-10,96.18,3.82
2026-08-04,ZQ_202612,2026-12,96.03,3.97
2026-08-05,ZQ_202609,2026-09,96.28,3.72
2026-08-05,ZQ_202610,2026-10,96.18,3.82
2026-08-05,ZQ_202612,2026-12,96.03,3.97
2026-08-06,ZQ_202609,2026-09,96.28,3.72
2026-08-06,ZQ_202610,2026-10,96.18,3.82
2026-08-06,ZQ_202612,2026-12,96.03,3.97
2026-08-07,ZQ_202609,2026-09,96.28,3.72
2026-08-07,ZQ_202610,2026-10,96.18,3.82
2026-08-07,ZQ_202612,2026-12,96.03,3.97
2026-08-10,ZQ_202609,2026-09,96.28,3.72
2026-08-10,ZQ_202610,2026-10,96.18,3.82
2026-08-10,ZQ_202612,2026-12,96.03,3.97
2026-08-11,ZQ_202609,2026-09,96.28,3.72
2026-08-11,ZQ_202610,2026-10,96.18,3.82
2026-08-11,ZQ_202612,2026-12,96.03,3.97
2026-08-12,ZQ_202609,2026-09,96.28,3.72
2026-08-12,ZQ_202610,2026-10,96.18,3.82
2026-08-12,ZQ_202612,2026-12,96.03,3.97
2026-08-13,ZQ_202609,2026-09,96.28,3.72
2026-08-13,ZQ_202610,2026-10,96.18,3.82
2026-08-13,ZQ_202612,2026-12,96.03,3.97
2026-08-14,ZQ_202609,2026-09,96.28,3.72
2026-08-14,ZQ_202610,2026-10,96.18,3.82
2026-08-14,ZQ_202612,2026-12,96.03,3.97
2026-08-15,ZQ_202609,2026-09,96.28,3.72
2026-08-15,ZQ_202610,2026-10,96.18,3.82
2026-08-15,ZQ_202612,2026-12,96.03,3.97
2026-08-17,ZQ_202609,2026-09,96.28,3.72
2026-08-17,ZQ_202610,2026-10,96.18,3.82
2026-08-17,ZQ_202612,2026-12,96.03,3.97
2026-08-18,ZQ_202609,2026-09,96.28,3.72
2026-08-18,ZQ_202610,2026-10,96.18,3.82
2026-08-18,ZQ_202612,2026-12,96.03,3.97
2026-08-19,ZQ_202609,2026-09,96.28,3.72
2026-08-19,ZQ_202610,2026-10,96.18,3.82
2026-08-19,ZQ_202612,2026-12,96.03,3.97
2026-08-20,ZQ_202609,2026-09,96.28,3.72
2026-08-20,ZQ_202610,2026-10,96.18,3.82
2026-08-20,ZQ_202612,2026-12,96.03,3.97
2026-08-21,ZQ_202609,2026-09,96.28,3.72
2026-08-21,ZQ_202610,2026-10,96.18,3.82
2026-08-21,ZQ_202612,2026-12,96.03,3.97
2026-08-23,ZQ_202609,2026-09,96.28,3.72
2026-08-23,ZQ_202610,2026-10,96.18,3.82
2026-08-23,ZQ_202612,2026-12,96.03,3.97
2026-08-24,ZQ_202609,2026-09,96.28,3.72
2026-08-24,ZQ_202610,2026-10,96.18,3.82
2026-08-24,ZQ_202612,2026-12,96.03,3.97
2026-08-25,ZQ_202609,2026-09,96.28,3.72
2026-08-25,ZQ_202610,2026-10,96.18,3.82
2026-08-25,ZQ_202612,2026-12,96.03,3.97
2026-08-26,ZQ_202609,2026-09,96.28,3.72
2026-08-26,ZQ_202610,2026-10,96.18,3.82
2026-08-26,ZQ_202612,2026-12,96.03,3.97
2026-08-28,ZQ_202609,2026-09,96.28,3.72
2026-08-28,ZQ_202610,2026-10,96.18,3.82
2026-08-28,ZQ_202612,2026-12,96.03,3.97
2026-08-29,ZQ_202609,2026-09,96.28,3.72
2026-08-29,ZQ_202610,2026-10,96.18,3.82
2026-08-29,ZQ_202612,2026-12,96.03,3.97
2026-08-30,ZQ_202609,2026-09,96.28,3.72
2026-08-30,ZQ_202610,2026-10,96.18,3.82
2026-08-30,ZQ_202612,2026-12,96.03,3.97
