date,open,high,low,close,volume
2016-07-01,23.27,24.12,22.88,23.97,604969360.0
2016-07-08,23.85,24.22,23.59,24.17,371861000.0
2016-07-15,24.19,24.83,24.18,24.7,479579036.0
2016-07-22,24.68,25.25,24.58,24.67,497331484.0
2016-07-29,24.56,26.14,24.11,26.05,799058184.0
2016-08-05,26.11,26.91,26.0,26.87,548546940.0
2016-08-12,26.89,27.24,26.79,27.05,402224164.0
2016-08-19,27.04,27.56,27.02,27.34,431601876.0
2016-08-26,27.22,27.33,26.58,26.74,412250616.0
2016-09-02,26.66,27.0,26.38,26.93,417087736.0
2016-09-09,26.96,27.19,25.78,25.78,563044568.0
2016-09-16,25.66,29.03,25.63,28.73,1327946720.0
2016-09-23,28.81,29.05,27.89,28.18,696678560.0
2016-09-30,27.91,28.66,27.89,28.26,519962468.0
2016-10-07,28.18,28.64,28.07,28.52,432909028.0
2016-10-14,28.77,29.67,28.68,29.41,718228328.0
2016-10-21,29.33,29.55,28.45,29.15,386097844.0
2016-10-28,29.28,29.59,28.33,28.43,653980492.0
2016-11-04,28.41,28.56,27.03,27.21,508704004.0
2016-11-11,27.53,27.93,26.46,27.11,704288204.0
2016-11-18,26.93,27.64,26.02,27.52,607118816.0
2016-11-25,27.52,28.11,27.5,27.95,288292692.0
2016-12-02,27.86,28.12,27.21,27.48,475319524.0
2016-12-09,27.5,28.68,27.06,28.49,496312936.0
2016-12-16,28.33,29.18,28.12,28.99,551170332.0
2016-12-23,28.95,29.38,28.9,29.13,330925092.0
2016-12-30,29.14,29.5,28.86,28.96,271834304.0
2017-01-06,28.96,29.54,28.69,29.48,346274620.0
2017-01-13,29.49,29.98,29.49,29.76,453486400.0
2017-01-20,29.58,30.13,29.56,30.0,346303312.0
2017-01-27,29.98,30.61,29.88,30.49,399979304.0
2017-02-03,30.26,32.62,30.16,32.27,808216260.0
2017-02-10,32.28,33.24,32.23,33.03,430400804.0
2017-02-17,33.26,34.07,33.19,33.93,432573384.0
2017-02-24,34.06,34.37,33.82,34.17,268034080.0
2017-03-03,34.25,35.07,34.07,34.95,396322644.0
2017-03-10,34.84,34.99,34.26,34.79,304914164.0
2017-03-17,34.71,35.26,34.71,35.0,340063352.0
2017-03-24,35.1,35.7,34.93,35.16,424696152.0
2017-03-31,34.85,36.13,34.66,35.92,402395260.0
2017-04-07,35.93,36.37,35.76,35.84,347112900.0
2017-04-14,35.9,35.97,35.02,35.26,290720928.0
2017-04-21,35.3,35.73,35.11,35.57,288720376.0
2017-04-28,35.88,36.23,35.8,35.91,279285124.0
2017-05-05,36.27,37.24,36.07,37.24,550063316.0
2017-05-12,37.26,39.1,37.26,39.02,563742740.0
2017-05-19,39.0,39.16,37.43,38.27,512439976.0
2017-05-26,38.51,38.73,38.17,38.4,322398356.0
2017-06-02,38.35,38.86,38.06,38.86,267766492.0
2017-06-09,38.6,38.99,36.51,37.24,518749984.0
2017-06-16,36.41,36.88,35.55,35.57,692954972.0
2017-06-23,36.0,36.79,35.92,36.57,364606552.0
2017-06-30,36.79,37.07,35.57,36.01,410856624.0
2017-07-07,36.24,36.33,35.6,36.05,244043824.0
2017-07-14,36.05,37.33,35.84,37.26,353866700.0
2017-07-21,37.22,37.94,37.14,37.57,321995568.0
2017-07-28,37.64,38.5,36.83,37.38,336167664.0
2017-08-04,37.48,39.94,37.03,39.1,528589864.0
2017-08-11,39.25,40.46,38.66,39.37,502811268.0
2017-08-18,39.83,40.63,39.18,39.38,444134744.0
2017-08-25,39.38,40.19,38.78,39.97,342820220.0
2017-09-01,40.04,41.24,39.98,41.01,403541268.0
2017-09-08,40.92,41.06,39.63,39.66,327406376.0
2017-09-15,40.13,40.99,39.48,39.97,704280260.0
2017-09-22,40.03,40.13,37.64,37.97,593958764.0
2017-09-29,37.49,38.68,37.29,38.53,499667884.0
2017-10-06,38.57,38.87,38.12,38.83,305458176.0
2017-10-13,38.96,39.5,38.77,39.25,261246828.0
2017-10-20,39.47,40.22,38.76,39.06,402725588.0
2017-10-27,39.22,40.9,38.82,40.76,381099252.0
2017-11-03,40.96,43.57,40.93,43.13,678488776.0
2017-11-10,43.06,44.06,42.93,43.67,419698100.0
2017-11-17,43.38,43.63,42.1,42.54,363536840.0
2017-11-24,42.57,43.88,42.39,43.74,233146068.0
2017-12-01,43.76,43.77,41.79,42.76,491083288.0
2017-12-08,43.11,43.16,41.62,42.34,418331008.0
2017-12-15,42.29,43.54,42.2,43.49,395863792.0
2017-12-22,43.73,44.3,43.31,43.75,347822352.0
2017-12-29,42.67,42.96,42.31,42.31,302656672.0
2018-01-05,42.54,43.81,42.32,43.75,316799336.0
2018-01-12,43.58,44.34,43.25,44.27,333597840.0
2018-01-19,44.48,45.02,43.77,44.62,375892184.0
2018-01-26,44.33,44.86,42.52,42.88,595539608.0
2018-02-02,42.47,42.54,40.02,40.13,788156844.0
2018-02-09,39.77,40.97,37.56,39.1,991479660.0
2018-02-16,39.62,43.71,39.38,43.11,719695168.0
2018-02-23,43.02,43.91,42.75,43.88,442955312.0
2018-03-02,44.09,45.16,43.11,44.05,643384172.0
2018-03-09,43.79,45.0,43.57,44.99,442582256.0
2018-03-16,45.09,45.88,44.41,44.51,472211824.0
2018-03-23,44.34,44.37,41.24,41.24,540992204.0
2018-03-30,42.02,43.79,41.3,41.95,463542204.0
2018-04-06,41.95,43.56,41.12,42.1,502537300.0
2018-04-13,42.45,43.96,42.45,43.68,396069416.0
2018-04-20,43.78,44.74,41.36,41.43,532060096.0
2018-04-27,41.7,41.73,40.16,40.58,516148580.0
2018-05-04,40.53,46.06,40.46,45.96,781555720.0
2018-05-11,46.3,47.59,45.92,47.15,468116064.0
2018-05-18,47.23,47.38,46.27,46.58,300070508.0
2018-05-25,47.0,47.41,46.44,47.15,264501856.0
2018-06-01,46.9,47.56,46.54,47.56,261836124.0
2018-06-08,47.9,48.55,47.44,47.93,350358180.0
2018-06-15,47.84,48.22,47.07,47.21,347840120.0
2018-06-22,46.97,47.31,45.86,46.23,325649080.0
2018-06-29,45.85,46.82,45.18,46.28,360900148.0
2018-07-06,45.97,47.11,45.85,46.99,203964496.0
2018-07-13,47.38,47.96,46.9,47.83,250586148.0
2018-07-20,47.88,48.16,47.3,47.86,240955544.0
2018-07-27,47.67,48.99,47.39,47.74,262269728.0
2018-08-03,47.99,52.19,47.27,52.0,694634060.0
2018-08-10,51.98,52.45,51.14,51.88,378602772.0
2018-08-17,51.93,54.49,51.93,54.4,434021256.0
2018-08-24,54.51,54.8,53.46,54.04,343383796.0
2018-08-31,54.29,57.22,54.08,56.91,503519132.0
2018-09-07,57.13,57.42,55.18,55.33,413532060.0
2018-09-14,55.24,57.09,54.12,55.96,605011360.0
2018-09-21,55.54,55.74,53.83,54.42,513535860.0
