date,open,high,low,close,volume,wap,count
2021-10-19 13:30:00+00:00,171.71,172.73,171.29,171.49,4085500.0,171.96665,1262
2021-10-19 14:00:00+00:00,171.44,172.28,171.42,172.17,2117000.0,171.87955,811
2021-10-19 15:00:00+00:00,172.2,172.2,171.14,171.22,2096740.0,171.58175,782
2021-10-19 16:00:00+00:00,171.23,171.57,171.1,171.57,1703140.0,171.31825,556
2021-10-19 17:00:00+00:00,171.59,171.72,171.38,171.61,1426180.0,171.53275,378
2021-10-19 18:00:00+00:00,171.6,172.33,171.6,172.28,2118700.0,171.99545,678
2021-10-19 19:00:00+00:00,172.26,172.73,172.02,172.22,3860420.0,172.35965,1243
2021-10-20 13:30:00+00:00,172.65,173.14,171.66,171.99,3392180.0,172.5535,1137
2021-10-20 14:00:00+00:00,172.04,172.1,171.35,171.37,2610200.0,171.78575,902
2021-10-20 15:00:00+00:00,171.39,171.8,171.05,171.7,1816900.0,171.40185,654
2021-10-20 16:00:00+00:00,171.75,171.75,171.18,171.28,899200.0,171.42885,355
2021-10-20 17:00:00+00:00,171.3,171.31,170.02,170.6,2770260.0,170.52735,1079
2021-10-20 18:00:00+00:00,170.62,170.97,170.5,170.85,1175760.0,170.7763,451
2021-10-20 19:00:00+00:00,170.86,171.23,170.45,170.74,2677680.0,170.83285,1088
2021-10-21 13:30:00+00:00,170.71,171.72,170.15,171.22,3069880.0,170.95715,1031
2021-10-21 14:00:00+00:00,171.23,171.87,170.76,171.61,2320060.0,171.31585,897
2021-10-21 15:00:00+00:00,171.66,172.01,171.14,171.25,2015020.0,171.54095,818
2021-10-21 16:00:00+00:00,171.22,171.84,170.96,171.73,1191160.0,171.39205,456
2021-10-21 17:00:00+00:00,171.74,171.94,171.48,171.54,1309260.0,171.7581,499
2021-10-21 18:00:00+00:00,171.55,171.87,171.45,171.87,547840.0,171.6767,230
2021-10-21 19:00:00+00:00,171.9,172.0,171.35,171.75,2390120.0,171.78365,945
2021-10-22 13:30:00+00:00,171.06,171.49,169.48,170.07,3677740.0,170.5101,1199
2021-10-22 14:00:00+00:00,170.04,170.3,168.65,168.77,3467460.0,169.59065,1433
2021-10-22 15:00:00+00:00,168.74,169.35,166.85,167.5,4823500.0,167.89995,1753
2021-10-22 16:00:00+00:00,167.5,168.36,166.98,167.67,2810620.0,167.63345,1040
2021-10-22 17:00:00+00:00,167.67,167.97,167.07,167.12,2155840.0,167.5446,664
2021-10-22 18:00:00+00:00,167.14,168.0,167.09,167.34,1766480.0,167.5813,687
2021-10-22 19:00:00+00:00,167.3,167.33,166.57,166.78,4419940.0,166.94605,1858
2021-10-25 13:30:00+00:00,166.75,167.39,164.89,165.95,4840640.0,166.20295,1567
2021-10-25 14:00:00+00:00,165.9,166.2,165.16,165.54,2523800.0,165.65845,1011
2021-10-25 15:00:00+00:00,165.53,165.6,164.91,165.34,1958800.0,165.2667,774
2021-10-25 16:00:00+00:00,165.36,166.7,165.35,166.34,1938580.0,166.06635,671
2021-10-25 17:00:00+00:00,166.31,166.48,166.07,166.07,732920.0,166.25545,272
2021-10-25 18:00:00+00:00,166.03,166.67,165.94,166.32,1618040.0,166.3415,600
2021-10-25 19:00:00+00:00,166.33,166.39,165.55,166.12,2804680.0,165.93425,1093
2021-10-26 13:30:00+00:00,167.5,170.34,167.2,169.63,5865340.0,169.22875,1838
2021-10-26 14:00:00+00:00,169.66,170.81,169.66,170.41,3982260.0,170.35775,1351
2021-10-26 15:00:00+00:00,170.45,170.65,169.23,169.27,2727760.0,169.902,855
2021-10-26 16:00:00+00:00,169.21,169.33,167.85,168.21,2068820.0,168.7014,704
2021-10-26 17:00:00+00:00,168.21,168.8,168.0,168.69,1497360.0,168.39865,517
2021-10-26 18:00:00+00:00,168.68,169.2,168.62,169.04,1326360.0,168.9308,491
2021-10-26 19:00:00+00:00,169.06,169.55,168.65,168.79,2435600.0,169.0633,936
2021-10-27 13:30:00+00:00,169.41,170.6,169.06,170.02,2590680.0,169.85985,822
2021-10-27 14:00:00+00:00,170.04,170.04,168.57,169.33,3657600.0,169.2253,1287
2021-10-27 15:00:00+00:00,169.26,169.83,168.95,169.47,2046640.0,169.4001,734
2021-10-27 16:00:00+00:00,169.44,170.92,169.44,170.73,2404940.0,170.14275,900
2021-10-27 17:00:00+00:00,170.71,171.85,170.47,171.3,4093480.0,171.3337,1335
2021-10-27 18:00:00+00:00,171.32,171.4,170.45,170.49,2039360.0,171.08795,754
2021-10-27 19:00:00+00:00,170.48,170.71,169.45,169.67,3948380.0,169.9985,1564
2021-10-28 13:30:00+00:00,170.1,170.45,169.3,169.89,3993360.0,169.8273,1325
2021-10-28 14:00:00+00:00,169.95,172.3,169.84,171.74,6041640.0,171.28455,2283
2021-10-28 15:00:00+00:00,171.72,172.9,171.41,172.57,5245000.0,172.2674,1980
2021-10-28 16:00:00+00:00,172.56,173.95,172.55,172.96,6721780.0,173.414,2359
2021-10-28 17:00:00+00:00,172.98,173.89,172.95,173.58,3781620.0,173.5272,1285
2021-10-28 18:00:00+00:00,173.58,173.89,173.38,173.56,2925380.0,173.58085,1153
2021-10-28 19:00:00+00:00,173.53,173.53,171.54,172.23,8717880.0,172.4192,3357
2021-10-29 13:30:00+00:00,165.0,166.72,163.67,165.96,16109500.0,165.20505,5206
2021-10-29 14:00:00+00:00,165.93,166.62,165.1,165.94,8923140.0,165.8193,3095
2021-10-29 15:00:00+00:00,165.94,167.69,165.52,167.0,9140100.0,166.91175,3021
2021-10-29 16:00:00+00:00,167.02,167.8,166.9,167.28,4457100.0,167.3941,1390
2021-10-29 17:00:00+00:00,167.33,167.98,167.3,167.63,2906260.0,167.6011,1033
2021-10-29 18:00:00+00:00,167.58,167.71,167.05,167.37,2631140.0,167.41475,971
2021-10-29 19:00:00+00:00,167.35,168.74,166.89,168.62,7046580.0,167.8014,2858
2021-11-01 13:30:00+00:00,168.09,168.79,166.25,166.54,6533500.0,167.3396,2072
2021-11-01 14:00:00+00:00,166.5,167.5,166.46,166.96,4340540.0,166.8963,1484
2021-11-01 15:00:00+00:00,166.95,167.21,166.65,166.85,2374220.0,166.87645,841
2021-11-01 16:00:00+00:00,166.84,166.84,165.95,166.06,2643380.0,166.46825,890
2021-11-01 17:00:00+00:00,166.04,166.37,164.6,164.89,4376960.0,165.31045,1557
2021-11-01 18:00:00+00:00,164.91,165.34,164.9,164.96,3086260.0,165.08795,1112
2021-11-01 19:00:00+00:00,164.93,165.94,164.93,165.91,4998040.0,165.5402,1907
2021-11-02 13:30:00+00:00,165.75,166.55,165.01,166.01,3078240.0,165.8703,1005
2021-11-02 14:00:00+00:00,166.09,166.26,164.82,164.89,3446400.0,165.39255,1244
2021-11-02 15:00:00+00:00,164.94,164.97,164.18,164.57,2728900.0,164.5427,1068
2021-11-02 16:00:00+00:00,164.54,164.9,164.41,164.49,1547300.0,164.63105,681
2021-11-02 17:00:00+00:00,164.53,165.14,164.5,164.93,1346500.0,164.85175,554
2021-11-02 18:00:00+00:00,164.95,165.35,164.64,165.27,1911360.0,164.8731,791
2021-11-02 19:00:00+00:00,165.28,165.66,164.96,165.66,3928200.0,165.36455,1471
2021-11-03 13:30:00+00:00,165.45,166.35,164.88,166.15,3169560.0,165.6266,1036
2021-11-03 14:00:00+00:00,166.16,166.24,165.58,165.74,2094620.0,165.85815,901
2021-11-03 15:00:00+00:00,165.77,166.55,165.47,166.42,1901500.0,165.9071,707
2021-11-03 16:00:00+00:00,166.42,167.0,166.22,166.31,2189160.0,166.6436,820
