date,open,high,low,close,volume
2016-07-01,35.0,36.4,34.91,36.28,170734180.0
2016-07-08,36.14,37.31,35.98,37.29,177412520.0
2016-07-15,37.5,37.87,36.7,36.77,270591120.0
2016-07-22,36.77,37.56,36.44,37.24,168489820.0
2016-07-29,37.33,38.3,36.64,37.94,278497300.0
2016-08-05,37.97,38.52,37.52,38.3,241504540.0
2016-08-12,38.34,38.69,38.05,38.63,121859320.0
2016-08-19,38.61,38.61,37.84,37.87,124686820.0
2016-08-26,37.87,38.5,37.61,38.45,126216960.0
2016-09-02,38.44,38.8,38.2,38.62,127085920.0
2016-09-09,38.7,39.54,38.01,38.01,167820760.0
2016-09-16,37.89,39.02,37.8,38.93,226180800.0
2016-09-23,39.0,40.39,38.55,40.29,180357180.0
2016-09-30,40.09,42.0,39.86,41.87,283207360.0
2016-10-07,41.76,42.36,41.51,41.97,204903600.0
2016-10-14,42.16,42.26,41.06,41.15,193747100.0
2016-10-21,41.08,41.16,40.16,40.95,194176280.0
2016-10-28,41.22,42.15,38.73,38.82,386810320.0
2016-11-04,39.05,40.04,37.66,37.75,357411900.0
2016-11-11,38.58,39.59,35.89,36.95,555996980.0
2016-11-18,37.31,38.39,35.51,38.01,378988540.0
2016-11-25,38.3,39.62,38.26,39.02,218726880.0
2016-12-02,38.85,38.85,36.84,37.02,290604080.0
2016-12-09,37.25,38.69,37.1,38.43,248757960.0
2016-12-16,38.32,39.12,37.7,37.89,317931200.0
2016-12-23,37.94,38.72,37.81,38.03,176609160.0
2016-12-30,38.17,39.0,37.41,37.49,191757500.0
2017-01-06,37.9,39.97,37.39,39.8,262882320.0
2017-01-13,39.9,41.08,39.48,40.86,255734040.0
2017-01-20,40.79,40.8,40.17,40.42,163061220.0
2017-01-27,40.34,42.19,40.25,41.79,227607140.0
2017-02-03,41.65,42.12,40.2,40.51,383447820.0
2017-02-10,40.49,41.4,40.15,41.37,208057300.0
2017-02-17,41.58,42.36,41.43,42.25,216297360.0
2017-02-24,42.44,43.04,41.89,42.26,184222320.0
2017-03-03,42.11,42.74,41.98,42.49,165435720.0
2017-03-10,42.26,42.87,42.06,42.62,155796660.0
2017-03-17,42.59,42.78,42.36,42.62,153841740.0
2017-03-24,42.58,43.14,41.95,42.28,186355240.0
2017-03-31,41.9,44.52,41.68,44.33,233462800.0
2017-04-07,44.4,46.19,44.27,44.74,385081240.0
2017-04-14,44.98,45.56,44.22,44.23,168558980.0
2017-04-21,44.38,45.52,44.38,44.93,191091680.0
2017-04-28,45.43,47.48,45.15,46.25,293095800.0
2017-05-05,46.53,47.72,46.39,46.71,252546080.0
2017-05-12,47.04,48.14,46.96,48.07,193207520.0
2017-05-19,47.94,48.5,47.21,47.99,274868040.0
2017-05-26,48.2,49.95,48.15,49.79,218311560.0
2017-06-02,49.83,50.42,49.11,50.34,179680800.0
2017-06-09,50.36,50.83,46.35,48.92,261544540.0
2017-06-16,48.37,49.99,47.25,49.39,485983200.0
2017-06-23,50.85,50.85,49.49,50.19,228275040.0
2017-06-30,50.43,50.49,48.26,48.4,248657420.0
2017-07-07,48.62,49.01,47.55,48.94,167269640.0
2017-07-14,49.25,50.43,49.18,50.09,198079540.0
2017-07-21,50.23,51.75,50.19,51.28,213113560.0
2017-07-28,51.42,54.17,50.05,51.0,336543680.0
2017-08-04,50.95,50.95,49.09,49.38,290226340.0
2017-08-11,49.53,49.81,47.57,48.4,237017080.0
2017-08-18,48.92,49.59,47.73,47.92,201138880.0
2017-08-25,47.88,48.4,47.06,47.26,212845940.0
2017-09-01,47.33,49.23,46.82,48.91,165005800.0
2017-09-08,48.77,49.03,48.02,48.3,128396340.0
2017-09-15,48.72,50.0,48.71,49.34,197515980.0
2017-09-22,49.52,49.64,47.72,47.76,177302680.0
2017-09-29,47.47,48.24,46.59,48.07,212311680.0
2017-10-06,48.2,49.79,47.52,49.48,194389040.0
2017-10-13,49.66,50.42,49.0,50.15,203011460.0
2017-10-20,50.44,51.12,49.01,49.15,158039100.0
2017-10-27,49.34,55.28,48.12,55.05,391209540.0
2017-11-03,54.77,56.14,54.34,55.58,284352320.0
2017-11-10,55.46,56.78,55.44,56.27,185503520.0
2017-11-17,56.15,57.0,56.08,56.49,191789180.0
2017-11-24,56.49,59.34,56.13,59.3,151247340.0
2017-12-01,60.13,60.67,57.26,58.12,384278180.0
2017-12-08,58.69,58.76,56.24,58.1,242955900.0
2017-12-15,58.23,59.14,57.85,58.96,181767740.0
2017-12-22,59.37,59.74,58.38,58.42,140148880.0
2017-12-29,58.45,59.51,58.03,58.47,101425160.0
2018-01-05,58.6,61.46,58.53,61.46,151610980.0
2018-01-12,61.8,65.28,61.6,65.26,244303740.0
2018-01-19,66.13,67.0,64.04,64.73,273245920.0
2018-01-26,64.86,70.13,64.83,70.1,311020020.0
2018-02-02,70.46,74.9,69.26,71.5,455607620.0
2018-02-09,70.13,73.05,63.3,66.98,624163040.0
2018-02-16,68.24,73.45,67.2,72.43,340855400.0
2018-02-23,72.32,75.17,72.32,75.0,272077500.0
2018-03-02,75.48,76.44,72.75,75.01,335544980.0
2018-03-09,74.71,78.95,74.05,78.94,262035980.0
2018-03-16,79.63,80.88,78.38,78.58,300185980.0
2018-03-23,77.73,79.5,74.77,74.78,353644020.0
2018-03-30,76.5,78.8,68.26,72.37,455980420.0
2018-04-06,70.88,72.98,67.64,70.26,466764200.0
2018-04-13,71.25,72.98,70.13,71.54,210875980.0
2018-04-20,72.25,78.43,71.37,76.37,294345880.0
2018-04-27,77.33,81.91,70.75,78.63,447645360.0
2018-05-04,79.13,79.8,77.3,79.05,253288380.0
2018-05-11,79.47,80.78,79.13,80.15,177496400.0
2018-05-18,80.16,80.56,78.26,78.72,166902680.0
2018-05-25,79.25,80.71,78.32,80.51,149913160.0
2018-06-01,80.05,82.34,80.01,82.08,150434080.0
2018-06-08,82.4,85.73,82.27,84.2,234562200.0
2018-06-15,84.08,86.24,84.03,85.8,176866960.0
2018-06-22,85.21,88.2,85.02,85.78,231827540.0
2018-06-29,85.11,86.17,82.32,84.99,283191520.0
2018-07-06,84.14,86.25,83.9,85.53,124052000.0
2018-07-13,86.2,90.77,85.81,90.65,202759460.0
2018-07-20,91.1,92.94,89.87,90.69,283032600.0
2018-07-27,90.75,94.0,88.5,90.86,313686500.0
2018-08-03,91.37,92.05,86.97,91.16,274601400.0
2018-08-10,91.29,95.73,90.95,94.32,213985960.0
2018-08-17,94.92,96.25,92.78,94.11,275000920.0
