date,open,high,low,close,volume
2016-08-08,68.36,69.24,68.3,69.0,3042450
2016-08-09,68.16,68.56,68.1,68.28,2420050
2016-08-10,67.52,67.52,67.0,67.1,0
2016-08-11,67.38,67.94,67.22,67.62,1784050
2016-08-12,67.14,67.5,66.76,67.08,2551250
2016-08-15,67.3,67.44,66.84,66.88,1836450
2016-08-16,67.0,67.44,66.9,67.1,1972600
2016-08-17,67.12,67.4,66.66,67.24,1840150
2016-08-18,66.82,67.38,66.76,67.14,1546100
2016-08-19,67.06,67.14,66.62,67.12,1633150
2016-08-22,67.12,67.98,67.12,67.7,3175050
2016-08-23,67.96,68.14,67.44,67.66,2316150
2016-08-24,68.3,69.02,66.84,67.0,2716000
2016-08-25,66.6,67.12,66.24,66.46,1947450
2016-08-26,66.3,66.9,65.56,66.1,2419550
2016-08-29,66.22,66.84,66.1,66.6,1239200
2016-08-30,66.3,66.62,66.14,66.42,2347100
2016-08-31,65.44,65.72,65.22,65.62,2386800
2016-09-01,64.74,65.38,64.72,65.2,3265500
2016-09-02,66.16,66.96,65.92,66.62,1823400
2016-09-06,66.36,66.56,66.08,66.18,1894550
2016-09-07,66.14,66.42,65.92,66.36,2243700
2016-09-08,65.66,66.16,65.64,66.08,3034700
2016-09-09,65.7,65.7,64.38,64.4,2233550
2016-09-12,65.06,66.68,64.94,66.48,1801750
2016-09-13,65.72,65.98,64.96,65.48,2916850
2016-09-14,65.82,66.54,65.66,66.2,3485850
2016-09-15,66.38,67.64,66.0,67.32,3008450
2016-09-16,68.24,68.3,67.36,67.64,2577350
2016-09-19,67.22,67.48,66.92,67.04,1665050
2016-09-20,67.96,68.12,67.18,67.3,1714850
2016-09-21,66.96,67.56,66.38,67.5,1970750
2016-09-22,68.46,68.68,68.22,68.56,2273950
2016-09-23,67.9,68.3,67.78,67.94,1897500
2016-09-26,67.34,67.42,66.86,67.1,2121650
2016-09-27,66.1,67.26,65.96,67.22,1838950
2016-09-28,67.98,68.18,67.46,67.64,4259000
2016-09-29,66.88,66.94,65.54,66.1,3484950
2016-09-30,65.82,66.34,65.72,65.72,2278700
2016-10-03,65.72,66.1,65.44,66.0,1544300
2016-10-04,65.94,66.54,64.68,65.14,2707700
2016-10-05,65.14,65.52,65.02,65.2,2162650
2016-10-06,64.6,64.88,64.34,64.52,1756950
2016-10-07,64.16,64.7,64.0,64.58,2004500
2016-10-10,64.04,64.4,64.04,64.12,1847000
2016-10-11,63.12,63.38,62.1,62.24,2809300
2016-10-12,61.96,62.16,61.38,61.6,1700500
2016-10-13,60.84,61.92,60.8,61.68,1723900
2016-10-14,61.44,61.68,61.14,61.18,2126300
2016-10-17,60.64,62.2,60.54,61.46,4141750
2016-10-18,62.78,62.82,62.32,62.54,1961550
2016-10-19,61.8,62.04,61.54,61.56,1516550
2016-10-20,61.56,62.28,61.52,62.0,1502300
2016-10-21,61.36,61.72,61.22,61.44,1340750
2016-10-24,60.48,60.54,60.04,60.16,2066800
2016-10-25,59.8,60.08,58.8,59.58,4468400
2016-10-26,58.9,59.44,58.78,59.18,1901550
2016-10-27,60.0,60.06,56.0,57.08,10105600
2016-10-28,56.88,57.54,56.16,57.2,6920350
2016-10-31,57.0,57.18,56.6,56.64,2276450
2016-11-01,56.5,56.54,55.64,55.98,2935300
2016-11-02,56.9,56.96,56.24,56.42,3032950
2016-11-03,56.6,56.68,55.32,55.48,2238650
2016-11-04,55.44,55.74,55.26,55.32,2850200
2016-11-07,55.48,55.92,55.48,55.78,1823600
2016-11-08,56.0,56.2,55.84,55.98,2103450
2016-11-09,57.4,58.32,56.74,57.9,4600650
2016-11-10,54.8,56.42,54.8,55.36,8653850
2016-11-11,55.22,56.74,55.04,55.96,6061350
2016-11-14,55.14,55.7,55.06,55.3,2719450
2016-11-15,54.86,55.5,54.72,55.26,1757350
2016-11-16,54.88,55.36,54.74,54.8,3238300
2016-11-17,54.8,55.02,54.66,54.7,3954150
2016-11-18,54.1,54.54,54.0,54.24,3497150
2016-11-21,54.48,54.82,54.44,54.68,2118050
2016-11-22,54.26,54.32,52.76,52.86,6910700
2016-11-23,52.86,52.86,51.76,52.74,6763600
2016-11-25,54.46,54.46,53.88,54.2,4784650
2016-11-28,53.5,53.96,53.26,53.46,3184200
2016-11-29,53.68,53.96,53.4,53.42,3186150
2016-11-30,53.28,53.4,52.2,52.28,5300500
2016-12-01,52.42,52.52,51.52,51.62,4500050
2016-12-02,51.88,52.22,51.72,51.78,4418400
