date,open,high,low,close,volume,wap,count
2016-07-28,144.04,144.69,143.48,144.42,1347018.0,144.18,9701
2016-07-29,144.09,144.6,143.78,144.27,1475304.0,144.28,10348
2016-08-01,144.49,144.77,143.58,143.93,1404799.0,143.95,9462
2016-08-02,143.95,143.99,142.96,143.31,1901254.0,143.329,12680
2016-08-03,143.35,143.88,142.98,143.63,1567326.0,143.353,11005
2016-08-04,143.8,143.91,142.91,143.12,1350002.0,143.24,9787
2016-08-05,143.99,145.65,143.92,145.65,2518849.0,144.954,17079
2016-08-08,145.29,145.65,144.23,145.56,2571262.0,144.947,17252
2016-08-09,145.96,147.45,145.45,147.22,2930380.0,146.771,18863
2016-08-10,147.0,147.27,146.13,146.69,1956985.0,146.532,12432
2016-08-11,146.48,147.98,146.44,147.74,2364021.0,147.579,15114
2016-08-12,147.16,147.75,146.68,147.72,1889027.0,147.524,12497
2016-08-15,147.7,147.92,147.12,147.78,1498484.0,147.639,10307
2016-08-16,147.53,147.95,147.22,147.24,1498002.0,147.638,9878
2016-08-17,147.42,149.33,147.0,149.08,2319458.0,148.467,15407
2016-08-18,149.15,149.36,148.53,148.81,1533490.0,148.823,10721
2016-08-19,148.4,148.84,147.79,148.75,2030174.0,148.515,11712
2016-08-22,148.51,148.8,147.85,148.45,1174226.0,148.454,8219
2016-08-23,148.58,149.24,148.58,148.77,1402358.0,148.974,9729
2016-08-24,148.5,148.84,148.13,148.41,1558748.0,148.492,11021
2016-08-25,148.24,148.71,148.11,148.64,1792889.0,148.513,12556
2016-08-26,148.65,149.23,147.22,147.91,2148947.0,148.128,15403
2016-08-29,147.93,149.68,147.93,149.3,2022194.0,149.252,13174
2016-08-30,149.16,150.24,149.16,150.23,2214482.0,149.949,14778
2016-08-31,150.0,150.9,148.66,150.49,2793579.0,149.89,18517
2016-09-01,150.7,151.0,148.82,150.35,2254436.0,149.912,16152
2016-09-02,150.69,151.05,149.97,150.72,1575723.0,150.566,11016
2016-09-06,150.54,150.98,149.31,150.43,2682936.0,150.029,18939
2016-09-07,150.0,150.49,149.34,149.58,1796412.0,149.764,12255
2016-09-08,149.6,150.1,149.3,149.78,1833175.0,149.73,13010
2016-09-09,149.1,149.59,146.56,146.62,2907740.0,147.998,20183
2016-09-12,146.37,149.39,145.94,148.97,3087337.0,147.65,21901
2016-09-13,147.95,148.13,145.55,146.23,4152708.0,146.295,29365
2016-09-14,146.02,146.91,145.33,145.78,2442530.0,146.065,17728
