date,open,high,low,close,volume,wap,count
2021-04-14,381.0,429.54,310.0,328.28,81065700.0,369.936,246934.0
2021-04-15,348.9,349.2,317.27,322.75,39777900.0,332.692,141707.0
2021-04-16,327.5,345.99,321.03,342.0,22654500.0,334.863,77448.0
2021-04-19,337.26,341.01,326.79,333.0,11405600.0,332.828,40074.0
2021-04-20,333.43,334.83,312.02,320.82,18082300.0,321.617,52510.0
2021-04-21,312.52,327.47,302.1,311.92,10103900.0,315.542,34772.0
2021-04-22,305.76,313.5,287.2,293.45,14991900.0,300.592,48028.0
2021-04-23,282.75,303.0,282.07,291.6,9853800.0,294.143,31705.0
2021-04-26,304.29,306.1,296.9,304.54,6330200.0,302.266,20621.0
2021-04-27,306.7,306.7,299.5,302.0,3902000.0,303.329,14396.0
2021-04-28,301.01,302.9,298.05,298.05,2746100.0,299.866,9228.0
2021-04-29,298.45,300.0,292.1,294.77,2845800.0,296.004,9494.0
2021-04-30,293.0,302.74,291.0,297.64,3997400.0,297.71,13448.0
2021-05-03,304.0,305.03,293.94,294.21,3333800.0,300.819,11702.0
2021-05-04,292.06,292.19,275.61,280.66,5707700.0,281.143,19300.0
2021-05-05,284.95,289.15,269.0,273.0,5074600.0,280.324,16551.0
2021-05-06,271.15,272.14,250.51,256.76,8342000.0,258.631,29345.0
2021-05-07,261.15,267.07,258.38,263.7,4243700.0,262.949,14192.0
2021-05-10,266.4,297.5,259.37,293.45,10268600.0,283.618,35951.0
2021-05-11,281.05,303.32,276.51,303.0,7456000.0,294.354,27799.0
2021-05-12,299.54,306.98,280.79,283.61,7214200.0,295.807,25575.0
2021-05-13,276.46,285.0,252.26,265.1,11226800.0,264.548,35378.0
2021-05-14,280.37,280.64,256.35,258.37,11751800.0,264.422,42908.0
2021-05-17,250.0,250.25,238.25,248.24,8828100.0,243.662,28245.0
2021-05-18,238.83,252.17,238.5,239.0,7852100.0,244.538,26316.0
2021-05-19,212.93,229.0,208.0,224.8,16766000.0,220.014,54248.0
2021-05-20,236.1,238.8,226.26,233.4,10386900.0,232.429,36381.0
2021-05-21,235.97,238.97,223.9,224.35,7554900.0,228.803,28313.0
2021-05-24,227.28,231.0,224.04,225.3,10185600.0,226.832,34418.0
2021-05-25,230.0,243.99,228.0,242.41,11827800.0,236.622,39399.0
2021-05-26,247.5,249.39,239.37,241.52,6602800.0,243.815,22192.0
2021-05-27,245.21,247.24,240.32,247.09,5083300.0,245.367,15746.0
2021-05-28,243.57,244.63,236.54,236.54,5091500.0,239.654,14500.0
2021-06-01,238.51,244.71,238.1,238.93,3962700.0,241.349,13124.0
2021-06-02,242.8,243.9,238.71,240.48,3383800.0,241.055,10950.0
2021-06-03,241.39,241.5,233.5,233.66,3091100.0,237.248,10061.0
2021-06-04,229.99,233.36,227.5,228.79,3775100.0,229.963,13412.0
2021-06-07,229.92,232.56,226.5,231.45,2658300.0,230.175,8941.0
2021-06-08,227.16,229.33,217.4,220.66,6015800.0,222.084,20761.0
2021-06-09,222.8,229.79,217.4,224.32,6865900.0,223.803,24456.0
2021-06-10,226.22,229.79,221.47,221.85,3955300.0,224.799,13451.0
2021-06-11,223.5,225.74,221.96,223.92,2383500.0,223.762,7767.0
2021-06-14,231.27,239.76,229.76,239.1,6151700.0,236.013,20997.0
2021-06-15,236.23,237.67,230.96,232.21,3007900.0,233.983,10583.0
2021-06-16,231.4,234.68,226.28,228.05,2874800.0,230.154,10140.0
2021-06-17,226.88,233.23,226.35,230.66,2589600.0,229.994,9500.0
2021-06-18,226.92,232.69,226.5,229.29,3265200.0,229.957,10414.0
2021-06-21,223.14,224.99,218.77,222.6,4687600.0,221.506,15891.0
2021-06-22,216.25,223.15,210.77,222.47,6206100.0,216.066,21705.0
2021-06-23,225.54,230.52,224.5,226.01,3394700.0,227.517,11470.0
2021-06-24,228.46,230.04,226.67,229.93,2857700.0,228.623,9978.0
