date,open,high,low,close,volume
2021-04-16,381.0,429.54,310.0,342.0,94194358.0
2021-04-23,337.26,341.01,282.07,291.6,37447343.0
2021-04-30,304.31,306.7,291.0,297.64,11937541.0
2021-05-07,304.0,305.03,250.51,263.7,16635082.0
2021-05-14,266.4,306.98,252.26,258.37,30394345.0
2021-05-21,250.0,252.17,208.0,224.35,33239799.0
2021-05-28,227.28,249.39,224.04,236.54,25538194.0
2021-06-04,238.67,244.71,227.5,228.79,8957210.0
2021-06-11,229.92,232.56,217.4,223.92,14374361.0
2021-06-18,231.43,239.76,226.28,229.29,11613273.0
2021-06-25,223.14,230.53,210.77,224.54,12696781.0
2021-07-02,227.64,261.15,226.13,240.72,17228364.0
2021-07-09,243.0,256.99,232.33,253.88,10776723.0
2021-07-16,253.56,254.89,220.37,225.01,11565365.0
2021-07-23,216.92,237.15,213.22,224.92,9137458.0
2021-07-30,240.26,249.8,229.12,236.58,13351217.0
2021-08-06,237.28,263.9,226.91,258.26,13955320.0
2021-08-13,267.3,294.0,255.2,261.25,28538225.0
2021-08-20,265.63,265.63,239.21,257.32,10487137.0
2021-08-27,263.27,266.5,248.08,259.12,12440487.0
2021-09-03,256.3,280.61,256.25,278.44,12045226.0
2021-09-10,276.82,278.87,247.4,248.32,10229533.0
2021-09-17,246.56,251.88,238.75,245.19,9063050.0
2021-09-24,234.45,245.8,229.17,231.82,9590327.0
2021-10-01,231.87,235.76,225.04,231.15,10169936.0
2021-10-08,230.53,256.18,224.51,248.14,11477400.0
2021-10-15,249.57,281.72,244.56,280.61,19180351.0
2021-10-22,275.84,317.37,271.5,300.84,36168209.0
2021-10-29,306.76,328.48,305.11,319.42,21290073.0
2021-11-05,324.77,345.85,323.9,337.05,16971578.0
2021-11-12,349.5,368.9,320.0,342.98,25061789.0
2021-11-19,345.35,355.2,323.41,332.55,13670063.0
2021-11-26,333.6,335.9,299.15,303.19,8699799.0
2021-12-03,311.56,331.7,258.16,265.65,14892419.0
2021-12-10,253.04,290.19,244.46,255.76,14426248.0
2021-12-17,252.76,268.26,236.0,243.35,11740217.0
2021-12-24,236.56,269.31,231.77,268.15,8408040.0
2021-12-31,270.45,281.99,251.36,252.37,10507055.0
2022-01-07,256.27,258.81,224.88,232.33,12619849.0
2022-01-14,224.51,246.27,214.64,230.03,15798378.0
2022-01-21,226.82,232.0,186.86,191.97,15130075.0
2022-01-28,173.48,198.06,162.2,177.58,25967750.0
2022-02-04,177.87,201.45,175.03,194.44,13695906.0
2022-02-11,198.8,217.49,191.02,194.53,16683533.0
2022-02-18,194.0,214.02,180.54,189.16,13695878.0
2022-02-25,180.87,185.75,155.92,176.83,14397396.0
