date,open,high,low,close,volume
2016-08-08,167.25,167.55,166.47,167.4,1294400
2016-08-09,167.74,168.6,166.88,167.86,1286700
2016-08-10,167.44,168.5,167.05,168.29,0
2016-08-11,169.11,169.59,167.33,167.88,1497800
2016-08-12,167.16,169.41,167.16,169.04,1399100
2016-08-15,169.04,169.27,168.59,168.73,918600
2016-08-16,167.88,168.8,167.88,168.41,1023000
2016-08-17,167.45,168.36,166.92,167.96,1382500
2016-08-18,168.42,168.71,167.2,167.75,1353400
2016-08-19,167.21,168.33,167.1,168.02,1764800
2016-08-22,168.34,168.69,167.62,167.94,955000
2016-08-23,168.09,168.45,167.31,167.36,1003700
2016-08-24,167.14,167.88,166.76,167.57,1363800
2016-08-25,167.2,167.41,164.64,164.86,1817700
2016-08-26,165.39,165.65,163.47,163.93,2009900
2016-08-29,164.47,164.84,163.4,163.98,1819200
2016-08-30,164.07,164.28,161.74,161.96,2010700
2016-08-31,161.87,162.57,161.15,162.09,1933200
2016-09-01,159.0,159.0,155.54,156.21,6038500
2016-09-02,156.81,159.28,156.8,157.98,2679000
2016-09-06,158.13,158.15,156.02,158.06,2716900
2016-09-07,157.64,157.87,155.4,155.64,2984100
2016-09-08,155.19,155.49,152.94,153.47,2993100
2016-09-09,152.59,152.79,150.7,150.7,2993900
2016-09-12,150.5,151.99,150.26,151.69,2982400
2016-09-13,151.18,151.58,150.07,150.74,2148600
2016-09-14,150.71,152.25,150.2,150.69,2188900
2016-09-15,150.72,152.97,150.11,152.67,2284300
2016-09-16,151.96,152.66,151.14,152.35,2842000
2016-09-19,152.13,153.03,151.6,151.79,1321300
2016-09-20,152.43,152.71,151.67,152.17,1396700
2016-09-21,152.59,152.9,151.25,152.7,1535100
2016-09-22,153.03,154.28,152.68,153.15,2502200
2016-09-23,153.15,153.77,152.17,152.53,2282100
2016-09-26,152.08,152.28,151.01,151.19,1862200
2016-09-27,151.42,151.77,150.0,150.45,2569000
2016-09-28,150.6,150.67,148.94,149.41,2626300
2016-09-29,149.19,149.69,147.2,147.49,4501300
2016-09-30,151.79,154.85,151.6,152.51,7318100
2016-10-03,152.22,152.25,150.32,151.01,3197100
2016-10-04,151.47,151.62,149.49,150.48,2840500
2016-10-05,150.63,150.92,149.83,149.98,2377700
2016-10-06,150.23,150.64,149.0,149.47,2465500
2016-10-07,149.77,150.19,148.79,149.99,2282100
2016-10-10,150.35,150.85,149.75,150.28,1587700
2016-10-11,149.67,151.14,149.51,151.01,2596800
2016-10-12,150.97,151.49,150.39,150.46,1664500
2016-10-13,149.93,151.34,149.72,150.22,1795300
2016-10-14,150.18,151.0,149.28,150.15,1745000
2016-10-17,150.08,150.2,148.63,148.7,1988400
2016-10-18,149.51,149.62,148.41,149.11,1847800
2016-10-19,150.7,151.32,149.31,149.45,1812000
2016-10-20,149.85,150.78,149.6,150.04,2251200
2016-10-21,149.51,150.29,148.5,148.97,2188000
2016-10-24,149.35,152.32,149.29,152.12,2432800
2016-10-25,149.9,151.97,149.9,150.99,2060600
2016-10-26,150.35,151.41,150.28,150.98,2246100
2016-10-27,150.83,151.46,149.82,150.86,1993500
2016-10-28,150.44,150.86,149.38,149.76,1843900
2016-10-31,148.89,149.35,147.1,147.87,3239400
2016-11-01,148.48,148.63,146.38,146.66,2112000
2016-11-02,146.43,147.34,146.12,146.27,2260500
2016-11-03,146.7,146.7,144.14,144.45,2168200
2016-11-04,143.0,145.0,142.11,142.24,2702100
2016-11-07,143.38,143.66,142.75,143.54,3010100
2016-11-08,143.89,146.63,143.8,146.09,3505200
2016-11-09,143.54,147.39,143.54,146.79,3170200
2016-11-10,147.06,150.0,146.61,146.7,3944200
2016-11-11,146.61,149.62,145.38,149.36,3218000
2016-11-14,150.92,152.14,149.5,152.0,3890800
2016-11-15,151.98,152.0,150.29,151.15,2799900
2016-11-16,152.19,152.55,151.8,152.14,2152300
2016-11-17,151.23,151.4,149.55,151.2,2098700
2016-11-18,150.84,151.2,149.52,150.36,2020500
2016-11-21,150.55,151.29,150.12,151.17,1181200
2016-11-22,151.93,153.05,151.21,152.67,1954200
2016-11-23,152.75,153.34,151.18,151.6,2166900
2016-11-25,151.89,153.42,151.71,151.88,886800
2016-11-28,151.05,152.43,151.01,151.25,1733500
2016-11-29,151.62,152.22,151.33,151.48,1496800
2016-11-30,151.13,151.54,150.07,150.11,2750500
2016-12-01,150.11,152.88,150.11,151.74,2305200
2016-12-02,151.99,152.87,151.43,152.09,1829200
2016-12-05,152.09,152.23,150.78,151.77,2432100
2016-12-06,151.85,152.08,150.42,151.01,2245400
2016-12-07,150.6,153.91,150.48,153.85,2811300
2016-12-08,156.64,160.9,156.6,157.59,5504300
2016-12-09,157.28,159.83,157.26,159.7,2614700
2016-12-12,158.6,161.28,158.56,160.33,2299200
2016-12-13,160.85,162.04,159.14,159.77,3583300
2016-12-14,160.05,160.45,158.25,158.99,2119100
2016-12-15,159.35,161.5,159.07,160.11,1811100
2016-12-16,160.49,161.25,159.85,160.41,3767100
2016-12-19,162.01,164.53,161.65,163.46,3231900
2016-12-20,164.32,164.95,163.5,163.86,2204600
