date,open,high,low,close,volume,wap,count
2025-06-05,69.0,103.75,64.0,83.23,47192000.0,83.694,153487.0
2025-06-06,96.39,123.51,92.95,107.7,60706300.0,109.071,200480.0
2025-06-09,132.72,138.57,108.4,115.25,45521100.0,120.008,137048.0
2025-06-10,115.0,115.0,101.51,105.91,25517800.0,106.91,73654.0
2025-06-11,107.0,120.49,106.5,117.2,26481400.0,115.045,63655.0
2025-06-12,116.79,117.93,104.26,106.54,13416500.0,110.11,35935.0
2025-06-13,108.81,134.72,108.8,133.56,34013600.0,121.939,93165.0
2025-06-16,147.54,165.6,145.88,151.06,43781500.0,156.312,128232.0
2025-06-17,156.36,164.42,143.53,149.15,31234200.0,152.992,86281.0
2025-06-18,153.22,200.9,148.0,199.59,63566800.0,176.665,181756.0
2025-06-20,231.5,248.88,206.17,240.28,92427200.0,231.414,267459.0
2025-06-23,238.46,298.99,232.48,263.45,99128700.0,267.085,324143.0
2025-06-24,250.42,265.0,217.58,222.65,68222600.0,239.997,203745.0
2025-06-25,218.54,227.54,198.0,198.62,49283200.0,206.794,158467.0
2025-06-26,209.04,226.95,205.68,213.63,45550300.0,218.454,146429.0
2025-06-27,223.65,223.65,175.6,180.43,48112100.0,191.902,167369.0
2025-06-30,181.77,192.5,178.0,181.29,34461500.0,184.426,108080.0
2025-07-01,184.67,194.0,171.5,192.53,31252100.0,183.295,95558.0
2025-07-02,187.21,189.0,176.0,177.97,18546000.0,181.647,54934.0
2025-07-03,182.17,192.5,181.39,188.77,17192000.0,187.073,52718.0
2025-07-07,193.75,208.6,186.6,207.46,31640800.0,200.476,107275.0
2025-07-08,199.5,209.5,196.0,204.81,22225500.0,204.795,66869.0
2025-07-09,209.36,215.6,197.25,200.68,17934400.0,204.569,57481.0
2025-07-10,208.84,209.57,199.0,202.9,12340100.0,203.864,38414.0
2025-07-11,204.18,206.8,182.5,187.33,18227400.0,190.182,59186.0
2025-07-14,189.27,204.91,185.54,204.7,15445200.0,195.705,48198.0
2025-07-15,198.0,203.46,188.1,195.33,14758500.0,196.923,46422.0
2025-07-16,203.05,239.7,201.32,233.2,43669500.0,223.319,140996.0
2025-07-17,225.59,244.36,220.01,235.08,29222500.0,233.154,86856.0
2025-07-18,244.9,262.97,222.49,223.78,42877400.0,237.798,128230.0
2025-07-21,226.4,231.88,213.33,216.1,19033100.0,223.803,59530.0
2025-07-22,207.55,211.99,192.9,198.31,18485900.0,198.967,58302.0
2025-07-23,198.38,202.5,195.08,202.41,10319800.0,199.915,30729.0
2025-07-24,199.75,201.25,189.23,193.08,9085900.0,193.201,27990.0
2025-07-25,192.54,195.7,187.5,192.86,6988500.0,191.993,22483.0
2025-07-28,196.98,197.9,183.91,185.36,9524200.0,187.972,28740.0
2025-07-29,187.88,190.75,180.68,181.64,9534800.0,186.537,29023.0
2025-07-30,182.62,193.33,182.1,190.5,9317700.0,188.812,29889.0
2025-07-31,188.76,189.87,183.0,183.52,5770600.0,186.381,17201.0
2025-08-01,176.93,181.55,167.3,168.1,12924900.0,172.259,41866.0
2025-08-04,172.1,172.1,154.5,164.82,11701300.0,160.16,39044.0
2025-08-05,160.0,164.32,153.91,153.93,7802400.0,158.936,24798.0
2025-08-06,150.09,162.44,149.0,161.71,8357900.0,156.809,25982.0
2025-08-07,167.68,169.92,151.1,152.93,10166300.0,156.082,29329.0
2025-08-08,155.01,163.22,154.12,159.03,8921000.0,158.969,30309.0
2025-08-11,161.01,169.8,155.53,161.17,11888900.0,163.88,39237.0
2025-08-12,186.3,189.92,161.51,163.21,33232700.0,171.719,89048.0
2025-08-13,156.64,164.64,152.15,153.16,17877900.0,156.585,56137.0
2025-08-14,152.0,156.8,136.4,139.23,17905900.0,143.853,52175.0
2025-08-15,141.15,151.47,139.25,149.26,23286200.0,145.85,70889.0
2025-08-18,148.7,149.45,141.35,141.58,8683100.0,145.386,24972.0
2025-08-19,143.98,144.65,133.11,135.23,9688100.0,136.543,33784.0
2025-08-20,136.94,139.5,129.1,137.81,9944100.0,134.758,34054.0
2025-08-21,135.0,136.99,131.59,131.8,4986600.0,133.942,17566.0
2025-08-22,132.99,144.7,131.05,135.04,13309100.0,138.966,45092.0
2025-08-25,134.36,135.32,124.7,125.24,10419800.0,127.535,31278.0
2025-08-26,125.6,130.25,124.16,129.05,6923300.0,126.584,20040.0
2025-08-27,129.05,130.26,126.01,127.4,5567700.0,128.069,15901.0
2025-08-28,129.0,132.78,127.66,130.94,5588700.0,130.699,18262.0
2025-08-29,131.07,135.97,129.0,131.98,8140600.0,132.615,25674.0
2025-09-02,128.56,131.69,119.6,120.14,10272400.0,123.821,37376.0
2025-09-03,122.09,122.27,116.6,118.46,9473300.0,118.804,29789.0
2025-09-04,117.64,120.32,115.08,117.49,6393600.0,116.795,20292.0
2025-09-05,117.78,118.8,108.02,114.56,11544500.0,111.589,38756.0
2025-09-08,114.0,117.78,110.05,112.46,8410400.0,114.48,29684.0
2025-09-09,113.63,120.75,112.62,117.99,9098700.0,117.391,30208.0
2025-09-10,119.96,124.98,113.17,113.69,9925500.0,118.987,29947.0
2025-09-11,114.22,136.49,113.3,133.7,23638300.0,128.794,76211.0
2025-09-12,134.85,134.9,124.5,125.32,15291500.0,128.675,47190.0
2025-09-15,129.9,135.78,125.08,134.05,12573800.0,130.475,37126.0
2025-09-16,139.6,142.55,133.92,134.81,12723000.0,136.769,35488.0
2025-09-17,135.0,146.5,128.26,131.04,19405300.0,135.778,54575.0
2025-09-18,134.74,143.58,134.07,140.42,15939000.0,139.382,53968.0
2025-09-19,145.05,147.7,139.53,144.14,16115600.0,143.547,36577.0
2025-09-22,139.88,140.71,134.56,137.64,9117400.0,137.624,26168.0
2025-09-23,138.67,141.6,130.7,130.97,8952100.0,135.062,25320.0
2025-09-24,133.73,136.34,130.04,131.58,9155800.0,133.425,25715.0
2025-09-25,128.99,130.26,124.3,124.66,7729900.0,127.183,23298.0
2025-09-26,125.42,128.49,122.83,126.99,5467800.0,125.867,14987.0
2025-09-29,129.5,137.8,128.5,133.66,10474600.0,135.01,32769.0
2025-09-30,136.2,137.99,132.37,132.58,7965500.0,134.349,22951.0
2025-10-01,133.62,137.27,127.6,129.03,9067300.0,133.125,26774.0
2025-10-02,133.45,152.05,132.75,149.72,19216200.0,143.105,61891.0
2025-10-03,148.4,156.47,144.14,145.78,19333300.0,149.4,57255.0
2025-10-06,154.01,154.17,145.56,148.51,10810000.0,149.096,31850.0
2025-10-07,152.0,157.56,144.18,148.72,12330800.0,150.643,37883.0
2025-10-08,150.3,152.16,143.55,150.46,11706300.0,148.232,34381.0
2025-10-09,150.8,153.88,145.8,150.48,10237500.0,149.805,32105.0
2025-10-10,150.89,159.47,132.6,132.94,22403100.0,144.174,72891.0
2025-10-13,138.06,141.38,135.11,137.47,10351000.0,137.797,31823.0
2025-10-14,133.25,138.62,129.33,134.46,7650400.0,134.509,22984.0
2025-10-15,137.32,141.1,132.58,134.48,9018700.0,137.073,26061.0
2025-10-16,135.92,136.87,127.88,128.46,7387800.0,131.785,22597.0
2025-10-17,125.25,127.76,123.09,126.49,7837400.0,125.309,22479.0
2025-10-20,129.79,135.73,128.25,130.81,9339400.0,132.128,30548.0
2025-10-21,130.45,133.0,125.65,129.85,9603000.0,129.178,33044.0
2025-10-22,128.57,131.0,122.5,124.79,8810200.0,126.449,29349.0
2025-10-23,124.98,130.01,124.31,129.86,6896100.0,127.249,21240.0
2025-10-24,132.96,144.03,131.02,142.05,15678700.0,138.802,54620.0
2025-10-27,146.93,147.44,138.1,143.29,9715600.0,141.51,31620.0
2025-10-28,143.25,143.38,135.85,136.11,7857500.0,138.941,22931.0
2025-10-29,136.0,136.05,129.68,131.74,7593600.0,132.555,23064.0
2025-10-30,129.97,130.0,122.49,122.71,10751300.0,125.124,30690.0
2025-10-31,126.31,129.4,124.88,126.98,6616900.0,126.869,21178.0
2025-11-03,125.75,125.75,117.83,117.86,9050500.0,119.858,25267.0
2025-11-04,113.79,117.2,108.9,111.25,10279100.0,112.142,31395.0
2025-11-05,113.1,114.85,111.94,113.03,6050000.0,113.407,14880.0
2025-11-06,113.05,113.36,100.0,100.01,11702600.0,103.96,39113.0
2025-11-07,99.0,103.33,96.1,103.14,9524300.0,99.963,34466.0
2025-11-10,107.8,110.54,102.58,104.1,8568000.0,105.532,29540.0
2025-11-11,102.05,102.49,97.95,98.3,8745300.0,99.727,31404.0
2025-11-12,93.85,95.52,85.86,86.3,39011300.0,89.084,114313.0
2025-11-13,86.02,88.42,81.38,82.34,52219400.0,84.982,159430.0
2025-11-14,83.5,85.05,81.5,81.89,37549600.0,82.805,96335.0
2025-11-17,81.79,81.9,75.1,76.59,23753300.0,77.627,71825.0
2025-11-18,75.62,78.15,75.04,76.6,16437600.0,77.076,57919.0
2025-11-19,76.49,76.6,67.55,69.72,28886500.0,70.552,101566.0
2025-11-20,71.29,71.4,64.92,66.93,20369400.0,67.665,67347.0
2025-11-21,66.93,72.33,66.14,71.33,19456200.0,69.914,61962.0
2025-11-24,72.0,73.43,69.61,72.74,15679700.0,72.13,60011.0
2025-11-25,69.14,70.11,68.05,70.11,12630900.0,69.172,46919.0
2025-11-26,71.15,73.29,68.86,72.64,15840800.0,71.191,52670.0
2025-11-28,75.31,81.48,74.02,79.93,22254900.0,79.078,71667.0
2025-12-01,77.49,79.84,75.23,75.94,18852700.0,76.775,54571.0
2025-12-02,78.4,80.73,77.18,77.44,16567100.0,78.728,50453.0
2025-12-03,78.39,86.59,75.97,86.29,21053700.0,82.73,69848.0
2025-12-04,83.98,88.27,83.2,87.46,14235400.0,85.869,41984.0
2025-12-05,86.09,86.66,83.14,85.62,10474100.0,85.105,32824.0
2025-12-08,86.94,87.41,81.34,83.96,10024600.0,83.406,32930.0
2025-12-09,83.23,89.98,81.76,88.88,14570000.0,87.597,47394.0
2025-12-10,87.34,89.55,85.05,88.41,9329300.0,86.932,30935.0
2025-12-11,85.85,89.26,83.33,88.57,11154500.0,86.894,39047.0
2025-12-12,89.53,91.3,82.03,83.47,13858000.0,85.029,48717.0
2025-12-15,83.85,84.18,74.73,75.46,15025000.0,77.049,52608.0
2025-12-16,77.86,83.5,77.33,83.0,15029100.0,81.708,53747.0
2025-12-17,82.88,85.74,79.08,79.2,10977800.0,82.144,35936.0
2025-12-18,82.74,84.47,80.08,80.99,10406200.0,82.124,30229.0
2025-12-19,82.43,86.3,82.43,86.13,13856900.0,84.604,39281.0
2025-12-22,87.74,91.2,86.43,87.0,10721200.0,88.469,34815.0
2025-12-23,84.8,85.57,81.02,82.73,9394700.0,82.432,27790.0
2025-12-24,82.72,83.04,79.86,82.64,6401500.0,81.207,19681.0
2025-12-26,82.39,82.5,79.71,81.27,6140600.0,80.956,19789.0
2025-12-29,79.25,83.04,79.12,80.51,7400500.0,81.041,25362.0
2025-12-30,80.18,82.89,79.65,79.89,7561700.0,80.85,27485.0
2025-12-31,79.96,80.39,78.77,79.3,5754000.0,79.706,18558.0
2026-01-02,80.84,84.58,79.62,83.47,8382500.0,82.645,28397.0
2026-01-05,84.57,88.06,84.1,84.8,9112400.0,85.918,29869.0
2026-01-06,86.0,86.2,81.95,84.85,7456700.0,84.097,26524.0
2026-01-07,83.19,83.6,80.53,80.59,6610400.0,81.553,22029.0
2026-01-08,79.9,82.72,78.85,81.79,5375000.0,81.096,18548.0
2026-01-09,82.2,84.33,79.45,82.9,7686400.0,82.17,29359.0
2026-01-12,81.14,83.12,79.85,82.9,6863200.0,81.734,24437.0
2026-01-13,83.24,84.28,80.29,83.46,8436100.0,82.127,27700.0
2026-01-14,84.99,88.46,81.75,84.8,14373600.0,84.883,52449.0
2026-01-15,83.47,83.79,76.11,76.6,16933700.0,79.173,49929.0
2026-01-16,76.74,80.02,75.58,78.61,9931600.0,77.816,31403.0
2026-01-20,75.7,77.47,72.62,72.7,12061500.0,74.662,30457.0
2026-01-21,72.9,74.59,70.42,72.64,8343200.0,72.554,26697.0
2026-01-22,73.55,73.81,70.76,71.35,7345900.0,71.906,22901.0
2026-01-23,70.86,72.55,69.88,71.33,7506200.0,71.057,25194.0
2026-01-26,70.01,72.43,69.85,70.9,7238000.0,71.023,18691.0
2026-01-27,70.38,70.54,67.5,69.96,10213400.0,69.325,34200.0
2026-01-28,72.86,77.0,71.91,72.84,16300600.0,74.019,56303.0
2026-01-29,70.31,70.6,65.75,67.55,16968100.0,67.292,58387.0
2026-01-30,66.6,66.91,61.88,63.93,15737900.0,63.952,50109.0
2026-02-02,61.5,61.87,58.41,58.86,14468200.0,60.19,50438.0
2026-02-03,60.17,60.17,53.76,56.16,16819300.0,55.598,61267.0
2026-02-04,56.19,56.29,51.52,55.05,14496000.0,53.944,54535.0
2026-02-05,53.63,54.48,49.9,50.23,15489000.0,51.604,52735.0
2026-02-06,53.81,57.8,53.62,57.04,17508700.0,56.183,54836.0
2026-02-09,56.33,60.88,55.76,60.1,10755400.0,59.09,35921.0
2026-02-10,58.54,62.0,58.3,59.75,7515500.0,60.668,27405.0
2026-02-11,59.11,59.17,55.89,57.86,8585500.0,57.312,29635.0
2026-02-12,58.75,58.75,55.31,56.63,8567200.0,56.854,30084.0
2026-02-13,58.44,62.2,57.23,60.04,12023900.0,59.923,46367.0
2026-02-17,59.27,62.9,57.02,61.62,9686900.0,60.591,34762.0
2026-02-18,62.12,64.7,61.2,63.15,7462500.0,63.395,32593.0
2026-02-19,62.26,62.85,59.8,61.92,6951600.0,61.201,22177.0
2026-02-20,62.25,65.5,61.5,63.02,9415100.0,63.702,34341.0
2026-02-23,62.1,63.13,59.83,61.17,8797200.0,61.067,35041.0
2026-02-24,60.39,62.95,59.46,61.37,8283500.0,61.521,30728.0
2026-02-25,73.77,83.35,71.19,83.14,63849900.0,77.483,175074.0
2026-02-26,81.57,90.6,81.23,87.21,41836500.0,87.636,137283.0
2026-02-27,83.62,84.98,80.97,83.44,19295200.0,83.108,68565.0
